ticker,direction,entry_price,entry_date,target_date,trailing_pct,horizon,tp_pct,sl_pct,alloc_pct,status,exit_reason,exit_price,exit_date,pnl_pct
ENVX,UP,5.89,2026-04-13,2026-08-17,0.03,90,0.15,0.02,0.03,CLOSED,TRAIL,6.19,2026-04-14,5.15
AAL,UP,12.78,2026-04-17,2026-07-10,0.0,60,0.3,0.1,0.02,CLOSED,SL,11.5,2026-04-22,-10.0
NCLH,UP,20.99,2026-04-17,2026-07-10,0.0,60,0.25,0.1,0.02,CLOSED,SL,18.89,2026-04-22,-10.0
WK,UP,57.34,2026-04-17,2026-07-10,0.0,60,0.25,0.1,0.02,CLOSED,SL,51.61,2026-04-23,-10.0
NCLH,UP,19.03,2026-04-22,2026-07-15,0.0,60,0.25,0.1,0.02,CLOSED,SL,17.13,2026-05-04,-10.0
NVAX,UP,7.97,2026-04-29,2026-07-22,0.0,60,0.3,0.1,0.02,CLOSED,TP,10.36,2026-05-08,30.0
WK,UP,53.15,2026-04-24,2026-07-17,0.0,60,0.25,0.1,0.02,CLOSED,SL,47.84,2026-05-11,-10.0
RIVN,UP,14.22,2026-05-08,2026-07-03,0.03,40,0.15,0.02,0.04,CLOSED,TRAIL,13.94,2026-05-12,-2.0
PATH,UP,10.41,2026-04-17,2026-07-10,0.0,60,0.2,0.1,0.02,CLOSED,SL,9.37,2026-05-13,-10.0
RIVN,UP,13.95,2026-05-12,2026-07-07,0.03,40,0.15,0.02,0.04,CLOSED,TRAIL,14.24,2026-05-13,2.08
NCLH,UP,17.2,2026-05-04,2026-07-27,0.0,60,0.25,0.1,0.02,CLOSED,SL,15.48,2026-05-15,-10.0
RIVN,UP,13.35,2026-05-18,2026-07-13,0.03,40,0.15,0.02,0.04,CLOSED,TRAIL,13.08,2026-05-19,-2.0
RIVN,UP,12.9,2026-05-19,2026-07-14,0.03,40,0.15,0.02,0.04,CLOSED,TRAIL,13.37,2026-05-20,3.62
RIVN,UP,14.15,2026-05-21,2026-07-16,0.03,40,0.15,0.02,0.04,CLOSED,TRAIL,14.26,2026-05-26,0.76
AAL,UP,11.5,2026-04-22,2026-07-15,0.0,60,0.3,0.1,0.02,CLOSED,TP,14.95,2026-05-27,30.0
PATH,UP,9.67,2026-05-14,2026-08-06,0.0,60,0.2,0.1,0.02,CLOSED,TP,11.6,2026-05-28,20.0
NCLH,UP,15.52,2026-05-15,2026-08-07,0.0,60,0.25,0.1,0.02,CLOSED,TP,19.4,2026-06-04,25.0
ITW,UP,251.65,2026-05-04,2026-07-27,0.0,60,0.2,0.1,0.02,OPEN,,,,
PATH,UP,11.67,2026-06-03,2026-08-26,0.0,60,0.2,0.1,0.02,OPEN,,,,
WK,UP,46.42,2026-05-11,2026-08-03,0.0,60,0.25,0.1,0.02,OPEN,,,,
