date,entry_close,pred_close,actual_close,correct
2024-06-10,148.07,144.9869,116.16,1
2024-06-11,147.75,136.2685,114.28,1
2024-06-12,149.32,148.1415,116.36,1
2024-06-13,146.1,140.7522,115.12,1
2024-06-14,145.97,148.9015,115.96,0
2024-06-17,149.5,151.5426,117.36,0
2024-06-18,147.29,147.9333,117.75,0
2024-06-20,147.88,148.0811,117.55,0
2024-06-21,149.57,153.4722,122.12,0
2024-06-24,148.39,152.0892,122.42,0
2024-06-25,150.91,140.4097,128.75,1
2024-06-26,150.0,148.0134,131.18,1
2024-06-27,151.61,148.1008,129.03,1
2024-06-28,151.63,144.0962,131.48,1
2024-07-01,151.63,151.0931,130.71,1
2024-07-02,154.34,145.5267,129.25,1
2024-07-03,152.73,151.1457,128.25,1
2024-07-05,152.5,143.7931,126.81,1
2024-07-08,151.96,149.9238,125.47,1
2024-07-09,152.45,141.8152,126.18,1
2024-07-10,151.84,150.5589,125.29,1
2024-07-11,146.0,154.2956,129.85,0
2024-07-12,146.78,145.1216,130.23,1
2024-07-15,147.22,155.8092,132.5,0
2024-07-16,151.26,151.4471,135.49,0
2024-07-17,148.0,133.8955,132.81,1
2024-07-18,146.88,147.9941,134.4,0
2024-07-19,147.99,148.8481,134.79,0
2024-07-22,150.18,150.1539,133.27,1
2024-07-23,148.75,149.2618,135.15,0
2024-07-24,144.23,143.0449,136.02,1
2024-07-25,140.03,155.7695,136.45,0
2024-07-26,140.1,148.1531,137.19,0
2024-07-29,140.29,147.3337,135.59,0
2024-07-30,138.99,145.1773,131.92,0
2024-07-31,139.56,158.1201,132.75,0
2024-08-01,135.09,143.604,134.58,0
2024-08-02,128.23,153.3902,135.78,1
2024-08-05,125.31,134.7395,137.78,1
2024-08-06,130.47,148.8243,136.5,1
2024-08-07,113.01,147.1185,134.79,1
2024-08-08,114.64,151.2994,136.46,1
2024-08-09,115.08,147.5203,136.87,1
2024-08-12,113.62,147.7498,137.82,1
2024-08-13,116.9,155.2081,140.91,1
2024-08-14,116.24,146.483,147.37,1
2024-08-15,118.88,148.0729,134.61,1
2024-08-16,116.31,145.6265,137.4,1
2024-08-19,119.14,161.1258,133.2,1
2024-08-20,117.38,140.7524,132.76,1
2024-08-21,117.68,153.8364,134.56,1
2024-08-22,115.45,156.1399,132.5,1
2024-08-23,116.85,143.4681,132.19,1
2024-08-26,115.71,147.9299,131.44,1
2024-08-27,116.74,150.5917,135.25,1
2024-08-28,117.53,145.5994,133.26,1
2024-08-29,116.6,160.8264,137.34,1
2024-08-30,117.31,155.9458,140.93,1
2024-09-03,114.98,151.5524,139.67,1
2024-09-04,115.21,159.9378,138.28,1
2024-09-05,116.16,145.6747,136.11,1
2024-09-06,114.28,148.9638,137.49,1
2024-09-09,116.36,144.6186,137.46,1
2024-09-10,115.12,129.595,139.07,1
2024-09-11,115.96,144.1685,136.32,1
2024-09-12,117.36,136.5014,136.92,1
2024-09-13,117.75,137.5045,137.27,1
2024-09-16,117.55,138.5075,138.3,1
2024-09-17,122.12,138.1099,138.84,1
2024-09-18,122.42,138.2402,137.47,1
2024-09-19,128.75,146.0211,130.95,1
2024-09-20,131.18,145.586,132.2,1
2024-09-23,129.03,149.4661,132.24,1
2024-09-24,131.48,145.3563,127.54,0
2024-09-25,130.71,141.3208,129.35,0
2024-09-26,129.25,127.5856,134.21,0
2024-09-27,128.25,153.81,134.52,1
2024-09-30,126.81,143.708,134.99,1
2024-10-01,125.47,149.3776,135.32,1
2024-10-02,126.18,128.7163,133.385,1
2024-10-03,125.29,138.9195,131.81,1
2024-10-04,129.85,139.2578,131.41,1
2024-10-07,130.23,152.9233,131.48,1
2024-10-08,132.5,140.7844,135.71,1
2024-10-09,135.49,135.3392,135.2,1
2024-10-10,132.81,151.9587,131.29,0
2024-10-11,134.4,142.8627,130.8,0
2024-10-14,134.79,127.3307,129.63,1
2024-10-15,133.27,134.3135,128.85,0
2024-10-16,135.15,136.6662,127.6,0
2024-10-17,136.02,142.654,132.52,0
2024-10-18,136.45,130.2452,132.16,1
2024-10-21,137.19,150.0144,135.12,0
2024-10-22,135.59,157.9933,133.07,0
2024-10-23,131.92,130.9134,132.5,0
2024-10-24,132.75,135.0738,133.24,1
2024-10-25,134.58,136.3114,127.09,0
2024-10-28,135.78,129.879,128.96,1
2024-10-29,137.78,138.1772,131.05,0
2024-10-30,136.5,143.006,132.58,0
2024-10-31,134.79,139.6067,131.79,0
2024-11-01,136.46,135.5322,131.17,1
2024-11-04,136.87,154.773,129.78,0
2024-11-05,137.82,145.256,130.74,0
2024-11-06,140.91,126.7897,129.6,1
2024-11-07,147.37,136.4415,132.57,1
2024-11-08,134.61,150.9656,134.98,1
2024-11-11,137.4,143.6584,135.24,0
2024-11-12,133.2,138.0249,134.52,1
2024-11-13,132.76,138.7536,140.52,1
2024-11-14,134.56,129.4725,141.04,0
2024-11-15,132.5,143.9335,161.42,1
2024-11-18,132.19,141.7632,160.6,1
2024-11-19,131.44,153.0776,157.98,1
2024-11-20,135.25,132.4128,155.31,0
2024-11-21,133.26,141.6825,146.07,1
2024-11-22,137.34,154.686,144.82,1
2024-11-25,140.93,145.9862,141.55,1
2024-11-26,139.67,134.8,144.03,0
2024-11-27,138.28,144.2918,139.45,1
2024-11-29,136.11,145.3028,138.87,1
2024-12-02,137.49,132.6362,140.98,0
2024-12-03,137.46,143.8078,141.42,1
2024-12-04,139.07,156.8681,142.58,1
2024-12-05,136.32,137.9025,134.77,0
2024-12-06,136.92,147.0833,134.39,0
2024-12-09,137.27,138.6032,132.15,0
2024-12-10,138.3,132.2915,125.44,1
2024-12-11,138.84,134.7391,126.55,1
2024-12-12,137.47,126.0987,119.38,1
2024-12-13,130.95,142.8466,122.86,0
2024-12-16,132.2,138.1149,126.94,0
2024-12-17,132.24,143.7718,124.56,0
2024-12-18,127.54,120.2242,126.0,1
2024-12-19,129.35,139.7162,126.15,0
2024-12-20,134.21,129.0636,128.8,1
2024-12-23,134.52,128.0473,129.82,1
2024-12-24,134.99,139.1116,129.88,0
2024-12-26,135.32,157.0534,128.64,0
2024-12-27,133.385,117.1465,125.65,1
2024-12-30,131.81,131.1054,120.69,1
2024-12-31,131.41,134.9738,119.46,0
2025-01-02,131.48,141.5736,121.18,0
2025-01-03,135.71,142.8045,122.8,0
2025-01-06,135.2,139.5145,113.97,0
2025-01-07,131.29,131.6857,106.66,0
2025-01-08,130.8,131.5429,106.3,0
2025-01-10,129.63,135.1697,105.69,0
2025-01-13,128.85,139.8944,121.32,0
2025-01-14,127.6,147.0369,113.91,0
2025-01-15,132.52,124.8954,114.54,1
2025-01-16,132.16,133.9806,113.22,0
2025-01-17,135.12,137.2133,114.64,0
2025-01-21,133.07,146.4833,112.64,0
2025-01-22,132.5,142.0022,112.7,0
2025-01-23,133.24,136.5456,111.61,0
2025-01-24,127.09,140.2796,114.91,0
2025-01-27,128.96,123.9567,118.28,1
2025-01-28,131.05,140.5054,121.71,0
2025-01-29,132.58,131.7684,122.51,1
2025-01-30,131.79,126.952,123.3,1
2025-01-31,131.17,127.211,125.49,1
2025-02-03,129.78,144.2302,121.92,0
2025-02-04,130.74,139.3015,124.01,0
2025-02-05,129.6,138.3808,125.26,0
2025-02-06,132.57,136.71,124.89,0
2025-02-07,134.98,130.4715,121.67,1
2025-02-10,135.24,143.8521,123.12,0
2025-02-11,134.52,126.9346,126.39,1
2025-02-12,140.52,145.0416,127.04,0
2025-02-13,141.04,128.9056,134.21,1
2025-02-14,161.42,139.1607,138.05,1
2025-02-18,160.6,148.3518,137.45,1
2025-02-19,157.98,145.2079,136.79,1
2025-02-20,155.31,128.6965,138.0,1
2025-02-21,146.07,132.9061,136.6,1
2025-02-24,144.82,141.74,132.13,1
2025-02-25,141.55,130.6101,127.52,1
