date,entry_close,pred_close,actual_close,correct
2024-06-10,3.3,5.1446,3.25,0
2024-06-11,3.3,5.1862,3.1,0
2024-06-12,3.36,5.3913,3.28,0
2024-06-13,3.27,4.6501,3.3,1
2024-06-14,3.22,4.5346,3.3,1
2024-06-17,3.17,4.3435,3.3,1
2024-06-18,3.06,4.9535,3.31,1
2024-06-20,3.12,4.7294,3.11,0
2024-06-21,3.66,4.2827,3.13,0
2024-06-24,3.74,4.995,3.06,0
2024-06-25,3.66,4.5276,3.05,0
2024-06-26,3.65,4.9185,3.06,0
2024-06-27,3.49,5.5928,3.04,0
2024-06-28,3.52,5.1492,3.04,0
2024-07-01,3.42,4.6734,2.91,0
2024-07-02,3.72,5.6127,2.92,0
2024-07-03,4.21,3.9728,3.07,1
2024-07-05,4.4,6.2852,3.03,0
2024-07-08,4.48,4.8914,2.97,0
2024-07-09,4.28,4.4544,3.2,0
2024-07-10,4.39,4.8586,2.94,0
2024-07-11,4.57,4.0852,2.98,1
2024-07-12,5.05,4.1781,3.18,1
2024-07-15,5.05,4.8155,3.03,1
2024-07-16,5.39,4.7554,2.97,1
2024-07-17,5.07,4.0708,2.94,1
2024-07-18,4.83,5.5315,3.08,0
2024-07-19,4.64,4.8036,3.08,0
2024-07-22,4.6,5.6298,3.11,0
2024-07-23,4.56,4.2406,3.19,1
2024-07-24,4.38,5.1407,3.19,0
2024-07-25,4.4,4.1648,3.19,1
2024-07-26,4.69,4.5016,3.06,1
2024-07-29,4.46,4.5403,3.3,0
2024-07-30,4.23,4.1607,3.12,1
2024-07-31,4.17,4.4658,3.09,0
2024-08-01,4.01,4.1073,3.1,0
2024-08-02,4.02,4.7867,3.41,0
2024-08-05,3.91,4.2995,3.36,0
2024-08-06,3.92,4.9463,3.28,0
2024-08-07,3.84,4.4226,3.15,0
2024-08-08,3.99,3.6322,3.28,1
2024-08-09,3.64,4.1995,3.24,0
2024-08-12,3.55,4.5443,3.25,0
2024-08-13,3.6,4.645,3.21,0
2024-08-14,3.54,4.7662,3.5,0
2024-08-15,3.73,4.1373,3.89,1
2024-08-16,3.84,3.9985,4.51,1
2024-08-19,3.78,4.0863,4.66,1
2024-08-20,3.62,4.4575,4.28,1
2024-08-21,3.82,4.517,4.29,1
2024-08-22,3.68,4.8063,4.11,1
2024-08-23,3.82,4.3233,4.41,1
2024-08-26,3.93,4.6129,5.13,1
2024-08-27,3.77,4.4216,5.06,1
2024-08-28,3.56,3.751,5.78,1
2024-08-29,3.54,4.1643,6.04,1
2024-08-30,3.4,3.8985,7.48,1
2024-09-03,3.38,4.7493,7.22,1
2024-09-04,3.36,4.038,8.08,1
2024-09-05,3.25,4.796,9.57,1
2024-09-06,3.1,4.2055,7.3,1
2024-09-09,3.28,3.8427,6.75,1
2024-09-10,3.3,4.1785,6.96,1
2024-09-11,3.3,4.6991,7.66,1
2024-09-12,3.3,4.1588,8.28,1
2024-09-13,3.31,4.4431,7.82,1
2024-09-16,3.11,3.7936,7.72,1
2024-09-17,3.13,4.0716,7.39,1
2024-09-18,3.06,4.4609,7.17,1
2024-09-19,3.05,4.4674,8.39,1
2024-09-20,3.06,4.2872,8.87,1
2024-09-23,3.04,4.683,9.09,1
2024-09-24,3.04,3.8719,8.95,1
2024-09-25,2.91,4.33,8.42,1
2024-09-26,2.92,3.8763,9.49,1
2024-09-27,3.07,3.4924,9.38,1
2024-09-30,3.03,4.1233,10.8,1
2024-10-01,2.97,4.6064,11.33,1
2024-10-02,3.2,3.8693,11.18,1
2024-10-03,2.94,3.7261,10.06,1
2024-10-04,2.98,4.3534,9.75,1
2024-10-07,3.18,3.589,9.57,1
2024-10-08,3.03,3.5365,11.51,1
2024-10-09,2.97,3.7263,11.45,1
