date,entry_close,pred_close,actual_close,correct
2024-06-10,281.5482,334.9698,331.9533,1
2024-06-11,285.2223,316.2161,330.892,1
2024-06-12,276.992,340.3749,332.8101,1
2024-06-13,273.6863,321.0529,338.545,1
2024-06-14,277.942,327.1465,341.0863,1
2024-06-17,276.7981,319.5592,340.6774,1
2024-06-18,276.6236,327.8504,340.3755,1
2024-06-20,296.7972,326.7618,344.796,1
2024-06-21,299.5309,326.7293,328.1658,1
2024-06-24,297.815,314.4863,327.3284,1
2024-06-25,297.7763,320.4563,326.4131,1
2024-06-26,295.3043,327.4695,327.3673,1
2024-06-27,293.918,310.3812,330.2786,1
2024-06-28,294.1312,324.5661,330.6778,1
2024-07-01,293.2975,317.2106,328.1754,1
2024-07-02,294.5384,333.023,346.4415,1
2024-07-03,296.3997,310.9604,340.4924,1
2024-07-05,289.9919,334.006,344.1729,1
2024-07-08,290.3118,297.9911,342.7124,1
2024-07-09,288.9449,317.3648,346.9089,1
2024-07-10,286.405,315.701,351.7285,1
2024-07-11,290.1439,309.1435,352.7022,1
2024-07-12,302.4511,294.4564,347.4054,0
2024-07-15,309.5004,299.3455,350.8912,0
2024-07-16,316.4427,307.2053,355.4674,0
2024-07-17,317.0269,313.663,352.994,0
2024-07-18,319.4611,282.6201,352.6714,0
2024-07-19,320.5225,316.4251,356.4451,0
2024-07-22,322.7813,296.5591,360.4143,0
2024-07-23,321.6324,314.2233,363.9337,0
2024-07-24,320.0258,313.8401,366.7591,0
2024-07-25,321.4279,303.3765,368.4308,0
2024-07-26,319.8116,307.1144,367.6194,0
2024-07-29,317.6111,302.0517,363.4742,0
2024-07-30,320.5321,290.8908,362.3402,0
2024-07-31,321.9148,305.2437,356.0833,0
2024-08-01,319.4416,349.8138,352.73,1
2024-08-02,314.6414,297.4254,353.2384,0
2024-08-05,305.4792,298.4153,354.9199,0
2024-08-06,310.2891,320.1911,338.8184,1
2024-08-07,309.6465,290.1071,337.1075,0
