date,entry_close,pred_close,actual_close,correct
2024-06-10,459.94,570.0668,567.93,1
2024-06-11,462.69,546.4998,563.41,1
2024-06-12,459.87,572.3516,569.88,1
2024-06-13,458.74,535.457,574.48,1
2024-06-14,525.31,560.2513,580.38,1
2024-06-17,518.74,541.5187,586.55,1
2024-06-18,522.25,505.3081,536.87,0
2024-06-20,522.95,544.0918,521.5,0
2024-06-21,533.44,544.0118,515.03,0
2024-06-24,524.17,487.0065,508.13,1
2024-06-25,526.88,512.2032,526.44,1
2024-06-26,528.66,552.0234,522.3,0
2024-06-27,546.76,499.025,527.87,1
2024-06-28,555.54,497.1885,524.07,1
2024-07-01,560.01,487.343,517.9,1
2024-07-02,567.71,483.3004,515.38,1
2024-07-03,570.15,509.1169,515.48,1
2024-07-05,578.34,523.994,517.78,1
2024-07-08,575.4,476.28,502.8,1
2024-07-09,566.02,541.9381,505.81,1
2024-07-10,564.55,494.7234,503.8,1
2024-07-11,557.63,480.8206,507.22,1
2024-07-12,559.05,490.5138,487.3,1
2024-07-15,565.71,513.7078,496.24,1
2024-07-16,566.54,533.7396,494.08,1
2024-07-17,563.09,504.056,503.57,1
2024-07-18,556.85,522.2486,495.42,1
2024-07-19,551.0,490.2222,509.65,1
2024-07-22,554.82,532.1576,508.03,1
2024-07-23,546.01,481.7831,502.54,1
2024-07-24,531.04,538.4795,496.83,0
2024-07-25,532.15,583.7098,494.9,0
2024-07-26,542.44,522.8559,497.71,1
2024-07-29,536.61,499.9616,493.11,1
2024-07-30,538.71,498.6265,485.03,1
2024-07-31,551.65,575.9921,482.87,0
2024-08-01,546.41,527.5707,483.72,1
2024-08-02,526.17,530.8737,481.04,0
2024-08-05,509.32,515.2971,485.39,0
2024-08-06,514.2,507.1417,486.68,1
2024-08-07,513.62,497.2324,478.08,1
2024-08-08,530.24,527.4774,482.8,1
2024-08-09,536.3,554.0789,481.35,0
2024-08-12,530.93,559.5415,486.42,0
2024-08-13,535.22,530.9217,504.83,1
2024-08-14,539.79,521.6903,500.92,1
2024-08-15,554.16,570.9455,494.68,0
2024-08-16,553.46,527.0727,504.48,1
2024-08-19,563.12,547.9013,526.42,1
2024-08-20,562.25,586.4994,532.5,0
2024-08-21,565.79,544.5664,529.87,1
2024-08-22,557.44,536.5382,503.37,1
2024-08-23,558.3,592.184,499.51,0
2024-08-26,559.44,589.5887,499.61,0
2024-08-27,567.82,550.3055,499.5,1
2024-08-28,560.54,551.6905,504.44,1
2024-08-29,569.63,542.7632,512.15,1
2024-08-30,574.41,575.3052,518.73,0
2024-09-03,571.04,564.1063,525.3,1
2024-09-04,575.25,583.8159,513.68,0
2024-09-05,567.93,476.5374,515.93,1
2024-09-06,563.41,599.317,516.2,0
2024-09-09,569.88,551.59,516.26,1
2024-09-10,574.48,572.8786,536.49,1
2024-09-11,580.38,541.8914,538.22,1
2024-09-12,586.55,552.6239,552.96,1
2024-09-13,536.87,587.3191,547.93,1
2024-09-16,521.5,536.951,547.05,1
2024-09-17,515.03,577.2347,549.93,1
2024-09-18,508.13,560.8444,474.63,0
2024-09-19,526.44,557.4448,465.69,0
2024-09-20,522.3,576.7032,461.53,0
2024-09-23,527.87,552.4537,455.23,0
2024-09-24,524.07,537.9178,441.31,0
2024-09-25,517.9,560.1536,437.39,0
2024-09-26,515.38,549.2365,447.17,0
2024-09-27,515.48,548.3047,446.74,0
2024-09-30,517.78,568.4366,447.94,0
2024-10-01,502.8,524.4646,450.16,0
2024-10-02,505.81,548.3719,446.48,0
2024-10-03,503.8,533.0073,445.8,0
2024-10-04,507.22,562.8657,444.68,0
2024-10-07,487.3,552.7529,441.0,0
2024-10-08,496.24,557.4902,430.57,0
2024-10-09,494.08,546.0201,431.18,0
2024-10-10,503.57,553.5634,422.63,0
2024-10-11,495.42,550.7964,419.58,0
2024-10-14,509.65,571.6475,405.92,0
2024-10-15,508.03,546.5516,408.5,0
2024-10-16,502.54,493.6463,412.71,1
2024-10-17,496.83,542.7303,417.28,0
2024-10-18,494.9,558.3406,426.93,0
2024-10-21,497.71,508.2932,429.99,0
2024-10-22,493.11,526.5151,436.36,0
2024-10-23,485.03,571.2923,437.32,0
2024-10-24,482.87,559.8167,437.28,0
2024-10-25,483.72,513.405,435.38,0
2024-10-28,481.04,542.1078,438.6,0
2024-10-29,485.39,548.8412,442.84,0
2024-10-30,486.68,503.2536,441.68,0
2024-10-31,478.08,537.632,446.0,0
2024-11-01,482.8,508.6644,437.45,0
2024-11-04,481.35,537.3239,438.6,0
2024-11-05,486.42,514.8036,440.23,0
2024-11-06,504.83,484.815,437.63,1
2024-11-07,500.92,531.5211,435.4,0
2024-11-08,494.68,526.9888,433.07,0
2024-11-11,504.48,528.472,451.1,0
2024-11-12,526.42,555.2358,458.82,0
2024-11-13,532.5,520.4261,462.76,1
2024-11-14,529.87,526.3779,459.22,1
2024-11-15,503.37,524.6261,460.16,0
2024-11-18,499.51,492.8315,464.11,1
2024-11-19,499.61,465.0514,456.99,1
2024-11-20,499.5,522.502,454.69,0
2024-11-21,504.44,498.9382,444.32,1
2024-11-22,512.15,523.4902,444.42,0
2024-11-25,518.73,547.9606,443.41,0
2024-11-26,525.3,530.8287,441.5,0
2024-11-27,513.68,524.1927,437.19,0
2024-11-29,515.93,525.6898,438.56,0
2024-12-02,516.2,527.2488,440.72,0
2024-12-03,516.26,520.9217,446.03,0
2024-12-04,536.49,521.5873,451.24,1
2024-12-05,538.22,520.1034,444.78,1
2024-12-06,552.96,528.9775,449.4,1
2024-12-09,547.93,521.0137,435.08,1
2024-12-10,547.05,544.0336,433.66,1
2024-12-11,549.93,495.4758,438.6,1
2024-12-12,474.63,501.4132,377.84,0
2024-12-13,465.69,498.823,394.74,0
2024-12-16,461.53,521.2213,399.34,0
2024-12-17,455.23,516.6425,391.37,0
2024-12-18,441.31,523.056,387.89,0
2024-12-19,437.39,510.94,389.61,0
2024-12-20,447.17,499.5576,387.26,0
2024-12-23,446.74,524.0558,394.47,0
2024-12-24,447.94,504.4079,403.64,0
2024-12-26,450.16,517.1749,397.81,0
2024-12-27,446.48,513.8593,396.15,0
2024-12-30,445.8,514.0392,385.71,0
2024-12-31,444.68,483.4858,383.53,0
2025-01-02,441.0,554.1447,383.2,0
2025-01-03,430.57,522.4065,385.78,0
2025-01-06,431.18,534.6674,367.25,0
2025-01-07,422.63,534.8564,349.07,0
2025-01-08,419.58,486.1184,340.7,0
2025-01-10,405.92,530.1319,340.0,0
2025-01-13,408.5,507.7735,364.64,0
2025-01-14,412.71,536.0853,350.05,0
2025-01-15,417.28,485.263,352.47,0
2025-01-16,426.93,528.5629,350.91,0
2025-01-17,429.99,470.6207,350.38,0
2025-01-21,436.36,516.5557,344.19,0
2025-01-22,437.32,539.0793,348.8,0
2025-01-23,437.28,554.6448,343.22,0
2025-01-24,435.38,520.1392,349.91,0
2025-01-27,438.6,505.9977,351.96,0
2025-01-28,442.84,498.4554,360.91,0
2025-01-29,441.68,534.4422,367.72,0
2025-01-30,446.0,490.1042,368.62,0
2025-01-31,437.45,522.2693,370.98,0
2025-02-03,438.6,513.2111,374.98,0
2025-02-04,440.23,527.6519,374.63,0
2025-02-05,437.63,509.9699,380.87,0
2025-02-06,435.4,525.7251,381.06,0
2025-02-07,433.07,466.2224,382.98,0
2025-02-10,451.1,540.5463,384.97,0
2025-02-11,458.82,514.6577,383.99,0
2025-02-12,462.76,529.5703,383.28,0
2025-02-13,459.22,535.7728,395.94,0
2025-02-14,460.16,470.0427,397.4,0
2025-02-18,464.11,531.741,399.47,0
2025-02-19,456.99,503.9911,404.69,0
2025-02-20,454.69,489.9744,417.13,0
2025-02-21,444.32,502.0751,420.68,0
2025-02-24,444.42,483.656,417.61,0
2025-02-25,443.41,518.9756,414.03,0
2025-02-26,441.5,499.8046,414.33,0
2025-02-27,437.19,459.1006,407.69,0
2025-02-28,438.56,513.3758,413.1,0
2025-03-03,440.72,498.9128,412.23,0
2025-03-04,446.03,485.7883,413.36,0
2025-03-05,451.24,530.0444,415.09,0
2025-03-06,444.78,483.7129,403.4,0
2025-03-07,449.4,522.2357,412.49,0
2025-03-10,435.08,476.7958,413.91,0
2025-03-11,433.66,500.1196,415.2,0
2025-03-12,438.6,500.2675,416.92,0
2025-03-13,377.84,511.3536,416.26,1
2025-03-14,394.74,531.7738,416.06,1
2025-03-17,399.34,496.2371,412.84,1
2025-03-18,391.37,518.3767,413.68,1
2025-03-19,387.89,517.0921,391.68,1
2025-03-20,389.61,524.0832,401.73,1
2025-03-21,387.26,510.5066,382.68,0
2025-03-24,394.47,518.7744,378.04,0
2025-03-25,403.64,476.5197,376.92,0
2025-03-26,397.81,542.5456,380.12,0
2025-03-27,396.15,510.7006,382.34,0
2025-03-28,385.71,504.5826,387.55,1
2025-03-31,383.53,442.9863,384.95,1
2025-04-01,383.2,481.9987,385.83,1
2025-04-02,385.78,455.8276,386.88,1
2025-04-03,367.25,463.8789,392.1,1
2025-04-04,349.07,439.6658,378.47,1
2025-04-07,340.7,449.6302,379.31,1
2025-04-08,340.0,527.0391,376.93,1
2025-04-09,364.64,580.3501,382.24,1
2025-04-10,350.05,478.4837,373.38,1
2025-04-11,352.47,491.3054,371.43,1
2025-04-14,350.91,430.8082,363.35,1
2025-04-15,350.38,511.2269,366.99,1
2025-04-16,344.19,491.5474,364.18,1
2025-04-17,348.8,456.4962,361.77,1
2025-04-21,343.22,418.9542,366.45,1
