date,entry_close,pred_close,actual_close,correct
2024-06-10,19.4746,20.7434,18.1739,0
2024-06-11,19.5215,20.3332,17.8246,0
2024-06-12,19.6342,18.4164,17.9379,1
2024-06-13,19.606,20.4464,17.9757,0
2024-06-14,19.2869,19.4591,18.0417,0
2024-06-17,19.5872,19.185,18.2494,1
2024-06-18,19.4277,20.5247,18.6743,0
2024-06-20,18.6018,21.0315,18.2589,0
2024-06-21,19.0241,20.3658,18.3061,0
2024-06-24,19.3995,20.0515,18.7781,0
2024-06-25,19.4277,20.4543,18.9292,0
2024-06-26,19.3338,19.1369,19.2219,1
2024-06-27,18.8646,19.8671,19.1275,1
2024-06-28,18.7332,20.5403,19.3446,1
2024-07-01,18.2076,18.7665,19.5334,1
2024-07-02,18.1701,18.3751,19.9016,1
2024-07-03,18.1137,21.0474,20.7324,1
2024-07-05,18.0293,20.4701,21.1384,1
2024-07-08,18.6018,18.6914,20.6758,1
2024-07-09,18.9303,19.2932,20.874,1
2024-07-10,18.9303,20.8924,20.4398,1
2024-07-11,19.9063,21.2994,20.9213,1
2024-07-12,19.9866,20.0238,19.7789,0
2024-07-15,19.2596,19.1855,19.8733,0
2024-07-16,20.1849,19.1095,19.439,1
2024-07-17,19.354,18.597,19.2124,1
2024-07-18,18.8159,20.8621,19.5212,1
2024-07-19,18.7215,20.4946,19.6731,1
2024-07-22,19.6373,20.3677,20.0056,1
2024-07-23,20.3454,20.533,20.3761,1
2024-07-24,19.6845,20.4727,20.4236,1
2024-07-25,20.0244,20.8688,20.1481,1
2024-07-26,20.5247,20.792,19.5687,0
2024-07-29,21.0629,20.6489,18.7517,1
2024-07-30,20.9873,20.1086,18.5997,1
2024-07-31,20.8174,20.3767,18.7042,1
2024-08-01,19.7978,18.4191,18.8657,1
2024-08-02,18.9575,19.1909,19.3122,1
2024-08-05,18.6743,20.7199,19.0462,1
2024-08-06,19.2219,20.2953,18.8942,0
2024-08-07,18.9481,20.4625,18.6092,0
2024-08-08,19.675,19.4411,18.4857,1
2024-08-09,20.0149,19.2294,18.1818,1
2024-08-12,19.7978,21.1809,18.1248,0
2024-08-13,20.2509,19.8698,18.1058,1
2024-08-14,19.4768,19.6334,18.1343,0
2024-08-15,20.0055,18.654,17.7923,1
2024-08-16,20.4114,21.0715,17.2983,0
2024-08-19,20.1565,18.9129,17.0418,1
2024-08-20,20.2321,20.0435,17.4028,1
2024-08-21,20.5625,20.272,17.2888,1
2024-08-22,20.1376,20.5998,17.5168,0
2024-08-23,20.9307,22.1672,16.9563,0
2024-08-26,21.2234,22.7025,16.5574,0
2024-08-27,21.4311,20.9905,16.4054,1
2024-08-28,20.487,20.2158,16.3579,1
2024-08-29,19.6184,19.8749,16.7284,0
2024-08-30,19.4296,19.6024,17.7448,0
2024-09-03,18.4949,19.6546,16.9943,0
2024-09-04,19.0425,20.2631,17.6498,0
2024-09-05,18.1739,21.2743,18.2767,1
2024-09-06,17.8246,20.6695,18.9322,1
2024-09-09,17.9379,19.601,18.9322,1
2024-09-10,17.9757,21.0554,19.5117,1
2024-09-11,18.0417,21.3817,16.7284,0
2024-09-12,18.2494,19.4482,17.0893,0
2024-09-13,18.6743,19.9474,16.8138,0
2024-09-16,18.2589,22.1906,16.8138,0
2024-09-17,18.3061,19.6136,16.7663,0
2024-09-18,18.7781,21.3905,16.4814,0
2024-09-19,18.9292,19.8036,16.3389,0
2024-09-20,19.2219,20.8965,16.2344,0
2024-09-23,19.1275,19.3483,16.3389,0
2024-09-24,19.3446,22.0776,15.5789,0
2024-09-25,19.5334,18.8772,15.5409,1
2024-09-26,19.9016,18.7857,15.8544,1
2024-09-27,20.7324,19.6146,15.9304,1
2024-09-30,21.1384,20.5993,15.6834,1
2024-10-01,20.6758,18.907,15.7214,1
2024-10-02,20.874,18.7366,15.6359,1
2024-10-03,20.4398,19.4793,15.5789,1
2024-10-04,20.9213,19.6264,15.8354,1
2024-10-07,19.7789,19.4093,16.2724,1
2024-10-08,19.8733,18.7476,16.3199,1
2024-10-09,19.439,20.8438,16.3579,0
2024-10-10,19.2124,20.0702,15.8829,0
2024-10-11,19.5212,20.0452,15.6929,0
2024-10-14,19.6731,19.4304,15.535,1
2024-10-15,20.0056,19.2469,14.8267,1
2024-10-16,20.3761,19.3428,15.2383,1
2024-10-17,20.4236,21.0457,15.4201,0
2024-10-18,20.1481,19.7936,14.9128,1
2024-10-21,19.5687,20.4109,15.3436,0
2024-10-22,18.7517,18.8013,16.5017,0
2024-10-23,18.5997,19.989,16.4443,0
2024-10-24,18.7042,21.1228,16.5975,0
2024-10-25,18.8657,20.7136,16.5496,0
2024-10-28,19.3122,21.4349,16.0614,0
2024-10-29,19.0462,19.7365,15.9274,0
2024-10-30,18.8942,22.2004,15.6977,0
2024-10-31,18.6092,20.2836,15.8413,0
2024-11-01,18.4857,18.9874,15.4488,0
2024-11-04,18.1818,19.7753,14.8362,0
2024-11-05,18.1248,19.8124,15.1043,0
2024-11-06,18.1058,21.5721,15.1425,0
2024-11-07,18.1343,18.7254,15.3627,0
2024-11-08,17.7923,21.2953,14.932,0
2024-11-11,17.2983,20.8067,14.3098,0
2024-11-12,17.0418,18.8765,13.8599,0
2024-11-13,17.4028,21.0599,13.5919,0
2024-11-14,17.2888,20.154,13.7068,0
2024-11-15,17.5168,19.503,13.7451,0
2024-11-18,16.9563,18.4257,14.0897,0
2024-11-19,16.5574,19.8008,13.8216,0
2024-11-20,16.4054,21.3611,13.7738,0
2024-11-21,16.3579,20.6784,13.1803,0
2024-11-22,16.7284,21.7442,13.3048,0
2024-11-25,17.7448,21.5573,12.7879,0
2024-11-26,16.9943,19.4453,12.8645,0
2024-11-27,17.6498,19.4258,12.5295,0
2024-11-29,18.2767,20.2451,12.5295,0
2024-12-02,18.9322,18.962,11.7637,0
2024-12-03,18.9322,19.8426,11.4766,0
2024-12-04,19.5117,21.4016,11.601,0
2024-12-05,16.7284,18.7015,11.7829,0
2024-12-06,17.0893,20.2085,12.2806,0
2024-12-09,16.8138,20.8418,11.5818,0
2024-12-10,16.8138,20.4686,10.998,0
2024-12-11,16.7663,20.5381,10.9597,0
2024-12-12,16.4814,21.7362,10.5098,0
2024-12-13,16.3389,18.8485,10.5864,0
2024-12-16,16.2344,19.5284,11.5148,0
2024-12-17,16.3389,20.5502,11.5914,0
2024-12-18,15.5789,19.1681,11.4,0
2024-12-19,15.5409,20.7932,11.333,0
2024-12-20,15.8544,19.1142,11.601,0
2024-12-23,15.9304,21.4579,12.1753,0
2024-12-24,15.6834,19.3512,11.7159,0
2024-12-26,15.7214,22.1109,11.467,0
2024-12-27,15.6359,18.5492,11.4,0
2024-12-30,15.5789,20.0896,10.931,0
2024-12-31,15.8354,20.8917,11.1224,0
2025-01-02,16.2724,19.132,11.6871,0
2025-01-03,16.3199,18.5212,12.1083,0
2025-01-06,16.3579,17.737,9.9929,0
2025-01-07,15.8829,20.8799,10.4715,0
2025-01-08,15.6929,19.4681,9.9068,0
2025-01-10,15.535,18.1567,9.2368,0
2025-01-13,14.8267,20.6344,10.7874,0
2025-01-14,15.2383,19.964,10.2227,0
2025-01-15,15.4201,18.6534,10.305,0
2025-01-16,14.9128,20.2449,10.3147,0
2025-01-17,15.3436,21.7835,10.0241,0
2025-01-21,16.5017,20.7738,9.9563,0
2025-01-22,16.4443,17.6782,10.4018,0
2025-01-23,16.5975,20.9658,10.3921,0
