date,entry_close,pred_close,actual_close,correct
2024-06-10,30.44,32.8902,39.64,1
2024-06-11,33.8,25.1542,38.44,0
2024-06-12,35.75,21.2871,38.17,0
2024-06-13,33.43,29.3906,37.27,0
2024-06-14,30.9,31.2813,40.24,1
2024-06-17,30.81,23.5687,41.74,0
2024-06-18,30.53,38.2537,44.01,1
2024-06-20,30.14,31.3508,44.06,1
2024-06-21,29.87,32.496,44.0,1
2024-06-24,33.7,28.6299,44.28,0
2024-06-25,32.97,31.2327,44.98,0
2024-06-26,31.41,28.0607,44.93,0
2024-06-27,30.46,28.7705,44.67,0
2024-06-28,30.21,33.3261,44.62,1
2024-07-01,29.83,32.0047,43.24,1
2024-07-02,29.38,36.1224,41.64,1
2024-07-03,28.98,34.3996,41.16,1
2024-07-05,28.55,24.5676,40.82,0
2024-07-08,28.15,36.4556,38.48,1
2024-07-09,28.36,34.5015,39.05,1
2024-07-10,28.17,34.3198,38.5,1
2024-07-11,29.61,31.6918,39.36,1
2024-07-12,29.54,33.1057,38.6,1
2024-07-15,32.1,39.1289,41.15,1
2024-07-16,33.46,34.3903,43.25,1
2024-07-17,32.27,26.142,42.01,0
2024-07-18,30.86,38.0447,47.08,1
2024-07-19,29.96,27.111,49.26,0
2024-07-22,29.63,29.4824,47.86,0
2024-07-23,29.34,27.75,47.97,0
2024-07-24,26.46,39.7695,43.93,1
2024-07-25,26.46,31.3544,44.54,1
2024-07-26,27.1,34.0929,43.65,1
2024-07-29,26.84,32.5518,43.99,1
2024-07-30,27.46,34.1402,41.81,1
2024-07-31,28.29,27.6736,42.03,0
2024-08-01,26.42,32.2994,40.7,1
2024-08-02,25.77,30.9125,42.12,1
2024-08-05,24.56,30.0909,42.87,1
2024-08-06,24.16,26.3938,45.24,1
2024-08-07,24.12,41.3325,43.85,1
2024-08-08,25.215,27.8578,43.22,1
2024-08-09,25.44,32.2278,43.69,1
2024-08-12,25.17,29.0932,45.6,1
2024-08-13,26.25,37.8983,50.0,1
