date,entry_close,pred_close,actual_close,correct
2024-06-10,4.71,4.8725,4.73,1
2024-06-11,5.22,4.5386,4.98,1
2024-06-12,4.91,5.6976,5.01,1
2024-06-13,5.2,7.8269,4.95,0
2024-06-14,4.99,4.5301,4.95,1
2024-06-17,4.89,3.6256,4.9,0
2024-06-18,4.86,4.5663,4.96,0
2024-06-20,4.81,4.2702,4.85,0
2024-06-21,4.55,4.2761,4.82,0
2024-06-24,4.57,4.6992,4.78,1
2024-06-25,4.53,4.0983,4.71,0
2024-06-26,4.68,4.853,4.76,1
2024-06-27,4.78,4.4265,4.66,1
2024-06-28,4.98,4.3273,4.52,1
2024-07-01,5.04,4.6088,4.38,1
2024-07-02,5.21,4.0669,4.54,1
2024-07-03,5.03,4.0966,4.5,1
2024-07-05,5.05,3.8195,4.55,1
2024-07-08,5.47,4.2642,4.4,1
2024-07-09,5.46,4.1924,4.37,1
2024-07-10,5.21,4.8226,4.43,1
2024-07-11,5.22,4.7108,4.4,1
2024-07-12,5.26,3.9516,4.18,1
2024-07-15,5.33,4.6618,4.17,1
2024-07-16,5.47,4.4407,4.07,1
2024-07-17,5.42,4.2093,4.19,1
2024-07-18,5.1,3.8746,4.17,1
2024-07-19,5.01,3.576,4.12,1
2024-07-22,5.28,4.5512,4.15,1
2024-07-23,5.08,5.4225,4.23,0
2024-07-24,4.69,4.0192,4.22,1
2024-07-25,5.14,3.8829,4.36,1
2024-07-26,5.18,4.2289,4.29,1
2024-07-29,5.17,3.675,4.34,1
2024-07-30,5.11,4.3733,4.24,1
2024-07-31,5.31,4.5343,4.36,1
2024-08-01,5.12,4.0294,4.32,1
2024-08-02,4.94,4.1274,4.44,1
2024-08-05,4.95,4.3077,4.44,1
2024-08-06,5.08,4.3928,4.56,1
2024-08-07,4.82,3.9759,4.39,1
2024-08-08,5.08,4.2259,4.51,1
2024-08-09,5.0,3.4954,4.35,1
2024-08-12,5.04,4.1445,4.39,1
2024-08-13,5.15,4.9654,4.58,1
2024-08-14,5.12,5.096,4.3,1
2024-08-15,5.13,4.7133,4.27,1
2024-08-16,4.99,4.3019,4.49,1
2024-08-19,5.01,6.0407,4.56,0
2024-08-20,5.0,4.5063,4.56,1
2024-08-21,5.01,6.1907,4.57,0
2024-08-22,4.92,5.6824,4.48,0
2024-08-23,5.05,4.9192,4.36,1
2024-08-26,5.05,5.0669,4.34,0
2024-08-27,4.99,5.6554,4.44,0
2024-08-28,4.74,5.157,4.49,0
2024-08-29,4.82,4.8498,4.55,0
2024-08-30,4.82,5.4716,4.86,1
2024-09-03,4.63,5.719,4.8,1
2024-09-04,4.7,4.2171,4.97,0
2024-09-05,4.73,6.1092,4.95,1
2024-09-06,4.98,4.6584,5.04,0
2024-09-09,5.01,3.066,4.86,1
2024-09-10,4.95,5.078,4.91,0
2024-09-11,4.95,4.551,5.2,0
2024-09-12,4.9,4.3531,4.73,1
2024-09-13,4.96,4.0275,4.51,1
