date,entry_close,pred_close,actual_close,correct
2024-06-10,288.7475,263.8954,309.4981,0
2024-06-11,284.9381,247.8603,305.8722,0
2024-06-12,285.2983,266.9446,310.9866,0
2024-06-13,282.8535,258.9904,313.8587,0
2024-06-14,282.9672,260.9135,314.8606,0
2024-06-17,287.3829,252.6167,314.9369,0
2024-06-18,289.9508,271.9178,317.2174,0
2024-06-20,293.6464,255.0676,319.8987,0
2024-06-21,292.0071,240.0363,317.5514,0
2024-06-24,301.4735,272.9728,317.6659,0
2024-06-25,302.5726,261.3833,320.5571,0
2024-06-26,296.4229,275.3979,321.9215,0
2024-06-27,297.2473,263.4108,320.2326,0
2024-06-28,296.0722,268.9444,315.7575,0
2024-07-01,294.7077,253.0841,298.525,0
2024-07-02,294.4803,257.2936,304.4791,0
2024-07-03,293.1632,256.5581,307.8855,0
2024-07-05,294.5846,271.3806,307.4466,0
2024-07-08,295.1341,273.7867,305.6432,0
2024-07-09,299.3509,251.9745,305.0802,0
2024-07-10,304.809,259.513,302.9333,1
2024-07-11,308.0497,247.1833,305.0134,1
2024-07-12,313.4888,263.1238,302.9047,1
2024-07-15,312.8445,278.8951,303.1241,1
2024-07-16,315.6777,253.2929,307.6374,1
2024-07-17,318.0752,264.7682,306.3016,1
2024-07-18,313.6216,269.6788,313.3053,1
2024-07-19,313.9247,257.5755,309.7462,1
2024-07-22,318.3593,266.8872,310.1946,1
2024-07-23,315.7725,261.8156,306.8932,1
2024-07-24,318.0182,272.9848,306.6069,1
2024-07-25,316.7769,269.3349,306.9218,1
2024-07-26,317.2981,268.4218,302.2272,1
2024-07-29,315.0808,273.4304,305.0134,1
2024-07-30,315.8105,267.7356,300.4715,1
2024-07-31,315.0428,259.3312,301.2253,1
2024-08-01,317.9425,275.4755,302.4562,1
2024-08-02,316.4832,273.9505,302.6375,1
2024-08-05,308.1729,255.3189,301.5211,1
2024-08-06,311.7074,258.9956,301.0822,1
2024-08-07,296.1197,270.7692,305.4905,0
2024-08-08,307.6707,275.0629,304.5936,1
2024-08-09,305.5859,265.8641,302.3894,1
2024-08-12,303.2265,277.0976,304.6604,0
2024-08-13,306.4957,270.9741,307.0459,0
2024-08-14,305.8135,273.2138,307.1603,0
2024-08-15,308.334,286.6712,310.3759,0
2024-08-16,306.7119,280.5103,307.0649,0
2024-08-19,312.9427,283.0987,285.1474,1
2024-08-20,313.4961,283.0186,287.6283,1
2024-08-21,314.0686,265.3671,282.3707,1
2024-08-22,309.6603,273.677,270.6152,1
2024-08-23,313.7346,290.9757,268.1145,1
2024-08-26,311.8072,277.0872,269.2591,1
2024-08-27,311.9503,287.1447,276.8766,1
2024-08-28,314.393,289.0487,278.8291,1
2024-08-29,315.8434,281.466,283.2823,1
2024-08-30,318.5341,274.7177,282.7725,1
2024-09-03,315.3663,277.4257,269.3168,1
2024-09-04,315.4903,274.9868,269.3745,1
2024-09-05,309.4981,278.2809,272.0676,1
2024-09-06,305.8722,260.8826,267.4797,1
2024-09-09,310.9866,286.3439,267.6913,1
2024-09-10,313.8587,288.7662,267.6336,1
2024-09-11,314.8606,290.7672,263.8537,1
2024-09-12,314.9369,275.7295,262.1705,1
2024-09-13,317.2174,293.6648,267.0277,1
2024-09-16,319.8987,286.0362,265.2195,1
2024-09-17,317.5514,295.0597,262.9688,1
2024-09-18,317.6659,297.5025,263.594,1
2024-09-19,320.5571,288.1145,260.2853,1
2024-09-20,321.9215,288.1764,256.3227,1
2024-09-23,320.2326,303.8245,255.7937,1
2024-09-24,315.7575,279.3956,248.8975,1
2024-09-25,298.525,284.2391,251.2155,1
2024-09-26,304.4791,291.5367,253.3218,1
2024-09-27,307.8855,276.6394,253.9182,1
2024-09-30,307.4466,301.434,254.3895,1
2024-10-01,305.6432,303.2367,253.1295,1
2024-10-02,305.0802,282.2729,252.6197,1
2024-10-03,302.9333,279.3696,249.3976,1
2024-10-04,305.0134,265.1998,250.6865,1
2024-10-07,302.9047,267.6437,249.3784,1
2024-10-08,303.1241,285.5638,251.2444,1
2024-10-09,307.6374,290.8094,248.7148,1
2024-10-10,306.3016,302.5515,252.0523,1
2024-10-11,313.3053,306.7144,254.1202,1
2024-10-14,309.7462,280.3885,252.2158,1
2024-10-15,310.1946,293.8252,259.8718,1
2024-10-16,306.8932,302.3617,256.8998,1
2024-10-17,306.6069,309.4161,258.6695,0
2024-10-18,306.9218,299.0362,259.1408,1
2024-10-21,302.2272,299.2972,261.7185,1
2024-10-22,305.0134,301.6068,264.3154,1
2024-10-23,300.4715,289.1154,262.9977,1
2024-10-24,301.2253,294.0129,267.2681,1
2024-10-25,302.4562,278.4058,264.9021,1
2024-10-28,302.6375,301.1814,272.1445,1
2024-10-29,301.5211,294.7495,269.5957,1
2024-10-30,301.0822,290.3909,270.923,1
2024-10-31,305.4905,291.2261,273.1736,1
2024-11-01,304.5936,296.0576,274.5202,1
2024-11-04,302.3894,292.3726,277.8384,1
2024-11-05,304.6604,289.1447,277.9827,1
2024-11-06,307.0459,291.2684,296.0551,1
2024-11-07,307.1603,298.9406,286.4082,1
2024-11-08,310.3759,292.8163,282.3301,1
2024-11-11,307.0649,292.0296,283.5323,1
