date,entry_close,pred_close,actual_close,correct
2024-06-10,8.2,22.3781,8.03,0
2024-06-11,8.36,24.6594,7.93,0
2024-06-12,8.12,23.5717,7.93,0
2024-06-13,7.86,15.5092,8.03,1
2024-06-14,7.82,24.0085,8.21,1
2024-06-17,7.88,27.8786,8.51,1
2024-06-18,7.36,16.642,9.34,1
2024-06-20,7.74,15.1009,9.51,1
2024-06-21,7.4,20.6691,10.15,1
2024-06-24,8.1,18.4426,9.83,1
2024-06-25,8.12,22.504,9.92,1
2024-06-26,7.26,21.896,10.0,1
2024-06-27,7.5,20.4241,10.15,1
2024-06-28,6.5,21.391,10.75,1
2024-07-01,5.0,20.8932,9.8,1
2024-07-02,5.9,15.266,9.46,1
2024-07-03,6.0,23.4529,9.5,1
2024-07-05,6.24,21.6267,9.48,1
2024-07-08,6.46,15.2412,9.25,1
2024-07-09,6.48,22.4346,9.21,1
2024-07-10,6.66,15.6006,9.07,1
2024-07-11,8.16,17.9729,9.36,1
2024-07-12,7.52,20.8084,9.62,1
2024-07-15,7.45,17.7941,9.94,1
2024-07-16,9.55,26.1581,10.04,1
2024-07-17,8.54,17.1325,10.09,1
2024-07-18,8.02,22.2683,10.22,1
2024-07-19,7.77,20.5035,10.07,1
2024-07-22,8.7,19.183,10.16,1
2024-07-23,9.33,16.9099,10.26,1
2024-07-24,8.71,20.994,10.19,1
2024-07-25,8.35,18.9552,10.34,1
2024-07-26,8.84,17.4396,10.17,1
2024-07-29,8.42,14.4108,10.11,1
2024-07-30,8.39,26.1056,9.97,1
2024-07-31,8.01,24.2631,10.1,1
2024-08-01,11.23,13.0576,9.41,0
2024-08-02,11.05,12.2163,9.93,0
2024-08-05,9.56,12.4641,9.64,1
2024-08-06,8.43,14.9211,9.65,1
2024-08-07,7.94,13.5309,9.16,1
2024-08-08,8.24,22.7564,9.0,1
2024-08-09,8.44,23.8742,9.12,1
2024-08-12,8.44,15.3295,8.91,1
2024-08-13,8.23,18.7927,8.91,1
2024-08-14,7.9,15.4463,8.98,1
2024-08-15,8.22,14.6799,8.79,1
2024-08-16,8.66,16.8349,9.06,1
2024-08-19,8.61,14.5294,8.85,1
2024-08-20,8.73,13.181,8.73,0
2024-08-21,8.82,14.171,8.55,0
2024-08-22,8.4,15.363,8.36,0
2024-08-23,9.02,11.1879,7.91,0
2024-08-26,8.89,14.6915,7.96,0
2024-08-27,8.25,11.4788,7.84,0
2024-08-28,7.87,10.3339,8.01,1
2024-08-29,8.17,12.2378,8.1,0
2024-08-30,8.3,15.1494,9.31,1
2024-09-03,7.81,11.6818,9.0,1
2024-09-04,7.79,12.8924,9.11,1
2024-09-05,8.03,14.2263,9.57,1
2024-09-06,7.93,12.0977,9.22,1
2024-09-09,7.93,9.2733,9.09,1
2024-09-10,8.03,15.4265,9.85,1
2024-09-11,8.21,8.6933,9.35,1
2024-09-12,8.51,10.4243,9.5,1
2024-09-13,9.34,9.8778,9.73,1
2024-09-16,9.51,11.9263,9.57,1
2024-09-17,10.15,7.5317,9.44,1
2024-09-18,9.83,12.1089,8.97,0
2024-09-19,9.92,9.8675,9.3,1
2024-09-20,10.0,9.8474,8.73,1
2024-09-23,10.15,10.4019,8.45,0
2024-09-24,10.75,13.2047,7.86,0
2024-09-25,9.8,11.1816,7.84,0
2024-09-26,9.46,13.2906,7.87,0
2024-09-27,9.5,9.6552,7.44,0
2024-09-30,9.48,10.3299,7.63,0
2024-10-01,9.25,12.3911,7.7,0
2024-10-02,9.21,8.5612,7.8,1
2024-10-03,9.07,10.3035,7.47,0
2024-10-04,9.36,16.6443,7.25,0
2024-10-07,9.62,11.9314,7.04,0
2024-10-08,9.94,10.5509,7.48,0
2024-10-09,10.04,8.9399,7.55,1
2024-10-10,10.09,9.0326,7.4,1
2024-10-11,10.22,13.5432,7.29,0
2024-10-14,10.07,11.6789,7.22,0
2024-10-15,10.16,12.2159,8.58,0
2024-10-16,10.26,9.9724,7.98,1
2024-10-17,10.19,7.882,8.43,1
2024-10-18,10.34,9.9331,9.6,1
2024-10-21,10.17,11.0171,9.55,0
2024-10-22,10.11,8.9465,10.98,0
2024-10-23,9.97,8.9518,10.29,0
2024-10-24,10.1,11.3272,10.97,1
2024-10-25,9.41,10.0,11.0,1
2024-10-28,9.93,13.2116,10.65,1
2024-10-29,9.64,11.4023,10.69,1
2024-10-30,9.65,9.1252,11.0,0
2024-10-31,9.16,11.0238,11.63,1
2024-11-01,9.0,8.663,10.78,0
2024-11-04,9.12,10.2621,10.79,1
2024-11-05,8.91,10.8242,10.97,1
2024-11-06,8.91,12.71,11.03,1
2024-11-07,8.98,9.5267,11.47,1
2024-11-08,8.79,12.0157,11.36,1
2024-11-11,9.06,12.8605,11.43,1
2024-11-12,8.85,8.8284,11.47,0
2024-11-13,8.73,11.0714,12.35,1
2024-11-14,8.55,10.2164,11.73,1
2024-11-15,8.36,10.138,12.16,1
2024-11-18,7.91,9.0743,11.9,1
2024-11-19,7.96,10.4059,12.49,1
2024-11-20,7.84,10.0327,12.06,1
2024-11-21,8.01,7.4381,11.74,0
2024-11-22,8.1,8.5793,11.17,1
2024-11-25,9.31,11.2001,10.39,1
2024-11-26,9.0,11.0657,10.14,1
2024-11-27,9.11,7.9933,10.01,0
2024-11-29,9.57,8.303,9.96,0
2024-12-02,9.22,7.8567,8.75,1
2024-12-03,9.09,8.7339,8.7,1
2024-12-04,9.85,10.2845,8.75,0
2024-12-05,9.35,9.1023,8.55,1
2024-12-06,9.5,10.2065,8.33,0
2024-12-09,9.73,9.0085,8.04,1
2024-12-10,9.57,9.5228,8.14,1
2024-12-11,9.44,8.7344,8.14,1
2024-12-12,8.97,12.1427,7.89,0
2024-12-13,9.3,9.6399,7.96,0
2024-12-16,8.73,10.7399,8.2,0
2024-12-17,8.45,9.2825,7.87,0
2024-12-18,7.86,9.9347,7.93,1
2024-12-19,7.84,10.4287,7.8,0
2024-12-20,7.87,8.8918,7.81,0
2024-12-23,7.44,8.5605,8.15,1
2024-12-24,7.63,10.0481,7.9,1
2024-12-26,7.7,8.2994,7.87,1
2024-12-27,7.8,9.542,8.09,1
2024-12-30,7.47,11.8228,7.82,1
2024-12-31,7.25,9.3555,7.88,1
2025-01-02,7.04,7.4961,7.17,1
2025-01-03,7.48,8.3244,7.15,0
2025-01-06,7.55,10.5649,6.81,0
2025-01-07,7.4,8.8805,6.59,0
2025-01-08,7.29,7.9957,6.54,0
2025-01-10,7.22,9.3147,6.23,0
2025-01-13,8.58,7.8396,7.17,1
2025-01-14,7.98,8.2492,7.25,0
2025-01-15,8.43,10.0495,7.06,0
2025-01-16,9.6,8.9388,7.18,1
2025-01-17,9.55,9.3155,7.11,1
2025-01-21,10.98,8.9484,7.02,1
2025-01-22,10.29,9.9542,6.98,1
2025-01-23,10.97,9.6118,7.16,1
2025-01-24,11.0,8.6029,7.8,1
2025-01-27,10.65,7.7233,7.71,1
2025-01-28,10.69,8.8101,7.84,1
2025-01-29,11.0,9.1758,7.72,1
2025-01-30,11.63,8.5346,7.25,1
2025-01-31,10.78,8.7015,7.3,1
2025-02-03,10.79,8.6185,7.33,1
2025-02-04,10.97,10.4091,6.19,1
2025-02-05,11.03,8.7713,7.41,1
2025-02-06,11.47,7.5311,7.31,1
2025-02-07,11.36,8.7005,6.79,1
2025-02-10,11.43,9.6451,6.78,1
2025-02-11,11.47,8.7638,6.96,1
2025-02-12,12.35,9.1824,6.84,1
2025-02-13,11.73,8.6051,7.21,1
2025-02-14,12.16,10.0364,7.6,1
2025-02-18,11.9,9.2252,7.13,1
2025-02-19,12.49,9.5228,7.48,1
2025-02-20,12.06,8.6353,7.4,1
2025-02-21,11.74,8.2924,7.29,1
2025-02-24,11.17,8.9849,7.55,1
2025-02-25,10.39,8.5852,7.44,1
2025-02-26,10.14,7.776,7.4,1
2025-02-27,10.01,9.0782,7.42,1
2025-02-28,9.96,9.6098,6.99,1
2025-03-03,8.75,8.236,6.99,1
2025-03-04,8.7,9.0253,6.91,0
2025-03-05,8.75,9.4264,6.74,0
2025-03-06,8.55,8.1544,6.58,1
2025-03-07,8.33,10.0647,6.91,0
2025-03-10,8.04,9.101,6.92,0
2025-03-11,8.14,9.0704,6.92,0
2025-03-12,8.14,8.4853,6.96,0
2025-03-13,7.89,9.5972,7.09,0
2025-03-14,7.96,8.8561,7.37,0
2025-03-17,8.2,8.861,7.18,0
2025-03-18,7.87,8.2072,7.16,0
2025-03-19,7.93,9.4108,6.78,0
2025-03-20,7.8,8.5572,6.93,0
2025-03-21,7.81,8.4192,6.69,0
2025-03-24,8.15,7.8219,6.81,1
2025-03-25,7.9,8.4623,6.75,0
2025-03-26,7.87,8.8848,6.73,0
2025-03-27,8.09,8.3712,7.29,0
2025-03-28,7.82,8.107,7.41,0
2025-03-31,7.88,9.0009,7.56,0
2025-04-01,7.17,8.8887,7.94,1
2025-04-02,7.15,7.6828,8.89,1
2025-04-03,6.81,9.6353,8.4,1
2025-04-04,6.59,9.5789,8.59,1
2025-04-07,6.54,8.1998,8.51,1
2025-04-08,6.23,7.9551,8.16,1
2025-04-09,7.17,8.7424,8.49,1
2025-04-10,7.25,9.2233,8.63,1
2025-04-11,7.06,10.5556,8.39,1
2025-04-14,7.18,9.2838,8.4,1
2025-04-15,7.11,7.7659,8.08,1
2025-04-16,7.02,9.4945,8.0,1
2025-04-17,6.98,9.6325,8.27,1
2025-04-21,7.16,8.6844,8.04,1
2025-04-22,7.8,8.2613,8.07,1
2025-04-23,7.71,8.3115,8.02,1
2025-04-24,7.84,9.1981,8.18,1
2025-04-25,7.72,9.1221,8.59,1
2025-04-28,7.25,8.8132,8.7,1
2025-04-29,7.3,8.4991,8.96,1
2025-04-30,7.33,9.0401,8.72,1
2025-05-01,6.19,7.9653,8.26,1
2025-05-02,7.41,8.0241,7.51,1
2025-05-05,7.31,8.4416,7.35,1
2025-05-06,6.79,7.7004,7.01,1
2025-05-07,6.78,9.055,7.04,1
2025-05-08,6.96,7.7698,8.48,1
2025-05-09,6.84,7.9014,7.86,1
2025-05-12,7.21,9.7938,7.36,1
2025-05-13,7.6,9.0326,7.28,0
2025-05-14,7.13,8.8522,7.17,1
2025-05-15,7.48,8.9524,7.06,0
2025-05-16,7.4,8.4773,7.19,0
2025-05-19,7.29,8.7787,7.27,0
2025-05-20,7.55,8.8388,7.15,0
2025-05-21,7.44,7.6073,7.25,0
2025-05-22,7.4,10.4714,7.1,0
2025-05-23,7.42,10.3123,6.85,0
2025-05-27,6.99,8.9919,6.98,0
2025-05-28,6.99,8.2607,7.15,1
2025-05-29,6.91,7.7152,6.97,1
2025-05-30,6.74,10.3494,7.0,1
2025-06-02,6.58,9.174,6.95,1
2025-06-03,6.91,9.3423,6.97,1
2025-06-04,6.92,9.0138,6.9,0
2025-06-05,6.92,10.084,6.75,0
2025-06-06,6.96,9.3573,6.96,0
2025-06-09,7.09,7.9855,6.72,0
2025-06-10,7.37,9.6181,6.98,0
2025-06-11,7.18,8.7245,6.91,0
2025-06-12,7.16,8.1625,6.87,0
2025-06-13,6.78,9.5856,6.55,0
2025-06-16,6.93,10.6318,6.75,0
2025-06-17,6.69,9.2848,6.64,0
2025-06-18,6.81,8.1471,6.56,0
2025-06-20,6.75,8.7687,6.53,0
2025-06-23,6.73,8.6083,6.49,0
2025-06-24,7.29,8.8552,6.55,0
2025-06-25,7.41,9.9889,6.42,0
2025-06-26,7.56,9.6526,6.49,0
2025-06-27,7.94,8.6888,6.3,0
2025-06-30,8.89,7.1254,6.27,1
2025-07-01,8.4,7.7709,6.12,1
2025-07-02,8.59,8.8632,6.2,0
2025-07-03,8.51,7.606,6.22,1
2025-07-07,8.16,7.4897,6.15,1
2025-07-08,8.49,7.3897,6.18,1
2025-07-09,8.63,8.42,6.12,1
2025-07-10,8.39,8.3105,6.33,1
2025-07-11,8.4,8.6538,6.29,0
2025-07-14,8.08,9.2717,6.04,0
2025-07-15,8.0,7.7618,6.26,1
2025-07-16,8.27,8.3043,6.2,0
2025-07-17,8.04,8.6576,5.82,0
2025-07-18,8.07,8.3196,5.83,0
2025-07-21,8.02,8.2158,5.93,0
2025-07-22,8.18,8.2344,5.94,0
2025-07-23,8.59,8.2878,5.68,1
2025-07-24,8.7,9.1902,5.45,0
2025-07-25,8.96,9.4721,5.61,0
2025-07-28,8.72,7.8525,5.6,1
2025-07-29,8.26,7.1811,5.39,1
2025-07-30,7.51,7.6174,5.51,0
2025-07-31,7.35,7.4834,5.57,0
2025-08-01,7.01,7.3059,5.52,0
2025-08-04,7.04,7.1753,5.34,0
2025-08-05,8.48,7.6879,5.32,1
2025-08-06,7.86,8.324,5.15,0
2025-08-07,7.36,7.5199,5.22,0
2025-08-08,7.28,7.4862,5.09,0
2025-08-11,7.17,8.8444,5.05,0
2025-08-12,7.06,7.2744,4.57,0
2025-08-13,7.19,8.5366,4.09,0
2025-08-14,7.27,6.799,4.21,1
2025-08-15,7.15,7.602,4.04,0
2025-08-18,7.25,7.9699,3.9,0
2025-08-19,7.1,7.9276,4.11,0
2025-08-20,6.85,8.5162,3.99,0
2025-08-21,6.98,8.7016,4.05,0
2025-08-22,7.15,8.0166,3.96,0
2025-08-25,6.97,8.3337,4.02,0
2025-08-26,7.0,7.9412,3.93,0
2025-08-27,6.95,7.6712,3.78,0
2025-08-28,6.97,7.8196,3.84,0
2025-08-29,6.9,7.8983,3.97,0
2025-09-02,6.75,7.3252,4.05,0
2025-09-03,6.96,7.8955,4.11,0
2025-09-04,6.72,7.3882,4.23,0
2025-09-05,6.98,8.0214,4.01,0
2025-09-08,6.91,8.2104,4.07,0
2025-09-09,6.87,8.188,4.08,0
2025-09-10,6.55,7.8394,4.12,0
2025-09-11,6.75,7.663,4.01,0
2025-09-12,6.64,7.8162,3.96,0
2025-09-15,6.56,8.7137,4.04,0
2025-09-16,6.53,8.4058,4.1,0
2025-09-17,6.49,8.0021,4.35,0
2025-09-18,6.55,7.4343,4.61,0
2025-09-19,6.42,7.423,4.7,0
2025-09-22,6.49,8.4262,4.7,0
2025-09-23,6.3,7.3287,4.7,0
2025-09-24,6.27,8.658,4.73,0
2025-09-25,6.12,8.0661,4.66,0
2025-09-26,6.2,6.837,4.45,0
2025-09-29,6.22,7.7334,4.56,0
2025-09-30,6.15,7.4439,4.59,0
2025-10-01,6.18,6.9592,4.55,0
2025-10-02,6.12,7.6788,4.58,0
2025-10-03,6.33,7.9587,4.8,0
2025-10-06,6.29,6.5345,4.91,0
2025-10-07,6.04,7.9327,4.85,0
2025-10-08,6.26,7.4722,5.21,0
2025-10-09,6.2,7.1825,5.33,0
2025-10-10,5.82,7.2377,5.16,0
