date,entry_close,pred_close,actual_close,correct
2024-06-10,187.06,164.7234,177.89,1
2024-06-11,187.23,163.3324,171.39,1
2024-06-12,186.89,169.9012,175.4,1
2024-06-13,183.83,163.2302,179.55,1
2024-06-14,183.66,160.7218,184.52,0
2024-06-17,184.06,175.7028,187.0,0
2024-06-18,182.81,170.1174,186.49,0
2024-06-20,186.1,166.1833,184.89,1
2024-06-21,189.08,168.2881,186.88,1
2024-06-24,185.57,173.6139,186.43,0
2024-06-25,186.34,164.7222,189.87,0
2024-06-26,193.61,136.0475,191.6,1
2024-06-27,197.85,150.6513,193.88,1
2024-06-28,193.25,167.4377,193.96,0
2024-07-01,197.2,154.4682,192.53,1
2024-07-02,200.0,149.1698,191.16,1
2024-07-03,197.59,159.6426,187.97,1
2024-07-05,200.0,148.5575,186.33,1
2024-07-08,199.29,161.7162,185.13,1
2024-07-09,199.34,164.0778,184.76,1
2024-07-10,199.79,147.0172,181.96,1
2024-07-11,195.05,166.3307,186.51,1
2024-07-12,194.49,177.3118,180.8,1
2024-07-15,192.72,142.1628,182.72,1
2024-07-16,193.02,172.1073,185.17,1
2024-07-17,187.93,171.4967,186.65,1
2024-07-18,183.75,165.0114,188.82,0
2024-07-19,183.13,165.6779,187.54,0
2024-07-22,182.55,173.1821,187.69,0
2024-07-23,186.41,174.298,186.89,0
2024-07-24,180.83,161.906,187.53,0
2024-07-25,179.85,172.742,188.99,0
2024-07-26,182.5,164.0453,189.07,0
2024-07-29,183.2,168.2096,189.7,0
2024-07-30,181.71,170.3403,184.71,0
2024-07-31,186.98,174.4563,186.38,1
2024-08-01,184.07,163.7736,187.83,0
2024-08-02,167.9,165.5902,188.39,0
2024-08-05,161.02,176.9509,190.83,1
2024-08-06,161.93,173.657,192.73,1
2024-08-07,162.77,171.0411,186.4,1
2024-08-08,165.8,178.7121,197.93,1
2024-08-09,166.94,178.0429,195.78,1
2024-08-12,166.8,161.9011,199.5,0
2024-08-13,170.23,179.0239,207.09,1
2024-08-14,170.1,160.1822,210.05,0
2024-08-15,177.59,150.6472,208.18,0
2024-08-16,177.06,182.0435,206.84,1
2024-08-19,178.22,173.3855,208.91,0
2024-08-20,178.88,177.8696,214.1,0
2024-08-21,180.11,177.0689,211.48,0
2024-08-22,176.13,175.1124,202.61,0
2024-08-23,177.04,192.8699,201.7,1
2024-08-26,175.5,166.4296,204.61,0
2024-08-27,173.12,172.9729,202.88,0
2024-08-28,170.8,181.9228,198.38,1
2024-08-29,172.12,173.5657,197.12,1
2024-08-30,178.5,177.6947,201.45,0
2024-09-03,176.25,176.6681,207.86,1
2024-09-04,173.33,177.841,205.74,1
2024-09-05,177.89,176.8696,207.89,0
2024-09-06,171.39,177.9758,210.71,1
2024-09-09,175.4,177.0899,213.44,1
2024-09-10,179.55,173.761,218.16,0
2024-09-11,184.52,175.721,220.55,0
2024-09-12,187.0,178.5097,227.03,0
2024-09-13,186.49,169.9416,226.09,0
2024-09-16,184.89,179.235,225.04,0
2024-09-17,186.88,156.8232,230.26,0
2024-09-18,186.43,169.1735,228.97,0
2024-09-19,189.87,174.1798,227.46,0
2024-09-20,191.6,172.1467,232.93,0
2024-09-23,193.88,171.2371,231.15,0
2024-09-24,193.96,178.6665,220.52,0
2024-09-25,192.53,167.4883,223.29,0
2024-09-26,191.16,168.7348,224.92,0
2024-09-27,187.97,184.9377,225.06,0
2024-09-30,186.33,158.6138,229.05,0
2024-10-01,185.13,153.3561,227.05,0
2024-10-02,184.76,178.0459,223.75,0
2024-10-03,181.96,165.5038,221.3,0
2024-10-04,186.51,172.1204,219.39,0
2024-10-07,180.8,169.6748,220.22,0
2024-10-08,182.72,177.7919,224.19,0
2024-10-09,185.17,163.3949,227.61,0
2024-10-10,186.65,177.3031,222.11,0
2024-10-11,188.82,178.4152,222.13,0
2024-10-14,187.54,182.1436,218.94,0
2024-10-15,187.69,180.6529,218.46,0
2024-10-16,186.89,168.4626,217.76,0
2024-10-17,187.53,191.5016,223.35,1
2024-10-18,188.99,186.8442,220.66,0
2024-10-21,189.07,174.2083,225.94,0
2024-10-22,189.7,178.4684,230.71,0
2024-10-23,184.71,184.6231,235.01,0
2024-10-24,186.38,185.3577,235.42,0
2024-10-25,187.83,190.941,234.85,1
2024-10-28,188.39,168.6278,235.42,0
2024-10-29,190.83,190.0538,238.15,0
2024-10-30,192.73,176.6887,237.07,0
2024-10-31,186.4,179.0586,234.64,0
2024-11-01,197.93,187.0531,237.68,0
2024-11-04,195.78,182.8448,237.42,0
2024-11-05,199.5,180.4652,242.06,0
2024-11-06,207.09,182.0366,236.17,0
2024-11-07,210.05,191.2147,238.83,0
2024-11-08,208.18,190.7189,229.15,0
2024-11-11,206.84,182.0557,233.14,0
2024-11-12,208.91,191.8405,232.76,0
2024-11-13,214.1,186.9297,228.93,0
2024-11-14,211.48,177.3541,230.37,0
2024-11-15,202.61,183.2209,228.68,0
2024-11-18,201.7,192.7524,226.65,0
2024-11-19,204.61,188.1662,226.63,0
2024-11-20,202.88,182.4668,222.88,0
2024-11-21,198.38,188.2536,216.58,0
2024-11-22,197.12,189.9374,212.71,0
2024-11-25,201.45,184.2685,212.8,0
2024-11-26,207.86,182.6122,214.35,0
2024-11-27,205.74,180.7426,208.74,0
2024-11-29,207.89,181.6419,212.28,0
2024-12-02,210.71,180.9226,205.02,1
2024-12-03,213.44,187.7093,203.8,1
2024-12-04,218.16,192.9314,208.36,1
2024-12-05,220.55,174.3231,200.7,1
2024-12-06,227.03,183.0552,199.25,1
2024-12-09,226.09,196.7738,194.54,1
2024-12-10,225.04,176.3621,196.59,1
2024-12-11,230.26,190.5441,198.89,1
2024-12-12,228.97,171.8317,193.89,1
2024-12-13,227.46,184.9049,197.95,1
2024-12-16,232.93,201.3477,195.74,1
2024-12-17,231.15,169.0942,192.82,1
2024-12-18,220.52,187.077,195.54,1
2024-12-19,223.29,174.9164,194.95,1
2024-12-20,224.92,181.3724,196.21,1
2024-12-23,225.06,165.6422,203.26,1
2024-12-24,229.05,189.3182,205.71,1
2024-12-26,227.05,189.0855,201.13,1
2024-12-27,223.75,172.049,201.36,1
2024-12-30,221.3,181.2221,192.72,1
2024-12-31,219.39,171.3775,190.26,1
2025-01-02,220.22,181.5733,192.17,1
2025-01-03,224.19,185.405,196.01,1
2025-01-06,227.61,185.1416,178.41,1
2025-01-07,222.11,192.6128,171.0,1
2025-01-08,222.13,191.0733,175.26,1
2025-01-10,218.94,183.6817,170.66,1
2025-01-13,218.46,196.6512,191.1,1
2025-01-14,217.76,204.6117,181.22,1
2025-01-15,223.35,183.727,184.87,1
2025-01-16,220.66,204.6149,182.12,1
2025-01-17,225.94,192.4722,179.59,1
2025-01-21,230.71,195.5074,174.33,1
2025-01-22,235.01,186.9412,172.61,1
2025-01-23,235.42,202.8799,167.32,1
2025-01-24,234.85,186.5248,173.18,1
