date,entry_close,pred_close,actual_close,correct
2024-06-10,185.13,113.9082,137.83,1
2024-06-11,185.79,106.9807,130.93,1
2024-06-12,192.34,102.0042,133.26,1
2024-06-13,190.82,87.8232,129.86,1
2024-06-14,186.06,86.9812,131.21,1
2024-06-17,185.89,99.5708,137.54,1
2024-06-18,185.28,90.7594,142.19,1
2024-06-20,175.56,110.0314,134.62,1
2024-06-21,174.5,110.9923,134.41,1
2024-06-24,169.91,104.7912,135.45,1
2024-06-25,173.24,115.5293,139.32,1
2024-06-26,173.42,104.8194,141.8,1
2024-06-27,172.53,107.4373,140.65,1
2024-06-28,177.84,104.4163,142.1,1
2024-07-01,184.59,109.5358,137.73,1
2024-07-02,183.36,121.7749,137.93,1
2024-07-03,179.75,116.9013,144.5,1
2024-07-05,171.54,72.8972,139.9,1
2024-07-08,178.53,95.233,135.73,1
2024-07-09,179.24,99.4855,133.72,1
2024-07-10,174.1,96.1671,134.12,1
2024-07-11,173.79,124.6639,146.32,1
2024-07-12,173.24,137.1285,139.04,1
2024-07-15,167.33,116.8476,142.37,1
2024-07-16,170.08,113.2098,140.87,1
2024-07-17,155.78,127.8008,143.25,1
2024-07-18,156.98,116.7442,149.75,1
2024-07-19,158.51,120.0965,155.52,1
2024-07-22,158.42,125.5786,160.24,0
2024-07-23,161.4,106.9874,163.78,0
2024-07-24,154.05,87.915,160.65,0
2024-07-25,151.53,102.0865,156.75,0
2024-07-26,152.59,136.6997,159.89,0
2024-07-29,151.05,128.2975,154.82,0
2024-07-30,146.0,124.708,147.82,0
2024-07-31,147.48,121.2566,142.64,1
2024-08-01,142.27,109.5818,141.53,1
2024-08-02,132.2,120.6878,137.92,0
2024-08-05,134.49,123.7015,138.47,0
2024-08-06,138.12,113.7297,136.54,1
2024-08-07,131.56,134.3554,131.79,1
2024-08-08,141.08,94.5385,131.26,1
2024-08-09,146.88,117.1715,137.8,1
2024-08-12,154.57,133.0356,137.35,1
2024-08-13,153.57,140.7665,135.3,1
2024-08-14,153.08,135.2113,141.56,1
2024-08-15,162.05,146.5546,143.97,1
2024-08-16,165.08,130.168,140.25,1
2024-08-19,166.87,125.0613,139.93,1
2024-08-20,166.05,128.5762,141.73,1
2024-08-21,170.88,134.2196,144.6,1
2024-08-22,165.2,139.4548,144.64,1
2024-08-23,169.83,132.952,143.42,1
2024-08-26,165.1,129.2062,142.58,1
2024-08-27,166.61,138.9787,136.81,1
2024-08-28,138.31,138.584,141.57,1
2024-08-29,142.22,142.5963,151.99,1
2024-08-30,147.57,140.9663,154.5,0
2024-09-03,142.94,137.9109,146.62,0
2024-09-04,139.66,122.9138,148.56,0
2024-09-05,137.83,147.5211,149.69,1
2024-09-06,130.93,133.2733,157.31,1
2024-09-09,133.26,136.9859,154.97,1
2024-09-10,129.86,141.1995,161.52,1
2024-09-11,131.21,131.6521,149.95,1
2024-09-12,137.54,141.9145,151.35,1
2024-09-13,142.19,127.043,140.07,1
2024-09-16,134.62,133.4906,138.26,0
2024-09-17,134.41,149.3722,137.21,1
2024-09-18,135.45,130.1653,137.5,0
2024-09-19,139.32,134.8915,142.62,0
2024-09-20,141.8,132.1667,146.85,0
2024-09-23,140.65,145.8236,152.74,1
2024-09-24,142.1,139.597,144.9,0
2024-09-25,137.73,156.0509,153.25,1
2024-09-26,137.93,147.4951,154.56,1
2024-09-27,144.5,154.3623,152.96,1
2024-09-30,139.9,134.4377,152.07,0
2024-10-01,135.73,137.0596,155.34,1
2024-10-02,133.72,120.4342,153.88,0
2024-10-03,134.12,114.4727,154.65,0
2024-10-04,146.32,130.7589,149.47,0
2024-10-07,139.04,129.2967,153.24,0
2024-10-08,142.37,143.4889,158.92,1
2024-10-09,140.87,149.5731,156.22,1
2024-10-10,143.25,155.2509,152.13,1
2024-10-11,149.75,155.7676,151.62,1
2024-10-14,155.52,142.0773,160.92,0
2024-10-15,160.24,147.5306,135.72,1
2024-10-16,163.78,107.6401,131.39,1
2024-10-17,160.65,163.3956,129.99,0
2024-10-18,156.75,156.2579,128.11,1
2024-10-21,159.89,123.9469,130.35,1
2024-10-22,154.82,148.2884,126.28,1
2024-10-23,147.82,163.1897,128.57,0
