date,entry_close,pred_close,actual_close,correct
2024-06-10,284.0287,299.4364,346.0684,1
2024-06-11,290.8012,317.9864,345.3045,1
2024-06-12,292.0686,291.3011,347.7452,0
2024-06-13,292.5042,313.5948,348.3108,1
2024-06-14,292.4745,300.3886,342.0998,1
2024-06-17,297.049,316.1747,345.5327,1
2024-06-18,294.8112,318.7457,345.1259,1
2024-06-20,293.6627,297.9717,347.9437,1
2024-06-21,294.5241,299.3013,346.4653,1
2024-06-24,295.5142,298.0196,346.5744,1
2024-06-25,289.9299,315.7682,344.2528,1
2024-06-26,285.9199,316.9754,344.3123,1
2024-06-27,289.91,309.2136,345.7906,1
2024-06-28,290.6823,290.7291,344.7092,1
2024-07-01,290.5933,310.1976,344.2032,1
2024-07-02,292.6527,318.1163,344.4214,1
2024-07-03,291.8606,306.0191,344.9473,1
2024-07-05,292.9398,298.9124,343.2805,1
2024-07-08,295.1676,306.0154,345.7708,1
2024-07-09,290.2665,305.18,345.9891,1
2024-07-10,292.4943,308.8575,344.7787,1
2024-07-11,293.8706,318.0645,345.3442,1
2024-07-12,295.1875,297.1617,341.2168,1
2024-07-15,294.3756,288.2309,351.1979,0
2024-07-16,294.8112,290.7809,356.2183,0
2024-07-17,297.4846,307.8406,350.9102,1
2024-07-18,296.7222,308.5889,352.3687,1
2024-07-19,293.2468,300.287,355.7719,1
2024-07-22,296.1677,291.4282,355.0873,0
2024-07-23,295.4845,307.4791,355.5834,1
2024-07-24,295.2568,291.1734,355.9405,0
2024-07-25,295.9994,302.4032,355.1269,1
2024-07-26,319.812,294.6969,354.6309,0
2024-07-29,316.1386,290.2671,353.351,0
2024-07-30,325.4954,308.5777,355.4842,0
2024-07-31,325.2676,288.9184,354.0554,0
2024-08-01,325.2527,291.9139,372.4998,0
2024-08-02,327.624,296.4908,368.799,0
2024-08-05,322.4747,286.6986,368.045,0
2024-08-06,320.8674,287.7486,366.5766,0
2024-08-07,323.447,295.3943,363.9969,0
2024-08-08,324.3797,290.3061,362.2326,0
2024-08-09,326.86,290.9075,363.4453,0
2024-08-12,326.2846,281.7967,366.4869,0
2024-08-13,325.0345,284.1335,378.9914,0
2024-08-14,328.4078,293.8567,377.5898,0
2024-08-15,328.8643,291.7642,381.4764,0
2024-08-16,329.4496,284.532,381.0788,0
2024-08-19,331.7614,286.1182,381.3571,0
2024-08-20,334.093,297.586,384.5975,0
2024-08-21,335.4225,293.9016,374.0711,0
2024-08-22,336.9802,294.397,377.0133,0
2024-08-23,334.1823,301.6446,378.226,0
2024-08-26,335.0852,298.7653,376.8742,0
2024-08-27,337.5953,291.4889,377.7986,0
2024-08-28,336.8909,290.9921,380.3233,0
2024-08-29,340.7702,298.9196,383.8918,0
2024-08-30,341.0282,314.215,387.3807,0
2024-09-03,343.588,295.7239,387.9075,0
2024-09-04,345.8204,310.6544,390.9492,0
2024-09-05,346.0684,284.2035,389.1898,0
2024-09-06,345.3045,301.8211,385.3828,0
2024-09-09,347.7452,288.926,383.2457,0
2024-09-10,348.3108,307.0777,379.7071,0
2024-09-11,342.0998,298.4135,377.4507,0
2024-09-12,345.5327,294.8112,375.7311,0
2024-09-13,345.1259,300.368,365.6917,0
2024-09-16,347.9437,296.565,359.1214,0
2024-09-17,346.4653,292.3215,360.4533,0
2024-09-18,346.5744,281.2323,360.5428,0
2024-09-19,344.2528,304.9785,359.022,0
2024-09-20,344.3123,298.6868,359.5786,0
2024-09-23,345.7906,295.9164,356.7259,0
2024-09-24,344.7092,304.0793,350.4637,0
2024-09-25,344.2032,292.4328,351.6266,0
2024-09-26,344.4214,310.0556,356.3183,0
2024-09-27,344.9473,283.0242,356.1294,0
2024-09-30,343.2805,291.8043,359.4395,0
2024-10-01,345.7708,313.8219,359.2903,0
2024-10-02,345.9891,301.7694,358.2168,0
2024-10-03,344.7787,292.1025,355.8213,0
2024-10-04,345.3442,297.0055,357.0042,0
2024-10-07,341.2168,294.8052,352.8492,0
2024-10-08,351.1979,296.3272,351.8553,0
2024-10-09,356.2183,323.6844,346.3783,1
2024-10-10,350.9102,302.1275,346.3485,1
2024-10-11,352.3687,302.2043,350.3345,1
2024-10-14,355.7719,312.5594,347.4121,1
2024-10-15,355.0873,313.1633,352.5511,1
2024-10-16,355.5834,318.3873,360.4732,0
