date,entry_close,pred_close,actual_close,correct
2024-06-10,35.22,24.8278,25.33,1
2024-06-11,35.37,25.3111,25.46,1
2024-06-12,34.86,27.9602,25.17,1
2024-06-13,34.11,26.2027,25.25,1
2024-06-14,33.16,27.4174,26.49,1
2024-06-17,32.55,25.8615,26.57,1
2024-06-18,32.8,26.7911,26.49,1
2024-06-20,32.47,27.7022,26.68,1
2024-06-21,32.43,28.6381,26.45,1
2024-06-24,33.49,29.5769,26.65,1
2024-06-25,33.51,24.7469,27.25,1
2024-06-26,32.89,28.6737,27.44,1
2024-06-27,32.62,25.7144,28.88,1
2024-06-28,32.63,28.6336,28.38,1
2024-07-01,32.13,28.8359,27.74,1
2024-07-02,32.86,28.211,27.71,1
2024-07-03,33.3,26.7603,28.71,1
2024-07-05,32.61,26.7429,28.65,1
2024-07-08,32.8,27.9831,28.66,1
2024-07-09,32.48,28.2683,29.23,1
2024-07-10,32.02,25.8651,30.26,1
2024-07-11,32.48,28.8613,29.99,1
2024-07-12,32.56,27.1015,29.89,1
2024-07-15,31.99,27.1234,29.37,1
2024-07-16,31.65,27.0114,28.61,1
2024-07-17,29.81,29.1278,28.85,1
2024-07-18,29.47,29.373,29.25,1
2024-07-19,29.69,29.2798,28.05,1
2024-07-22,30.81,30.6872,27.35,1
2024-07-23,30.46,30.0718,27.24,1
2024-07-24,29.84,27.6885,27.3,1
2024-07-25,29.2,29.6419,26.84,0
2024-07-26,29.59,29.5227,26.87,1
2024-07-29,29.17,30.2003,26.56,0
2024-07-30,29.02,30.4035,26.94,0
2024-07-31,29.02,28.3481,27.69,1
2024-08-01,28.77,30.6101,27.74,0
2024-08-02,26.5,25.2531,27.41,0
2024-08-05,25.2,25.1036,27.59,0
2024-08-06,25.34,30.8322,28.22,1
2024-08-07,25.3,30.7545,25.88,1
2024-08-08,26.55,28.6264,25.54,0
2024-08-09,26.71,27.8566,26.57,0
2024-08-12,27.19,30.6604,26.69,0
2024-08-13,27.29,28.5436,28.65,1
2024-08-14,27.4,31.7351,28.67,1
2024-08-15,27.84,30.8267,29.23,1
2024-08-16,27.89,27.4988,31.67,0
2024-08-19,28.78,30.4975,31.16,1
2024-08-20,28.34,31.1087,31.19,1
2024-08-21,27.78,29.852,30.41,1
2024-08-22,26.89,30.3753,30.49,1
2024-08-23,27.59,27.7233,31.95,1
2024-08-26,27.38,30.4817,31.92,1
2024-08-27,26.58,30.6755,33.18,1
2024-08-28,26.55,26.594,33.4,1
2024-08-29,26.9,31.9053,33.11,1
2024-08-30,26.99,30.2169,33.23,1
2024-09-03,25.64,30.8591,33.09,1
2024-09-04,24.94,27.1841,32.48,1
2024-09-05,25.33,29.8048,32.69,1
2024-09-06,25.46,27.0693,31.79,1
2024-09-09,25.17,29.656,32.08,1
2024-09-10,25.25,30.4594,31.52,1
2024-09-11,26.49,30.2601,31.76,1
2024-09-12,26.57,28.7857,31.09,1
2024-09-13,26.49,30.6887,31.19,1
2024-09-16,26.68,30.4136,31.05,1
2024-09-17,26.45,31.3126,32.9,1
2024-09-18,26.65,28.5231,33.05,1
2024-09-19,27.25,28.4028,32.37,1
2024-09-20,27.44,26.9374,31.58,0
2024-09-23,28.88,28.9069,31.59,1
2024-09-24,28.38,25.9246,30.55,0
2024-09-25,27.74,28.3124,30.86,1
2024-09-26,27.71,25.9378,30.93,0
2024-09-27,28.71,29.3458,32.31,1
2024-09-30,28.65,30.3311,33.25,1
2024-10-01,28.66,26.0209,32.81,0
2024-10-02,29.23,27.7468,33.3,0
2024-10-03,30.26,25.9863,35.52,0
