date,entry_close,pred_close,actual_close,correct
2024-06-10,25.42,25.1017,24.97,1
2024-06-11,25.49,28.2313,24.24,0
2024-06-12,26.15,28.4192,24.46,0
2024-06-13,25.78,27.0731,24.9,0
2024-06-14,25.05,30.2222,25.33,1
2024-06-17,24.56,27.0564,25.32,1
2024-06-18,24.51,28.0882,26.12,1
2024-06-20,24.3,29.3383,26.05,1
2024-06-21,24.37,27.2123,26.29,1
2024-06-24,24.6,28.9091,26.23,1
2024-06-25,24.24,29.4951,26.77,1
2024-06-26,23.75,27.1822,26.25,1
2024-06-27,23.73,29.334,25.35,1
2024-06-28,23.48,27.8027,25.36,1
2024-07-01,23.23,28.093,24.84,1
2024-07-02,22.89,28.3425,25.58,1
2024-07-03,23.16,26.004,25.63,1
2024-07-05,23.24,27.9003,25.6,1
2024-07-08,23.56,24.4467,24.85,1
2024-07-09,23.57,25.4121,24.84,1
2024-07-10,23.46,26.8398,24.41,1
2024-07-11,24.83,26.8283,24.86,1
2024-07-12,25.34,28.2713,24.67,0
2024-07-15,25.44,24.5761,24.69,1
2024-07-16,27.41,28.1096,24.18,0
2024-07-17,26.76,27.6287,23.87,0
2024-07-18,25.55,26.0796,24.79,0
2024-07-19,25.38,26.0562,25.2,0
2024-07-22,26.24,27.9853,24.78,0
2024-07-23,26.79,25.8047,25.02,1
2024-07-24,25.95,23.1174,24.33,1
2024-07-25,26.69,25.1878,24.78,1
2024-07-26,27.23,24.5356,24.36,1
2024-07-29,26.9,28.3552,24.07,0
2024-07-30,26.73,26.8951,23.55,0
2024-07-31,26.95,26.3746,23.29,1
2024-08-01,26.04,25.6117,23.3,1
2024-08-02,24.62,24.3509,24.06,1
2024-08-05,23.91,27.3574,23.94,1
2024-08-06,24.28,25.3545,23.995,0
2024-08-07,23.68,27.8082,23.14,0
2024-08-08,24.57,26.2517,24.0,0
2024-08-09,24.28,24.907,24.27,0
2024-08-12,24.17,27.1327,24.78,1
2024-08-13,25.13,26.2386,25.49,1
2024-08-14,24.49,25.5374,25.39,1
2024-08-15,25.81,24.8738,25.895,0
2024-08-16,26.0,25.5483,27.11,0
2024-08-19,26.74,26.6836,26.0,1
2024-08-20,26.26,26.1305,25.65,1
2024-08-21,27.05,27.7443,24.13,0
2024-08-22,26.05,27.1443,22.66,0
2024-08-23,26.97,26.929,22.68,1
2024-08-26,26.98,26.7495,23.26,1
2024-08-27,26.76,28.5213,23.36,0
2024-08-28,26.32,26.2661,23.22,1
2024-08-29,26.58,26.8583,23.83,0
2024-08-30,26.39,28.0653,25.06,0
2024-09-03,25.12,27.3415,24.84,0
2024-09-04,24.87,26.4791,25.43,1
2024-09-05,24.97,27.2307,25.98,1
2024-09-06,24.24,24.9463,26.69,1
2024-09-09,24.46,26.9734,25.7,1
2024-09-10,24.9,27.1222,26.13,1
2024-09-11,25.33,24.6147,25.2,1
2024-09-12,25.32,27.2117,26.43,1
2024-09-13,26.12,26.7293,26.41,1
2024-09-16,26.05,26.7259,26.52,1
2024-09-17,26.29,27.0623,26.13,0
2024-09-18,26.23,26.1463,25.15,1
2024-09-19,26.77,27.7048,24.71,0
2024-09-20,26.25,28.4542,25.23,0
2024-09-23,25.35,26.2874,24.7,0
2024-09-24,25.36,27.1995,22.9,0
2024-09-25,24.84,25.4111,22.95,0
2024-09-26,25.58,25.278,23.68,1
2024-09-27,25.63,24.2714,23.97,1
