date,entry_close,pred_close,actual_close,correct
2024-06-10,44.15,46.8795,43.6,0
2024-06-11,44.16,47.7441,41.59,0
2024-06-12,45.08,41.6151,42.64,1
2024-06-13,44.38,45.7289,43.29,0
2024-06-14,43.87,46.0668,44.23,1
2024-06-17,44.13,46.9167,44.98,1
2024-06-18,43.68,44.6803,45.76,1
2024-06-20,43.37,44.6392,45.69,1
2024-06-21,43.32,45.4279,46.06,1
2024-06-24,43.24,46.4012,46.18,1
2024-06-25,43.33,44.8948,47.42,1
2024-06-26,43.58,47.0666,46.9,1
2024-06-27,44.01,47.7184,46.94,1
2024-06-28,43.95,42.7161,47.45,0
2024-07-01,44.45,46.8111,46.86,1
2024-07-02,44.82,45.5652,47.27,1
2024-07-03,45.61,45.9996,47.88,1
2024-07-05,45.95,47.9683,47.53,1
2024-07-08,45.89,49.1596,46.18,1
2024-07-09,46.05,45.5944,45.87,1
2024-07-10,45.95,40.7314,45.39,1
2024-07-11,45.71,45.895,46.55,1
2024-07-12,46.79,42.2427,45.91,1
2024-07-15,47.7,42.5799,46.64,1
2024-07-16,49.4,42.5151,46.65,1
2024-07-17,48.43,43.8568,46.17,1
2024-07-18,46.57,43.4975,46.64,0
2024-07-19,46.63,43.4317,47.37,0
2024-07-22,47.66,46.2038,47.29,1
2024-07-23,47.76,45.4492,47.69,1
2024-07-24,44.71,47.5257,47.04,1
2024-07-25,45.19,41.3893,48.03,0
2024-07-26,45.78,48.0286,47.38,1
2024-07-29,45.93,43.6641,47.15,0
2024-07-30,44.96,46.0584,45.76,1
2024-07-31,45.53,46.1441,47.38,1
2024-08-01,43.21,45.6102,47.67,1
2024-08-02,41.21,42.6442,48.4,1
2024-08-05,39.59,46.5862,48.41,1
2024-08-06,40.2,45.392,48.23,1
2024-08-07,39.47,45.6296,45.89,1
2024-08-08,41.29,47.9774,46.64,1
2024-08-09,41.46,46.3572,46.68,1
2024-08-12,40.92,43.5197,48.19,1
2024-08-13,42.59,49.8576,52.14,1
2024-08-14,41.91,45.9008,52.69,1
2024-08-15,43.92,47.2909,54.07,1
2024-08-16,44.09,47.5186,57.85,1
2024-08-19,45.09,48.3092,56.81,1
2024-08-20,44.54,47.1245,55.84,1
2024-08-21,45.61,47.9382,53.85,1
2024-08-22,44.25,48.5863,53.46,1
2024-08-23,46.24,45.3524,55.11,0
2024-08-26,45.73,50.8565,55.92,1
2024-08-27,45.42,43.8832,55.28,0
