date,entry_close,pred_close,actual_close,correct
2024-06-10,13.99,12.6557,6.55,1
2024-06-11,13.14,13.356,6.38,0
2024-06-12,13.13,16.3554,6.01,0
2024-06-13,12.98,12.8351,5.69,1
2024-06-14,12.42,13.3548,6.6,0
2024-06-17,12.4,12.1485,6.68,1
2024-06-18,12.82,14.536,6.82,0
2024-06-20,12.33,13.9839,6.98,0
2024-06-21,11.29,14.1386,7.21,0
2024-06-24,10.96,14.2684,6.83,0
2024-06-25,10.71,14.6787,6.62,0
2024-06-26,10.39,17.4894,6.41,0
2024-06-27,10.6,13.5422,6.37,0
2024-06-28,10.26,14.7907,6.35,0
2024-07-01,9.57,15.9738,6.04,0
2024-07-02,9.63,19.0715,6.45,0
2024-07-03,10.11,12.3552,6.73,0
2024-07-05,9.62,16.8578,6.6,0
2024-07-08,9.7,14.5914,6.8,0
2024-07-09,9.44,14.9861,6.41,0
2024-07-10,9.9,17.3609,6.32,0
2024-07-11,10.82,17.5567,6.45,0
2024-07-12,11.76,13.6684,6.46,0
2024-07-15,11.13,15.051,6.44,0
2024-07-16,11.73,14.6197,6.91,0
2024-07-17,11.2,14.2593,6.52,0
2024-07-18,10.7,12.6036,7.16,0
2024-07-19,10.52,14.1459,6.73,0
2024-07-22,10.84,13.7343,7.06,0
2024-07-23,10.95,16.06,6.87,0
2024-07-24,11.12,15.0869,6.68,0
2024-07-25,11.16,12.6173,6.81,0
2024-07-26,11.22,14.5503,6.74,0
2024-07-29,10.67,15.0188,6.58,0
2024-07-30,10.43,15.0117,6.25,0
2024-07-31,10.52,14.2618,6.17,0
2024-08-01,10.29,13.0532,6.44,0
2024-08-02,9.41,12.6491,6.67,0
2024-08-05,8.87,11.4856,6.48,0
2024-08-06,8.98,13.1708,6.22,0
2024-08-07,8.66,14.1212,6.53,0
2024-08-08,8.99,15.2801,6.7,0
2024-08-09,7.1,13.3999,7.51,1
2024-08-12,7.03,12.5055,7.61,1
2024-08-13,7.01,14.8029,5.94,0
2024-08-14,6.59,12.8239,6.2,0
2024-08-15,6.5,13.496,6.04,0
2024-08-16,6.55,13.7228,6.68,1
2024-08-19,6.69,12.921,6.59,0
2024-08-20,6.37,14.1533,6.71,1
2024-08-21,6.74,14.1043,7.63,1
2024-08-22,6.56,15.9564,6.85,1
2024-08-23,6.92,15.8048,6.37,0
2024-08-26,6.89,15.274,6.1,0
2024-08-27,6.59,14.4508,6.37,0
2024-08-28,6.52,14.278,6.33,0
2024-08-29,6.85,12.822,6.63,0
2024-08-30,6.71,10.6345,7.02,1
2024-09-03,6.36,12.0332,6.66,1
2024-09-04,6.88,13.9109,7.0,1
2024-09-05,6.55,12.355,6.71,1
2024-09-06,6.38,13.8898,6.68,1
2024-09-09,6.01,13.0422,6.34,1
2024-09-10,5.69,14.5404,6.19,1
2024-09-11,6.6,14.9234,5.97,0
2024-09-12,6.68,14.7943,5.62,0
2024-09-13,6.82,11.6331,6.1,0
2024-09-16,6.98,12.5212,5.86,0
2024-09-17,7.21,12.7311,5.7,0
2024-09-18,6.83,10.2537,5.51,0
2024-09-19,6.62,15.5065,5.53,0
2024-09-20,6.41,12.5014,5.16,0
2024-09-23,6.37,13.9334,5.47,0
2024-09-24,6.35,11.6797,5.38,0
2024-09-25,6.04,11.7017,5.34,0
2024-09-26,6.45,13.1618,5.63,0
2024-09-27,6.73,10.4328,6.1,0
2024-09-30,6.6,12.3579,5.9,0
2024-10-01,6.8,13.2786,5.91,0
2024-10-02,6.41,14.7973,6.03,0
2024-10-03,6.32,11.0517,6.16,0
2024-10-04,6.45,14.0159,6.04,0
2024-10-07,6.46,9.6738,6.74,1
2024-10-08,6.44,8.8639,6.73,1
2024-10-09,6.91,9.4789,6.64,0
2024-10-10,6.52,12.5357,6.93,1
2024-10-11,7.16,8.3643,6.53,0
2024-10-14,6.73,13.4977,6.43,0
2024-10-15,7.06,10.58,6.61,0
2024-10-16,6.87,12.5783,6.75,0
2024-10-17,6.68,11.8138,6.69,1
2024-10-18,6.81,15.2627,7.16,1
2024-10-21,6.74,9.0417,7.15,1
2024-10-22,6.58,10.2667,6.82,1
2024-10-23,6.25,14.1773,6.385,1
2024-10-24,6.17,7.9367,6.97,1
2024-10-25,6.44,14.1906,7.09,1
2024-10-28,6.67,11.4775,7.03,1
2024-10-29,6.48,9.8454,6.68,1
2024-10-30,6.22,10.1684,7.15,1
2024-10-31,6.53,8.2603,7.47,1
2024-11-01,6.7,8.4713,7.33,1
2024-11-04,7.51,9.3467,7.02,0
2024-11-05,7.61,10.9718,7.3,0
2024-11-06,5.94,10.515,6.82,1
2024-11-07,6.2,10.4961,7.62,1
2024-11-08,6.04,5.708,7.3,0
2024-11-11,6.68,12.7034,7.21,1
2024-11-12,6.59,8.9884,6.87,1
2024-11-13,6.71,11.7494,6.64,0
2024-11-14,7.63,13.8127,6.61,0
2024-11-15,6.85,8.0632,6.79,0
2024-11-18,6.37,11.2211,6.86,1
2024-11-19,6.1,12.3569,6.76,1
2024-11-20,6.37,10.9775,6.9,1
2024-11-21,6.33,8.9872,6.59,1
2024-11-22,6.63,9.5975,6.69,1
2024-11-25,7.02,8.8621,6.59,0
2024-11-26,6.66,11.2594,6.86,1
2024-11-27,7.0,10.1637,6.55,0
2024-11-29,6.71,11.2956,5.28,0
2024-12-02,6.68,9.4744,5.45,0
2024-12-03,6.34,9.2936,5.65,0
2024-12-04,6.19,8.7365,5.42,0
2024-12-05,5.97,10.6934,5.29,0
2024-12-06,5.62,10.613,6.15,1
2024-12-09,6.1,7.3993,6.38,1
2024-12-10,5.86,9.6232,6.27,1
2024-12-11,5.7,11.7832,6.03,1
2024-12-12,5.51,7.131,6.06,1
2024-12-13,5.53,9.931,6.08,1
2024-12-16,5.16,12.0836,6.1,1
2024-12-17,5.47,5.2921,6.13,0
2024-12-18,5.38,7.4533,5.99,1
2024-12-19,5.34,8.7819,5.7,1
2024-12-20,5.63,9.6793,5.69,1
2024-12-23,6.1,7.2989,5.47,0
2024-12-24,5.9,8.1313,5.63,0
2024-12-26,5.91,9.0042,5.23,0
2024-12-27,6.03,6.9868,5.11,0
2024-12-30,6.16,6.5006,5.08,0
2024-12-31,6.04,6.3161,4.87,0
2025-01-02,6.74,6.6738,4.86,1
2025-01-03,6.73,7.1487,4.94,0
2025-01-06,6.64,10.0985,4.43,0
2025-01-07,6.93,7.9987,4.39,0
2025-01-08,6.53,8.2225,4.33,0
2025-01-10,6.43,10.1658,3.98,0
2025-01-13,6.61,7.1957,4.53,0
2025-01-14,6.75,6.3553,4.15,1
2025-01-15,6.69,7.378,4.26,0
2025-01-16,7.16,6.8223,4.23,1
2025-01-17,7.15,10.1963,4.06,0
