date,entry_close,pred_close,actual_close,correct
2024-06-10,8.48,2.7696,28.45,0
2024-06-11,9.87,2.5891,26.11,0
2024-06-12,9.76,2.6498,25.94,0
2024-06-13,9.98,2.1223,26.11,0
2024-06-14,10.22,2.7126,27.9,0
2024-06-17,11.75,3.2153,26.79,0
2024-06-18,11.39,3.3122,29.83,0
2024-06-20,11.22,2.1886,29.84,0
2024-06-21,10.08,2.8468,28.0,0
2024-06-24,10.33,3.2141,28.3,0
2024-06-25,10.98,2.4451,28.61,0
2024-06-26,11.23,2.6007,26.5,0
2024-06-27,11.45,2.7957,26.61,0
2024-06-28,11.61,2.6572,25.85,0
2024-07-01,10.84,2.4702,24.39,0
2024-07-02,10.72,2.8305,23.83,0
2024-07-03,11.37,2.9227,25.32,0
2024-07-05,12.4,2.8417,26.15,0
2024-07-08,12.1,2.1353,24.105,0
2024-07-09,12.14,2.357,23.84,0
2024-07-10,11.88,2.785,23.22,0
2024-07-11,11.9,2.842,26.11,0
2024-07-12,13.01,3.504,24.91,0
2024-07-15,13.48,3.1273,24.2,0
2024-07-16,13.71,3.0415,22.61,0
2024-07-17,13.4,2.4444,23.07,0
2024-07-18,12.38,3.3901,24.18,0
2024-07-19,12.84,2.4992,25.12,0
2024-07-22,12.8,2.7285,24.25,0
2024-07-23,13.84,2.6057,28.22,0
2024-07-24,13.36,2.8299,28.49,0
2024-07-25,16.64,2.6633,28.14,0
2024-07-26,18.84,3.8379,27.64,0
2024-07-29,18.87,2.3126,27.89,0
2024-07-30,17.52,3.9768,26.26,0
2024-07-31,20.68,2.9844,25.07,0
2024-08-01,20.44,3.356,25.62,0
2024-08-02,18.51,4.0848,26.73,0
2024-08-05,18.59,3.6887,26.98,0
2024-08-06,19.53,3.943,25.13,0
2024-08-07,19.64,3.341,23.81,0
2024-08-08,22.32,3.7639,23.85,0
2024-08-09,21.21,2.6893,23.94,0
2024-08-12,19.73,2.5521,24.13,0
2024-08-13,20.96,3.3948,22.52,0
2024-08-14,20.81,3.8062,21.455,0
2024-08-15,31.36,3.1069,21.99,1
2024-08-16,31.03,4.1217,24.76,1
2024-08-19,38.6,4.2497,24.26,1
2024-08-20,34.32,5.2579,27.89,1
2024-08-21,36.44,4.0425,26.8,1
2024-08-22,34.14,4.9938,24.23,1
2024-08-23,32.86,5.1504,25.8,1
2024-08-26,33.78,6.0162,26.14,1
2024-08-27,31.11,3.5361,23.585,1
2024-08-28,27.87,5.3478,24.14,1
2024-08-29,29.25,5.8402,24.1,1
2024-08-30,29.04,3.3617,24.21,1
2024-09-03,29.41,6.9013,23.39,1
2024-09-04,33.08,3.8925,23.29,1
2024-09-05,28.45,3.646,23.81,1
2024-09-06,26.11,4.38,23.22,1
2024-09-09,25.94,4.4008,22.91,1
2024-09-10,26.11,4.366,22.64,1
2024-09-11,27.9,5.2221,22.51,1
2024-09-12,26.79,4.8347,25.32,1
2024-09-13,29.83,4.9605,25.985,1
2024-09-16,29.84,6.1842,24.36,1
2024-09-17,28.0,5.2902,23.56,1
2024-09-18,28.3,3.3545,23.33,1
2024-09-19,28.61,4.2995,23.48,1
2024-09-20,26.5,6.2076,24.3,1
2024-09-23,26.61,6.0691,24.78,1
2024-09-24,25.85,3.9036,23.36,1
2024-09-25,24.39,4.4447,23.0,1
2024-09-26,23.83,6.5739,22.88,1
2024-09-27,25.32,0.3189,23.25,1
2024-09-30,26.15,-0.9913,23.49,1
2024-10-01,24.105,5.0726,24.68,0
2024-10-02,23.84,0.1826,22.92,1
2024-10-03,23.22,4.4953,21.81,1
2024-10-04,26.11,1.346,21.1,1
2024-10-07,24.91,4.431,21.64,1
2024-10-08,24.2,6.6746,23.97,1
2024-10-09,22.61,4.9029,24.14,0
2024-10-10,23.07,11.805,23.0,1
2024-10-11,24.18,-1.7657,22.51,1
2024-10-14,25.12,2.0524,22.37,1
2024-10-15,24.25,0.9146,21.07,1
2024-10-16,28.22,5.6708,20.48,1
2024-10-17,28.49,2.0405,21.54,1
2024-10-18,28.14,2.1985,21.0,1
2024-10-21,27.64,1.0473,20.78,1
2024-10-22,27.89,3.6375,23.1,1
2024-10-23,26.26,7.0618,22.49,1
2024-10-24,25.07,2.168,19.8,1
2024-10-25,25.62,-2.5541,20.35,1
2024-10-28,26.73,-4.0559,19.16,1
2024-10-29,26.98,0.6559,20.14,1
2024-10-30,25.13,-0.8576,17.72,1
2024-10-31,23.81,6.0186,18.21,1
2024-11-01,23.85,-0.7021,20.24,1
2024-11-04,23.94,2.0321,21.47,1
2024-11-05,24.13,5.7941,23.09,1
2024-11-06,22.52,1.6878,24.71,0
2024-11-07,21.455,5.7188,27.12,0
2024-11-08,21.99,0.3648,26.51,0
2024-11-11,24.76,-3.5113,31.14,0
2024-11-12,24.26,14.4082,28.4,0
2024-11-13,27.89,11.2684,27.61,1
2024-11-14,26.8,5.0488,30.05,0
2024-11-15,24.23,0.6777,32.1,0
2024-11-18,25.8,3.0106,30.9,0
2024-11-19,26.14,7.503,31.17,0
2024-11-20,23.585,9.9658,31.63,0
2024-11-21,24.14,7.1674,28.64,0
2024-11-22,24.1,11.519,28.57,0
2024-11-25,24.21,15.2702,26.17,0
2024-11-26,23.39,2.4639,27.24,0
2024-11-27,23.29,19.0504,26.08,0
2024-11-29,23.81,11.9013,27.11,0
2024-12-02,23.22,11.1866,25.62,0
2024-12-03,22.91,7.517,28.61,0
2024-12-04,22.64,18.2974,33.8,0
2024-12-05,22.51,29.9557,32.18,1
2024-12-06,25.32,16.168,33.4,0
2024-12-09,25.985,18.599,29.14,0
2024-12-10,24.36,7.7679,28.66,0
2024-12-11,23.56,20.15,27.56,0
2024-12-12,23.33,16.9432,26.12,0
2024-12-13,23.48,13.8333,28.15,0
2024-12-16,24.3,17.2999,28.02,0
2024-12-17,24.78,8.485,26.25,0
2024-12-18,23.36,21.7011,25.65,0
2024-12-19,23.0,12.4722,24.69,0
2024-12-20,22.88,16.1688,25.71,0
2024-12-23,23.25,5.6358,29.3,0
2024-12-24,23.49,20.0152,28.55,0
2024-12-26,24.68,16.4792,27.29,0
2024-12-27,22.92,21.1991,25.8,0
2024-12-30,21.81,15.3101,24.06,0
2024-12-31,21.1,21.1271,22.74,1
2025-01-02,21.64,7.9677,21.85,0
2025-01-03,23.97,13.1538,22.41,1
2025-01-06,24.14,3.8654,21.58,1
2025-01-07,23.0,14.7739,20.07,1
2025-01-08,22.51,16.4604,21.33,1
2025-01-10,22.37,13.418,20.3,1
2025-01-13,21.07,11.6212,24.14,0
2025-01-14,20.48,14.5903,23.14,0
2025-01-15,21.54,15.7164,23.28,0
2025-01-16,21.0,10.6802,22.91,0
2025-01-17,20.78,15.6521,22.92,0
2025-01-21,23.1,7.1405,22.39,1
2025-01-22,22.49,22.3948,23.39,0
2025-01-23,19.8,15.827,20.765,0
2025-01-24,20.35,8.5586,21.3,0
2025-01-27,19.16,20.7862,22.42,1
2025-01-28,20.14,10.4312,24.07,0
2025-01-29,17.72,12.8773,23.76,0
2025-01-30,18.21,23.5242,24.25,1
2025-01-31,20.24,24.6095,23.9,1
2025-02-03,21.47,18.5225,23.21,0
2025-02-04,23.09,20.7538,23.02,1
2025-02-05,24.71,21.1106,26.42,0
2025-02-06,27.12,12.483,24.75,1
2025-02-07,26.51,8.1997,25.08,1
2025-02-10,31.14,14.1786,25.32,1
2025-02-11,28.4,20.3254,25.25,1
2025-02-12,27.61,24.9136,25.76,1
2025-02-13,30.05,8.246,27.16,1
2025-02-14,32.1,21.3583,26.55,1
2025-02-18,30.9,22.4101,26.25,1
2025-02-19,31.17,25.5862,26.24,1
2025-02-20,31.63,22.2135,26.66,1
2025-02-21,28.64,24.1304,24.61,1
2025-02-24,28.57,17.5994,25.03,1
2025-02-25,26.17,21.7219,23.83,1
2025-02-26,27.24,19.0463,24.41,1
2025-02-27,26.08,21.1659,24.095,1
2025-02-28,27.11,18.4401,24.84,1
2025-03-03,25.62,18.4954,24.78,1
2025-03-04,28.61,23.725,23.57,1
2025-03-05,33.8,26.0819,23.07,1
2025-03-06,32.18,21.0954,24.15,1
2025-03-07,33.4,21.9919,25.18,1
