date,entry_close,pred_close,actual_close,correct
2024-06-10,15.13,11.5421,11.03,1
2024-06-11,14.75,9.5934,9.95,1
2024-06-12,15.31,12.738,9.75,1
2024-06-13,15.1,10.9734,10.15,1
2024-06-14,14.33,9.5127,10.64,1
2024-06-17,13.95,13.892,10.38,1
2024-06-18,13.65,12.2843,10.2,1
2024-06-20,14.01,11.3881,9.78,1
2024-06-21,12.82,12.6257,10.09,1
2024-06-24,13.24,12.1941,10.14,1
2024-06-25,13.32,13.6022,10.24,0
2024-06-26,12.62,12.1208,10.91,1
2024-06-27,13.04,13.2089,10.86,0
2024-06-28,12.24,12.7667,10.54,0
2024-07-01,11.37,10.9408,10.18,1
2024-07-02,10.82,12.5526,10.41,0
2024-07-03,11.85,12.0703,10.7,0
2024-07-05,12.16,12.6852,10.56,0
2024-07-08,12.41,10.7676,10.21,1
2024-07-09,12.26,9.3135,10.73,1
2024-07-10,12.8,13.9024,10.65,0
2024-07-11,13.37,11.4609,10.83,1
2024-07-12,13.97,11.5502,10.36,1
2024-07-15,14.54,12.7999,10.25,1
2024-07-16,15.08,12.1042,10.56,1
2024-07-17,15.28,12.9114,10.22,1
2024-07-18,14.65,11.9787,10.74,1
2024-07-19,14.18,13.0734,10.46,1
2024-07-22,14.25,12.3007,10.46,1
2024-07-23,15.11,14.2237,10.41,1
2024-07-24,14.48,10.9772,10.16,1
2024-07-25,14.48,13.4856,10.16,1
2024-07-26,14.51,11.9713,9.87,1
2024-07-29,13.79,10.2678,9.73,1
2024-07-30,13.07,11.3002,9.04,1
2024-07-31,13.54,13.0902,9.19,1
2024-08-01,12.5,10.7864,9.5,1
2024-08-02,11.79,11.404,10.15,1
2024-08-05,10.9,12.1807,10.14,0
2024-08-06,10.65,14.8291,10.1,0
2024-08-07,9.9,12.847,9.6,0
2024-08-08,10.54,13.9665,9.94,0
2024-08-09,11.49,10.5351,10.82,1
2024-08-12,11.14,12.8003,11.4,1
2024-08-13,11.86,11.5289,10.97,1
2024-08-14,11.41,12.0105,10.67,0
2024-08-15,11.98,12.0436,13.17,1
2024-08-16,11.61,13.3731,13.62,1
2024-08-19,11.79,12.8146,13.54,1
2024-08-20,11.51,9.5644,13.6,0
2024-08-21,11.58,11.7634,13.28,1
2024-08-22,11.24,13.6146,21.14,1
2024-08-23,11.86,14.3802,22.81,1
2024-08-26,11.87,13.2408,23.75,1
2024-08-27,11.77,15.0188,24.8,1
2024-08-28,11.34,12.0277,23.94,1
2024-08-29,11.9,12.486,25.76,1
2024-08-30,11.91,13.1965,25.95,1
2024-09-03,11.02,14.1059,26.17,1
2024-09-04,11.17,11.8025,27.21,1
2024-09-05,11.03,13.5881,27.45,1
2024-09-06,9.95,13.0505,26.92,1
2024-09-09,9.75,11.9571,26.14,1
2024-09-10,10.15,14.3677,26.28,1
2024-09-11,10.64,12.328,25.96,1
2024-09-12,10.38,10.5329,27.08,1
2024-09-13,10.2,12.2978,26.58,1
2024-09-16,9.78,12.0247,23.47,1
2024-09-17,10.09,11.6625,23.6,1
2024-09-18,10.14,13.4856,24.81,1
2024-09-19,10.24,11.0632,25.59,1
2024-09-20,10.91,12.9342,26.15,1
2024-09-23,10.86,11.8373,24.77,1
2024-09-24,10.54,9.6169,23.46,0
2024-09-25,10.18,9.6264,22.88,0
2024-09-26,10.41,12.2614,24.12,1
2024-09-27,10.7,12.1057,24.2,1
2024-09-30,10.56,13.7787,24.33,1
2024-10-01,10.21,10.9633,24.33,1
2024-10-02,10.73,15.1329,22.9,1
2024-10-03,10.65,13.6573,22.51,1
2024-10-04,10.83,12.6246,22.21,1
2024-10-07,10.36,13.3274,23.37,1
2024-10-08,10.25,8.262,24.32,0
2024-10-09,10.56,13.1939,25.48,1
2024-10-10,10.22,12.4356,25.06,1
2024-10-11,10.74,12.5759,24.38,1
2024-10-14,10.46,14.215,23.58,1
2024-10-15,10.46,13.7979,23.03,1
2024-10-16,10.41,12.0331,22.3,1
2024-10-17,10.16,12.4966,22.65,1
2024-10-18,10.16,13.5067,23.56,1
2024-10-21,9.87,12.1749,23.92,1
2024-10-22,9.73,12.9941,25.75,1
2024-10-23,9.04,11.4902,25.53,1
2024-10-24,9.19,11.2917,27.67,1
2024-10-25,9.5,11.5827,29.81,1
2024-10-28,10.15,9.3516,22.42,0
2024-10-29,10.14,12.2053,20.4,1
2024-10-30,10.1,13.2272,22.38,1
2024-10-31,9.6,11.5262,23.52,1
2024-11-01,9.94,12.9583,23.58,1
2024-11-04,10.82,13.149,23.57,1
2024-11-05,11.4,9.7041,23.11,0
2024-11-06,10.97,11.5283,24.26,1
2024-11-07,10.67,10.9855,24.78,1
2024-11-08,13.17,11.2371,24.78,0
2024-11-11,13.62,10.0685,25.39,0
2024-11-12,13.54,13.3176,24.07,0
2024-11-13,13.6,12.6563,23.48,0
2024-11-14,13.28,11.1734,24.71,0
2024-11-15,21.14,11.1343,25.41,0
2024-11-18,22.81,12.629,26.02,0
2024-11-19,23.75,10.8359,26.5,0
2024-11-20,24.8,13.5939,25.99,0
2024-11-21,23.94,10.3742,24.17,0
2024-11-22,25.76,10.1736,22.7,1
2024-11-25,25.95,10.6888,21.97,1
2024-11-26,26.17,11.4769,23.4,1
2024-11-27,27.21,12.5609,23.04,1
2024-11-29,27.45,10.6856,24.02,1
2024-12-02,26.92,9.3595,23.42,1
2024-12-03,26.14,12.1271,22.7,1
2024-12-04,26.28,9.1027,24.12,1
2024-12-05,25.96,10.1174,22.39,1
2024-12-06,27.08,9.8247,23.08,1
2024-12-09,26.58,9.7264,22.62,1
2024-12-10,23.47,9.9284,25.0,0
2024-12-11,23.6,11.0199,24.55,0
2024-12-12,24.81,9.7658,23.93,1
2024-12-13,25.59,12.9676,24.47,1
2024-12-16,26.15,8.8513,24.19,1
2024-12-17,24.77,8.1246,23.81,1
2024-12-18,23.46,14.2534,24.31,0
2024-12-19,22.88,10.8158,25.41,0
2024-12-20,24.12,10.9552,23.95,1
2024-12-23,24.2,11.2935,23.03,1
2024-12-24,24.33,9.4263,23.11,1
2024-12-26,24.33,9.5696,22.28,1
2024-12-27,22.9,9.8901,21.99,1
2024-12-30,22.51,7.8289,20.33,1
2024-12-31,22.21,11.9082,19.66,1
2025-01-02,23.37,11.5908,21.24,1
