date,entry_close,pred_close,actual_close,correct
2024-06-10,24.4,30.128,24.18,0
2024-06-11,24.86,28.2612,23.31,0
2024-06-12,26.06,29.8547,23.4,0
2024-06-13,25.24,26.0563,23.65,0
2024-06-14,24.87,27.6208,24.12,0
2024-06-17,24.03,29.0133,24.4,1
2024-06-18,23.17,27.915,26.3,1
2024-06-20,23.04,24.7013,25.62,1
2024-06-21,22.94,28.2337,25.58,1
2024-06-24,24.83,30.0146,25.51,1
2024-06-25,24.25,30.0124,26.04,1
2024-06-26,24.84,25.4264,25.65,1
2024-06-27,23.98,29.1778,24.72,1
2024-06-28,23.43,26.9683,24.77,1
2024-07-01,23.05,30.1356,24.5,1
2024-07-02,22.57,28.2495,25.12,1
2024-07-03,23.48,22.842,25.05,0
2024-07-05,23.08,29.9307,24.5,1
2024-07-08,23.85,26.4272,23.41,0
2024-07-09,23.84,25.5371,23.5,0
2024-07-10,23.96,22.7924,22.94,1
2024-07-11,25.88,23.7509,23.41,1
2024-07-12,26.88,25.4307,23.39,1
2024-07-15,25.62,25.6464,23.26,0
2024-07-16,27.29,23.4848,23.44,1
2024-07-17,26.93,29.5274,23.03,0
2024-07-18,25.46,26.1424,24.72,0
2024-07-19,25.94,27.9865,26.59,1
2024-07-22,27.05,25.8554,26.34,1
2024-07-23,30.32,23.2098,26.69,1
2024-07-24,29.81,29.1847,24.35,1
2024-07-25,32.17,27.5415,23.65,1
2024-07-26,33.14,27.5121,23.15,1
2024-07-29,32.04,27.386,22.74,1
2024-07-30,31.6,21.2509,21.82,1
2024-07-31,31.64,21.459,22.09,1
2024-08-01,30.31,22.4118,21.55,1
2024-08-02,27.43,26.661,22.35,1
2024-08-05,25.61,27.195,22.17,0
2024-08-06,25.52,26.1131,22.5,0
2024-08-07,24.46,24.6628,21.91,0
2024-08-08,24.91,23.3318,22.93,1
2024-08-09,24.46,26.1649,24.36,0
2024-08-12,23.98,23.6303,23.93,1
2024-08-13,24.34,26.1167,26.62,1
2024-08-14,23.36,25.3151,26.1,1
2024-08-15,24.86,25.8006,27.06,1
2024-08-16,24.43,23.6243,30.35,0
2024-08-19,25.0,26.8841,27.94,1
2024-08-20,24.53,25.3975,27.5,1
2024-08-21,25.49,25.5765,26.31,1
2024-08-22,24.52,27.3288,24.05,0
2024-08-23,26.81,28.8664,24.12,0
2024-08-26,27.11,28.7523,25.29,0
2024-08-27,26.29,26.3117,24.49,0
2024-08-28,26.05,29.4542,23.58,0
2024-08-29,26.84,29.1585,25.05,0
2024-08-30,26.68,27.1309,26.65,0
2024-09-03,24.4,26.51,25.84,1
2024-09-04,24.08,27.7792,27.2,1
2024-09-05,24.18,25.1212,27.37,1
2024-09-06,23.31,29.9976,28.295,1
2024-09-09,23.4,29.3456,25.98,1
2024-09-10,23.65,24.3988,26.02,1
2024-09-11,24.12,29.6333,25.32,1
2024-09-12,24.4,31.8709,26.71,1
2024-09-13,26.3,28.1496,27.515,1
2024-09-16,25.62,28.4507,30.2,1
2024-09-17,25.58,24.4654,28.9,0
2024-09-18,25.51,29.0097,28.06,1
2024-09-19,26.04,29.046,27.93,1
2024-09-20,25.65,31.2315,28.93,1
2024-09-23,24.72,22.8151,28.58,0
2024-09-24,24.77,25.5372,26.45,1
2024-09-25,24.5,25.2483,26.85,1
2024-09-26,25.12,25.3865,29.01,1
2024-09-27,25.05,24.3698,28.7,0
2024-09-30,24.5,25.0753,28.81,1
2024-10-01,23.41,27.1368,28.7,1
2024-10-02,23.5,24.8963,26.59,1
2024-10-03,22.94,29.2908,25.27,1
2024-10-04,23.41,23.8034,24.8,1
2024-10-07,23.39,26.0717,24.7,1
2024-10-08,23.26,26.3476,25.38,1
2024-10-09,23.44,25.1263,26.36,1
2024-10-10,23.03,25.5329,27.08,1
2024-10-11,24.72,27.2266,26.8,1
2024-10-14,26.59,28.7227,26.39,0
2024-10-15,26.34,27.4377,25.54,0
2024-10-16,26.69,27.2171,23.3,0
2024-10-17,24.35,28.5973,23.39,0
2024-10-18,23.65,28.1643,23.4,0
2024-10-21,23.15,28.3369,23.44,1
2024-10-22,22.74,24.3106,24.53,1
2024-10-23,21.82,32.7831,26.39,1
2024-10-24,22.09,28.1142,26.29,1
2024-10-25,21.55,28.4209,25.98,1
2024-10-28,22.35,25.3076,25.91,1
2024-10-29,22.17,29.9359,25.26,1
2024-10-30,22.5,23.9669,25.91,1
2024-10-31,21.91,26.067,27.28,1
2024-11-01,22.93,26.0185,25.92,1
2024-11-04,24.36,24.7462,25.59,1
2024-11-05,23.93,29.7491,25.75,1
2024-11-06,26.62,23.8426,27.82,0
2024-11-07,26.1,26.2368,27.65,1
2024-11-08,27.06,28.393,27.41,1
2024-11-11,30.35,23.9402,26.57,1
2024-11-12,27.94,24.9291,26.85,1
2024-11-13,27.5,28.3944,28.57,1
2024-11-14,26.31,25.0581,28.61,0
2024-11-15,24.05,25.5116,32.4,1
2024-11-18,24.12,24.8901,33.49,1
2024-11-19,25.29,26.7871,34.09,1
2024-11-20,24.49,28.1544,33.14,1
2024-11-21,23.58,26.4846,30.43,1
2024-11-22,25.05,24.6252,30.79,0
2024-11-25,26.65,25.4297,29.84,0
2024-11-26,25.84,26.8502,27.89,1
2024-11-27,27.2,26.9553,27.11,1
2024-11-29,27.37,27.9696,26.34,0
2024-12-02,28.295,21.6988,25.1,1
2024-12-03,25.98,25.9296,26.44,0
2024-12-04,26.02,26.2952,26.11,1
2024-12-05,25.32,23.0663,27.25,0
