date,entry_close,pred_close,actual_close,correct
2024-06-10,95.48,109.8079,82.81,0
2024-06-11,93.95,111.1057,81.01,0
2024-06-12,94.38,109.9923,81.63,0
2024-06-13,93.99,106.3413,82.05,0
2024-06-14,91.99,112.6118,83.95,0
2024-06-17,91.41,105.8263,84.07,0
2024-06-18,90.87,101.351,83.65,0
2024-06-20,88.81,104.6692,84.08,0
2024-06-21,88.59,120.1646,85.39,0
2024-06-24,88.73,111.4354,84.67,0
2024-06-25,88.55,110.478,87.02,0
2024-06-26,88.22,94.7141,86.24,0
2024-06-27,87.04,113.8586,88.28,1
2024-06-28,86.48,104.0139,94.81,1
2024-07-01,86.21,103.7502,94.01,1
2024-07-02,86.87,99.978,102.56,1
2024-07-03,90.06,106.0144,105.17,1
2024-07-05,88.97,119.1357,105.29,1
2024-07-08,87.95,122.5992,110.28,1
2024-07-09,95.4,107.8224,115.13,1
2024-07-10,97.94,101.7214,109.23,1
2024-07-11,100.67,105.8626,110.46,1
2024-07-12,99.07,103.8599,114.47,1
2024-07-15,93.15,118.6026,106.01,1
2024-07-16,93.73,110.6389,104.06,1
2024-07-17,91.09,106.591,104.07,1
2024-07-18,90.9,99.5653,103.8,1
2024-07-19,90.37,101.6801,99.11,1
2024-07-22,92.27,111.3506,93.97,1
2024-07-23,90.37,107.4153,95.27,1
2024-07-24,88.75,110.4504,92.11,1
2024-07-25,87.79,115.1519,94.39,1
2024-07-26,88.98,100.1445,91.62,1
2024-07-29,90.5,103.3348,91.98,1
2024-07-30,88.74,109.1663,89.95,1
2024-07-31,88.57,95.8077,89.48,1
2024-08-01,86.42,89.5051,89.79,1
2024-08-02,84.49,105.6916,93.13,1
2024-08-05,82.39,103.1157,93.59,1
2024-08-06,83.01,111.6015,92.22,1
2024-08-07,82.01,110.7354,91.23,1
2024-08-08,86.54,104.5415,90.02,1
2024-08-09,85.1,103.822,90.46,1
2024-08-12,85.23,111.7786,91.88,1
2024-08-13,86.2,105.4672,90.92,1
2024-08-14,83.99,108.1157,93.53,1
2024-08-15,86.18,106.2536,88.96,1
2024-08-16,88.97,97.0425,88.28,0
2024-08-19,90.18,107.0424,84.8,0
2024-08-20,87.98,109.4788,84.46,0
2024-08-21,89.74,101.5456,84.06,0
