date,entry_close,pred_close,actual_close,correct
2024-06-10,14.2,9.3678,15.37,0
2024-06-11,13.95,12.658,15.12,0
2024-06-12,14.39,12.4481,15.11,0
2024-06-13,15.5,14.0051,15.06,1
2024-06-14,14.73,13.3145,15.63,0
2024-06-17,15.71,14.1595,15.41,1
2024-06-18,16.18,13.4754,14.83,1
2024-06-20,17.05,12.8593,14.67,1
2024-06-21,18.14,13.4995,15.14,1
2024-06-24,17.79,13.2711,14.83,1
2024-06-25,17.26,12.4508,15.78,1
2024-06-26,16.45,10.7252,15.9,1
2024-06-27,15.98,13.7436,15.92,1
2024-06-28,15.44,13.0735,18.63,0
2024-07-01,15.29,13.9425,18.27,0
2024-07-02,15.4,13.3319,21.09,0
2024-07-03,16.11,9.4394,22.92,0
2024-07-05,16.05,13.2932,23.38,0
2024-07-08,16.44,11.9217,26.73,0
2024-07-09,17.17,13.5118,29.66,0
2024-07-10,16.96,11.1592,27.05,0
2024-07-11,17.62,13.7167,27.57,0
2024-07-12,16.71,16.3817,26.46,0
2024-07-15,15.86,10.5698,23.04,0
2024-07-16,16.1,15.0271,22.98,0
2024-07-17,15.53,14.9687,22.41,0
2024-07-18,15.59,12.4085,22.64,0
2024-07-19,15.04,13.3745,21.82,0
2024-07-22,15.35,15.6584,20.31,1
2024-07-23,14.85,11.2014,20.59,0
2024-07-24,14.47,15.8572,19.46,1
2024-07-25,14.61,12.9511,20.15,0
2024-07-26,14.94,13.6252,20.22,0
2024-07-29,15.13,12.5562,20.49,0
2024-07-30,14.92,12.6786,20.39,0
2024-07-31,15.15,12.4661,19.96,0
2024-08-01,15.23,14.1402,20.65,0
2024-08-02,15.5,13.1708,22.23,0
2024-08-05,15.99,14.5413,21.93,0
2024-08-06,15.67,14.7417,22.22,0
2024-08-07,14.97,16.7069,22.12,1
2024-08-08,14.59,14.1034,21.9,0
2024-08-09,13.86,14.223,22.0,1
2024-08-12,13.49,14.0828,23.22,1
2024-08-13,13.99,10.0608,22.16,0
2024-08-14,13.11,13.2157,24.13,1
2024-08-15,13.39,13.0959,22.59,0
2024-08-16,13.84,14.3097,22.75,1
2024-08-19,14.31,13.3452,21.08,0
2024-08-20,13.95,12.6431,21.27,0
2024-08-21,14.02,13.5976,18.59,0
2024-08-22,12.96,13.8198,18.3,1
2024-08-23,14.94,15.3639,19.09,1
2024-08-26,14.26,14.5956,18.52,1
2024-08-27,14.47,14.5267,19.19,1
2024-08-28,13.66,14.5154,18.83,1
2024-08-29,14.23,13.6948,18.23,0
2024-08-30,14.38,13.0392,18.39,0
2024-09-03,14.61,13.9307,18.07,0
2024-09-04,15.03,12.6473,18.87,0
2024-09-05,15.37,14.0395,19.17,0
2024-09-06,15.12,14.1353,19.92,0
2024-09-09,15.11,12.676,19.23,0
2024-09-10,15.06,13.2797,19.17,0
2024-09-11,15.63,14.1546,19.26,0
2024-09-12,15.41,13.6196,19.08,0
2024-09-13,14.83,13.0936,23.21,0
2024-09-16,14.67,13.3111,20.61,0
2024-09-17,15.14,14.374,20.23,0
2024-09-18,14.83,15.1109,20.25,1
2024-09-19,15.78,11.2537,19.81,0
2024-09-20,15.9,13.5846,19.21,0
2024-09-23,15.92,13.8916,20.09,0
2024-09-24,18.63,12.8496,19.37,0
2024-09-25,18.27,14.4536,19.73,0
2024-09-26,21.09,14.5316,19.59,1
2024-09-27,22.92,12.8128,19.3,1
2024-09-30,23.38,13.3787,19.19,1
2024-10-01,26.73,12.5486,19.36,1
2024-10-02,29.66,13.3214,18.84,1
2024-10-03,27.05,12.7696,18.4,1
2024-10-04,27.57,13.4504,18.11,1
2024-10-07,26.46,14.0208,17.13,1
2024-10-08,23.04,10.5357,17.12,1
2024-10-09,22.98,11.1526,16.99,1
2024-10-10,22.41,13.89,17.42,1
2024-10-11,22.64,12.2386,16.78,1
2024-10-14,21.82,10.6721,15.97,1
2024-10-15,20.31,13.8506,16.1,1
2024-10-16,20.59,11.2171,16.65,1
2024-10-17,19.46,14.2367,16.83,1
2024-10-18,20.15,15.0428,16.98,1
2024-10-21,20.22,11.2607,17.47,1
2024-10-22,20.49,13.5136,17.05,1
2024-10-23,20.39,11.8915,16.31,1
2024-10-24,19.96,10.8105,16.43,1
2024-10-25,20.65,17.5161,16.89,1
2024-10-28,22.23,11.7341,16.98,1
2024-10-29,21.93,12.0072,17.34,1
2024-10-30,22.22,13.667,16.78,1
2024-10-31,22.12,13.1373,17.59,1
2024-11-01,21.9,11.1633,16.72,1
2024-11-04,22.0,15.4031,16.72,1
2024-11-05,23.22,12.2312,17.66,1
