date,entry_close,pred_close,actual_close,correct
2024-06-10,52.05,68.9476,56.02,1
2024-06-11,51.77,77.4277,55.06,1
2024-06-12,51.14,72.9781,53.94,1
2024-06-13,48.4,75.3564,53.34,1
2024-06-14,48.43,88.2756,52.24,1
2024-06-17,48.63,84.1371,51.84,1
2024-06-18,46.96,73.0077,51.91,1
2024-06-20,47.45,71.8622,50.75,1
2024-06-21,48.25,69.9271,50.62,1
2024-06-24,48.43,64.936,51.66,1
2024-06-25,48.21,79.305,54.76,1
2024-06-26,49.26,68.0008,54.26,1
2024-06-27,50.32,63.5752,52.65,1
2024-06-28,52.62,68.9966,52.89,1
2024-07-01,52.81,70.7058,52.17,0
2024-07-02,53.54,93.2351,52.99,0
2024-07-03,53.16,66.1332,53.18,1
2024-07-05,52.68,67.9161,52.76,1
2024-07-08,51.68,69.7469,51.25,0
2024-07-09,50.79,63.4326,51.4,1
2024-07-10,50.19,59.4601,52.3,1
2024-07-11,50.87,68.4629,55.51,1
2024-07-12,51.26,68.3503,53.92,1
2024-07-15,54.27,69.28,53.9,0
2024-07-16,55.73,64.466,54.73,0
2024-07-17,55.73,87.8813,55.8,1
2024-07-18,52.75,61.1904,55.82,1
2024-07-19,53.61,74.6646,55.92,1
2024-07-22,53.8,89.4147,55.76,1
2024-07-23,53.83,61.829,55.52,1
2024-07-24,50.86,64.162,56.67,1
2024-07-25,52.83,61.8248,57.77,1
2024-07-26,52.83,63.7271,57.03,1
2024-07-29,52.94,62.925,56.25,1
2024-07-30,52.32,69.6576,55.31,1
2024-07-31,49.96,59.3836,55.1,1
2024-08-01,48.14,58.1556,54.77,1
2024-08-02,46.77,73.2063,56.69,1
2024-08-05,44.4,54.5794,56.7,1
2024-08-06,43.97,70.1774,57.21,1
2024-08-07,44.56,70.3989,58.36,1
2024-08-08,46.39,72.3014,58.26,1
2024-08-09,46.94,66.7676,58.36,1
2024-08-12,46.49,64.2908,59.3,1
2024-08-13,48.0,69.2113,64.72,1
2024-08-14,47.14,65.495,65.9,1
2024-08-15,48.44,76.2482,77.31,1
2024-08-16,49.12,57.1679,85.89,1
2024-08-19,50.78,65.6028,89.01,1
2024-08-20,50.53,74.1909,89.67,1
2024-08-21,51.47,61.4692,86.38,1
2024-08-22,50.74,66.8992,84.69,1
2024-08-23,47.34,65.5003,84.64,1
2024-08-26,49.77,55.8571,86.09,1
2024-08-27,53.48,61.359,87.86,1
2024-08-28,52.31,70.3755,89.98,1
2024-08-29,54.98,54.1553,91.51,0
2024-08-30,54.56,63.1403,93.76,1
2024-09-03,52.75,59.3568,92.85,1
2024-09-04,54.69,51.0795,89.77,0
2024-09-05,56.02,53.0035,90.22,0
2024-09-06,55.06,49.2502,89.52,0
2024-09-09,53.94,64.5024,88.48,1
2024-09-10,53.34,57.2303,92.56,1
2024-09-11,52.24,54.8463,95.47,1
2024-09-12,51.84,60.1449,97.41,1
2024-09-13,51.91,55.4257,92.46,1
2024-09-16,50.75,56.1665,89.66,1
2024-09-17,50.62,50.9395,89.91,1
2024-09-18,51.66,59.4151,89.81,1
2024-09-19,54.76,53.2111,87.84,0
2024-09-20,54.26,53.3167,87.97,0
2024-09-23,52.65,55.4595,87.46,1
2024-09-24,52.89,61.3567,83.69,1
2024-09-25,52.17,52.2791,88.44,1
2024-09-26,52.99,51.7277,89.52,0
2024-09-27,53.18,57.9527,89.45,1
2024-09-30,52.76,53.9072,87.04,1
2024-10-01,51.25,64.8231,88.97,1
2024-10-02,51.4,54.199,86.94,1
2024-10-03,52.3,63.4139,85.51,1
2024-10-04,55.51,66.8831,84.71,1
2024-10-07,53.92,55.5273,84.05,1
2024-10-08,53.9,59.5433,88.24,1
2024-10-09,54.73,55.1328,87.5,1
2024-10-10,55.8,52.1448,83.76,0
2024-10-11,55.82,68.2444,82.49,1
2024-10-14,55.92,53.6405,83.2,0
2024-10-15,55.76,49.9395,81.03,0
2024-10-16,55.52,64.4247,82.31,1
2024-10-17,56.67,52.9667,87.09,0
2024-10-18,57.77,47.0438,88.24,0
2024-10-21,57.03,51.4536,88.9,0
2024-10-22,56.25,52.9744,90.39,0
2024-10-23,55.31,48.5932,91.89,0
2024-10-24,55.1,56.4335,92.32,1
2024-10-25,54.77,50.5806,93.88,0
2024-10-28,56.69,54.5126,92.89,0
2024-10-29,56.7,64.8157,97.07,1
2024-10-30,57.21,55.9494,95.29,0
2024-10-31,58.36,57.6196,96.12,0
2024-11-01,58.26,55.9465,96.77,0
2024-11-04,58.36,58.2777,95.81,0
2024-11-05,59.3,55.5857,96.15,0
2024-11-06,64.72,55.9517,97.03,0
2024-11-07,65.9,56.7986,96.35,0
2024-11-08,77.31,57.4426,62.13,1
2024-11-11,85.89,57.1061,64.97,1
2024-11-12,89.01,57.4141,61.49,1
2024-11-13,89.67,53.83,61.08,1
2024-11-14,86.38,51.0924,60.88,1
2024-11-15,84.69,51.7554,59.82,1
2024-11-18,84.64,52.5358,60.03,1
2024-11-19,86.09,50.1569,57.95,1
2024-11-20,87.86,55.4256,56.53,1
2024-11-21,89.98,46.8142,52.73,1
2024-11-22,91.51,56.9046,53.26,1
2024-11-25,93.76,58.4109,53.61,1
2024-11-26,92.85,57.7601,54.01,1
2024-11-27,89.77,60.5379,54.32,1
2024-11-29,90.22,49.3487,55.2,1
2024-12-02,89.52,62.8042,51.57,1
2024-12-03,88.48,55.6416,50.21,1
2024-12-04,92.56,48.2453,49.44,1
2024-12-05,95.47,48.3539,47.66,1
2024-12-06,97.41,50.4085,47.24,1
2024-12-09,92.46,56.186,43.59,1
