date,entry_close,pred_close,actual_close,correct
2024-06-10,2.79,2.9294,1.67,0
2024-06-11,2.78,2.8194,1.67,0
2024-06-12,2.76,3.1151,1.69,0
2024-06-13,2.71,3.3438,1.72,0
2024-06-14,2.58,3.0259,1.75,0
2024-06-17,2.55,3.3399,1.72,0
2024-06-18,2.74,3.3369,1.8,0
2024-06-20,2.67,3.2312,1.66,0
2024-06-21,2.58,3.4489,1.7,0
2024-06-24,2.45,3.4022,1.72,0
2024-06-25,2.31,2.9299,1.75,0
2024-06-26,2.28,3.1498,1.67,0
2024-06-27,2.29,2.5717,1.67,0
2024-06-28,2.25,2.9881,1.73,0
2024-07-01,2.23,3.2247,1.66,0
2024-07-02,2.17,3.2248,1.75,0
2024-07-03,2.29,3.3297,1.84,0
2024-07-05,2.34,3.6598,1.8,0
2024-07-08,2.33,3.1893,1.76,0
2024-07-09,2.37,3.3922,1.78,0
2024-07-10,2.38,3.1027,1.67,0
2024-07-11,2.48,3.1788,1.7,0
2024-07-12,2.67,2.9175,1.76,0
2024-07-15,2.54,2.7384,1.68,0
2024-07-16,2.56,2.9865,1.68,0
2024-07-17,2.47,3.0931,1.61,0
2024-07-18,2.39,3.5558,1.69,0
2024-07-19,2.29,2.8966,1.67,0
2024-07-22,2.31,3.1338,1.63,0
2024-07-23,2.3,3.1531,1.63,0
2024-07-24,2.23,3.1469,1.6,0
2024-07-25,2.25,2.9037,1.68,0
2024-07-26,2.3,2.8511,1.66,0
2024-07-29,2.24,3.0685,1.65,0
2024-07-30,2.2,3.1643,1.59,0
2024-07-31,2.28,2.6078,1.57,0
2024-08-01,2.14,2.6075,1.52,0
2024-08-02,2.03,2.6939,1.68,0
2024-08-05,1.93,2.9147,1.59,0
2024-08-06,1.93,2.5365,1.6,0
2024-08-07,1.9,2.5895,1.58,0
2024-08-08,1.98,2.5585,1.62,0
2024-08-09,1.93,3.1971,1.73,0
2024-08-12,1.84,3.0945,1.67,0
2024-08-13,1.97,2.8063,1.35,0
2024-08-14,1.83,3.2829,1.34,0
2024-08-15,1.85,2.7036,1.35,0
2024-08-16,1.88,3.5573,1.34,0
2024-08-19,1.9,2.9072,1.27,0
2024-08-20,1.85,3.4108,1.27,0
2024-08-21,1.9,3.4421,1.27,0
2024-08-22,1.84,3.3249,1.28,0
2024-08-23,1.99,3.5636,1.35,0
2024-08-26,1.9,2.9689,1.33,0
2024-08-27,1.87,3.0412,1.28,0
2024-08-28,1.81,2.699,1.28,0
2024-08-29,1.87,2.8521,1.31,0
2024-08-30,1.84,2.8882,1.43,0
2024-09-03,1.75,3.3565,1.37,0
2024-09-04,1.71,2.933,1.47,0
2024-09-05,1.67,3.2809,1.49,0
2024-09-06,1.67,3.4245,1.53,0
2024-09-09,1.69,3.2936,1.47,0
2024-09-10,1.72,3.6105,1.45,0
2024-09-11,1.75,3.3633,1.62,0
2024-09-12,1.72,2.6673,1.61,0
2024-09-13,1.8,3.0934,1.71,0
2024-09-16,1.66,2.8928,1.7,1
2024-09-17,1.7,2.9832,1.67,0
2024-09-18,1.72,2.401,1.6,0
2024-09-19,1.75,2.8767,1.62,0
2024-09-20,1.67,2.2996,1.6,0
2024-09-23,1.67,3.2996,1.6,0
2024-09-24,1.73,3.2032,1.52,0
