date,entry_close,pred_close,actual_close,correct
2024-06-10,146.95,173.4088,167.55,1
2024-06-11,143.48,154.8484,168.51,1
2024-06-12,151.15,163.6543,166.16,1
2024-06-13,151.15,175.2195,170.96,1
2024-06-14,149.55,170.1617,169.99,1
2024-06-17,149.93,152.5392,175.72,1
2024-06-18,149.44,175.8735,183.3,1
2024-06-20,144.74,157.5683,187.65,1
2024-06-21,143.19,161.6041,193.89,1
2024-06-24,142.22,169.7506,194.52,1
2024-06-25,136.51,174.1852,201.83,1
2024-06-26,136.74,170.3645,197.74,1
2024-06-27,137.86,178.5008,195.81,1
2024-06-28,138.41,171.0004,193.01,1
2024-07-01,133.99,172.7933,191.91,1
2024-07-02,134.74,181.8918,190.07,1
2024-07-03,134.38,130.2664,194.25,0
2024-07-05,132.6,165.1516,193.86,1
2024-07-08,134.49,166.6431,194.84,1
2024-07-09,134.3,166.6712,195.22,1
2024-07-10,136.72,165.6809,195.86,1
2024-07-11,146.89,155.249,192.28,1
2024-07-12,152.73,153.1389,192.18,1
2024-07-15,153.17,155.9186,193.14,1
2024-07-16,165.44,158.6113,194.4,0
2024-07-17,158.88,164.3788,191.75,1
2024-07-18,158.94,165.21,193.0,1
2024-07-19,158.0,149.0145,196.71,0
2024-07-22,160.86,182.6356,195.72,1
2024-07-23,163.88,152.4205,198.25,0
2024-07-24,154.12,172.0114,195.37,1
2024-07-25,158.73,189.5434,194.97,1
2024-07-26,167.49,153.6217,184.84,0
2024-07-29,168.09,163.1717,180.65,0
2024-07-30,167.63,140.4255,179.22,0
2024-07-31,167.37,146.4022,181.66,0
2024-08-01,159.5,159.5426,180.8,1
2024-08-02,152.15,161.0228,184.8,1
2024-08-05,149.65,165.147,171.6,1
2024-08-06,155.73,155.1325,172.88,0
2024-08-07,152.86,156.8929,171.4,1
2024-08-08,153.15,156.6056,172.02,1
2024-08-09,155.51,163.5212,172.43,1
2024-08-12,153.3,158.1134,180.99,1
2024-08-13,160.9,157.7348,176.78,0
2024-08-14,160.6,165.2074,179.19,1
2024-08-15,164.65,152.9681,178.35,0
2024-08-16,161.13,162.1417,183.59,1
2024-08-19,163.31,159.8537,178.65,0
2024-08-20,164.15,155.9031,179.88,0
2024-08-21,168.25,156.8352,181.2,0
2024-08-22,167.55,153.5477,176.28,0
2024-08-23,182.21,165.5753,178.3,1
2024-08-26,176.41,168.0816,178.81,0
2024-08-27,174.62,162.4812,174.83,0
2024-08-28,172.9,170.0739,175.91,0
2024-08-29,172.16,176.7569,178.52,1
2024-08-30,174.0,151.6762,189.03,0
2024-09-03,168.65,158.2283,185.92,0
2024-09-04,168.88,159.6332,184.75,0
2024-09-05,167.55,168.6841,186.47,1
2024-09-06,168.51,168.0218,184.82,0
2024-09-09,166.16,173.9198,184.47,1
2024-09-10,170.96,177.4314,177.12,1
2024-09-11,169.99,159.2753,175.89,0
2024-09-12,175.72,160.4162,175.82,0
2024-09-13,183.3,154.9874,176.89,1
2024-09-16,187.65,168.175,170.74,1
2024-09-17,193.89,144.9586,172.16,1
2024-09-18,194.52,170.974,170.68,1
2024-09-19,201.83,150.2033,166.43,1
2024-09-20,197.74,157.7289,160.57,1
2024-09-23,195.81,177.7271,160.12,1
2024-09-24,193.01,148.7049,152.03,1
2024-09-25,191.91,166.4406,146.29,1
2024-09-26,190.07,160.1544,150.5,1
2024-09-27,194.25,172.7377,149.03,1
2024-09-30,193.86,151.4373,148.82,1
2024-10-01,194.84,154.2382,148.18,1
2024-10-02,195.22,165.9598,145.08,1
2024-10-03,195.86,151.1344,143.37,1
2024-10-04,192.28,156.3705,142.93,1
2024-10-07,192.18,157.4503,141.98,1
2024-10-08,193.14,151.0252,144.03,1
2024-10-09,194.4,169.7206,145.65,1
2024-10-10,191.75,174.0285,143.32,1
2024-10-11,193.0,166.6191,143.5,1
2024-10-14,196.71,172.739,139.96,1
2024-10-15,195.72,152.5209,146.47,1
2024-10-16,198.25,159.6468,154.25,1
2024-10-17,195.37,160.6772,161.54,1
2024-10-18,194.97,152.4247,160.66,1
2024-10-21,184.84,151.2243,164.12,1
2024-10-22,180.65,147.8145,166.18,1
2024-10-23,179.22,164.6159,165.78,1
2024-10-24,181.66,163.1828,168.12,1
2024-10-25,180.8,207.103,166.76,0
2024-10-28,184.8,182.5017,173.51,1
2024-10-29,171.6,175.1743,169.52,0
2024-10-30,172.88,166.5191,168.62,1
2024-10-31,171.4,170.66,172.71,0
2024-11-01,172.02,182.0839,167.28,0
2024-11-04,172.43,185.3917,162.91,0
2024-11-05,180.99,173.3405,163.43,1
2024-11-06,176.78,162.0307,162.09,1
2024-11-07,179.19,156.7458,159.87,1
2024-11-08,178.35,161.6786,153.93,1
2024-11-11,183.59,176.454,155.72,1
2024-11-12,178.65,200.4336,156.16,0
2024-11-13,179.88,179.4881,150.76,1
2024-11-14,181.2,166.618,152.5,1
2024-11-15,176.28,174.5898,153.9,1
2024-11-18,178.3,154.4176,147.95,1
2024-11-19,178.81,168.2674,144.79,1
2024-11-20,174.83,189.09,144.39,0
2024-11-21,175.91,186.8714,137.35,0
2024-11-22,178.52,183.672,138.58,0
2024-11-25,189.03,171.872,140.78,1
2024-11-26,185.92,188.1618,142.08,0
2024-11-27,184.75,173.7846,139.15,1
2024-11-29,186.47,197.0461,138.99,0
2024-12-02,184.82,189.0755,134.92,0
2024-12-03,184.47,184.0729,130.39,1
2024-12-04,177.12,179.8742,133.7,0
2024-12-05,175.89,180.924,134.27,0
2024-12-06,175.82,178.4554,134.51,0
2024-12-09,176.89,179.8894,135.58,0
2024-12-10,170.74,186.9607,130.0,0
2024-12-11,172.16,180.4082,129.46,0
2024-12-12,170.68,192.5751,122.8,0
2024-12-13,166.43,195.0688,126.19,0
2024-12-16,160.57,183.4247,128.15,0
2024-12-17,160.12,180.5686,127.72,0
2024-12-18,152.03,184.1325,128.29,0
2024-12-19,146.29,183.9638,128.76,0
2024-12-20,150.5,177.9502,126.46,0
2024-12-23,149.03,183.5213,131.73,0
2024-12-24,148.82,172.5679,130.85,0
2024-12-26,148.18,173.1265,128.99,0
2024-12-27,145.08,168.1655,128.03,0
2024-12-30,143.37,190.0889,124.51,0
2024-12-31,142.93,171.3107,124.94,0
2025-01-02,141.98,168.9859,125.61,0
2025-01-03,144.03,170.9254,131.12,0
2025-01-06,145.65,167.1862,119.82,0
2025-01-07,143.32,181.36,123.96,0
2025-01-08,143.5,164.76,118.91,0
2025-01-10,139.96,174.8487,113.83,0
2025-01-13,146.47,180.8887,124.73,0
2025-01-14,154.25,171.4873,119.94,0
2025-01-15,161.54,156.4879,120.9,1
2025-01-16,160.66,157.0711,119.5,1
2025-01-17,164.12,175.489,118.22,0
2025-01-21,166.18,171.9117,113.06,0
2025-01-22,165.78,176.0439,116.94,0
2025-01-23,168.12,169.3269,114.08,0
2025-01-24,166.76,180.8467,116.1,0
2025-01-27,173.51,168.5977,117.26,1
2025-01-28,169.52,167.1366,120.91,1
2025-01-29,168.62,151.4652,121.35,1
2025-01-30,172.71,173.8496,121.5,0
2025-01-31,167.28,147.2722,120.24,1
2025-02-03,162.91,164.2879,119.63,0
2025-02-04,163.43,171.263,111.93,0
2025-02-05,162.09,169.3195,114.13,0
2025-02-06,159.87,177.2505,111.86,0
2025-02-07,153.93,185.6419,107.15,0
2025-02-10,155.72,181.8976,105.99,0
2025-02-11,156.16,164.7069,111.07,0
2025-02-12,150.76,175.3333,110.72,0
2025-02-13,152.5,163.187,117.99,0
2025-02-14,153.9,174.3327,123.81,0
2025-02-18,147.95,181.1149,119.51,0
2025-02-19,144.79,174.0469,117.96,0
2025-02-20,144.39,175.1143,120.64,0
2025-02-21,137.35,178.9541,117.6,0
2025-02-24,138.58,170.4046,114.62,0
2025-02-25,140.78,170.3339,108.38,0
2025-02-26,142.08,174.2827,109.84,0
2025-02-27,139.15,171.5262,108.33,0
2025-02-28,138.99,158.5746,111.5,0
2025-03-03,134.92,157.8937,107.46,0
2025-03-04,130.39,180.8818,108.93,0
2025-03-05,133.7,151.8979,107.68,0
2025-03-06,134.27,149.0683,105.63,0
2025-03-07,134.51,166.073,110.2,0
2025-03-10,135.58,147.8058,112.73,0
2025-03-11,130.0,171.859,113.36,0
2025-03-12,129.46,171.458,111.63,0
2025-03-13,122.8,150.5639,112.96,0
2025-03-14,126.19,160.5112,117.33,0
2025-03-17,128.15,156.7952,114.36,0
2025-03-18,127.72,168.269,115.05,0
2025-03-19,128.29,144.8319,111.29,0
2025-03-20,128.76,157.9004,111.71,0
2025-03-21,126.46,168.2409,107.98,0
2025-03-24,131.73,155.6855,106.85,0
2025-03-25,130.85,152.2041,114.82,0
2025-03-26,128.99,149.9444,119.13,0
2025-03-27,128.03,148.6958,118.84,0
2025-03-28,124.51,163.0198,115.96,0
2025-03-31,124.94,144.2132,115.98,0
2025-04-01,125.61,140.9133,117.01,0
2025-04-02,131.12,151.7673,116.69,0
2025-04-03,119.82,151.3675,126.91,1
2025-04-04,123.96,167.4589,127.89,1
