date,entry_close,pred_close,actual_close,correct
2024-06-10,3.24,3.2988,1.66,0
2024-06-11,3.35,3.1208,1.57,1
2024-06-12,3.41,3.1186,1.57,1
2024-06-13,3.16,3.2922,1.66,0
2024-06-14,3.04,2.9474,1.81,1
2024-06-17,2.92,3.2345,1.78,0
2024-06-18,2.81,3.0219,1.84,0
2024-06-20,2.67,2.9929,1.79,0
2024-06-21,2.7,2.9727,1.88,0
2024-06-24,2.74,3.1328,1.81,0
2024-06-25,2.78,2.6415,1.81,1
2024-06-26,2.69,3.5402,1.74,0
2024-06-27,2.8,2.4769,1.69,1
2024-06-28,2.74,2.3957,1.74,1
2024-07-01,2.68,3.0786,1.65,0
2024-07-02,2.62,2.6502,1.69,0
2024-07-03,2.79,3.059,1.76,0
2024-07-05,2.86,2.6294,1.72,1
2024-07-08,2.92,2.8455,1.67,1
2024-07-09,2.87,2.927,1.68,0
2024-07-10,3.07,2.8409,1.78,1
2024-07-11,3.3,3.2711,1.96,1
2024-07-12,3.48,3.2361,1.96,1
2024-07-15,3.47,3.0811,1.91,1
2024-07-16,3.7,2.9102,1.95,1
2024-07-17,3.47,3.041,1.86,1
2024-07-18,3.32,2.4707,1.99,1
2024-07-19,3.12,2.8541,1.99,1
2024-07-22,3.11,2.9156,2.01,1
2024-07-23,3.33,3.1639,2.04,1
2024-07-24,3.19,3.1686,2.03,1
2024-07-25,3.26,3.4514,2.11,0
2024-07-26,3.41,3.0546,2.11,1
2024-07-29,3.32,3.4442,2.08,0
2024-07-30,3.18,2.9843,1.98,1
2024-07-31,3.29,2.9655,2.16,1
2024-08-01,3.06,3.1646,2.2,0
2024-08-02,2.83,3.2625,2.25,0
2024-08-05,2.76,3.1606,2.13,0
2024-08-06,2.69,2.4656,2.08,1
2024-08-07,2.52,3.3446,1.98,0
2024-08-08,2.13,2.7422,2.04,0
2024-08-09,2.0,3.5937,2.01,1
2024-08-12,1.91,2.9211,2.15,1
2024-08-13,2.17,2.6251,1.91,0
2024-08-14,2.07,2.9467,2.01,0
2024-08-15,2.13,2.5919,1.67,0
2024-08-16,2.1,3.207,1.83,0
2024-08-19,2.1,2.9283,1.78,0
2024-08-20,2.07,3.1495,1.69,0
2024-08-21,2.11,2.789,1.61,0
2024-08-22,2.01,3.2195,1.52,0
2024-08-23,2.1,2.9202,1.58,0
2024-08-26,2.08,2.8846,1.55,0
2024-08-27,2.0,2.8927,1.535,0
2024-08-28,1.83,3.219,1.52,0
2024-08-29,1.83,2.681,1.53,0
2024-08-30,1.86,2.7074,1.62,0
2024-09-03,1.71,2.932,1.55,0
2024-09-04,1.66,2.7414,1.56,0
2024-09-05,1.66,2.6137,1.59,0
2024-09-06,1.57,2.5292,1.62,1
2024-09-09,1.57,2.2205,1.57,0
2024-09-10,1.66,2.1353,1.585,0
2024-09-11,1.81,2.5439,1.58,0
2024-09-12,1.78,3.1652,1.58,0
2024-09-13,1.84,3.1635,1.78,0
2024-09-16,1.79,2.5837,1.7,0
2024-09-17,1.88,3.1142,1.68,0
2024-09-18,1.81,2.8653,1.59,0
2024-09-19,1.81,2.6379,1.55,0
2024-09-20,1.74,3.0064,1.6,0
2024-09-23,1.69,2.4619,1.58,0
2024-09-24,1.74,2.4032,1.5,0
2024-09-25,1.65,2.567,1.46,0
2024-09-26,1.69,2.6017,1.49,0
2024-09-27,1.76,3.1323,1.49,0
2024-09-30,1.72,2.2532,1.52,0
2024-10-01,1.67,2.981,1.58,0
2024-10-02,1.68,3.1062,1.55,0
2024-10-03,1.78,2.7049,1.46,0
2024-10-04,1.96,2.3278,1.39,0
2024-10-07,1.96,2.768,1.5,0
2024-10-08,1.91,3.0973,1.6,0
2024-10-09,1.95,3.0347,1.67,0
2024-10-10,1.86,2.852,1.68,0
2024-10-11,1.99,2.7719,1.61,0
2024-10-14,1.99,3.478,1.56,0
2024-10-15,2.01,2.7696,1.54,0
2024-10-16,2.04,2.7296,1.44,0
2024-10-17,2.03,2.6222,1.47,0
2024-10-18,2.11,2.653,1.47,0
2024-10-21,2.11,3.0897,1.47,0
2024-10-22,2.08,2.4593,1.39,0
2024-10-23,1.98,2.4534,1.345,0
2024-10-24,2.16,2.4639,1.29,0
2024-10-25,2.2,2.8611,1.3,0
2024-10-28,2.25,2.4813,1.23,0
2024-10-29,2.13,2.6851,1.17,0
2024-10-30,2.08,1.9427,1.22,1
2024-10-31,1.98,2.6652,1.24,0
2024-11-01,2.04,2.7871,1.22,0
2024-11-04,2.01,2.9735,1.18,0
2024-11-05,2.15,3.0613,1.17,0
2024-11-06,1.91,2.4616,1.15,0
2024-11-07,2.01,2.8183,1.16,0
2024-11-08,1.67,2.8651,1.08,0
2024-11-11,1.83,2.5239,1.07,0
2024-11-12,1.78,1.907,1.06,0
2024-11-13,1.69,3.0259,1.07,0
2024-11-14,1.61,2.7605,1.135,0
2024-11-15,1.52,2.9728,1.09,0
2024-11-18,1.58,2.6001,1.1,0
2024-11-19,1.55,2.7126,1.09,0
2024-11-20,1.535,2.4046,1.06,0
2024-11-21,1.52,3.024,1.025,0
2024-11-22,1.53,1.8077,0.982,0
2024-11-25,1.62,2.755,0.969,0
2024-11-26,1.55,2.9478,0.994,0
2024-11-27,1.56,2.1821,1.01,0
2024-11-29,1.59,3.1523,1.02,0
2024-12-02,1.62,2.4292,0.906,0
2024-12-03,1.57,2.2643,0.956,0
2024-12-04,1.585,2.5464,0.98,0
2024-12-05,1.58,2.6875,1.06,0
2024-12-06,1.58,2.5305,1.04,0
2024-12-09,1.78,3.0404,0.923,0
2024-12-10,1.7,2.9684,1.01,0
2024-12-11,1.68,2.3108,0.977,0
2024-12-12,1.59,2.5167,0.9,0
2024-12-13,1.55,3.0188,0.954,0
2024-12-16,1.6,2.8751,1.05,0
2024-12-17,1.58,2.6249,1.03,0
2024-12-18,1.5,2.4904,1.03,0
2024-12-19,1.46,2.1721,1.0,0
2024-12-20,1.49,2.1875,0.99,0
2024-12-23,1.49,1.9114,1.03,0
2024-12-24,1.52,2.1956,1.01,0
2024-12-26,1.58,2.0776,0.945,0
2024-12-27,1.55,2.369,0.938,0
2024-12-30,1.46,2.1832,0.936,0
2024-12-31,1.39,1.9647,0.918,0
2025-01-02,1.5,2.0968,0.941,0
2025-01-03,1.6,1.9021,0.958,0
2025-01-06,1.67,1.9038,0.881,0
2025-01-07,1.68,1.966,0.828,0
2025-01-08,1.61,2.1181,0.83,0
2025-01-10,1.56,1.7863,0.756,0
2025-01-13,1.54,1.7233,0.76,0
2025-01-14,1.44,1.9415,0.693,0
2025-01-15,1.47,2.3737,0.747,0
2025-01-16,1.47,1.7761,0.715,0
2025-01-17,1.47,1.7203,0.672,0
2025-01-21,1.39,2.028,0.684,0
2025-01-22,1.345,1.9287,0.685,0
2025-01-23,1.29,1.7964,0.663,0
2025-01-24,1.3,2.1235,0.699,0
2025-01-27,1.23,2.3206,0.706,0
2025-01-28,1.17,1.8789,0.77,0
2025-01-29,1.22,2.1372,0.793,0
2025-01-30,1.24,1.9178,0.762,0
2025-01-31,1.22,1.9914,0.746,0
2025-02-03,1.18,1.9816,0.732,0
2025-02-04,1.17,1.6933,0.738,0
2025-02-05,1.15,2.6893,0.749,0
2025-02-06,1.16,1.8497,0.715,0
2025-02-07,1.08,2.0205,0.729,0
2025-02-10,1.07,1.9864,0.757,0
2025-02-11,1.06,2.2428,0.837,0
2025-02-12,1.07,1.6416,0.838,0
2025-02-13,1.135,2.1804,0.865,0
2025-02-14,1.09,2.4952,0.777,0
2025-02-18,1.1,2.1639,0.742,0
2025-02-19,1.09,1.8614,0.711,0
2025-02-20,1.06,2.0068,0.747,0
2025-02-21,1.025,1.5454,0.731,0
2025-02-24,0.982,1.7482,0.74,0
2025-02-25,0.969,1.9346,0.716,0
2025-02-26,0.994,1.8204,0.704,0
2025-02-27,1.01,1.7903,0.721,0
2025-02-28,1.02,2.0107,0.753,0
2025-03-03,0.906,1.4425,0.75,0
2025-03-04,0.956,2.048,0.739,0
2025-03-05,0.98,1.9745,0.703,0
2025-03-06,1.06,1.7842,0.711,0
2025-03-07,1.04,1.9072,0.786,0
2025-03-10,0.923,2.343,0.84,0
2025-03-11,1.01,1.8461,0.782,0
2025-03-12,0.977,2.3241,0.866,0
2025-03-13,0.9,2.4006,0.945,1
2025-03-14,0.954,1.8624,0.966,1
2025-03-17,1.05,1.5612,0.93,0
2025-03-18,1.03,1.7485,0.921,0
2025-03-19,1.03,2.1742,0.868,0
2025-03-20,1.0,2.01,0.884,0
2025-03-21,0.99,1.8053,0.861,0
2025-03-24,1.03,1.4187,0.949,0
2025-03-25,1.01,1.7507,0.931,0
2025-03-26,0.945,2.0647,0.834,0
2025-03-27,0.938,1.9535,0.86,0
2025-03-28,0.936,1.6429,0.917,0
2025-03-31,0.918,1.5716,1.01,1
2025-04-01,0.941,2.1675,0.924,0
2025-04-02,0.958,1.6086,0.94,0
2025-04-03,0.881,1.6104,0.895,1
2025-04-04,0.828,1.9558,0.915,1
2025-04-07,0.83,1.5971,0.964,1
