date,entry_close,pred_close,actual_close,correct
2024-06-10,1.07,1.6093,0.95,0
2024-06-11,1.07,1.5221,0.916,0
2024-06-12,1.05,1.553,0.926,0
2024-06-13,1.03,1.3352,0.922,0
2024-06-14,1.02,1.4417,0.91,0
2024-06-17,1.22,1.7774,0.928,0
2024-06-18,1.14,1.3829,1.07,0
2024-06-20,1.14,1.902,1.03,0
2024-06-21,1.11,1.2476,1.08,0
2024-06-24,1.03,1.422,1.07,1
2024-06-25,1.07,1.5537,1.11,1
2024-06-26,1.06,1.6269,1.01,0
2024-06-27,1.04,1.5784,0.94,0
2024-06-28,1.0,1.198,0.938,0
2024-07-01,1.03,1.3134,0.922,0
2024-07-02,1.01,1.1193,1.04,1
2024-07-03,1.01,1.4756,1.06,1
2024-07-05,0.987,1.8414,1.01,1
2024-07-08,1.04,2.161,0.97,0
2024-07-09,1.01,1.198,1.02,1
2024-07-10,1.02,1.5748,1.01,0
2024-07-11,1.04,1.7186,1.03,0
2024-07-12,1.07,1.384,1.05,0
2024-07-15,1.21,1.5436,1.02,0
2024-07-16,1.21,1.2299,0.975,0
2024-07-17,1.22,1.0764,0.94,1
2024-07-18,1.18,1.9244,0.955,0
2024-07-19,1.21,1.2092,1.01,1
2024-07-22,1.16,1.5551,0.97,0
2024-07-23,1.08,1.3016,1.0,0
2024-07-24,1.01,1.3971,0.956,0
2024-07-25,1.01,1.3551,0.986,0
2024-07-26,1.06,1.2038,0.99,0
2024-07-29,0.982,1.0143,1.01,1
2024-07-30,0.98,1.276,0.97,0
2024-07-31,1.0,1.2075,1.02,1
2024-08-01,0.978,1.1067,0.971,0
2024-08-02,0.928,1.1595,1.06,1
2024-08-05,0.854,1.4193,1.3,1
2024-08-06,0.866,1.0769,1.36,1
2024-08-07,0.831,1.8107,1.16,1
2024-08-08,0.912,1.1051,1.25,1
2024-08-09,0.912,1.0432,1.2,1
2024-08-12,0.858,1.7129,1.31,1
2024-08-13,0.866,1.0781,1.48,1
2024-08-14,0.832,1.2011,1.44,1
2024-08-15,0.829,1.2144,1.26,1
2024-08-16,0.86,1.1069,1.78,1
2024-08-19,0.976,0.9284,1.65,0
2024-08-20,0.995,1.0844,1.51,1
2024-08-21,1.02,1.0981,1.48,1
2024-08-22,0.967,1.2357,1.65,1
2024-08-23,0.992,1.3467,1.53,1
2024-08-26,1.06,1.209,1.59,1
2024-08-27,1.03,1.1931,1.67,1
2024-08-28,0.965,1.0374,1.82,1
2024-08-29,1.01,1.3157,1.97,1
2024-08-30,0.922,1.41,2.08,1
2024-09-03,0.912,1.472,1.8,1
2024-09-04,0.925,1.2653,1.82,1
2024-09-05,0.95,1.2626,2.12,1
2024-09-06,0.916,1.5559,2.08,1
2024-09-09,0.926,1.1579,2.14,1
2024-09-10,0.922,1.4273,2.31,1
2024-09-11,0.91,1.4509,2.25,1
2024-09-12,0.928,1.3804,3.04,1
2024-09-13,1.07,1.7582,2.99,1
2024-09-16,1.03,1.006,2.53,0
2024-09-17,1.08,1.7114,2.66,1
2024-09-18,1.07,1.7291,2.76,1
2024-09-19,1.11,1.2941,2.86,1
2024-09-20,1.01,1.0987,3.09,1
2024-09-23,0.94,2.0785,2.97,1
2024-09-24,0.938,2.4728,2.59,1
2024-09-25,0.922,1.1095,2.31,1
2024-09-26,1.04,1.3284,2.32,1
2024-09-27,1.06,1.7396,2.06,1
2024-09-30,1.01,1.3779,2.25,1
2024-10-01,0.97,1.5992,2.29,1
2024-10-02,1.02,1.254,2.23,1
2024-10-03,1.01,1.4853,2.22,1
2024-10-04,1.03,0.9797,2.05,0
2024-10-07,1.05,0.9055,2.22,0
2024-10-08,1.02,1.0606,2.32,1
2024-10-09,0.975,1.2297,2.34,1
2024-10-10,0.94,1.3098,2.12,1
2024-10-11,0.955,1.5802,1.93,1
2024-10-14,1.01,1.2759,1.94,1
2024-10-15,0.97,1.0145,1.76,1
2024-10-16,1.0,1.6047,1.8,1
2024-10-17,0.956,1.1071,1.94,1
2024-10-18,0.986,1.3258,1.9,1
2024-10-21,0.99,1.8171,2.01,1
2024-10-22,1.01,1.1597,2.14,1
2024-10-23,0.97,1.2032,2.18,1
2024-10-24,1.02,1.1603,2.12,1
2024-10-25,0.971,1.3114,2.09,1
2024-10-28,1.06,1.0633,2.05,1
2024-10-29,1.3,1.363,1.89,1
2024-10-30,1.36,0.9747,1.86,0
2024-10-31,1.16,0.9936,2.23,0
2024-11-01,1.25,1.0041,2.07,0
2024-11-04,1.2,1.6448,1.97,1
2024-11-05,1.31,1.0512,1.82,0
2024-11-06,1.48,0.9554,1.81,0
2024-11-07,1.44,1.0757,1.87,0
2024-11-08,1.26,0.847,1.89,0
2024-11-11,1.78,1.1697,1.9,0
2024-11-12,1.65,0.8444,1.75,0
2024-11-13,1.51,1.1584,1.78,0
2024-11-14,1.48,1.4074,1.75,0
2024-11-15,1.65,1.2652,1.79,0
2024-11-18,1.53,1.1525,1.75,0
2024-11-19,1.59,0.8752,1.78,0
2024-11-20,1.67,1.1939,1.79,0
2024-11-21,1.82,1.3092,1.67,1
2024-11-22,1.97,1.34,1.55,1
2024-11-25,2.08,1.2123,1.29,1
2024-11-26,1.8,1.0718,1.36,1
2024-11-27,1.82,1.2258,1.28,1
2024-11-29,2.12,0.8949,1.31,1
2024-12-02,2.08,1.0424,1.18,1
2024-12-03,2.14,1.1788,1.22,1
2024-12-04,2.31,1.0583,1.26,1
2024-12-05,2.25,1.0206,1.24,1
2024-12-06,3.04,1.1124,1.27,1
2024-12-09,2.99,1.1495,1.09,1
2024-12-10,2.53,1.0028,1.05,1
2024-12-11,2.66,0.9612,1.07,1
2024-12-12,2.76,1.176,1.04,1
2024-12-13,2.86,1.1041,1.11,1
2024-12-16,3.09,1.2041,1.07,1
2024-12-17,2.97,1.0852,0.977,1
2024-12-18,2.59,0.6034,1.005,1
2024-12-19,2.31,0.8303,0.992,1
2024-12-20,2.32,1.1287,0.959,1
2024-12-23,2.06,1.1388,1.07,1
2024-12-24,2.25,1.0701,1.08,1
2024-12-26,2.29,1.1315,0.94,1
2024-12-27,2.23,0.8266,0.917,1
2024-12-30,2.22,1.7127,0.911,1
2024-12-31,2.05,0.6661,0.878,1
2025-01-02,2.22,0.3914,0.867,1
2025-01-03,2.32,1.0442,0.898,1
2025-01-06,2.34,0.7618,0.82,1
2025-01-07,2.12,0.9567,0.761,1
2025-01-08,1.93,1.3256,0.764,1
2025-01-10,1.94,0.7429,0.703,1
2025-01-13,1.76,1.2745,0.74,1
2025-01-14,1.8,1.3912,0.652,1
2025-01-15,1.94,1.2288,0.675,1
2025-01-16,1.9,1.2176,0.748,1
2025-01-17,2.01,1.2103,0.754,1
2025-01-21,2.14,0.9645,0.7,1
2025-01-22,2.18,1.0457,0.697,1
2025-01-23,2.12,1.1526,0.684,1
2025-01-24,2.09,1.0573,0.741,1
2025-01-27,2.05,1.3542,0.793,1
2025-01-28,1.89,0.6886,0.8,1
2025-01-29,1.86,1.4929,0.833,1
2025-01-30,2.23,1.3385,0.801,1
2025-01-31,2.07,1.9341,0.78,1
2025-02-03,1.97,0.989,0.704,1
2025-02-04,1.82,1.2289,0.692,1
2025-02-05,1.81,1.1278,0.688,1
2025-02-06,1.87,1.3495,0.622,1
2025-02-07,1.89,1.4319,0.6,1
2025-02-10,1.9,1.6283,0.599,1
2025-02-11,1.75,1.4971,0.652,1
2025-02-12,1.78,1.5973,0.749,1
2025-02-13,1.75,1.7018,0.831,1
