date,entry_close,pred_close,actual_close,correct
2024-06-10,106.98,152.2047,71.19,0
2024-06-11,104.26,171.943,69.16,0
2024-06-12,111.6,118.5504,69.69,0
2024-06-13,108.21,176.0936,67.43,0
2024-06-14,105.25,127.0223,69.11,0
2024-06-17,105.53,171.3845,70.27,0
2024-06-18,104.41,164.7083,76.36,0
2024-06-20,111.77,113.1202,79.13,0
2024-06-21,112.38,128.8088,83.09,0
2024-06-24,112.5,142.4443,85.08,0
2024-06-25,110.81,130.8683,87.23,0
2024-06-26,108.06,127.4863,85.9,0
2024-06-27,105.66,170.5589,86.53,0
2024-06-28,104.52,162.857,87.16,0
2024-07-01,101.28,137.2854,82.35,0
2024-07-02,105.03,115.9075,85.62,0
2024-07-03,107.28,139.9426,87.59,0
2024-07-05,105.15,167.1054,87.59,0
2024-07-08,102.02,138.3683,85.85,0
2024-07-09,102.03,151.6191,86.67,0
2024-07-10,99.01,136.57,83.86,0
2024-07-11,103.68,121.2584,88.35,0
2024-07-12,107.43,154.6466,89.03,0
2024-07-15,108.13,139.5846,87.76,0
2024-07-16,110.92,112.0222,87.65,0
2024-07-17,112.13,115.2376,84.4,0
2024-07-18,109.15,134.4457,83.04,0
2024-07-19,101.85,119.3451,80.93,0
2024-07-22,105.76,127.9992,77.47,0
2024-07-23,104.53,135.6154,82.13,0
2024-07-24,97.28,118.32,80.26,0
2024-07-25,101.59,112.6886,81.05,0
2024-07-26,104.74,121.3079,79.47,0
2024-07-29,100.78,122.3635,79.65,0
2024-07-30,98.62,129.1306,78.55,0
2024-07-31,101.01,126.6584,83.57,0
2024-08-01,94.5,119.8379,82.36,0
2024-08-02,84.44,109.4823,85.44,1
2024-08-05,83.96,119.7723,87.1,1
2024-08-06,86.27,130.5483,85.94,0
2024-08-07,86.93,119.7845,83.0,0
2024-08-08,89.29,121.5177,92.06,1
2024-08-09,86.96,123.5605,90.27,1
2024-08-12,83.11,134.1397,88.51,1
2024-08-13,84.63,107.0525,96.43,1
2024-08-14,84.32,117.9644,94.79,1
2024-08-15,87.73,115.1061,92.95,1
2024-08-16,87.5,129.8871,96.83,1
2024-08-19,88.89,136.1155,99.2,1
2024-08-20,88.98,123.4204,105.63,1
2024-08-21,91.24,100.4465,106.56,1
2024-08-22,84.89,171.5986,100.25,1
2024-08-23,87.92,115.9469,100.94,1
2024-08-26,89.03,119.213,100.06,1
2024-08-27,86.24,112.6234,99.06,1
2024-08-28,81.33,131.2193,101.64,1
2024-08-29,82.64,130.5444,102.67,1
2024-08-30,81.99,154.0277,108.81,1
2024-09-03,75.31,117.7049,107.37,1
2024-09-04,74.52,99.2052,108.84,1
2024-09-05,71.19,110.7367,109.07,1
2024-09-06,69.16,111.5498,105.93,1
2024-09-09,69.69,140.4814,102.89,1
2024-09-10,67.43,144.1404,101.47,1
2024-09-11,69.11,157.5591,98.76,1
2024-09-12,70.27,109.1334,102.46,1
2024-09-13,76.36,116.7833,100.21,1
2024-09-16,79.13,113.0621,100.49,1
2024-09-17,83.09,121.8283,99.14,1
2024-09-18,85.08,115.5786,96.09,1
2024-09-19,87.23,117.8668,92.19,1
2024-09-20,85.9,106.748,90.79,1
2024-09-23,86.53,97.497,89.17,1
2024-09-24,87.16,119.6849,83.48,0
2024-09-25,82.35,116.5687,80.94,0
2024-09-26,85.62,100.1014,80.98,0
2024-09-27,87.59,118.5838,81.42,0
2024-09-30,87.59,141.3139,81.39,0
2024-10-01,85.85,129.7238,81.97,0
2024-10-02,86.67,123.3394,80.96,0
2024-10-03,83.86,107.922,78.86,0
2024-10-04,88.35,119.0035,80.61,0
2024-10-07,89.03,106.6571,80.44,0
2024-10-08,87.76,118.3011,81.76,0
2024-10-09,87.65,120.3739,84.73,0
2024-10-10,84.4,125.145,88.46,1
2024-10-11,83.04,78.9066,85.92,0
2024-10-14,80.93,101.0189,84.56,1
2024-10-15,77.47,92.8748,83.73,1
2024-10-16,82.13,125.7604,85.72,1
2024-10-17,80.26,104.6202,88.79,1
2024-10-18,81.05,161.1265,88.68,1
2024-10-21,79.47,127.0556,90.19,1
2024-10-22,79.65,147.4321,90.3,1
2024-10-23,78.55,105.7903,91.3,1
2024-10-24,83.57,137.9057,90.92,1
2024-10-25,82.36,104.9521,90.02,1
2024-10-28,85.44,137.9336,89.27,1
2024-10-29,87.1,119.3967,92.31,1
2024-10-30,85.94,100.2511,91.81,1
2024-10-31,83.0,93.0842,93.64,1
2024-11-01,92.06,113.8794,89.7,0
2024-11-04,90.27,104.0897,87.7,0
2024-11-05,88.51,115.7363,89.17,1
2024-11-06,96.43,92.2383,88.0,1
2024-11-07,94.79,106.1706,90.82,0
2024-11-08,92.95,102.1341,87.01,0
2024-11-11,96.83,95.1829,90.43,1
2024-11-12,99.2,94.1463,89.71,1
2024-11-13,105.63,106.715,83.59,0
2024-11-14,106.56,81.0077,87.19,1
2024-11-15,100.25,98.7341,90.75,1
2024-11-18,100.94,119.2804,96.5,0
2024-11-19,100.06,114.1245,94.19,0
2024-11-20,99.06,113.3809,93.83,0
2024-11-21,101.64,98.5268,87.1,1
2024-11-22,102.67,97.7442,86.45,1
2024-11-25,108.81,112.2486,83.45,0
2024-11-26,107.37,107.5854,80.57,0
2024-11-27,108.84,99.5923,80.22,1
2024-11-29,109.07,103.302,79.01,1
2024-12-02,105.93,89.2925,74.23,1
2024-12-03,102.89,107.4913,76.34,0
2024-12-04,101.47,110.3543,76.61,0
2024-12-05,98.76,108.5697,73.8,0
2024-12-06,102.46,93.6754,74.49,1
2024-12-09,100.21,83.9492,71.59,1
2024-12-10,100.49,95.7698,63.79,1
2024-12-11,99.14,84.1948,62.64,1
2024-12-12,96.09,87.1442,55.49,1
2024-12-13,92.19,100.4165,61.95,0
2024-12-16,90.79,98.113,59.2,0
2024-12-17,89.17,100.3953,58.01,0
2024-12-18,83.48,105.5863,60.9,0
2024-12-19,80.94,83.144,57.92,0
2024-12-20,80.98,93.9391,60.65,0
2024-12-23,81.42,88.4095,60.66,0
2024-12-24,81.39,86.6621,59.48,0
2024-12-26,81.97,81.8589,61.55,1
2024-12-27,80.96,80.8608,74.16,1
2024-12-30,78.86,89.9913,74.66,0
2024-12-31,80.61,83.3851,75.9,0
2025-01-02,80.44,92.5693,75.35,0
2025-01-03,81.76,109.9008,76.78,0
2025-01-06,84.73,88.4753,72.61,0
2025-01-07,88.46,84.1306,69.2,1
2025-01-08,85.92,87.0092,69.42,0
2025-01-10,84.56,87.8014,62.86,0
2025-01-13,83.73,84.9941,73.92,0
2025-01-14,85.72,94.9758,70.87,0
2025-01-15,88.79,93.1122,69.68,0
2025-01-16,88.68,105.6093,71.3,0
2025-01-17,90.19,94.9447,69.7,0
2025-01-21,90.3,94.1918,72.69,0
2025-01-22,91.3,98.5439,84.59,0
2025-01-23,90.92,106.9111,80.66,0
2025-01-24,90.02,105.0482,84.89,0
2025-01-27,89.27,100.782,86.31,0
2025-01-28,92.31,90.7206,91.39,1
2025-01-29,91.81,97.5716,93.81,1
2025-01-30,93.64,87.4773,94.6,0
2025-01-31,89.7,97.8967,91.76,1
2025-02-03,87.7,87.1489,92.63,0
2025-02-04,89.17,90.2292,92.97,1
2025-02-05,88.0,83.3053,96.17,0
2025-02-06,90.82,89.8498,96.3,0
2025-02-07,87.01,83.0888,97.29,0
2025-02-10,90.43,87.0095,100.5,0
2025-02-11,89.71,89.3963,101.09,0
2025-02-12,83.59,103.3548,104.13,1
2025-02-13,87.19,87.6234,103.76,1
2025-02-14,90.75,91.6701,106.35,1
2025-02-18,96.5,93.7984,105.84,0
2025-02-19,94.19,100.3581,105.67,1
2025-02-20,93.83,110.056,108.84,1
2025-02-21,87.1,91.9795,112.72,1
2025-02-24,86.45,86.2096,112.0,0
2025-02-25,83.45,91.0144,108.97,1
2025-02-26,80.57,88.7864,117.75,1
2025-02-27,80.22,82.3154,119.71,1
2025-02-28,79.01,87.9772,122.57,1
2025-03-03,74.23,85.4005,120.49,1
2025-03-04,76.34,91.6788,119.49,1
2025-03-05,76.61,91.0875,121.79,1
2025-03-06,73.8,85.4528,119.51,1
2025-03-07,74.49,79.2881,116.71,1
2025-03-10,71.59,94.1289,112.27,1
2025-03-11,63.79,88.183,116.14,1
2025-03-12,62.64,95.204,123.0,1
2025-03-13,55.49,90.9488,126.1,1
2025-03-14,61.95,81.4843,125.87,1
2025-03-17,59.2,94.3547,126.91,1
2025-03-18,58.01,95.4641,125.21,1
2025-03-19,60.9,96.8432,121.91,1
2025-03-20,57.92,94.4507,127.54,1
2025-03-21,60.65,77.3433,127.81,1
2025-03-24,60.66,90.9852,129.86,1
2025-03-25,59.48,89.645,134.44,1
2025-03-26,61.55,89.3801,147.0,1
2025-03-27,74.16,97.2573,171.86,1
2025-03-28,74.66,90.8315,175.73,1
2025-03-31,75.9,94.5704,179.3,1
2025-04-01,75.35,92.4022,174.22,1
2025-04-02,76.78,88.2158,169.05,1
2025-04-03,72.61,88.79,171.89,1
2025-04-04,69.2,90.0265,177.6,1
2025-04-07,69.42,95.7062,181.31,1
2025-04-08,62.86,92.3382,181.52,1
2025-04-09,73.92,96.5868,178.52,1
2025-04-10,70.87,92.2659,177.8,1
2025-04-11,69.68,85.1802,189.19,1
2025-04-14,71.3,80.2594,191.39,1
2025-04-15,69.7,91.0173,194.86,1
2025-04-16,72.69,83.6165,192.58,1
2025-04-17,84.59,82.5176,191.73,0
2025-04-21,80.66,84.5116,196.09,1
2025-04-22,84.89,92.021,192.48,1
2025-04-23,86.31,81.7715,190.08,0
2025-04-24,91.39,84.4127,199.75,0
2025-04-25,93.81,91.3274,207.49,0
2025-04-28,94.6,87.6435,207.55,0
2025-04-29,91.76,97.1296,206.79,1
2025-04-30,92.63,83.6258,206.04,0
2025-05-01,92.97,85.5165,203.88,0
2025-05-02,96.17,100.3295,172.46,1
2025-05-05,96.3,77.4804,170.24,0
2025-05-06,97.29,75.1936,164.07,0
2025-05-07,100.5,77.1883,160.46,0
2025-05-08,101.09,82.3117,159.21,0
2025-05-09,104.13,84.0679,156.64,0
2025-05-12,103.76,77.7725,156.75,0
2025-05-13,106.35,91.4013,153.71,0
2025-05-14,105.84,86.4229,153.08,0
2025-05-15,105.67,80.2071,159.85,0
2025-05-16,108.84,75.3449,161.25,0
2025-05-19,112.72,74.8094,158.32,0
2025-05-20,112.0,79.4964,155.63,0
2025-05-21,108.97,95.0857,158.76,0
2025-05-22,117.75,76.726,156.62,0
2025-05-23,119.71,76.9175,147.94,0
2025-05-27,122.57,92.3508,150.29,0
2025-05-28,120.49,78.8634,155.49,0
2025-05-29,119.49,77.6411,153.17,0
2025-05-30,121.79,90.0408,153.23,0
2025-06-02,119.51,75.2651,156.95,0
2025-06-03,116.71,84.4569,158.54,0
2025-06-04,112.27,89.9003,158.23,0
2025-06-05,116.14,71.6712,161.2,0
2025-06-06,123.0,70.8218,157.09,0
2025-06-09,126.1,86.9858,156.53,0
2025-06-10,125.87,83.1319,156.28,0
2025-06-11,126.91,73.04,158.53,0
2025-06-12,125.21,85.3694,157.91,0
2025-06-13,121.91,79.6254,155.78,0
2025-06-16,127.54,88.0554,157.03,0
2025-06-17,127.81,83.8514,155.53,0
2025-06-18,129.86,97.7605,152.35,0
2025-06-20,134.44,78.7085,155.21,0
2025-06-23,147.0,82.5837,153.15,0
2025-06-24,171.86,92.7222,155.92,1
2025-06-25,175.73,85.9243,157.66,1
2025-06-26,179.3,79.6109,157.73,1
2025-06-27,174.22,77.8029,159.38,1
2025-06-30,169.05,83.4815,161.68,1
2025-07-01,171.89,87.7019,163.28,1
2025-07-02,177.6,80.1061,161.27,1
2025-07-03,181.31,85.5012,161.53,1
2025-07-07,181.52,75.5115,160.57,1
2025-07-08,178.52,83.3599,159.01,1
2025-07-09,177.8,80.2374,159.71,1
2025-07-10,189.19,79.5829,154.56,1
2025-07-11,191.39,79.5885,148.41,1
2025-07-14,194.86,106.6541,149.22,1
2025-07-15,192.58,95.165,146.32,1
2025-07-16,191.73,78.6304,146.87,1
2025-07-17,196.09,99.6956,146.99,1
2025-07-18,192.48,70.7658,149.48,1
2025-07-21,190.08,100.467,155.49,1
2025-07-22,199.75,97.1032,152.22,1
2025-07-23,207.49,94.4537,151.2,1
2025-07-24,207.55,100.0941,150.39,1
2025-07-25,206.79,94.4424,149.11,1
2025-07-28,206.04,84.368,153.09,1
2025-07-29,203.88,102.3992,151.71,1
2025-07-30,172.46,60.9105,153.24,1
2025-07-31,170.24,99.0331,157.01,1
2025-08-01,164.07,82.4882,155.18,1
2025-08-04,160.46,78.1084,145.77,1
2025-08-05,159.21,82.6928,139.05,1
2025-08-06,156.64,68.9721,135.68,1
2025-08-07,156.75,75.4933,136.07,1
2025-08-08,153.71,95.5534,132.27,1
2025-08-11,153.08,84.5025,138.01,1
2025-08-12,159.85,116.6753,140.23,1
2025-08-13,161.25,120.0896,138.31,1
2025-08-14,158.32,84.9064,143.31,1
2025-08-15,155.63,77.8111,142.5,1
2025-08-18,158.76,90.4402,143.83,1
2025-08-19,156.62,82.9956,143.2,1
2025-08-20,147.94,109.0784,137.55,1
2025-08-21,150.29,94.8415,138.56,1
2025-08-22,155.49,90.4982,129.45,1
2025-08-25,153.17,87.6239,129.3,1
2025-08-26,153.23,105.0411,132.19,1
2025-08-27,156.95,113.1915,126.65,1
2025-08-28,158.54,112.0001,131.42,1
2025-08-29,158.23,99.131,131.74,1
2025-09-02,161.2,99.7315,134.06,1
2025-09-03,157.09,114.814,133.95,1
2025-09-04,156.53,97.1939,135.88,1
2025-09-05,156.28,156.271,130.19,1
2025-09-08,158.53,91.8858,131.93,1
2025-09-09,157.91,135.7647,134.82,1
2025-09-10,155.78,132.9671,133.85,1
2025-09-11,157.03,122.432,134.85,1
2025-09-12,155.53,92.7285,132.09,1
2025-09-15,152.35,119.2804,133.93,1
2025-09-16,155.21,124.8132,134.95,1
2025-09-17,153.15,112.8113,134.89,1
2025-09-18,155.92,113.8277,131.03,1
2025-09-19,157.66,114.3917,128.61,1
2025-09-22,157.73,130.4898,132.67,1
2025-09-23,159.38,119.1634,130.34,1
2025-09-24,161.68,135.4642,128.11,1
2025-09-25,163.28,129.4388,130.59,1
2025-09-26,161.27,98.3525,132.3,1
2025-09-29,161.53,103.2572,134.9,1
2025-09-30,160.57,97.7567,131.82,1
2025-10-01,159.01,127.8317,131.93,1
2025-10-02,159.71,78.9358,129.72,1
2025-10-03,154.56,98.5698,128.84,1
2025-10-06,148.41,122.1803,128.32,1
2025-10-07,149.22,77.5839,128.22,1
2025-10-08,146.32,134.6819,129.17,1
2025-10-09,146.87,118.1894,130.12,1
2025-10-10,146.99,97.0868,127.04,1
2025-10-13,149.48,137.1833,127.57,1
2025-10-14,155.49,103.1722,128.52,1
2025-10-15,152.22,129.8196,127.12,1
2025-10-16,151.2,103.2671,125.18,1
2025-10-17,150.39,95.4291,123.43,1
2025-10-20,149.11,121.1895,124.57,1
2025-10-21,153.09,94.2944,125.63,1
2025-10-22,151.71,118.0209,121.46,1
2025-10-23,153.24,140.1778,126.45,1
2025-10-24,157.01,133.0901,125.21,1
2025-10-27,155.18,128.314,121.68,1
2025-10-28,145.77,134.2099,116.88,1
2025-10-29,139.05,142.7811,117.52,0
2025-10-30,135.68,146.7148,115.1,0
2025-10-31,136.07,129.6489,115.67,1
2025-11-03,132.27,148.4709,114.99,0
2025-11-04,138.01,133.962,115.48,1
2025-11-05,140.23,137.907,121.12,1
2025-11-06,138.31,153.2021,122.89,0
2025-11-07,143.31,149.1434,114.62,0
2025-11-10,142.5,152.0574,120.42,0
2025-11-11,143.83,149.2828,118.72,0
2025-11-12,143.2,158.0448,116.71,0
2025-11-13,137.55,146.2511,115.9,0
2025-11-14,138.56,151.2434,116.5,0
2025-11-17,129.45,147.368,118.35,0
2025-11-18,129.3,153.8927,122.1,0
2025-11-19,132.19,144.1483,123.3,0
2025-11-20,126.65,137.4367,96.74,0
2025-11-21,131.42,155.4233,96.47,0
2025-11-24,131.74,154.6351,87.69,0
2025-11-25,134.06,139.775,93.99,0
2025-11-26,133.95,146.995,92.9,0
2025-11-28,135.88,154.7384,96.54,0
2025-12-01,130.19,139.438,97.41,0
2025-12-02,131.93,153.9837,95.71,0
2025-12-03,134.82,141.8832,96.98,0
2025-12-04,133.85,137.7059,95.75,0
2025-12-05,134.85,162.9732,97.05,0
2025-12-08,132.09,144.7,97.51,0
2025-12-09,133.93,135.8826,95.89,0
2025-12-10,134.95,147.5883,95.79,0
2025-12-11,134.89,155.9515,101.19,0
2025-12-12,131.03,145.4171,99.56,0
2025-12-15,128.61,150.6472,100.71,0
2025-12-16,132.67,142.3911,97.98,0
2025-12-17,130.34,135.9934,101.88,0
2025-12-18,128.11,142.4743,101.52,0
2025-12-19,130.59,139.1093,100.44,0
2025-12-22,132.3,131.2218,99.9,1
2025-12-23,134.9,131.8141,107.28,1
2025-12-24,131.82,137.7769,117.49,0
2025-12-26,131.93,140.7191,123.56,0
2025-12-29,129.72,125.8394,139.58,0
2025-12-30,128.84,147.1692,148.45,1
2025-12-31,128.32,120.8148,135.56,0
2026-01-02,128.22,119.1362,145.85,0
2026-01-05,129.17,145.0992,170.07,1
2026-01-06,130.12,134.5684,190.42,1
2026-01-07,127.04,143.5747,212.6,1
2026-01-08,127.57,138.5806,255.15,1
2026-01-09,128.52,142.3098,261.35,1
2026-01-12,127.12,154.78,297.08,1
2026-01-13,125.18,125.7503,299.94,1
