date,entry_close,pred_close,actual_close,correct
2024-06-10,66.17,67.8786,32.03,0
2024-06-11,65.82,74.6772,31.96,0
2024-06-12,61.69,76.1074,33.39,0
2024-06-13,62.05,76.4841,32.5,0
2024-06-14,59.96,50.0247,33.08,1
2024-06-17,58.42,69.4565,32.94,0
2024-06-18,63.28,66.356,33.69,0
2024-06-20,61.9,73.3144,33.18,0
2024-06-21,62.48,82.1227,34.8,0
2024-06-24,59.77,55.9448,34.28,1
2024-06-25,55.86,64.5606,34.07,0
2024-06-26,56.56,62.4611,33.17,0
2024-06-27,57.54,68.408,32.8,0
2024-06-28,57.09,67.9035,31.63,0
2024-07-01,57.84,73.8434,31.02,0
2024-07-02,57.24,73.5421,31.32,0
2024-07-03,57.52,76.0075,32.53,0
2024-07-05,57.22,69.0759,31.36,0
2024-07-08,56.06,76.6794,31.2,0
2024-07-09,55.55,64.3207,30.45,0
2024-07-10,56.91,73.0535,29.74,0
2024-07-11,58.52,68.6993,30.25,0
2024-07-12,58.9,64.1371,28.82,0
2024-07-15,52.63,70.4495,28.74,0
2024-07-16,52.79,81.13,30.51,0
2024-07-17,50.75,61.8343,34.91,0
2024-07-18,50.98,64.0532,32.8,0
2024-07-19,49.58,72.9821,34.82,0
2024-07-22,48.14,65.3295,34.16,0
2024-07-23,47.47,60.6099,33.78,0
2024-07-24,45.64,87.3604,32.18,0
2024-07-25,46.4,77.7929,33.85,0
2024-07-26,48.02,71.2077,32.46,0
2024-07-29,46.88,76.2506,32.02,0
2024-07-30,46.31,75.8912,30.46,0
2024-07-31,46.83,69.7257,31.7,0
2024-08-01,44.8,59.3495,31.66,0
2024-08-02,42.71,59.4154,31.4,0
2024-08-05,41.35,66.6675,31.03,0
2024-08-06,40.38,51.4923,30.69,0
2024-08-07,39.4,59.1073,30.08,0
2024-08-08,39.59,66.2207,31.48,0
2024-08-09,38.08,48.3316,31.07,0
2024-08-12,38.03,62.0089,31.73,0
2024-08-13,39.48,62.0926,30.04,0
2024-08-14,39.23,57.2891,30.01,0
2024-08-15,41.59,63.4145,28.9,0
2024-08-16,40.17,68.393,27.39,0
2024-08-19,41.56,64.1978,26.96,0
2024-08-20,40.35,69.8984,27.04,0
2024-08-21,41.28,70.6744,26.93,0
2024-08-22,39.33,77.6424,25.66,0
2024-08-23,39.54,81.1585,25.79,0
2024-08-26,40.13,53.1828,27.29,0
2024-08-27,39.8,70.8873,27.71,0
2024-08-28,38.09,69.7263,29.05,0
2024-08-29,37.63,54.3266,29.31,0
2024-08-30,38.03,85.0123,29.75,0
2024-09-03,36.64,64.5974,27.6,0
2024-09-04,32.39,57.1608,28.37,0
2024-09-05,32.03,64.3123,28.45,0
2024-09-06,31.96,62.9271,28.64,0
2024-09-09,33.39,78.373,29.07,0
2024-09-10,32.5,57.4686,28.97,0
2024-09-11,33.08,65.623,27.89,0
2024-09-12,32.94,49.5451,28.17,0
2024-09-13,33.69,63.9925,30.56,0
2024-09-16,33.18,75.9868,30.61,0
2024-09-17,34.8,57.2885,29.76,0
2024-09-18,34.28,51.16,31.99,0
