date,entry_close,pred_close,actual_close,correct
2024-06-10,35.6,49.3615,27.8,0
2024-06-11,35.8,34.545,26.2,1
2024-06-12,36.2,44.0859,25.6,0
2024-06-13,34.4,52.6455,25.6,0
2024-06-14,33.8,49.3677,26.8,0
2024-06-17,33.0,40.8451,26.4,0
2024-06-18,30.0,44.5845,27.4,0
2024-06-20,30.0,43.7932,27.4,0
2024-06-21,28.4,39.34,30.2,1
2024-06-24,27.8,36.7941,29.0,1
2024-06-25,25.8,40.0978,28.6,1
2024-06-26,28.0,40.0124,27.4,0
2024-06-27,30.2,48.8051,27.0,0
2024-06-28,30.2,40.8484,28.4,0
2024-07-01,29.6,53.009,27.0,0
2024-07-02,28.6,32.501,27.2,0
2024-07-03,33.2,42.8795,27.4,0
2024-07-05,36.6,30.4945,27.4,1
2024-07-08,37.2,30.4026,26.0,1
2024-07-09,35.4,47.7218,26.2,0
2024-07-10,38.2,35.0791,27.2,1
2024-07-11,38.8,39.0645,28.4,0
2024-07-12,44.0,38.4078,29.4,1
2024-07-15,43.6,54.2969,27.8,0
2024-07-16,47.4,42.1271,27.4,1
2024-07-17,43.2,44.5358,26.2,0
2024-07-18,41.2,36.9734,26.8,1
2024-07-19,39.2,50.9805,26.4,0
2024-07-22,40.0,37.9514,26.4,1
2024-07-23,42.6,33.6163,26.8,1
2024-07-24,38.6,31.1313,26.6,1
2024-07-25,40.6,42.553,27.2,0
2024-07-26,43.8,41.8527,26.4,1
2024-07-29,41.8,32.0784,26.2,1
2024-07-30,40.6,39.4088,25.0,1
2024-07-31,43.4,36.9943,26.0,1
2024-08-01,39.8,31.2763,25.4,1
2024-08-02,38.4,33.8462,25.6,1
2024-08-05,37.2,29.5149,25.6,1
2024-08-06,35.2,38.0226,25.0,0
2024-08-07,31.8,37.6925,24.0,0
2024-08-08,35.4,39.224,24.8,0
2024-08-09,33.8,36.2195,26.6,0
2024-08-12,32.8,34.188,27.8,0
2024-08-13,35.6,35.5669,24.4,1
2024-08-14,34.8,33.3691,24.6,1
2024-08-15,35.8,37.1094,22.6,0
2024-08-16,35.8,38.7672,24.2,0
2024-08-19,37.6,40.3432,22.6,0
2024-08-20,36.2,35.5131,22.0,1
2024-08-21,38.6,32.8701,22.4,1
2024-08-22,36.4,32.4546,22.4,1
2024-08-23,38.4,32.7804,22.4,1
2024-08-26,36.8,38.5334,22.6,0
2024-08-27,36.6,35.0497,21.8,1
2024-08-28,35.4,32.8583,22.6,1
2024-08-29,37.2,36.7335,23.0,1
2024-08-30,37.6,36.2071,25.0,1
2024-09-03,34.0,40.3515,23.0,0
2024-09-04,33.8,41.592,23.4,0
2024-09-05,27.8,33.4009,24.4,0
2024-09-06,26.2,34.4167,23.8,0
2024-09-09,25.6,35.1811,23.2,0
2024-09-10,25.6,36.0958,24.4,0
2024-09-11,26.8,38.6375,27.0,1
2024-09-12,26.4,34.0474,26.2,0
2024-09-13,27.4,37.8286,28.0,1
2024-09-16,27.4,36.5182,25.8,0
2024-09-17,30.2,40.942,25.8,0
2024-09-18,29.0,43.0858,23.8,0
2024-09-19,28.6,35.9934,23.0,0
2024-09-20,27.4,38.1562,22.6,0
2024-09-23,27.0,32.2701,23.2,0
2024-09-24,28.4,40.699,23.2,0
2024-09-25,27.0,40.773,22.8,0
2024-09-26,27.2,32.3075,24.8,0
2024-09-27,27.4,27.2611,22.6,1
2024-09-30,27.4,24.95,23.2,1
2024-10-01,26.0,29.3645,23.6,0
2024-10-02,26.2,33.3963,22.8,0
2024-10-03,27.2,35.7019,22.2,0
2024-10-04,28.4,29.9572,21.4,0
2024-10-07,29.4,27.996,22.4,1
2024-10-08,27.8,38.3645,23.2,0
2024-10-09,27.4,38.7919,24.0,0
2024-10-10,26.2,38.311,24.4,0
2024-10-11,26.8,31.6103,22.4,0
2024-10-14,26.4,30.7798,22.2,0
2024-10-15,26.4,38.1769,21.0,0
2024-10-16,26.8,36.527,20.8,0
2024-10-17,26.6,35.3267,22.2,0
2024-10-18,27.2,39.3407,22.0,0
2024-10-21,26.4,34.4742,21.6,0
2024-10-22,26.2,34.4168,21.2,0
2024-10-23,25.0,37.7298,19.74,0
2024-10-24,26.0,36.4972,18.86,0
2024-10-25,25.4,33.8449,20.0,0
2024-10-28,25.6,34.9779,19.22,0
2024-10-29,25.6,35.3066,18.76,0
2024-10-30,25.0,33.7481,19.48,0
2024-10-31,24.0,32.4829,20.2,0
2024-11-01,24.8,33.3578,19.24,0
2024-11-04,26.6,29.3407,18.6,0
2024-11-05,27.8,36.1196,18.42,0
2024-11-06,24.4,36.7685,18.4,0
2024-11-07,24.6,37.929,18.44,0
2024-11-08,22.6,31.6511,16.28,0
2024-11-11,24.2,35.1062,15.8,0
2024-11-12,22.6,33.9176,13.66,0
2024-11-13,22.0,35.3158,14.0,0
2024-11-14,22.4,27.031,15.72,0
2024-11-15,22.4,40.8512,16.3,0
2024-11-18,22.4,40.8511,16.6,0
2024-11-19,22.6,41.1368,16.58,0
2024-11-20,21.8,39.9992,15.8,0
2024-11-21,22.6,36.4496,15.2,0
2024-11-22,23.0,35.5164,12.9,0
2024-11-25,25.0,32.8104,12.56,0
2024-11-26,23.0,34.2869,13.08,0
2024-11-27,23.4,31.5925,12.98,0
2024-11-29,24.4,35.0156,13.32,0
2024-12-02,23.8,37.8455,11.96,0
2024-12-03,23.2,39.342,13.2,0
2024-12-04,24.4,38.0861,14.46,0
2024-12-05,27.0,30.585,13.96,0
2024-12-06,26.2,39.5977,14.64,0
2024-12-09,28.0,28.2119,13.8,0
2024-12-10,25.8,30.5221,13.58,0
2024-12-11,25.8,34.0839,13.3,0
2024-12-12,23.8,31.934,12.94,0
2024-12-13,23.0,31.4175,13.8,0
2024-12-16,22.6,22.0408,14.0,1
2024-12-17,23.2,27.5174,13.7,0
2024-12-18,23.2,29.3585,14.02,0
2024-12-19,22.8,28.0676,13.24,0
2024-12-20,24.8,25.8664,13.7,0
2024-12-23,22.6,32.8099,13.44,0
2024-12-24,23.2,29.6863,13.74,0
2024-12-26,23.6,28.0518,13.38,0
2024-12-27,22.8,25.9595,13.24,0
2024-12-30,22.2,27.5927,12.38,0
2024-12-31,21.4,26.5697,12.1,0
2025-01-02,22.4,29.2821,12.08,0
2025-01-03,23.2,26.309,12.48,0
2025-01-06,24.0,25.9009,11.4,0
2025-01-07,24.4,28.6137,11.54,0
2025-01-08,22.4,26.4434,11.72,0
2025-01-10,22.2,25.6604,10.74,0
2025-01-13,21.0,32.1184,11.94,0
2025-01-14,20.8,29.9374,11.72,0
2025-01-15,22.2,29.5037,12.12,0
2025-01-16,22.0,26.9523,11.98,0
2025-01-17,21.6,26.8693,11.96,0
2025-01-21,21.2,23.8405,11.42,0
2025-01-22,19.74,25.6316,11.28,0
2025-01-23,18.86,27.6542,11.56,0
2025-01-24,20.0,28.5097,11.96,0
2025-01-27,19.22,29.1105,12.26,0
2025-01-28,18.76,32.6105,13.16,0
2025-01-29,19.48,25.1528,13.34,0
2025-01-30,20.2,30.1991,13.72,0
2025-01-31,19.24,26.3619,13.1,0
2025-02-03,18.6,29.1725,12.46,0
2025-02-04,18.42,26.286,12.52,0
2025-02-05,18.4,23.3087,12.34,0
2025-02-06,18.44,26.6185,11.6,0
2025-02-07,16.28,26.5936,11.68,0
2025-02-10,15.8,32.2324,11.92,0
2025-02-11,13.66,30.1154,12.06,0
2025-02-12,14.0,27.8805,12.4,0
2025-02-13,15.72,28.6761,13.34,0
2025-02-14,16.3,26.7025,13.88,0
2025-02-18,16.6,29.5321,13.98,0
2025-02-19,16.58,29.7133,13.66,0
2025-02-20,15.8,30.4439,14.3,0
