date,entry_close,pred_close,actual_close,correct
2024-06-10,22.68,17.1847,26.16,0
2024-06-11,22.85,20.0293,26.19,0
2024-06-12,22.42,16.1665,26.38,0
2024-06-13,23.25,16.0953,27.97,0
2024-06-14,22.14,20.8165,30.24,0
2024-06-17,22.81,17.5479,30.94,0
2024-06-18,25.97,18.9872,31.98,0
2024-06-20,25.5,16.3792,32.67,0
2024-06-21,25.47,18.1146,32.07,0
2024-06-24,26.95,18.3162,30.9,0
2024-06-25,29.99,16.3214,31.1,0
2024-06-26,29.14,16.2153,29.75,0
2024-06-27,29.05,18.059,29.87,0
2024-06-28,27.24,21.0356,29.52,0
2024-07-01,25.44,15.748,29.35,0
2024-07-02,24.87,16.802,29.63,0
2024-07-03,24.1,16.3042,29.96,0
2024-07-05,24.98,17.7318,29.29,0
2024-07-08,24.8,16.7002,29.36,0
2024-07-09,24.81,17.8453,28.83,0
2024-07-10,25.4,18.0192,28.98,0
2024-07-11,26.47,18.9298,29.02,0
2024-07-12,26.53,16.5306,28.02,0
2024-07-15,26.82,22.1842,29.52,0
2024-07-16,27.57,19.3378,30.45,0
2024-07-17,26.82,20.1242,29.52,0
2024-07-18,25.9,18.697,29.1,0
2024-07-19,25.51,18.9851,28.45,0
2024-07-22,25.07,16.496,28.86,0
2024-07-23,24.87,19.6336,29.28,0
2024-07-24,24.15,21.4955,29.32,0
2024-07-25,25.29,17.0657,29.05,0
2024-07-26,25.04,22.4255,27.68,0
2024-07-29,24.39,19.3416,28.07,0
2024-07-30,24.81,20.2284,27.46,0
2024-07-31,24.18,18.6588,27.09,0
2024-08-01,23.25,18.3296,26.95,0
2024-08-02,22.31,14.6846,26.8,0
2024-08-05,22.36,15.6566,26.69,0
2024-08-06,22.83,20.4157,26.51,0
2024-08-07,22.22,19.5188,26.97,0
2024-08-08,23.7,19.4628,27.12,0
2024-08-09,23.81,19.212,28.84,0
2024-08-12,23.74,21.777,29.17,0
2024-08-13,24.69,16.614,29.75,0
2024-08-14,25.56,21.6699,30.79,0
2024-08-15,26.48,22.4219,30.67,0
2024-08-16,27.1,22.0128,33.52,0
2024-08-19,27.27,20.0307,32.96,0
2024-08-20,26.67,22.4906,32.72,0
2024-08-21,27.1,21.9524,32.39,0
2024-08-22,26.33,20.546,31.71,0
2024-08-23,26.7,22.0754,31.85,0
2024-08-26,25.81,18.1845,32.94,0
2024-08-27,25.86,20.3337,34.62,0
2024-08-28,28.72,20.3027,35.87,0
2024-08-29,28.7,21.1812,34.89,0
2024-08-30,28.55,23.5704,34.62,0
2024-09-03,27.99,21.7266,34.05,0
2024-09-04,27.15,20.2837,33.33,0
2024-09-05,26.16,21.5538,33.41,0
2024-09-06,26.19,21.8519,33.63,0
2024-09-09,26.38,21.1395,33.62,0
2024-09-10,27.97,23.0548,33.47,0
2024-09-11,30.24,21.5236,31.07,0
2024-09-12,30.94,21.9323,31.58,0
2024-09-13,31.98,23.9713,30.89,1
2024-09-16,32.67,23.5281,31.37,1
2024-09-17,32.07,19.2487,32.54,0
2024-09-18,30.9,22.6113,31.87,0
2024-09-19,31.1,24.673,32.26,0
2024-09-20,29.75,22.4567,33.55,0
2024-09-23,29.87,22.5576,33.61,0
2024-09-24,29.52,21.3724,31.86,0
2024-09-25,29.35,24.0673,32.48,0
2024-09-26,29.63,17.0393,33.72,0
2024-09-27,29.96,19.8085,34.91,0
2024-09-30,29.29,22.7475,35.01,0
2024-10-01,29.36,18.399,34.03,0
2024-10-02,28.83,17.2216,34.07,0
2024-10-03,28.98,20.1259,34.21,0
2024-10-04,29.02,19.6759,33.49,0
2024-10-07,28.02,16.5849,33.87,0
2024-10-08,29.52,16.3803,35.96,0
2024-10-09,30.45,21.1356,37.07,0
2024-10-10,29.52,21.299,35.77,0
2024-10-11,29.1,21.3105,36.21,0
2024-10-14,28.45,24.4852,36.32,0
2024-10-15,28.86,23.0937,35.88,0
2024-10-16,29.28,22.1765,36.04,0
2024-10-17,29.32,24.7756,37.39,0
2024-10-18,29.05,24.8437,37.27,0
2024-10-21,27.68,23.9753,37.01,0
2024-10-22,28.07,22.938,37.18,0
2024-10-23,27.46,21.1951,37.2,0
2024-10-24,27.09,24.6496,38.0,0
2024-10-25,26.95,22.0309,39.27,0
2024-10-28,26.8,21.6689,38.97,0
2024-10-29,26.69,23.8988,38.88,0
2024-10-30,26.51,23.9684,38.95,0
2024-10-31,26.97,24.9445,39.8,0
2024-11-01,27.12,24.944,38.98,0
2024-11-04,28.84,25.7682,38.14,0
2024-11-05,29.17,23.6367,38.62,0
2024-11-06,29.75,26.2597,38.51,0
2024-11-07,30.79,24.3497,38.68,0
2024-11-08,30.67,23.9421,37.16,0
2024-11-11,33.52,18.1208,37.76,0
2024-11-12,32.96,27.6965,37.23,0
2024-11-13,32.72,25.1695,37.55,0
2024-11-14,32.39,25.3373,37.97,0
2024-11-15,31.71,26.5686,37.68,0
2024-11-18,31.85,26.2266,38.06,0
2024-11-19,32.94,21.2902,37.58,0
2024-11-20,34.62,25.7684,36.93,0
2024-11-21,35.87,25.161,35.12,1
2024-11-22,34.89,28.2425,34.46,1
2024-11-25,34.62,27.3189,34.55,1
2024-11-26,34.05,25.0063,35.82,0
2024-11-27,33.33,25.7276,36.13,0
2024-11-29,33.41,23.4144,37.26,0
2024-12-02,33.63,27.4471,35.9,0
2024-12-03,33.62,25.8052,34.32,0
2024-12-04,33.47,26.4827,36.88,0
2024-12-05,31.07,24.9938,35.09,0
2024-12-06,31.58,24.6165,33.32,0
2024-12-09,30.89,25.0255,31.83,0
2024-12-10,31.37,25.0749,33.2,0
2024-12-11,32.54,25.7036,33.26,0
2024-12-12,31.87,26.6727,32.35,0
2024-12-13,32.26,25.0773,33.29,0
2024-12-16,33.55,22.7223,33.04,1
2024-12-17,33.61,22.6019,31.99,1
2024-12-18,31.86,24.7419,32.25,0
2024-12-19,32.48,24.1317,32.32,1
2024-12-20,33.72,25.3587,33.86,0
2024-12-23,34.91,17.1934,34.02,1
2024-12-24,35.01,23.683,33.61,1
2024-12-26,34.03,21.3221,33.25,1
2024-12-27,34.07,19.4114,32.69,1
2024-12-30,34.21,18.0479,32.17,1
2024-12-31,33.49,25.1783,32.51,1
2025-01-02,33.87,24.5157,33.48,1
2025-01-03,35.96,25.174,34.0,1
2025-01-06,37.07,26.0143,33.67,1
2025-01-07,35.77,22.3808,31.52,1
2025-01-08,36.21,20.4173,31.57,1
2025-01-10,36.32,21.0301,31.21,1
2025-01-13,35.88,26.4243,33.29,1
2025-01-14,36.04,22.9175,32.58,1
2025-01-15,37.39,26.3851,34.66,1
2025-01-16,37.27,25.8712,34.25,1
2025-01-17,37.01,23.4002,35.01,1
2025-01-21,37.18,25.232,34.76,1
2025-01-22,37.2,25.9955,35.24,1
