date,entry_close,pred_close,actual_close,correct
2024-06-10,4.18,2.5103,2.89,1
2024-06-11,4.195,3.2548,2.7,1
2024-06-12,4.57,3.3884,2.95,1
2024-06-13,4.99,3.1766,3.11,1
2024-06-14,4.95,4.1907,3.1,1
2024-06-17,5.0,3.1918,3.09,1
2024-06-18,5.01,3.9826,3.09,1
2024-06-20,5.24,3.5813,3.01,1
2024-06-21,4.56,4.0222,2.98,1
2024-06-24,4.27,3.5357,2.9,1
2024-06-25,4.24,3.4443,2.93,1
2024-06-26,4.21,3.2445,2.9,1
2024-06-27,4.19,4.3375,2.99,0
2024-06-28,4.15,3.878,3.44,1
2024-07-01,4.72,4.0767,3.86,1
2024-07-02,4.58,3.7566,4.14,1
2024-07-03,4.65,4.3445,4.11,1
2024-07-05,4.7,3.6033,3.87,1
2024-07-08,4.62,3.7019,3.58,1
2024-07-09,4.37,3.4366,3.85,1
2024-07-10,4.43,3.645,3.82,1
2024-07-11,4.36,3.4638,4.1,1
2024-07-12,4.68,4.0396,4.02,1
2024-07-15,5.98,3.5133,3.96,1
2024-07-16,6.78,3.8507,3.77,1
2024-07-17,6.78,3.8814,3.67,1
2024-07-18,6.0,3.634,4.19,1
2024-07-19,6.19,4.1394,4.32,1
2024-07-22,6.46,3.88,4.38,1
2024-07-23,6.13,3.3446,5.01,1
2024-07-24,5.72,4.0522,4.82,1
2024-07-25,5.51,4.0168,4.97,1
2024-07-26,5.82,3.024,5.38,1
2024-07-29,5.57,3.2312,5.5,1
2024-07-30,5.31,3.5138,5.15,1
2024-07-31,5.23,3.5731,5.585,0
2024-08-01,4.83,3.0031,5.46,0
2024-08-02,4.33,3.0339,5.66,0
2024-08-05,4.05,3.9367,5.39,0
2024-08-06,3.97,2.7446,5.28,0
2024-08-07,3.88,2.2981,4.93,0
2024-08-08,4.33,3.5168,5.25,0
2024-08-09,4.07,3.1375,5.04,0
2024-08-12,3.93,3.3952,5.32,0
2024-08-13,3.92,3.0315,6.97,0
2024-08-14,3.65,3.4912,6.95,0
2024-08-15,3.86,3.3933,7.16,0
2024-08-16,3.84,3.1068,7.43,0
2024-08-19,3.99,4.0724,7.35,1
2024-08-20,3.95,3.9459,6.62,0
2024-08-21,4.05,4.2941,6.42,1
2024-08-22,3.79,4.5999,6.63,1
2024-08-23,4.0,3.5585,6.53,0
2024-08-26,4.01,4.8754,6.68,1
2024-08-27,3.74,4.2033,6.51,1
2024-08-28,3.53,3.9691,6.19,1
2024-08-29,3.59,3.1641,6.78,0
2024-08-30,3.51,4.3488,6.45,1
2024-09-03,3.2,4.8022,5.63,1
2024-09-04,2.975,4.0591,6.45,1
2024-09-05,2.89,4.7468,6.7,1
2024-09-06,2.7,4.0809,6.3,1
2024-09-09,2.95,4.0621,6.19,1
2024-09-10,3.11,3.8556,6.85,1
2024-09-11,3.1,3.8508,6.89,1
2024-09-12,3.09,4.1503,7.11,1
2024-09-13,3.09,3.1919,6.38,1
2024-09-16,3.01,4.2998,6.13,1
2024-09-17,2.98,3.4118,6.46,1
2024-09-18,2.9,3.768,6.49,1
2024-09-19,2.93,5.3983,6.13,1
2024-09-20,2.9,4.4356,7.39,1
2024-09-23,2.99,3.3876,7.23,1
2024-09-24,3.44,4.1439,6.29,1
2024-09-25,3.86,4.0347,5.74,1
2024-09-26,4.14,4.2481,5.73,1
2024-09-27,4.11,4.1912,5.21,1
2024-09-30,3.87,3.4547,5.5,0
2024-10-01,3.58,2.8865,5.26,0
2024-10-02,3.85,3.6729,4.86,0
2024-10-03,3.82,4.0361,4.66,1
2024-10-04,4.1,2.9777,4.64,0
2024-10-07,4.02,4.5788,4.83,1
2024-10-08,3.96,3.9874,5.57,1
2024-10-09,3.77,4.6144,5.85,1
2024-10-10,3.67,3.2405,5.39,0
2024-10-11,4.19,4.1513,5.05,0
2024-10-14,4.32,5.0326,4.98,1
2024-10-15,4.38,3.4457,4.81,0
2024-10-16,5.01,3.1779,4.95,1
2024-10-17,4.82,3.5661,5.24,0
2024-10-18,4.97,2.8407,5.2,0
2024-10-21,5.38,3.9386,5.43,0
2024-10-22,5.5,3.5555,5.39,1
2024-10-23,5.15,4.3252,5.51,0
2024-10-24,5.585,3.9018,5.53,1
2024-10-25,5.46,3.6757,5.9,0
2024-10-28,5.66,3.8423,4.51,1
2024-10-29,5.39,3.2955,4.49,1
2024-10-30,5.28,3.785,4.5,1
2024-10-31,4.93,3.6942,4.7,1
2024-11-01,5.25,3.0207,5.73,0
2024-11-04,5.04,3.6694,5.82,0
2024-11-05,5.32,4.8498,5.81,0
2024-11-06,6.97,4.0633,5.71,1
2024-11-07,6.95,4.489,5.89,1
2024-11-08,7.16,4.6787,5.97,1
2024-11-11,7.43,4.2234,5.96,1
2024-11-12,7.35,3.4374,5.7,1
2024-11-13,6.62,4.6437,5.78,1
2024-11-14,6.42,3.4319,5.98,1
2024-11-15,6.63,4.3381,6.06,1
2024-11-18,6.53,4.4919,5.9,1
2024-11-19,6.68,3.6122,6.02,1
2024-11-20,6.51,4.2941,6.08,1
2024-11-21,6.19,4.3155,5.49,1
2024-11-22,6.78,4.1283,4.965,1
2024-11-25,6.45,2.8609,4.1,1
2024-11-26,5.63,4.7786,4.175,1
2024-11-27,6.45,4.8131,3.97,1
2024-11-29,6.7,4.796,4.08,1
2024-12-02,6.3,3.0848,3.85,1
2024-12-03,6.19,3.7661,3.75,1
2024-12-04,6.85,4.4845,4.16,1
2024-12-05,6.89,4.288,3.79,1
2024-12-06,7.11,2.9305,3.89,1
2024-12-09,6.38,3.9675,3.08,1
2024-12-10,6.13,4.1574,3.18,1
2024-12-11,6.46,5.3426,3.2,1
2024-12-12,6.49,5.11,3.03,1
2024-12-13,6.13,4.4817,3.04,1
2024-12-16,7.39,4.8491,3.12,1
2024-12-17,7.23,4.7149,2.87,1
2024-12-18,6.29,5.4044,3.06,1
2024-12-19,5.74,2.7519,3.0,1
2024-12-20,5.73,4.1449,2.92,1
2024-12-23,5.21,2.7089,3.2,1
2024-12-24,5.5,5.3767,3.04,1
2024-12-26,5.26,3.2019,2.68,1
2024-12-27,4.86,3.5584,2.54,1
2024-12-30,4.66,3.5611,2.32,1
2024-12-31,4.64,5.2815,2.3,0
2025-01-02,4.83,5.3621,2.46,0
2025-01-03,5.57,5.7031,2.65,0
2025-01-06,5.85,6.1853,2.31,0
2025-01-07,5.39,3.9322,2.1,1
2025-01-08,5.05,3.9885,2.23,1
2025-01-10,4.98,4.1996,2.11,1
2025-01-13,4.81,3.7521,2.46,1
2025-01-14,4.95,5.7176,2.22,0
2025-01-15,5.24,4.72,2.42,1
2025-01-16,5.2,3.3817,2.44,1
2025-01-17,5.43,5.7407,2.32,0
2025-01-21,5.39,6.2546,2.325,0
2025-01-22,5.51,4.5395,2.37,1
2025-01-23,5.53,4.3487,2.34,1
2025-01-24,5.9,5.0285,2.74,1
2025-01-27,4.51,4.2483,2.86,1
2025-01-28,4.49,5.0047,3.0,0
2025-01-29,4.5,5.6867,3.08,0
2025-01-30,4.7,3.9642,3.06,1
2025-01-31,5.73,5.1712,3.08,1
2025-02-03,5.82,6.0041,2.85,0
2025-02-04,5.81,5.0298,3.115,1
2025-02-05,5.71,5.9886,3.16,0
2025-02-06,5.89,4.8132,2.98,1
2025-02-07,5.97,5.046,3.04,1
2025-02-10,5.96,4.8072,3.02,1
2025-02-11,5.7,4.9059,3.12,1
2025-02-12,5.78,6.1139,2.98,0
2025-02-13,5.98,4.8486,3.15,1
2025-02-14,6.06,4.6395,3.43,1
2025-02-18,5.9,5.8467,3.31,1
2025-02-19,6.02,3.2756,3.17,1
2025-02-20,6.08,5.6116,3.86,1
2025-02-21,5.49,4.8043,3.81,1
2025-02-24,4.965,5.1513,3.78,0
2025-02-25,4.1,4.9363,3.505,0
2025-02-26,4.175,5.0116,3.57,0
2025-02-27,3.97,5.7936,3.47,0
2025-02-28,4.08,5.1713,3.57,0
2025-03-03,3.85,4.5835,3.35,0
2025-03-04,3.75,4.5857,3.25,0
2025-03-05,4.16,3.8343,3.12,1
2025-03-06,3.79,5.5197,3.25,0
2025-03-07,3.89,4.3144,3.435,0
2025-03-10,3.08,5.1125,3.74,1
2025-03-11,3.18,4.8265,3.53,1
2025-03-12,3.2,5.6842,3.9,1
2025-03-13,3.03,5.8142,4.14,1
2025-03-14,3.04,5.9798,4.06,1
2025-03-17,3.12,3.9075,4.08,1
2025-03-18,2.87,4.8824,3.84,1
2025-03-19,3.06,5.3366,3.72,1
2025-03-20,3.0,5.123,3.93,1
2025-03-21,2.92,5.2546,3.68,1
2025-03-24,3.2,4.6005,3.81,1
2025-03-25,3.04,4.7751,3.79,1
2025-03-26,2.68,3.8529,3.53,1
2025-03-27,2.54,4.1558,3.85,1
2025-03-28,2.32,6.0348,3.85,1
2025-03-31,2.3,4.9,4.19,1
2025-04-01,2.46,3.9456,4.26,1
2025-04-02,2.65,4.2633,4.78,1
2025-04-03,2.31,4.5122,4.9,1
2025-04-04,2.1,4.6989,5.68,1
2025-04-07,2.23,6.1826,6.05,1
2025-04-08,2.11,6.1186,5.79,1
2025-04-09,2.46,3.7639,6.03,1
2025-04-10,2.22,3.8229,6.26,1
2025-04-11,2.42,5.5303,6.24,1
2025-04-14,2.44,4.9135,5.87,1
2025-04-15,2.32,6.6584,6.03,1
2025-04-16,2.325,4.6742,5.97,1
2025-04-17,2.37,3.7171,6.27,1
2025-04-21,2.34,4.8011,6.42,1
2025-04-22,2.74,3.8162,6.36,1
2025-04-23,2.86,4.9931,6.25,1
2025-04-24,3.0,3.6394,6.94,1
2025-04-25,3.08,3.7087,6.68,1
2025-04-28,3.06,3.0176,6.65,0
2025-04-29,3.08,5.8097,6.47,1
2025-04-30,2.85,4.7123,6.16,1
2025-05-01,3.115,3.2222,5.68,1
2025-05-02,3.16,5.2996,5.45,1
2025-05-05,2.98,4.0644,5.46,1
2025-05-06,3.04,5.1807,4.93,1
2025-05-07,3.02,4.1622,5.19,1
2025-05-08,3.12,4.0592,5.01,1
2025-05-09,2.98,4.1217,5.21,1
2025-05-12,3.15,3.9017,4.87,1
2025-05-13,3.43,5.4456,4.75,1
2025-05-14,3.31,4.1106,4.76,1
2025-05-15,3.17,4.7635,4.72,1
2025-05-16,3.86,3.6833,4.9,0
2025-05-19,3.81,4.0924,5.32,1
2025-05-20,3.78,3.017,5.21,0
2025-05-21,3.505,3.1133,6.05,0
2025-05-22,3.57,5.0434,5.76,1
2025-05-23,3.47,3.5227,5.95,1
2025-05-27,3.57,5.4394,5.9,1
2025-05-28,3.35,5.754,6.38,1
2025-05-29,3.25,3.081,6.64,0
2025-05-30,3.12,3.5297,7.12,1
2025-06-02,3.25,3.177,6.99,0
2025-06-03,3.435,4.0281,7.02,1
2025-06-04,3.74,3.6785,7.64,0
2025-06-05,3.53,3.2399,8.32,0
2025-06-06,3.9,3.1581,8.11,0
2025-06-09,4.14,2.8395,7.4,0
2025-06-10,4.06,3.7231,7.52,0
