date,entry_close,pred_close,actual_close,correct
2024-06-10,15.65,17.6552,11.55,0
2024-06-11,15.13,18.0334,11.4,0
2024-06-12,15.07,17.8104,11.26,0
2024-06-13,14.86,15.9054,10.91,0
2024-06-14,14.91,18.0881,11.13,0
2024-06-17,14.84,18.3312,11.35,0
2024-06-18,14.71,18.5152,11.91,0
2024-06-20,14.67,18.1069,11.75,0
2024-06-21,14.8,19.1273,11.81,0
2024-06-24,14.74,15.9187,11.54,0
2024-06-25,14.45,18.5638,12.03,0
2024-06-26,14.93,19.2622,11.77,0
2024-06-27,15.0,17.9606,11.87,0
2024-06-28,15.39,19.5764,12.43,0
2024-07-01,15.39,17.6973,12.25,0
2024-07-02,15.63,17.5591,12.71,0
2024-07-03,15.95,18.5352,12.76,0
2024-07-05,15.64,20.401,12.77,0
2024-07-08,15.47,20.226,12.99,0
2024-07-09,15.18,17.4832,12.96,0
2024-07-10,15.4,17.9485,12.8,0
2024-07-11,15.89,17.9003,13.0,0
2024-07-12,16.17,18.1028,12.98,0
2024-07-15,16.21,19.8951,12.71,0
2024-07-16,15.93,18.2984,12.85,0
2024-07-17,15.5,19.2232,12.7,0
2024-07-18,15.56,18.941,13.14,0
2024-07-19,15.17,18.8314,13.05,0
2024-07-22,15.21,18.0442,12.88,0
2024-07-23,15.88,18.7289,13.05,0
2024-07-24,14.94,17.607,13.66,0
2024-07-25,15.26,19.3486,13.94,0
2024-07-26,15.47,19.3043,13.64,0
2024-07-29,15.26,16.9322,13.46,0
2024-07-30,14.97,16.8428,13.0,0
2024-07-31,15.35,15.7083,13.3,0
2024-08-01,14.64,15.9408,13.07,0
2024-08-02,13.95,17.0909,13.67,0
2024-08-05,13.32,17.2838,13.72,1
2024-08-06,13.36,18.911,13.19,0
2024-08-07,13.33,17.7983,12.98,0
2024-08-08,13.34,19.3122,13.27,0
2024-08-09,13.18,18.4798,13.11,0
2024-08-12,12.73,18.7638,11.61,0
2024-08-13,13.03,18.3549,13.94,1
2024-08-14,12.55,19.0982,13.34,1
2024-08-15,12.63,18.2156,12.87,1
2024-08-16,12.58,18.8468,12.52,0
2024-08-19,12.7,18.2532,11.98,0
2024-08-20,12.4,17.8638,11.92,0
2024-08-21,12.84,18.9607,11.46,0
2024-08-22,12.87,17.1694,11.04,0
2024-08-23,13.27,17.3336,11.23,0
2024-08-26,13.78,17.3021,11.44,0
2024-08-27,14.05,20.4166,11.66,0
2024-08-28,13.45,17.6145,11.88,0
2024-08-29,13.33,14.1576,12.46,0
2024-08-30,13.06,15.754,12.49,0
2024-09-03,12.11,18.3189,12.05,0
2024-09-04,11.99,16.8082,12.14,1
2024-09-05,11.55,17.9634,12.45,1
2024-09-06,11.4,17.0746,12.83,1
2024-09-09,11.26,17.126,12.9,1
2024-09-10,10.91,16.2666,12.44,1
2024-09-11,11.13,18.6226,12.06,1
2024-09-12,11.35,18.6463,11.84,1
2024-09-13,11.91,17.3053,12.28,1
2024-09-16,11.75,18.1141,12.22,1
2024-09-17,11.81,16.2795,11.77,0
2024-09-18,11.54,17.9738,10.96,0
2024-09-19,12.03,15.0504,10.21,0
2024-09-20,11.77,15.2201,9.95,0
2024-09-23,11.87,17.8563,9.89,0
2024-09-24,12.43,16.5339,9.54,0
2024-09-25,12.25,20.0159,9.33,0
2024-09-26,12.71,14.0587,9.38,0
2024-09-27,12.76,17.9701,9.37,0
2024-09-30,12.77,16.4725,9.46,0
2024-10-01,12.99,17.9107,9.35,0
2024-10-02,12.96,18.5167,9.24,0
2024-10-03,12.8,17.4005,9.3,0
2024-10-04,13.0,17.9564,9.4,0
2024-10-07,12.98,15.8266,9.54,0
2024-10-08,12.71,16.5235,9.5,0
2024-10-09,12.85,15.3906,9.9,0
2024-10-10,12.7,16.68,10.05,0
2024-10-11,13.14,15.3554,9.75,0
2024-10-14,13.05,17.0038,9.9,0
2024-10-15,12.88,15.0915,10.49,0
2024-10-16,13.05,17.5178,10.22,0
2024-10-17,13.66,16.8753,10.24,0
2024-10-18,13.94,14.8533,10.42,0
2024-10-21,13.64,17.5559,10.27,0
2024-10-22,13.46,15.6715,10.09,0
2024-10-23,13.0,14.5815,9.72,0
2024-10-24,13.3,16.2965,9.95,0
2024-10-25,13.07,17.385,10.01,0
2024-10-28,13.67,14.0445,9.93,0
2024-10-29,13.72,13.0905,10.13,1
2024-10-30,13.19,15.9556,10.25,0
2024-10-31,12.98,19.1309,10.49,0
2024-11-01,13.27,14.8978,10.24,0
2024-11-04,13.11,13.286,9.74,0
2024-11-05,11.61,15.9865,10.52,0
2024-11-06,13.94,14.2648,10.46,0
2024-11-07,13.34,16.2473,10.66,0
2024-11-08,12.87,12.7863,10.04,1
2024-11-11,12.52,15.3122,11.84,0
2024-11-12,11.98,17.9878,11.3,0
2024-11-13,11.92,16.4871,10.56,0
2024-11-14,11.46,14.4058,11.39,0
2024-11-15,11.04,17.6268,11.48,1
2024-11-18,11.23,16.357,12.02,1
2024-11-19,11.44,17.4187,11.85,1
2024-11-20,11.66,16.4393,11.98,1
2024-11-21,11.88,15.4696,11.35,0
2024-11-22,12.46,17.0353,11.15,0
2024-11-25,12.49,16.344,10.79,0
2024-11-26,12.05,17.1505,10.57,0
2024-11-27,12.14,15.9857,10.73,0
2024-11-29,12.45,13.7774,10.84,0
2024-12-02,12.83,13.471,10.09,0
2024-12-03,12.9,16.1253,9.47,0
2024-12-04,12.44,17.8143,10.04,0
2024-12-05,12.06,13.849,10.06,0
2024-12-06,11.84,16.0336,9.81,0
2024-12-09,12.28,20.227,8.75,0
2024-12-10,12.22,13.6032,9.02,0
2024-12-11,11.77,14.3489,9.79,0
2024-12-12,10.96,15.7591,9.73,0
2024-12-13,10.21,18.3231,10.39,1
2024-12-16,9.95,13.6811,10.15,1
2024-12-17,9.89,17.5562,9.68,0
2024-12-18,9.54,17.0864,9.56,1
2024-12-19,9.33,14.3165,9.53,1
2024-12-20,9.38,13.1337,9.42,1
2024-12-23,9.37,14.1984,9.29,0
2024-12-24,9.46,14.4059,9.4,0
2024-12-26,9.35,14.0688,9.14,0
2024-12-27,9.24,12.4951,9.33,1
2024-12-30,9.3,13.6204,8.52,0
2024-12-31,9.4,12.9445,8.22,0
2025-01-02,9.54,12.5441,8.1,0
2025-01-03,9.5,13.8929,8.73,0
2025-01-06,9.9,12.9256,7.26,0
2025-01-07,10.05,11.397,6.96,0
2025-01-08,9.75,15.4284,7.34,0
2025-01-10,9.9,13.0765,6.86,0
2025-01-13,10.49,11.8358,7.95,0
2025-01-14,10.22,17.8607,7.28,0
2025-01-15,10.24,12.8199,7.34,0
2025-01-16,10.42,13.4045,7.37,0
2025-01-17,10.27,13.4051,7.16,0
2025-01-21,10.09,13.89,7.18,0
2025-01-22,9.72,12.985,7.3,0
2025-01-23,9.95,12.2019,6.99,0
2025-01-24,10.01,13.3792,7.24,0
2025-01-27,9.93,12.838,7.54,0
