date,entry_close,pred_close,actual_close,correct
2024-06-10,0.986,0.8509,2.66,0
2024-06-11,1.03,0.9791,2.51,0
2024-06-12,1.05,1.0604,2.51,1
2024-06-13,1.03,0.9012,2.54,0
2024-06-14,1.09,0.957,2.65,0
2024-06-17,1.15,0.71,2.77,0
2024-06-18,1.1,1.1007,2.99,1
2024-06-20,1.03,0.9691,3.06,0
2024-06-21,1.25,0.9524,3.09,0
2024-06-24,1.27,0.9384,3.0,0
2024-06-25,1.31,0.9035,3.03,0
2024-06-26,1.28,1.134,2.91,0
2024-06-27,1.3,1.0311,2.9,0
2024-06-28,1.23,0.8708,2.96,0
2024-07-01,1.2,0.9678,2.89,0
2024-07-02,1.22,0.7973,2.87,0
2024-07-03,1.25,0.9471,2.82,0
2024-07-05,1.27,0.8169,2.82,0
2024-07-08,1.33,0.9573,2.78,0
2024-07-09,1.34,0.9236,3.59,0
2024-07-10,1.34,0.8807,4.0,0
2024-07-11,1.46,0.972,4.04,0
2024-07-12,1.51,0.9767,3.69,0
2024-07-15,1.58,1.1078,3.76,0
2024-07-16,1.73,0.8967,3.91,0
2024-07-17,1.72,0.7611,3.95,0
2024-07-18,1.69,1.0442,4.07,0
2024-07-19,1.63,0.8271,4.12,0
2024-07-22,1.68,1.0131,4.13,0
2024-07-23,1.66,0.8706,4.26,0
2024-07-24,1.6,0.8392,4.18,0
2024-07-25,1.64,0.7962,4.0,0
2024-07-26,1.73,0.9335,4.06,0
2024-07-29,1.77,0.7789,3.94,0
2024-07-30,1.92,0.8753,3.78,0
2024-07-31,1.91,1.0241,3.79,0
2024-08-01,1.8,0.829,3.92,0
2024-08-02,1.67,1.051,4.02,0
2024-08-05,1.88,0.692,4.05,0
2024-08-06,1.83,0.9678,4.05,0
2024-08-07,1.665,0.6896,4.12,0
2024-08-08,1.83,0.789,4.2,0
2024-08-09,1.86,0.8376,4.33,0
2024-08-12,1.87,0.9154,4.32,0
2024-08-13,2.0,0.73,4.35,0
2024-08-14,2.51,0.8878,3.67,0
2024-08-15,2.66,0.8714,3.41,0
2024-08-16,2.83,0.9085,3.33,0
2024-08-19,3.18,0.7819,3.25,0
2024-08-20,3.1,1.1398,3.16,0
2024-08-21,3.5,0.9297,3.08,1
2024-08-22,3.36,1.0716,3.04,1
2024-08-23,3.34,0.7095,3.21,1
2024-08-26,3.33,0.9609,3.28,1
2024-08-27,3.2,1.487,3.35,0
2024-08-28,3.1,0.7371,3.36,0
2024-08-29,2.82,1.1224,3.37,0
2024-08-30,2.63,1.3357,3.49,0
2024-09-03,2.5,0.9657,3.4,0
2024-09-04,2.865,1.2106,3.42,0
2024-09-05,2.66,0.9834,3.48,0
2024-09-06,2.51,0.7508,3.43,0
2024-09-09,2.51,0.988,3.4,0
2024-09-10,2.54,0.7108,3.43,0
2024-09-11,2.65,0.962,3.42,0
2024-09-12,2.77,1.3656,3.36,0
2024-09-13,2.99,1.2479,3.3,0
2024-09-16,3.06,1.5924,3.17,0
2024-09-17,3.09,1.2094,3.12,0
2024-09-18,3.0,1.342,3.0,1
2024-09-19,3.03,1.0718,3.11,0
2024-09-20,2.91,1.2525,3.12,0
2024-09-23,2.9,1.3189,3.21,0
2024-09-24,2.96,1.202,3.15,0
2024-09-25,2.89,0.9659,3.19,0
2024-09-26,2.87,0.9167,3.23,0
2024-09-27,2.82,1.5816,3.27,0
2024-09-30,2.82,0.7085,3.19,0
2024-10-01,2.78,1.1701,3.31,0
2024-10-02,3.59,1.2773,3.26,1
2024-10-03,4.0,0.6666,3.19,1
2024-10-04,4.04,1.7054,3.15,1
2024-10-07,3.69,1.3101,3.13,1
2024-10-08,3.76,1.0739,3.29,1
2024-10-09,3.91,2.6043,3.38,1
2024-10-10,3.95,1.2603,3.6,1
2024-10-11,4.07,1.3697,3.64,1
2024-10-14,4.12,1.5289,3.64,1
2024-10-15,4.13,0.582,3.72,1
2024-10-16,4.26,0.7041,3.74,1
2024-10-17,4.18,1.2746,3.98,1
2024-10-18,4.0,1.7634,4.07,0
2024-10-21,4.06,1.1594,4.08,0
2024-10-22,3.94,1.1959,4.24,0
2024-10-23,3.78,0.6146,4.31,0
2024-10-24,3.79,1.0767,4.68,0
2024-10-25,3.92,1.9247,4.82,0
2024-10-28,4.02,1.4731,4.61,0
2024-10-29,4.05,0.9342,4.59,0
2024-10-30,4.05,0.2932,4.45,0
2024-10-31,4.12,0.9728,4.43,0
2024-11-01,4.2,1.7554,4.39,0
2024-11-04,4.33,1.8482,4.31,1
2024-11-05,4.32,1.767,4.47,0
2024-11-06,4.35,2.546,4.66,0
2024-11-07,3.67,1.4594,4.44,0
2024-11-08,3.41,2.4221,4.32,0
2024-11-11,3.33,2.539,4.38,0
2024-11-12,3.25,1.8034,4.44,0
2024-11-13,3.16,1.3913,4.47,0
2024-11-14,3.08,2.0527,4.54,0
2024-11-15,3.04,2.1812,4.46,0
2024-11-18,3.21,1.8834,4.41,0
2024-11-19,3.28,2.6598,4.55,0
2024-11-20,3.35,2.3854,4.49,0
2024-11-21,3.36,1.931,4.4,0
2024-11-22,3.37,2.5018,4.18,0
2024-11-25,3.49,2.2629,4.33,0
2024-11-26,3.4,3.1873,4.32,0
2024-11-27,3.42,2.8741,4.14,0
2024-11-29,3.48,1.9935,3.97,0
2024-12-02,3.43,3.2574,3.64,0
2024-12-03,3.4,2.0207,3.72,0
2024-12-04,3.43,1.7635,3.83,0
2024-12-05,3.42,2.9188,3.67,0
2024-12-06,3.36,2.7482,3.64,0
2024-12-09,3.3,2.6584,3.39,0
2024-12-10,3.17,2.7006,3.36,0
2024-12-11,3.12,2.4724,3.61,0
2024-12-12,3.0,2.4714,3.46,0
2024-12-13,3.11,2.9105,3.66,0
2024-12-16,3.12,2.3317,3.7,0
2024-12-17,3.21,2.1377,3.81,0
2024-12-18,3.15,2.372,3.71,0
2024-12-19,3.19,2.9254,3.66,0
2024-12-20,3.23,1.5184,3.72,0
2024-12-23,3.27,2.5696,3.81,0
2024-12-24,3.19,1.0779,3.87,0
2024-12-26,3.31,1.1658,3.73,0
2024-12-27,3.26,1.424,3.7,0
2024-12-30,3.19,1.456,3.59,0
