date,entry_close,pred_close,actual_close,correct
2024-06-10,249.81,137.4602,159.7,1
2024-06-11,244.2,116.5504,147.35,1
2024-06-12,254.96,148.8677,155.05,1
2024-06-13,247.64,103.6778,158.46,1
2024-06-14,244.5,151.4583,157.15,1
2024-06-17,245.1,112.3652,162.89,1
2024-06-18,235.95,138.6329,163.05,1
2024-06-20,235.03,157.4733,161.5,1
2024-06-21,225.86,154.0846,162.45,1
2024-06-24,212.31,178.2998,162.64,1
2024-06-25,221.71,118.6859,168.24,1
2024-06-26,214.58,173.3358,170.09,1
2024-06-27,224.0,225.9617,170.22,0
2024-06-28,222.23,193.6251,171.68,1
2024-07-01,233.37,181.7487,167.08,1
2024-07-02,227.51,198.4822,179.93,1
2024-07-03,224.94,187.0957,191.23,1
2024-07-05,223.68,187.5562,178.17,1
2024-07-08,220.56,195.7119,165.01,1
2024-07-09,219.97,176.4617,164.47,1
2024-07-10,219.56,161.6136,163.1,1
2024-07-11,214.63,168.6926,170.91,1
2024-07-12,218.02,182.9489,168.92,1
2024-07-15,242.85,229.7339,167.69,1
2024-07-16,251.49,165.7654,166.97,1
2024-07-17,249.1,201.9054,164.27,1
2024-07-18,233.24,197.4924,176.38,1
2024-07-19,257.79,184.2811,196.35,1
2024-07-22,265.15,187.6053,196.34,1
2024-07-23,257.63,238.4424,210.48,1
2024-07-24,245.06,184.5137,204.2,1
2024-07-25,231.52,180.4843,220.21,1
2024-07-26,242.93,207.0672,213.72,1
2024-07-29,234.2,190.8693,210.72,1
2024-07-30,224.46,187.8434,198.93,1
2024-07-31,224.36,197.1409,209.16,1
2024-08-01,212.64,176.8057,205.04,1
2024-08-02,204.44,199.2674,216.1,0
2024-08-05,189.47,212.3442,219.66,1
2024-08-06,194.17,177.5125,211.74,0
2024-08-07,178.91,152.8399,179.25,0
2024-08-08,192.32,178.8129,182.88,1
2024-08-09,196.29,195.8708,186.27,1
2024-08-12,191.74,197.6597,193.96,1
2024-08-13,197.94,213.1316,254.31,1
2024-08-14,195.96,167.3576,255.58,0
2024-08-15,197.12,180.9695,270.74,0
2024-08-16,205.31,198.8142,324.24,0
2024-08-19,204.46,219.6307,319.13,1
2024-08-20,197.25,192.3808,284.72,0
2024-08-21,206.23,203.8812,278.84,0
2024-08-22,198.43,199.0103,305.85,1
2024-08-23,211.4,194.4648,325.41,0
2024-08-26,204.0,178.5162,324.57,0
2024-08-27,198.3,222.2262,320.01,1
2024-08-28,190.2,204.9451,295.23,1
2024-08-29,188.28,220.4297,304.64,1
