date,entry_close,pred_close,actual_close,correct
2024-06-10,59.99,57.6829,45.25,1
2024-06-11,62.31,57.1025,44.62,1
2024-06-12,64.83,49.9761,44.87,1
2024-06-13,65.26,54.135,45.59,1
2024-06-14,63.56,59.42,45.44,1
2024-06-17,61.785,49.0786,45.89,1
2024-06-18,60.57,67.7548,48.94,0
2024-06-20,59.6,68.7203,47.74,0
2024-06-21,56.24,59.7133,49.87,0
2024-06-24,57.94,66.7586,49.59,0
2024-06-25,55.95,76.4575,49.49,0
2024-06-26,56.63,66.8357,48.18,0
2024-06-27,55.38,59.5047,46.74,0
2024-06-28,54.01,66.747,46.79,0
2024-07-01,53.95,55.9379,45.92,0
2024-07-02,53.115,60.0031,46.49,0
2024-07-03,53.9,65.094,47.32,0
2024-07-05,53.1,59.65,46.98,0
2024-07-08,53.23,57.7225,45.58,0
2024-07-09,55.03,66.2924,45.71,0
2024-07-10,55.56,62.2477,44.9,0
2024-07-11,56.81,69.5845,45.37,0
2024-07-12,57.9,59.6579,45.49,0
2024-07-15,57.46,57.6623,45.2,0
2024-07-16,62.75,57.0918,45.4,1
2024-07-17,60.48,62.0062,45.39,0
2024-07-18,56.21,68.727,46.85,0
2024-07-19,54.56,62.472,47.825,0
2024-07-22,56.24,57.6243,48.05,0
2024-07-23,57.19,57.4316,49.0,0
2024-07-24,55.39,61.1383,48.29,0
2024-07-25,57.57,60.1931,48.92,0
2024-07-26,57.92,70.2308,48.51,0
2024-07-29,58.5,69.6205,48.04,0
2024-07-30,56.41,62.7069,46.0,0
2024-07-31,57.29,57.7604,47.95,0
2024-08-01,54.85,57.7094,47.36,0
2024-08-02,51.11,59.1774,49.71,0
2024-08-05,49.66,52.2225,48.94,0
2024-08-06,49.33,56.7174,47.93,0
2024-08-07,47.27,63.9424,46.39,0
2024-08-08,47.86,50.9871,50.76,1
2024-08-09,47.01,54.795,50.59,1
2024-08-12,46.91,51.7432,50.36,1
2024-08-13,48.22,55.028,50.72,1
2024-08-14,46.41,59.7762,51.88,1
2024-08-15,48.85,60.6223,51.62,1
2024-08-16,47.85,68.2849,54.86,1
2024-08-19,49.83,59.84,50.73,1
2024-08-20,49.07,72.0459,49.79,1
2024-08-21,49.99,57.7155,46.85,0
2024-08-22,47.5,57.989,47.25,0
2024-08-23,48.69,57.2673,47.3,0
2024-08-26,49.17,61.1965,46.97,0
2024-08-27,48.24,56.3117,47.26,0
2024-08-28,47.48,55.5571,46.29,0
2024-08-29,47.55,66.201,47.88,1
2024-08-30,47.72,57.7958,50.4,1
2024-09-03,45.52,54.9612,49.31,1
2024-09-04,45.03,61.6159,50.84,1
2024-09-05,45.25,57.9713,51.17,1
2024-09-06,44.62,54.7864,55.15,1
2024-09-09,44.87,70.0705,51.24,1
2024-09-10,45.59,60.6263,51.14,1
2024-09-11,45.44,51.6389,49.51,1
2024-09-12,45.89,53.5504,52.33,1
2024-09-13,48.94,57.7088,49.84,1
2024-09-16,47.74,62.8925,48.68,1
2024-09-17,49.87,60.7635,47.78,0
2024-09-18,49.59,53.963,45.4,0
2024-09-19,49.49,57.5446,43.78,0
2024-09-20,48.18,54.8647,44.24,0
2024-09-23,46.74,58.7615,44.63,0
2024-09-24,46.79,59.3783,41.06,0
2024-09-25,45.92,57.0939,40.385,0
2024-09-26,46.49,50.7032,40.72,0
2024-09-27,47.32,58.8662,40.48,0
2024-09-30,46.98,56.8889,40.94,0
2024-10-01,45.58,50.8258,41.07,0
2024-10-02,45.71,68.2277,40.02,0
2024-10-03,44.9,55.9134,38.65,0
2024-10-04,45.37,52.4076,39.36,0
2024-10-07,45.49,59.4379,41.43,0
2024-10-08,45.2,50.4592,41.02,0
2024-10-09,45.4,53.0674,42.43,0
2024-10-10,45.39,55.895,41.92,0
2024-10-11,46.85,65.3979,41.29,0
2024-10-14,47.825,53.5102,39.69,0
2024-10-15,48.05,57.0444,38.85,0
2024-10-16,49.0,68.5989,38.36,0
2024-10-17,48.29,54.9095,39.04,0
2024-10-18,48.92,59.3794,40.3,0
2024-10-21,48.51,51.9889,40.53,0
2024-10-22,48.04,58.7045,41.51,0
2024-10-23,46.0,61.1226,44.2,0
2024-10-24,47.95,64.5534,44.23,0
2024-10-25,47.36,59.8398,43.42,0
2024-10-28,49.71,77.5576,41.85,0
2024-10-29,48.94,55.6616,41.81,0
2024-10-30,47.93,51.1432,41.21,0
2024-10-31,46.39,54.4292,42.04,0
2024-11-01,50.76,53.1501,41.59,0
2024-11-04,50.59,57.2138,40.0,0
2024-11-05,50.36,49.173,40.49,1
2024-11-06,50.72,51.2257,42.22,0
2024-11-07,51.88,53.3655,40.61,0
2024-11-08,51.62,66.4242,39.71,0
2024-11-11,54.86,54.1541,39.41,1
2024-11-12,50.73,50.187,39.62,1
2024-11-13,49.79,55.4963,43.3,0
2024-11-14,46.85,52.2779,43.49,0
2024-11-15,47.25,52.7058,49.72,1
2024-11-18,47.3,54.7116,52.22,1
2024-11-19,46.97,56.7255,53.02,1
2024-11-20,47.26,49.8677,50.43,1
2024-11-21,46.29,54.5135,47.91,1
2024-11-22,47.88,54.0372,46.57,0
2024-11-25,50.4,55.9948,44.51,0
2024-11-26,49.31,60.3544,44.4,0
2024-11-27,50.84,50.6597,43.62,1
2024-11-29,51.17,55.6129,43.92,0
2024-12-02,55.15,51.7704,42.29,1
2024-12-03,51.24,51.1383,43.45,1
2024-12-04,51.14,50.8472,43.84,1
2024-12-05,49.51,52.5881,43.31,0
2024-12-06,52.33,52.2549,45.53,1
2024-12-09,49.84,53.776,43.34,0
2024-12-10,48.68,59.2825,42.37,0
2024-12-11,47.78,52.6659,43.49,0
2024-12-12,45.4,50.3417,41.99,0
2024-12-13,43.78,53.6147,42.12,0
2024-12-16,44.24,51.6482,42.82,0
2024-12-17,44.63,55.6027,40.97,0
2024-12-18,41.06,48.0902,41.94,1
2024-12-19,40.385,49.6246,41.17,1
2024-12-20,40.72,56.5034,41.22,1
2024-12-23,40.48,47.1792,42.62,1
2024-12-24,40.94,46.4748,40.89,0
2024-12-26,41.07,52.4965,39.18,0
2024-12-27,40.02,50.0951,38.04,0
2024-12-30,38.65,50.3892,36.99,0
2024-12-31,39.36,48.6012,34.03,0
2025-01-02,41.43,49.7965,33.14,0
2025-01-03,41.02,48.8686,34.19,0
2025-01-06,42.43,50.933,32.66,0
2025-01-07,41.92,47.5491,32.65,0
2025-01-08,41.29,49.3439,32.38,0
2025-01-10,39.69,54.438,31.27,0
2025-01-13,38.85,53.961,34.89,0
2025-01-14,38.36,45.1797,34.26,0
2025-01-15,39.04,48.5181,39.3,1
2025-01-16,40.3,49.2962,38.81,0
2025-01-17,40.53,52.7503,38.95,0
2025-01-21,41.51,51.8557,37.78,0
2025-01-22,44.2,54.7569,37.77,0
2025-01-23,44.23,49.2713,37.82,0
2025-01-24,43.42,48.6096,39.23,0
2025-01-27,41.85,46.8591,38.54,0
2025-01-28,41.81,45.2909,39.11,0
2025-01-29,41.21,47.2282,38.27,0
2025-01-30,42.04,46.7365,37.88,0
2025-01-31,41.59,47.4101,37.4,0
2025-02-03,40.0,48.7867,38.67,0
2025-02-04,40.49,52.85,37.73,0
2025-02-05,42.22,52.6637,38.25,0
2025-02-06,40.61,46.4363,37.62,0
2025-02-07,39.71,49.6876,33.16,0
2025-02-10,39.41,48.2211,34.25,0
2025-02-11,39.62,50.0368,36.14,0
2025-02-12,43.3,47.724,35.62,0
2025-02-13,43.49,48.1042,37.59,0
2025-02-14,49.72,47.2494,37.22,1
2025-02-18,52.22,51.3906,35.6,1
2025-02-19,53.02,45.4757,36.31,1
2025-02-20,50.43,40.6363,38.77,1
2025-02-21,47.91,50.6823,38.68,0
2025-02-24,46.57,49.4108,39.25,0
2025-02-25,44.51,49.1271,36.99,0
2025-02-26,44.4,46.8653,37.53,0
2025-02-27,43.62,43.3512,36.86,1
2025-02-28,43.92,48.5604,37.57,0
2025-03-03,42.29,43.9255,37.225,0
2025-03-04,43.45,49.2334,36.78,0
2025-03-05,43.84,48.9016,36.29,0
2025-03-06,43.31,45.055,36.95,0
2025-03-07,45.53,47.0672,38.04,0
2025-03-10,43.34,52.2462,38.05,0
2025-03-11,42.37,46.1154,38.57,0
2025-03-12,43.49,44.5316,41.86,0
2025-03-13,41.99,49.4331,42.09,1
2025-03-14,42.12,45.9026,42.94,1
2025-03-17,42.82,45.1979,41.52,0
2025-03-18,40.97,44.6115,41.28,1
2025-03-19,41.94,41.2138,41.36,1
2025-03-20,41.17,45.8713,41.58,1
2025-03-21,41.22,50.4791,43.19,1
2025-03-24,42.62,43.2011,44.43,1
2025-03-25,40.89,43.4482,44.25,1
2025-03-26,39.18,45.8778,45.55,1
2025-03-27,38.04,46.8239,46.78,1
2025-03-28,36.99,45.3597,47.66,1
2025-03-31,34.03,46.1894,46.7,1
2025-04-01,33.14,48.6718,47.49,1
2025-04-02,34.19,50.8665,48.64,1
2025-04-03,32.66,44.165,48.51,1
2025-04-04,32.65,45.4944,51.67,1
2025-04-07,32.38,40.922,52.17,1
2025-04-08,31.27,47.2741,51.19,1
2025-04-09,34.89,45.4169,54.82,1
2025-04-10,34.26,43.8995,60.08,1
2025-04-11,39.3,41.2062,59.0,1
2025-04-14,38.81,50.7832,56.8,1
2025-04-15,38.95,43.7726,56.42,1
2025-04-16,37.78,46.3999,52.73,1
2025-04-17,37.77,44.1564,55.14,1
2025-04-21,37.82,46.8126,55.09,1
2025-04-22,39.23,41.7787,65.13,1
2025-04-23,38.54,43.6782,65.33,1
2025-04-24,39.11,45.0082,65.93,1
2025-04-25,38.27,48.624,68.14,1
2025-04-28,37.88,46.4445,66.06,1
2025-04-29,37.4,41.5508,64.76,1
2025-04-30,38.67,44.2792,63.75,1
2025-05-01,37.73,38.5154,59.02,1
2025-05-02,38.25,45.8852,57.68,1
2025-05-05,37.62,44.7371,56.26,1
2025-05-06,33.16,44.1769,56.09,1
2025-05-07,34.25,46.2302,59.59,1
2025-05-08,36.14,42.1882,55.59,1
2025-05-09,35.62,48.7798,56.34,1
2025-05-12,37.59,47.6852,55.96,1
2025-05-13,37.22,44.0682,55.0,1
2025-05-14,35.6,44.511,55.41,1
2025-05-15,36.31,47.3251,56.6,1
2025-05-16,38.77,39.3918,57.33,1
2025-05-19,38.68,46.9344,58.82,1
2025-05-20,39.25,41.3179,59.73,1
2025-05-21,36.99,40.5882,57.59,1
2025-05-22,37.53,43.2922,54.16,1
2025-05-23,36.86,45.5651,53.07,1
2025-05-27,37.57,40.5787,52.82,1
2025-05-28,37.225,44.5115,54.32,1
2025-05-29,36.78,43.3723,54.13,1
2025-05-30,36.29,42.4716,54.88,1
2025-06-02,36.95,48.7234,53.53,1
2025-06-03,38.04,41.5683,53.05,1
2025-06-04,38.05,39.2842,51.83,1
2025-06-05,38.57,42.7411,52.66,1
2025-06-06,41.86,39.2114,52.98,0
