date,entry_close,pred_close,actual_close,correct
2024-06-10,17.62,21.3586,12.51,0
2024-06-11,17.97,21.4176,11.91,0
2024-06-12,18.37,19.8752,11.9,0
2024-06-13,18.07,23.006,12.37,0
2024-06-14,17.04,19.6624,13.83,0
2024-06-17,16.45,23.2444,13.9,0
2024-06-18,16.18,19.4609,13.98,0
2024-06-20,16.02,20.4623,13.66,0
2024-06-21,15.77,22.3289,14.06,0
2024-06-24,15.94,23.4217,14.65,0
2024-06-25,15.25,22.1201,14.34,0
2024-06-26,15.38,18.8776,14.05,0
2024-06-27,15.5,20.9382,14.43,0
2024-06-28,14.75,20.0624,14.93,1
2024-07-01,14.01,18.831,13.97,0
2024-07-02,14.54,21.9548,14.9,1
2024-07-03,15.72,22.7394,16.17,1
2024-07-05,15.35,20.3901,16.76,1
2024-07-08,15.53,19.9163,16.17,1
2024-07-09,15.64,21.3583,15.66,1
2024-07-10,16.13,18.5213,15.03,0
2024-07-11,17.41,19.3204,15.84,0
2024-07-12,17.28,19.6466,17.47,1
2024-07-15,15.35,24.2558,15.63,1
2024-07-16,16.77,20.1843,15.06,0
2024-07-17,16.5,20.7382,13.78,0
2024-07-18,16.7,23.4116,13.98,0
2024-07-19,15.79,19.1501,13.35,0
2024-07-22,16.0,20.5657,12.61,0
2024-07-23,16.17,22.0906,12.67,0
2024-07-24,15.86,17.5551,12.27,0
2024-07-25,16.2,19.0416,12.55,0
2024-07-26,17.13,18.3924,12.63,0
2024-07-29,16.99,19.6256,12.7,0
2024-07-30,16.23,17.9771,11.96,0
2024-07-31,16.58,19.9314,12.21,0
2024-08-01,15.64,17.909,13.41,0
2024-08-02,14.49,18.7638,15.51,1
2024-08-05,14.06,16.4695,14.02,0
2024-08-06,14.05,17.3699,14.14,1
2024-08-07,13.44,15.9511,14.24,1
2024-08-08,13.91,17.7129,15.12,1
2024-08-09,13.54,17.3699,15.96,1
2024-08-12,13.2,17.2493,16.33,1
2024-08-13,14.58,19.5079,13.08,0
2024-08-14,14.17,19.5007,13.13,0
2024-08-15,14.71,18.1674,12.1,0
2024-08-16,14.75,18.6852,12.58,0
2024-08-19,14.86,16.1971,12.09,0
2024-08-20,14.49,18.3605,11.91,0
2024-08-21,14.56,14.5845,11.77,0
2024-08-22,12.28,16.9356,10.99,0
2024-08-23,13.48,21.3301,11.15,0
2024-08-26,13.53,20.4097,11.06,0
2024-08-27,13.04,16.3688,11.8,0
2024-08-28,12.4,23.7723,11.3,0
2024-08-29,12.51,16.8365,11.91,0
2024-08-30,12.63,21.0974,13.07,1
2024-09-03,12.25,16.6969,12.43,1
2024-09-04,12.46,18.6833,12.76,1
2024-09-05,12.51,17.3119,12.41,0
2024-09-06,11.91,18.8198,12.72,1
2024-09-09,11.9,19.1591,12.58,1
2024-09-10,12.37,18.8788,12.07,0
2024-09-11,13.83,18.4728,11.46,0
2024-09-12,13.9,20.0476,12.01,0
2024-09-13,13.98,19.5262,12.53,0
2024-09-16,13.66,18.1235,12.65,0
2024-09-17,14.06,18.0891,12.78,0
2024-09-18,14.65,14.8871,12.38,0
2024-09-19,14.34,17.0351,12.69,0
2024-09-20,14.05,15.9689,11.66,0
2024-09-23,14.43,19.1427,11.67,0
2024-09-24,14.93,16.8185,11.32,0
2024-09-25,13.97,15.7527,10.76,0
2024-09-26,14.9,17.1621,11.5,0
2024-09-27,16.17,15.1369,11.73,1
2024-09-30,16.76,16.0067,11.81,1
2024-10-01,16.17,12.8291,11.52,1
2024-10-02,15.66,15.9796,11.38,0
2024-10-03,15.03,23.1433,11.23,0
2024-10-04,15.84,19.9216,11.12,0
2024-10-07,17.47,14.0373,12.04,1
2024-10-08,15.63,16.0429,12.19,0
2024-10-09,15.06,14.8281,12.35,1
2024-10-10,13.78,19.1349,13.29,0
2024-10-11,13.98,17.0553,12.74,0
2024-10-14,13.35,14.7984,12.21,0
2024-10-15,12.61,15.6662,11.91,0
2024-10-16,12.67,16.8574,11.52,0
2024-10-17,12.27,15.0499,11.34,0
2024-10-18,12.55,18.0336,11.12,0
2024-10-21,12.63,17.8389,11.05,0
2024-10-22,12.7,16.9387,10.84,0
2024-10-23,11.96,19.5014,10.37,0
2024-10-24,12.21,18.5624,10.79,0
2024-10-25,13.41,19.9267,10.96,0
2024-10-28,15.51,14.4177,10.7,1
2024-10-29,14.02,16.5144,10.21,0
2024-10-30,14.14,17.4193,10.24,0
2024-10-31,14.24,16.102,10.48,0
2024-11-01,15.12,17.136,10.31,0
2024-11-04,15.96,16.3739,9.71,0
2024-11-05,16.33,20.1579,10.13,0
2024-11-06,13.08,17.2126,9.98,0
2024-11-07,13.13,18.5568,10.29,0
2024-11-08,12.1,13.7729,10.18,0
2024-11-11,12.58,15.6831,9.94,0
2024-11-12,12.09,16.4452,9.69,0
2024-11-13,11.91,15.1075,9.92,0
2024-11-14,11.77,15.2418,10.07,0
2024-11-15,10.99,15.6552,10.63,0
2024-11-18,11.15,17.1761,10.77,0
2024-11-19,11.06,18.6522,11.05,0
2024-11-20,11.8,16.6445,11.35,0
2024-11-21,11.3,14.5189,11.28,0
2024-11-22,11.91,16.2372,10.79,0
2024-11-25,13.07,16.2629,11.07,0
2024-11-26,12.43,16.4518,11.74,0
2024-11-27,12.76,14.4235,11.19,0
2024-11-29,12.41,15.8317,10.05,0
2024-12-02,12.72,14.733,9.83,0
2024-12-03,12.58,13.3967,10.19,0
2024-12-04,12.07,12.7745,10.1,0
2024-12-05,11.46,18.1032,10.04,0
2024-12-06,12.01,17.0147,10.24,0
2024-12-09,12.53,15.8386,9.84,0
2024-12-10,12.65,14.3435,9.61,0
2024-12-11,12.78,17.1439,9.47,0
2024-12-12,12.38,16.8441,9.3,0
2024-12-13,12.69,16.5236,9.43,0
2024-12-16,11.66,17.0456,9.96,0
2024-12-17,11.67,17.367,9.78,0
2024-12-18,11.32,15.0389,10.53,0
2024-12-19,10.76,15.6012,10.15,0
2024-12-20,11.5,14.9037,9.96,0
2024-12-23,11.73,15.3284,9.71,0
2024-12-24,11.81,13.2295,9.76,0
2024-12-26,11.52,12.6535,9.94,0
2024-12-27,11.38,15.3597,9.59,0
