date,entry_close,pred_close,actual_close,correct
2024-06-10,112.25,108.8335,126.35,0
2024-06-11,113.0,119.0106,123.56,1
2024-06-12,115.05,115.991,124.61,1
2024-06-13,113.77,99.9485,125.81,0
2024-06-14,112.05,120.8736,130.02,1
2024-06-17,112.69,110.0727,130.19,0
2024-06-18,112.91,110.045,131.35,0
2024-06-20,110.21,114.2795,130.87,1
2024-06-21,113.88,111.8296,129.88,0
2024-06-24,110.7,98.0175,132.48,0
2024-06-25,112.08,108.0003,137.29,0
2024-06-26,111.08,108.959,139.72,0
2024-06-27,110.58,113.0048,139.51,1
2024-06-28,108.78,112.7504,141.68,1
2024-07-01,108.51,113.6818,143.93,1
2024-07-02,107.45,103.2196,143.02,0
2024-07-03,107.62,107.5635,142.23,0
2024-07-05,110.96,120.1026,142.73,1
2024-07-08,109.04,119.9693,141.93,1
2024-07-09,108.95,112.8505,143.58,1
2024-07-10,106.0,116.1314,142.12,1
2024-07-11,105.42,108.4897,144.86,1
2024-07-12,105.0,116.7216,142.08,1
2024-07-15,105.65,114.6798,143.3,1
2024-07-16,108.74,122.0227,142.65,1
2024-07-17,103.16,105.2867,144.49,1
2024-07-18,100.28,120.4969,149.44,1
2024-07-19,106.1,108.4579,150.02,1
2024-07-22,104.5,114.9033,148.87,1
2024-07-23,105.76,111.9312,149.86,1
2024-07-24,102.46,112.3001,151.4,1
2024-07-25,100.78,111.4828,151.98,1
2024-07-26,104.74,109.3789,152.89,1
2024-07-29,105.99,116.0279,152.54,1
2024-07-30,107.21,132.6359,150.92,1
2024-07-31,110.72,113.1383,153.19,1
2024-08-01,108.2,113.7024,153.88,1
2024-08-02,117.23,122.3244,153.37,1
2024-08-05,121.3,103.2861,155.2,0
2024-08-06,122.64,108.4367,155.25,0
2024-08-07,121.49,114.4075,156.7,0
2024-08-08,124.76,82.0318,155.66,0
2024-08-09,123.81,115.6444,157.24,0
2024-08-12,124.04,110.9777,159.46,0
2024-08-13,127.94,109.3065,169.64,0
2024-08-14,126.93,115.3346,170.59,0
2024-08-15,130.29,94.328,171.4,0
2024-08-16,129.03,113.7301,174.95,0
2024-08-19,129.56,111.3886,176.49,0
2024-08-20,127.54,111.0826,175.76,0
2024-08-21,129.45,107.4071,173.8,0
2024-08-22,128.8,104.8569,169.43,0
2024-08-23,128.81,112.135,172.73,0
2024-08-26,128.62,108.6971,176.18,0
2024-08-27,128.48,104.7405,172.2,0
2024-08-28,127.16,118.6948,173.17,0
2024-08-29,126.53,115.9316,177.24,0
2024-08-30,128.71,118.26,179.1,0
2024-09-03,125.05,109.8318,179.01,0
2024-09-04,125.42,113.7833,178.44,0
2024-09-05,126.35,108.8719,180.48,0
2024-09-06,123.56,107.0807,176.37,0
2024-09-09,124.61,116.3187,176.09,0
2024-09-10,125.81,108.3702,176.88,0
2024-09-11,130.02,115.7771,175.89,0
2024-09-12,130.19,123.4205,178.48,0
2024-09-13,131.35,111.1474,175.64,0
2024-09-16,130.87,111.2138,173.9,0
2024-09-17,129.88,107.0902,176.41,0
2024-09-18,132.48,105.5013,176.02,0
2024-09-19,137.29,110.2879,175.09,0
2024-09-20,139.72,113.2404,179.5,0
2024-09-23,139.51,119.1424,177.0,0
2024-09-24,141.68,112.8326,165.39,0
2024-09-25,143.93,116.504,167.65,0
2024-09-26,143.02,105.4747,171.0,0
2024-09-27,142.23,106.7185,169.94,0
2024-09-30,142.73,100.8719,171.81,0
2024-10-01,141.93,117.3804,170.57,0
2024-10-02,143.58,105.5778,169.34,0
2024-10-03,142.12,112.8368,169.6,0
2024-10-04,144.86,103.5726,167.75,0
2024-10-07,142.08,113.6913,170.65,0
2024-10-08,143.3,113.1491,174.96,0
2024-10-09,142.65,116.2218,175.02,0
2024-10-10,144.49,109.4284,170.0,0
2024-10-11,149.44,102.6614,173.72,0
2024-10-14,150.02,118.9065,170.12,0
2024-10-15,148.87,114.676,168.37,0
2024-10-16,149.86,117.1065,169.33,0
2024-10-17,151.4,112.9302,171.19,0
2024-10-18,151.98,118.2386,170.85,0
2024-10-21,152.89,119.4508,174.48,0
2024-10-22,152.54,105.3288,178.1,0
2024-10-23,150.92,118.3242,177.68,0
2024-10-24,153.19,124.8412,183.13,0
2024-10-25,153.88,120.8651,183.32,0
2024-10-28,153.37,132.186,182.48,0
2024-10-29,155.2,127.7697,184.49,0
2024-10-30,155.25,117.2163,185.78,0
2024-10-31,156.7,128.0013,188.57,0
2024-11-01,155.66,137.9595,188.83,0
2024-11-04,157.24,118.4689,190.8,0
2024-11-05,159.46,124.5814,194.57,0
2024-11-06,169.64,122.2926,195.99,0
2024-11-07,170.59,115.3921,196.45,0
2024-11-08,171.4,123.9613,195.54,0
2024-11-11,174.95,129.4224,192.63,0
2024-11-12,176.49,120.9821,193.09,0
2024-11-13,175.76,120.8274,200.89,0
2024-11-14,173.8,123.8889,205.64,0
2024-11-15,169.43,121.0039,213.38,0
2024-11-18,172.73,134.4678,211.97,0
2024-11-19,176.18,132.1282,213.24,0
2024-11-20,172.2,121.7331,202.25,0
2024-11-21,173.17,123.3677,199.94,0
2024-11-22,177.24,131.2748,195.87,0
2024-11-25,179.1,131.516,191.27,0
2024-11-26,179.01,136.5369,198.6,0
2024-11-27,178.44,141.7633,195.84,0
2024-11-29,180.48,132.0968,198.44,0
2024-12-02,176.37,130.921,198.1,0
2024-12-03,176.09,113.4017,193.41,0
2024-12-04,176.88,147.037,195.08,0
2024-12-05,175.89,131.931,180.11,0
2024-12-06,178.48,145.3894,178.08,1
2024-12-09,175.64,140.0836,177.86,0
2024-12-10,173.9,130.5123,183.73,0
2024-12-11,176.41,138.8963,187.7,0
2024-12-12,176.02,137.6869,178.29,0
2024-12-13,175.09,135.9568,183.5,0
2024-12-16,179.5,138.6365,189.86,0
2024-12-17,177.0,136.1224,185.21,0
2024-12-18,165.39,147.9178,190.66,0
2024-12-19,167.65,129.3961,192.93,0
2024-12-20,171.0,145.9747,190.62,0
2024-12-23,169.94,137.1539,198.98,0
2024-12-24,171.81,133.8204,199.72,0
2024-12-26,170.57,149.1104,192.87,0
2024-12-27,169.34,131.3485,194.02,0
2024-12-30,169.6,129.4472,182.61,0
2024-12-31,167.75,144.8897,182.77,0
2025-01-02,170.65,135.31,182.42,0
2025-01-03,174.96,135.9749,189.25,0
2025-01-06,175.02,134.3056,173.99,1
2025-01-07,170.0,136.201,163.16,1
2025-01-08,173.72,132.002,166.3,1
2025-01-10,170.12,138.3373,165.75,1
2025-01-13,168.37,152.3672,188.58,0
2025-01-14,169.33,136.8398,178.52,0
2025-01-15,171.19,141.2595,180.49,0
2025-01-16,170.85,123.4634,181.85,0
2025-01-17,174.48,131.5529,181.55,0
2025-01-21,178.1,118.3112,179.39,0
2025-01-22,177.68,129.5692,181.24,0
2025-01-23,183.13,135.8046,171.82,1
2025-01-24,183.32,137.4479,176.61,1
2025-01-27,182.48,134.5552,181.19,1
2025-01-28,184.49,150.5487,187.22,0
2025-01-29,185.78,140.8616,187.76,0
2025-01-30,188.57,119.674,187.88,1
2025-01-31,188.83,141.4792,191.23,0
2025-02-03,190.8,150.8196,192.89,0
2025-02-04,194.57,148.9499,196.2,0
2025-02-05,195.99,140.8316,205.09,0
2025-02-06,196.45,144.6504,205.4,0
2025-02-07,195.54,152.644,190.11,1
2025-02-10,192.63,141.8164,176.99,1
2025-02-11,193.09,145.2624,182.96,1
2025-02-12,200.89,135.714,183.52,1
2025-02-13,205.64,145.2923,192.1,1
2025-02-14,213.38,150.9192,197.8,1
2025-02-18,211.97,152.5617,196.84,1
2025-02-19,213.24,156.2878,197.1,1
2025-02-20,202.25,157.7295,202.0,1
2025-02-21,199.94,142.562,202.18,0
2025-02-24,195.87,159.5005,205.18,0
2025-02-25,191.27,135.2558,204.77,0
2025-02-26,198.6,150.5585,200.87,0
2025-02-27,195.84,157.1278,206.15,0
2025-02-28,198.44,155.1426,204.89,0
2025-03-03,198.1,151.5853,206.59,0
2025-03-04,193.41,153.3146,204.58,0
2025-03-05,195.08,151.7306,208.65,0
2025-03-06,180.11,153.3667,212.79,0
2025-03-07,178.08,156.2476,213.7,0
2025-03-10,177.86,123.1721,220.23,0
2025-03-11,183.73,149.7914,215.84,0
2025-03-12,187.7,147.4214,218.45,0
2025-03-13,178.29,156.1084,217.49,0
2025-03-14,183.5,143.1338,214.97,0
2025-03-17,189.86,141.5615,217.8,0
2025-03-18,185.21,149.7304,216.6,0
2025-03-19,190.66,156.6875,218.96,0
2025-03-20,192.93,151.5437,221.73,0
2025-03-21,190.62,160.4649,219.39,0
2025-03-24,198.98,132.8824,220.58,0
2025-03-25,199.72,155.8644,220.46,0
2025-03-26,192.87,152.4665,230.32,0
2025-03-27,194.02,143.659,236.17,0
2025-03-28,182.61,152.6132,232.68,0
2025-03-31,182.77,151.0786,239.64,0
2025-04-01,182.42,144.5538,242.315,0
2025-04-02,189.25,154.1412,246.51,0
2025-04-03,173.99,175.0542,238.01,1
2025-04-04,163.16,169.0593,238.8,1
2025-04-07,166.3,163.5929,238.79,0
2025-04-08,165.75,158.9279,246.89,0
2025-04-09,188.58,152.5874,241.47,0
2025-04-10,178.52,161.0995,246.06,0
2025-04-11,180.49,160.3525,238.24,0
2025-04-14,181.85,169.0675,240.44,0
2025-04-15,181.55,162.6449,242.85,0
2025-04-16,179.39,165.0152,236.77,0
2025-04-17,181.24,166.3802,234.5,0
2025-04-21,171.82,159.2779,235.02,0
2025-04-22,176.61,169.7241,239.17,0
2025-04-23,181.19,163.2874,240.53,0
2025-04-24,187.22,172.0989,239.82,0
2025-04-25,187.76,148.3942,240.56,0
2025-04-28,187.88,168.4949,243.69,0
2025-04-29,191.23,179.2504,249.92,0
2025-04-30,192.89,167.8643,246.44,0
2025-05-01,196.2,157.0395,243.2,0
2025-05-02,205.09,183.8781,248.0,0
2025-05-05,205.4,149.2705,250.25,0
2025-05-06,190.11,154.0807,248.35,0
2025-05-07,176.99,164.7168,258.02,0
2025-05-08,182.96,167.8797,255.28,0
2025-05-09,183.52,159.6402,258.08,0
2025-05-12,192.1,169.8881,270.99,0
2025-05-13,197.8,180.8602,259.19,0
2025-05-14,196.84,177.3968,256.09,0
2025-05-15,197.1,180.5071,264.32,0
2025-05-16,202.0,186.5458,254.2,0
2025-05-19,202.18,156.7664,247.44,0
2025-05-20,205.18,169.8558,248.0,0
2025-05-21,204.77,165.8757,253.34,0
2025-05-22,200.87,166.8992,248.37,0
2025-05-23,206.15,164.7485,243.82,0
2025-05-27,204.89,166.1705,245.18,0
2025-05-28,206.59,185.2664,247.32,0
2025-05-29,204.58,156.8218,245.28,0
2025-05-30,208.65,181.1334,248.79,0
2025-06-02,212.79,151.8902,245.65,0
2025-06-03,213.7,167.266,247.33,0
