date,entry_close,pred_close,actual_close,correct
2024-06-10,112.99,125.4079,110.09,0
2024-06-11,114.9,126.0339,107.2,0
2024-06-12,119.11,116.6791,107.7,1
2024-06-13,119.54,122.5826,108.12,0
2024-06-14,117.84,120.6173,109.52,0
2024-06-17,117.17,116.6124,109.63,1
2024-06-18,116.5,119.0128,109.26,0
2024-06-20,116.08,111.9431,111.4,1
2024-06-21,117.57,116.4011,111.93,1
2024-06-24,118.49,126.5674,113.18,0
2024-06-25,119.13,117.4391,115.52,1
2024-06-26,123.19,120.1485,114.76,1
2024-06-27,128.45,111.6637,116.22,1
2024-06-28,129.69,106.6908,117.31,1
2024-07-01,130.5,107.2726,116.01,1
2024-07-02,131.75,115.1709,114.21,1
2024-07-03,131.5,112.8669,114.2,1
2024-07-05,134.56,104.6271,115.06,1
2024-07-08,132.4,114.52,113.98,1
2024-07-09,126.63,109.6557,116.22,1
2024-07-10,126.29,111.4706,117.53,1
2024-07-11,127.19,110.4731,122.69,1
2024-07-12,127.8,122.3103,122.38,1
2024-07-15,129.415,123.754,123.72,1
2024-07-16,130.77,120.303,125.16,1
2024-07-17,121.16,117.6113,130.09,0
2024-07-18,118.82,120.1416,129.81,1
2024-07-19,119.03,119.3549,129.12,1
2024-07-22,121.22,122.1477,126.88,1
2024-07-23,123.21,120.3431,126.0,0
2024-07-24,117.32,109.1137,126.22,0
2024-07-25,120.31,110.9624,128.12,0
2024-07-26,118.31,107.6607,125.81,0
2024-07-29,117.92,119.4064,124.62,1
2024-07-30,114.68,108.3238,121.52,0
2024-07-31,116.44,118.9993,123.89,1
2024-08-01,113.1,98.9327,126.6,0
2024-08-02,107.25,124.9828,126.37,1
2024-08-05,104.97,127.5976,128.76,1
2024-08-06,105.47,110.8444,128.16,1
2024-08-07,108.04,112.6646,125.44,1
2024-08-08,114.06,114.3304,123.26,1
2024-08-09,112.28,122.0837,125.56,1
2024-08-12,112.16,109.2287,125.05,0
2024-08-13,114.37,112.8409,128.35,0
2024-08-14,114.15,127.018,129.79,1
2024-08-15,116.33,114.7258,124.45,0
2024-08-16,114.98,120.4853,122.36,1
2024-08-19,117.21,136.9681,123.41,1
2024-08-20,116.1,106.4944,128.45,0
2024-08-21,117.74,125.5423,131.43,1
2024-08-22,115.62,124.6496,126.09,1
2024-08-23,117.23,125.1384,125.97,1
2024-08-26,116.74,117.8112,133.41,1
2024-08-27,116.02,119.8481,135.45,1
2024-08-28,113.42,116.2912,143.86,1
2024-08-29,115.18,119.7755,154.83,1
2024-08-30,116.26,123.7189,156.63,1
2024-09-03,111.48,125.4464,154.39,1
2024-09-04,108.65,118.618,151.96,1
2024-09-05,110.09,123.3286,152.75,1
2024-09-06,107.2,115.7828,152.88,1
2024-09-09,107.7,114.6291,155.01,1
2024-09-10,108.12,122.5496,165.88,1
2024-09-11,109.52,121.2714,163.35,1
2024-09-12,109.63,117.0653,168.65,1
2024-09-13,109.26,114.0993,161.19,1
2024-09-16,111.4,125.1068,154.91,1
2024-09-17,111.93,121.9608,156.48,1
2024-09-18,113.18,120.3987,156.73,1
2024-09-19,115.52,131.2409,153.03,1
2024-09-20,114.76,118.2118,155.82,1
2024-09-23,116.22,113.6907,156.91,0
2024-09-24,117.31,113.3224,150.2,0
2024-09-25,116.01,124.0744,146.93,1
2024-09-26,114.21,114.3414,149.46,1
2024-09-27,114.2,111.1653,147.46,0
2024-09-30,115.06,114.0719,148.4,0
2024-10-01,113.98,111.8509,147.56,0
2024-10-02,116.22,124.2451,145.99,1
2024-10-03,117.53,108.3537,144.17,0
2024-10-04,122.69,111.6308,142.89,0
2024-10-07,122.38,121.9014,143.63,0
2024-10-08,123.72,114.474,144.83,0
2024-10-09,125.16,112.3692,146.04,0
2024-10-10,130.09,112.8355,141.4,0
2024-10-11,129.81,119.4234,141.88,0
2024-10-14,129.12,117.616,140.42,0
2024-10-15,126.88,118.7746,138.0,0
2024-10-16,126.0,114.5367,139.16,0
2024-10-17,126.22,111.9037,140.95,0
2024-10-18,128.12,114.4673,136.79,0
2024-10-21,125.81,119.4823,138.4,0
2024-10-22,124.62,117.1659,138.4,0
2024-10-23,121.52,130.362,140.12,1
2024-10-24,123.89,118.985,140.2,0
2024-10-25,126.6,121.3549,140.99,0
2024-10-28,126.37,125.624,142.16,0
2024-10-29,128.76,119.4922,151.89,0
2024-10-30,128.16,130.3924,145.72,1
2024-10-31,125.44,112.7399,142.61,0
2024-11-01,123.26,128.4187,142.71,1
2024-11-04,125.56,117.7413,143.155,0
2024-11-05,125.05,113.5814,145.83,0
2024-11-06,128.35,122.7664,144.85,0
2024-11-07,129.79,122.1248,144.85,0
2024-11-08,124.45,130.8413,142.65,1
2024-11-11,122.36,132.3219,147.1,1
2024-11-12,123.41,125.6012,145.42,1
2024-11-13,128.45,132.3236,148.09,1
2024-11-14,131.43,111.2996,135.89,0
2024-11-15,126.09,125.8697,131.01,0
2024-11-18,125.97,124.891,130.63,0
2024-11-19,133.41,118.4976,128.85,1
2024-11-20,135.45,128.7855,126.24,1
2024-11-21,143.86,125.985,119.64,1
2024-11-22,154.83,127.6313,117.51,1
