date,entry_close,pred_close,actual_close,correct
2024-06-10,42.09,19.6285,17.4,1
2024-06-11,39.31,15.9351,17.1,1
2024-06-12,40.93,14.2743,18.04,1
2024-06-13,39.93,32.4033,18.63,1
2024-06-14,37.05,26.9663,16.68,1
2024-06-17,34.72,24.0596,16.075,1
2024-06-18,31.31,28.8354,17.97,1
2024-06-20,26.75,26.2039,17.28,1
2024-06-21,27.66,22.4309,16.14,1
2024-06-24,33.52,24.7252,15.62,1
2024-06-25,36.37,21.4132,14.7,1
2024-06-26,39.25,20.8311,13.55,1
2024-06-27,36.73,20.5658,12.15,1
2024-06-28,32.75,21.47,12.79,1
2024-07-01,33.08,20.6934,14.13,1
2024-07-02,31.73,26.6834,13.98,1
2024-07-03,31.1,21.8312,14.75,1
2024-07-05,29.17,20.9341,16.07,1
2024-07-08,30.32,28.6031,16.16,1
2024-07-09,29.9,27.2,15.81,1
2024-07-10,28.8,26.4777,16.17,1
2024-07-11,29.86,28.3291,16.5,1
2024-07-12,30.89,26.8043,18.39,1
2024-07-15,40.58,24.0011,21.8,1
2024-07-16,36.89,25.2164,20.57,1
2024-07-17,36.44,24.7453,24.12,1
2024-07-18,37.38,30.6439,25.28,1
2024-07-19,34.99,26.9327,29.95,1
2024-07-22,34.7,31.2687,27.06,1
2024-07-23,32.91,23.8431,31.26,1
2024-07-24,30.62,27.2907,29.9,1
2024-07-25,31.05,30.4545,29.58,1
2024-07-26,31.45,25.7081,31.3,1
2024-07-29,30.15,29.2374,34.39,0
2024-07-30,28.78,22.3545,35.91,0
2024-07-31,28.74,30.5875,34.95,1
2024-08-01,27.2,29.249,38.95,1
2024-08-02,29.21,24.04,47.36,0
2024-08-05,26.98,25.1302,51.51,0
2024-08-06,27.11,29.107,40.03,1
2024-08-07,25.72,25.3429,35.34,0
2024-08-08,26.34,36.9758,30.56,1
2024-08-09,26.21,29.5173,34.34,1
2024-08-12,24.88,34.9079,33.94,1
2024-08-13,23.98,36.7358,35.955,1
2024-08-14,23.97,30.0384,27.695,1
2024-08-15,23.57,30.2122,31.91,1
2024-08-16,23.06,26.1976,33.41,1
2024-08-19,22.24,33.83,30.47,1
2024-08-20,21.415,30.5374,28.93,1
2024-08-21,24.2,29.9577,26.99,1
2024-08-22,22.7,36.1005,28.1,1
2024-08-23,22.81,34.084,32.78,1
2024-08-26,21.72,35.153,29.87,1
2024-08-27,20.99,33.4517,30.1,1
2024-08-28,20.1,31.6478,30.49,1
2024-08-29,19.84,34.4897,30.77,1
2024-08-30,19.5,28.5398,30.75,1
2024-09-03,18.08,37.6642,30.51,1
2024-09-04,16.98,41.0732,30.44,1
2024-09-05,17.4,40.5582,31.6,1
2024-09-06,17.1,36.2661,32.49,1
2024-09-09,18.04,33.42,33.66,1
2024-09-10,18.63,34.0203,35.26,1
2024-09-11,16.68,31.581,33.74,1
2024-09-12,16.075,32.0392,34.74,1
2024-09-13,17.97,29.3349,35.34,1
2024-09-16,17.28,30.3935,34.16,1
2024-09-17,16.14,26.8501,36.23,1
2024-09-18,15.62,37.0726,36.2,1
2024-09-19,14.7,32.2815,36.59,1
2024-09-20,13.55,35.2618,38.5,1
2024-09-23,12.15,26.0997,38.01,1
2024-09-24,12.79,56.7561,35.32,1
2024-09-25,14.13,27.6891,35.41,1
2024-09-26,13.98,26.5854,34.71,1
2024-09-27,14.75,30.2553,35.23,1
2024-09-30,16.07,30.6597,35.79,1
2024-10-01,16.16,35.7364,37.03,1
2024-10-02,15.81,28.1694,36.08,1
2024-10-03,16.17,27.5156,34.12,1
2024-10-04,16.5,28.753,34.1,1
2024-10-07,18.39,25.8619,34.02,1
2024-10-08,21.8,25.1124,34.62,1
2024-10-09,20.57,28.2456,36.17,1
2024-10-10,24.12,35.8457,35.22,1
2024-10-11,25.28,31.5101,34.54,1
2024-10-14,29.95,32.9577,35.31,1
2024-10-15,27.06,27.9179,42.91,1
2024-10-16,31.26,31.7004,39.35,1
2024-10-17,29.9,30.0946,40.83,1
2024-10-18,29.58,25.6101,41.0,0
