date,entry_close,pred_close,actual_close,correct
2024-06-10,110.19,126.2993,68.47,0
2024-06-11,109.64,121.5117,66.5,0
2024-06-12,108.87,121.3022,67.42,0
2024-06-13,106.53,121.9829,65.39,0
2024-06-14,106.03,123.8261,66.58,0
2024-06-17,108.65,127.2893,67.89,0
2024-06-18,107.24,124.2329,69.7,0
2024-06-20,107.58,123.5183,71.91,0
2024-06-21,106.87,128.7509,73.5,0
2024-06-24,107.35,119.8178,75.67,0
2024-06-25,105.41,132.3159,73.88,0
2024-06-26,103.43,123.148,71.73,0
2024-06-27,105.21,124.5332,71.76,0
2024-06-28,106.77,121.6535,71.29,0
2024-07-01,107.25,124.6008,70.55,0
2024-07-02,107.11,112.9684,72.88,0
2024-07-03,105.95,126.2533,73.12,0
2024-07-05,106.68,116.5475,70.32,0
2024-07-08,106.72,123.1542,70.44,0
2024-07-09,104.03,126.7709,69.49,0
2024-07-10,102.48,120.5522,69.08,0
2024-07-11,106.73,118.0391,70.9,0
2024-07-12,107.36,127.2963,69.46,0
2024-07-15,103.83,125.206,69.48,0
2024-07-16,104.82,121.9614,69.63,0
2024-07-17,105.34,108.9945,69.36,0
2024-07-18,106.67,125.5146,68.94,0
2024-07-19,106.56,122.5948,66.8,0
2024-07-22,107.21,124.1677,67.73,0
2024-07-23,107.01,124.9088,68.02,0
2024-07-24,103.69,114.4688,67.86,0
2024-07-25,102.63,112.9507,68.2,0
2024-07-26,103.93,121.7159,67.31,0
2024-07-29,103.74,111.3135,66.94,0
2024-07-30,105.33,116.285,66.13,0
2024-07-31,104.34,117.2002,66.95,0
2024-08-01,99.75,118.6583,66.45,0
2024-08-02,99.53,120.6415,66.26,0
2024-08-05,96.5,116.364,64.5,0
2024-08-06,96.58,121.7059,63.31,0
2024-08-07,95.03,118.5036,64.64,0
2024-08-08,94.93,117.7742,66.6,0
2024-08-09,95.05,123.956,66.81,0
2024-08-12,93.9,118.3528,66.77,0
2024-08-13,92.45,127.8952,62.41,0
2024-08-14,92.37,121.7755,63.54,0
2024-08-15,97.19,120.555,61.41,0
2024-08-16,98.78,123.6388,61.21,0
2024-08-19,100.51,111.3142,62.27,0
2024-08-20,99.19,113.6171,65.15,0
2024-08-21,99.98,123.067,65.67,0
2024-08-22,97.96,113.7984,64.2,0
2024-08-23,97.0,126.6365,66.53,0
2024-08-26,96.55,129.6963,64.87,0
2024-08-27,95.4,131.0089,63.18,0
2024-08-28,94.46,131.5006,65.76,0
2024-08-29,84.79,117.2717,66.4,0
2024-08-30,84.49,119.5777,69.78,0
2024-09-03,81.65,125.1178,69.12,0
2024-09-04,63.56,117.8499,71.5,1
2024-09-05,68.47,123.3246,71.27,1
2024-09-06,66.5,121.0098,72.81,1
2024-09-09,67.42,118.5906,72.48,1
2024-09-10,65.39,119.248,73.83,1
2024-09-11,66.58,135.1027,72.56,1
2024-09-12,67.89,111.6454,71.87,1
2024-09-13,69.7,118.7882,71.6,1
2024-09-16,71.91,119.176,72.8,1
2024-09-17,73.5,134.0666,71.63,0
2024-09-18,75.67,126.3724,70.83,0
2024-09-19,73.88,124.9665,70.09,0
2024-09-20,71.73,120.4957,70.03,0
2024-09-23,71.76,137.2932,70.11,0
2024-09-24,71.29,126.0831,69.27,0
2024-09-25,70.55,121.3996,69.06,0
2024-09-26,72.88,119.7122,72.94,1
2024-09-27,73.12,127.3388,73.73,1
2024-09-30,70.32,114.4431,73.38,1
2024-10-01,70.44,94.0006,76.19,1
2024-10-02,69.49,124.8273,75.99,1
2024-10-03,69.08,95.514,74.77,1
2024-10-04,70.9,117.3196,74.94,1
2024-10-07,69.46,118.5833,76.47,1
2024-10-08,69.48,126.6294,73.36,1
2024-10-09,69.63,126.131,76.61,1
2024-10-10,69.36,113.3549,75.01,1
2024-10-11,68.94,120.9881,71.97,1
2024-10-14,66.8,110.0949,72.9,1
2024-10-15,67.73,110.517,71.15,1
2024-10-16,68.02,115.484,70.17,1
2024-10-17,67.86,100.1977,70.34,1
2024-10-18,68.2,105.7467,71.08,1
2024-10-21,67.31,109.1042,72.07,1
2024-10-22,66.94,115.6284,73.76,1
2024-10-23,66.13,102.3629,71.97,1
2024-10-24,66.95,114.9322,71.14,1
2024-10-25,66.45,116.4952,72.48,1
2024-10-28,66.26,123.7537,74.95,1
2024-10-29,64.5,122.7399,74.95,1
2024-10-30,63.31,127.7313,74.2,1
2024-10-31,64.64,90.9812,74.5,1
2024-11-01,66.6,121.8627,73.35,1
2024-11-04,66.81,97.7246,71.63,1
2024-11-05,66.77,99.7428,74.31,1
2024-11-06,62.41,110.6034,74.23,1
2024-11-07,63.54,134.7784,74.52,1
2024-11-08,61.41,108.6143,72.66,1
2024-11-11,61.21,98.598,73.86,1
2024-11-12,62.27,120.8455,72.24,1
2024-11-13,65.15,107.6776,71.74,1
2024-11-14,65.67,94.3112,72.01,1
2024-11-15,64.2,105.7906,71.56,1
2024-11-18,66.53,115.452,74.52,1
2024-11-19,64.87,101.5257,75.62,1
2024-11-20,63.18,132.6555,76.29,1
2024-11-21,65.76,99.1953,74.96,1
2024-11-22,66.4,122.4452,75.31,1
2024-11-25,69.78,110.3236,76.22,1
2024-11-26,69.12,121.5845,74.14,1
2024-11-27,71.5,92.6989,73.16,1
2024-11-29,71.27,93.1079,72.86,1
2024-12-02,72.81,96.3788,68.77,0
2024-12-03,72.48,92.9891,66.68,0
2024-12-04,73.83,87.5952,70.16,0
2024-12-05,72.56,140.8151,69.1,0
2024-12-06,71.87,103.0927,68.99,0
2024-12-09,71.6,89.3252,67.44,0
2024-12-10,72.8,80.5517,65.69,0
2024-12-11,71.63,93.7618,61.92,0
2024-12-12,70.83,89.13,66.0,0
2024-12-13,70.09,93.0534,64.56,0
2024-12-16,70.03,118.8483,65.79,0
2024-12-17,70.11,84.4678,64.98,0
2024-12-18,69.27,108.7467,64.3,0
2024-12-19,69.06,90.9627,64.59,0
2024-12-20,72.94,72.1151,66.75,1
2024-12-23,73.73,79.1445,69.74,0
2024-12-24,73.38,103.8512,67.14,0
2024-12-26,76.19,71.0385,69.21,1
2024-12-27,75.99,78.0945,76.95,1
2024-12-30,74.77,78.7108,72.75,0
2024-12-31,74.94,95.6522,75.07,1
2025-01-02,76.47,97.5315,75.34,0
2025-01-03,73.36,82.6712,77.57,1
2025-01-06,76.61,72.5435,67.22,1
2025-01-07,75.01,108.7503,67.55,0
2025-01-08,71.97,82.0224,72.84,1
2025-01-10,72.9,78.0177,69.7,0
2025-01-13,71.15,70.3408,72.57,0
2025-01-14,70.17,80.1507,71.74,1
2025-01-15,70.34,85.0641,72.11,1
