date,entry_close,pred_close,actual_close,correct
2024-06-10,36.7,36.38,36.17,1
2024-06-11,37.47,35.0995,36.4,1
2024-06-12,38.81,32.4695,38.88,0
2024-06-13,36.36,35.3041,37.76,0
2024-06-14,35.03,35.8344,39.71,1
2024-06-17,35.61,34.0984,40.17,0
2024-06-18,34.75,35.0788,40.33,1
2024-06-20,33.77,37.4924,40.48,1
2024-06-21,33.86,32.3223,40.97,0
2024-06-24,32.56,36.3398,40.78,1
2024-06-25,32.26,37.6612,42.23,1
2024-06-26,33.29,32.7712,43.23,0
2024-06-27,33.87,34.4711,41.09,1
2024-06-28,34.75,32.6431,41.11,0
2024-07-01,34.67,33.4972,40.76,0
2024-07-02,35.17,34.5482,41.86,0
2024-07-03,34.83,32.6455,41.01,0
2024-07-05,34.72,35.3206,40.39,1
2024-07-08,34.67,36.1507,38.63,1
2024-07-09,32.41,32.7709,39.83,1
2024-07-10,31.36,35.4244,39.53,1
2024-07-11,33.29,37.2516,42.9,1
2024-07-12,33.2,34.2007,41.72,1
2024-07-15,33.62,35.1458,41.61,1
2024-07-16,34.72,35.0738,42.62,1
2024-07-17,34.02,33.2869,43.54,0
2024-07-18,33.38,35.7186,43.96,1
2024-07-19,32.82,33.9857,43.86,1
2024-07-22,32.29,37.5207,44.0,1
2024-07-23,32.34,35.0582,43.55,1
2024-07-24,30.97,35.8088,43.81,1
2024-07-25,32.28,34.2094,43.32,1
2024-07-26,32.18,32.8282,42.7,1
2024-07-29,32.47,33.9066,41.92,1
2024-07-30,31.8,34.2029,41.08,1
2024-07-31,33.13,34.9806,41.22,1
2024-08-01,30.85,36.7194,41.04,1
2024-08-02,28.69,32.2969,40.89,1
2024-08-05,27.27,33.4511,41.22,1
2024-08-06,27.81,38.8159,40.95,1
2024-08-07,27.7,35.1884,39.58,1
2024-08-08,29.1,34.1092,40.83,1
2024-08-09,32.57,33.2377,35.33,1
2024-08-12,33.92,32.468,35.85,0
2024-08-13,35.91,29.5817,38.82,0
2024-08-14,36.29,32.0645,38.77,0
2024-08-15,36.62,31.3391,38.5,0
2024-08-16,37.55,32.5701,39.39,0
2024-08-19,37.98,29.4468,38.39,0
2024-08-20,37.38,32.8776,38.06,0
2024-08-21,37.35,31.2545,38.35,0
2024-08-22,36.58,33.2979,36.85,0
2024-08-23,38.0,34.4755,36.41,1
2024-08-26,37.45,33.6918,38.02,0
2024-08-27,37.32,35.1964,37.53,0
2024-08-28,36.23,36.4844,38.87,1
2024-08-29,37.34,36.7617,39.6,0
2024-08-30,37.43,33.1011,39.52,0
2024-09-03,35.45,35.1129,38.71,0
