date,entry_close,pred_close,actual_close,correct
2024-06-10,50.99,55.9223,56.93,1
2024-06-11,52.07,56.2722,59.19,1
2024-06-12,51.32,56.3376,56.04,1
2024-06-13,51.18,58.8821,54.56,1
2024-06-14,50.84,56.6677,55.31,1
2024-06-17,51.03,47.1104,56.49,0
2024-06-18,50.97,56.7143,56.63,1
2024-06-20,52.2,56.7447,56.76,1
2024-06-21,52.74,55.8873,55.69,1
2024-06-24,51.69,57.7403,56.64,1
2024-06-25,51.54,46.9098,57.91,0
2024-06-26,51.62,57.4064,57.97,1
2024-06-27,52.69,54.9993,58.85,1
2024-06-28,53.5,55.185,58.66,1
2024-07-01,55.14,52.6241,60.55,0
2024-07-02,54.32,52.0659,62.53,0
2024-07-03,54.13,52.6083,61.67,0
2024-07-05,54.46,57.3521,62.09,1
2024-07-08,53.83,54.7711,61.42,1
2024-07-09,51.91,60.3279,62.33,1
2024-07-10,53.79,55.4805,62.98,1
2024-07-11,54.29,48.1862,63.84,0
2024-07-12,56.38,51.438,62.78,0
2024-07-15,57.135,56.2355,66.89,0
2024-07-16,56.9,53.0753,69.25,0
2024-07-17,56.18,54.7602,69.22,0
2024-07-18,54.59,54.4282,68.89,0
2024-07-19,55.89,48.734,68.86,0
2024-07-22,56.62,56.3673,70.04,0
2024-07-23,56.11,55.7413,72.6,0
2024-07-24,53.8,51.8311,72.5,0
2024-07-25,55.1,52.5625,72.3,0
2024-07-26,55.9,54.5117,71.78,0
2024-07-29,55.77,55.1108,70.68,0
2024-07-30,55.43,54.7814,70.56,0
2024-07-31,55.48,55.1414,70.58,0
2024-08-01,53.61,51.5946,68.99,0
2024-08-02,51.73,51.5809,69.58,0
2024-08-05,49.73,50.3852,70.15,1
2024-08-06,50.58,53.0981,68.98,1
2024-08-07,51.05,54.2358,69.38,1
2024-08-08,52.1,52.2991,71.11,1
2024-08-09,52.52,53.7636,69.85,1
2024-08-12,52.02,53.1543,72.25,1
2024-08-13,53.59,55.0834,75.51,1
2024-08-14,55.59,53.5556,76.47,0
2024-08-15,56.46,49.8135,79.38,0
2024-08-16,56.8,53.9882,81.22,0
2024-08-19,57.19,52.9063,82.47,0
2024-08-20,56.87,59.8992,81.81,1
2024-08-21,56.79,53.9597,80.36,0
2024-08-22,56.7,54.9491,79.11,0
2024-08-23,57.44,54.6132,78.37,0
2024-08-26,58.72,54.4458,79.52,0
2024-08-27,58.46,59.636,78.81,1
2024-08-28,57.66,60.6415,80.15,1
2024-08-29,59.03,52.2869,83.03,0
2024-08-30,59.21,57.1985,85.51,0
2024-09-03,57.91,53.7138,85.3,0
2024-09-04,57.42,60.0226,80.38,1
2024-09-05,56.93,55.801,79.69,0
2024-09-06,59.19,54.1145,80.26,0
2024-09-09,56.04,57.0815,80.45,1
2024-09-10,54.56,56.4172,83.99,1
2024-09-11,55.31,62.0146,83.68,1
2024-09-12,56.49,59.3802,106.99,1
2024-09-13,56.63,60.9418,102.26,1
2024-09-16,56.76,56.2374,95.85,0
2024-09-17,55.69,59.5605,94.75,1
2024-09-18,56.64,58.3398,94.52,1
2024-09-19,57.91,57.5136,94.48,0
2024-09-20,57.97,58.0402,97.83,1
2024-09-23,58.85,56.2683,98.17,0
2024-09-24,58.66,51.9376,92.71,0
2024-09-25,60.55,57.232,94.15,0
2024-09-26,62.53,53.8658,94.41,0
2024-09-27,61.67,53.1109,95.8,0
2024-09-30,62.09,53.3908,94.85,0
2024-10-01,61.42,53.2324,95.77,0
2024-10-02,62.33,54.7423,93.0,0
2024-10-03,62.98,56.9113,91.7,0
2024-10-04,63.84,51.3419,89.94,0
2024-10-07,62.78,57.9411,90.35,0
2024-10-08,66.89,54.7234,90.21,0
2024-10-09,69.25,53.5794,91.16,0
2024-10-10,69.22,53.3165,88.26,0
2024-10-11,68.89,54.5793,89.51,0
2024-10-14,68.86,56.5991,90.42,0
2024-10-15,70.04,55.9184,90.02,0
2024-10-16,72.6,57.7811,90.09,0
2024-10-17,72.5,57.1588,91.34,0
2024-10-18,72.3,58.7785,91.16,0
2024-10-21,71.78,55.874,89.6,0
2024-10-22,70.68,53.6139,91.36,0
2024-10-23,70.56,56.6946,91.76,0
2024-10-24,70.58,55.3708,90.54,0
2024-10-25,68.99,57.5162,91.6,0
2024-10-28,69.58,55.3823,92.26,0
2024-10-29,70.15,56.7212,97.7,0
2024-10-30,68.98,56.0592,95.46,0
2024-10-31,69.38,59.464,95.85,0
2024-11-01,71.11,59.6284,96.73,0
2024-11-04,69.85,54.4846,96.5,0
2024-11-05,72.25,55.142,96.47,0
2024-11-06,75.51,56.6588,96.89,0
2024-11-07,76.47,56.2218,93.85,0
2024-11-08,79.38,53.7267,90.48,0
2024-11-11,81.22,55.6334,90.86,0
2024-11-12,82.47,56.6056,87.92,0
2024-11-13,81.81,56.7175,88.29,0
2024-11-14,80.36,51.7475,88.63,0
2024-11-15,79.11,57.9657,87.34,0
2024-11-18,78.37,54.4977,87.34,0
2024-11-19,79.52,53.7589,86.73,0
2024-11-20,78.81,57.2513,86.2,0
2024-11-21,80.15,57.6211,83.96,0
2024-11-22,83.03,55.7313,83.69,0
2024-11-25,85.51,64.8395,81.66,1
2024-11-26,85.3,58.0973,82.28,1
2024-11-27,80.38,59.3938,81.28,0
2024-11-29,79.69,59.9997,83.17,0
2024-12-02,80.26,64.7479,81.7,0
2024-12-03,80.45,58.4863,82.06,0
2024-12-04,83.99,60.9546,82.36,1
2024-12-05,83.68,62.268,79.77,1
2024-12-06,106.99,60.7695,79.83,1
2024-12-09,102.26,63.0962,77.86,1
2024-12-10,95.85,59.6228,79.5,1
2024-12-11,94.75,63.1188,80.13,1
2024-12-12,94.52,59.0205,74.7,1
2024-12-13,94.48,54.4726,85.76,1
2024-12-16,97.83,59.6889,83.43,1
2024-12-17,98.17,58.1774,85.01,1
2024-12-18,92.71,65.8505,85.61,1
2024-12-19,94.15,59.5184,85.11,1
2024-12-20,94.41,61.7736,88.06,1
2024-12-23,95.8,52.5888,89.0,1
2024-12-24,94.85,53.4704,89.39,1
2024-12-26,95.77,66.5464,86.91,1
2024-12-27,93.0,56.578,85.655,1
2024-12-30,91.7,56.9943,83.18,1
2024-12-31,89.94,65.8603,81.4,1
2025-01-02,90.35,54.9185,82.69,1
2025-01-03,90.21,57.0177,83.4,1
2025-01-06,91.16,58.1913,77.37,1
2025-01-07,88.26,51.0241,72.21,1
2025-01-08,89.51,62.0597,71.95,1
2025-01-10,90.42,53.4696,70.35,1
2025-01-13,90.02,54.9664,78.59,1
2025-01-14,90.09,53.941,73.22,1
2025-01-15,91.34,52.2825,74.35,1
2025-01-16,91.16,62.9183,75.26,1
2025-01-17,89.6,60.324,77.49,1
2025-01-21,91.36,56.4517,76.39,1
2025-01-22,91.76,68.521,75.42,1
2025-01-23,90.54,66.9419,71.89,1
2025-01-24,91.6,62.775,74.2,1
2025-01-27,92.26,60.5641,78.01,1
2025-01-28,97.7,52.3243,81.67,1
2025-01-29,95.46,59.1531,82.81,1
2025-01-30,95.85,67.5987,82.03,1
2025-01-31,96.73,52.6962,82.27,1
2025-02-03,96.5,53.5065,81.75,1
2025-02-04,96.47,55.4907,80.85,1
2025-02-05,96.89,56.8094,82.13,1
2025-02-06,93.85,64.7098,82.44,1
2025-02-07,90.48,60.4065,81.65,1
2025-02-10,90.86,53.9321,82.24,1
2025-02-11,87.92,60.6689,84.14,1
