date,entry_close,pred_close,actual_close,correct
2024-06-10,6.85,9.5278,7.57,1
2024-06-11,6.8,10.0862,6.97,1
2024-06-12,6.67,9.3424,7.15,1
2024-06-13,6.59,10.3236,7.42,1
2024-06-14,6.62,10.0099,7.26,1
2024-06-17,6.59,10.1213,7.17,1
2024-06-18,6.62,10.0253,7.34,1
2024-06-20,6.9,9.3308,7.24,1
2024-06-21,6.77,8.9004,7.28,1
2024-06-24,7.43,9.3158,7.035,0
2024-06-25,7.39,10.1735,7.0,0
2024-06-26,7.54,8.9595,7.02,0
2024-06-27,7.7,9.2966,6.795,0
2024-06-28,7.72,7.6779,6.98,1
2024-07-01,7.6,9.3939,6.98,0
2024-07-02,7.79,8.913,6.97,0
2024-07-03,7.63,8.1007,7.27,0
2024-07-05,7.25,8.6696,7.51,1
2024-07-08,7.31,8.2919,7.135,0
2024-07-09,7.1,9.1791,7.19,1
2024-07-10,7.01,9.3782,7.025,1
2024-07-11,7.41,9.6795,7.335,0
2024-07-12,7.85,7.8816,7.295,0
2024-07-15,8.17,9.5651,7.45,0
2024-07-16,8.075,9.5256,7.59,0
2024-07-17,7.95,10.1562,7.42,0
2024-07-18,7.64,8.9732,7.4,0
2024-07-19,7.9,8.8875,7.41,0
2024-07-22,8.14,9.2619,7.405,0
2024-07-23,8.18,7.8508,7.47,1
2024-07-24,8.1,9.0038,7.83,0
2024-07-25,8.43,8.1086,7.78,1
2024-07-26,8.55,8.0826,7.96,1
2024-07-29,8.36,7.2502,7.56,1
2024-07-30,8.19,9.5703,7.55,0
2024-07-31,8.36,7.6538,7.67,1
2024-08-01,8.04,8.1932,8.09,1
2024-08-02,8.09,8.0104,8.1,0
2024-08-05,7.605,8.445,8.39,1
2024-08-06,7.48,9.0682,8.29,1
2024-08-07,7.41,8.1057,7.95,1
2024-08-08,7.6,8.1992,7.81,1
2024-08-09,7.28,8.4615,8.05,1
2024-08-12,7.23,8.2123,8.26,1
2024-08-13,7.62,8.4239,8.79,1
2024-08-14,7.435,9.028,9.08,1
2024-08-15,7.98,8.0228,9.01,1
2024-08-16,8.18,8.4076,9.07,1
2024-08-19,8.26,8.498,8.94,1
2024-08-20,8.12,9.2231,9.105,1
2024-08-21,8.205,10.1766,8.81,1
2024-08-22,7.88,8.3065,8.46,1
2024-08-23,8.09,8.1607,8.48,1
2024-08-26,8.1,8.5362,8.77,1
2024-08-27,7.89,7.8853,8.79,0
2024-08-28,7.71,8.9673,9.08,1
2024-08-29,7.72,8.1266,9.45,1
2024-08-30,7.47,7.7431,9.44,1
2024-09-03,7.54,8.7589,9.34,1
2024-09-04,7.66,9.1902,9.28,1
2024-09-05,7.57,8.1588,9.36,1
2024-09-06,6.97,8.721,9.53,1
2024-09-09,7.15,9.5467,9.67,1
2024-09-10,7.42,7.9333,9.98,1
2024-09-11,7.26,8.6224,9.74,1
2024-09-12,7.17,8.1344,7.98,1
2024-09-13,7.34,7.8498,7.9,1
2024-09-16,7.24,7.7142,7.67,1
2024-09-17,7.28,8.2792,7.85,1
2024-09-18,7.035,8.3303,7.72,1
2024-09-19,7.0,8.2085,7.34,1
2024-09-20,7.02,9.8604,7.41,1
2024-09-23,6.795,9.0173,7.69,1
2024-09-24,6.98,8.6508,7.23,1
2024-09-25,6.98,8.9598,7.15,1
2024-09-26,6.97,7.7009,7.13,1
2024-09-27,7.27,8.0889,7.06,0
2024-09-30,7.51,7.4985,7.07,1
2024-10-01,7.135,7.6373,7.42,1
2024-10-02,7.19,7.9492,7.37,1
2024-10-03,7.025,6.2987,7.22,0
2024-10-04,7.335,8.9486,7.08,0
2024-10-07,7.295,8.1754,7.09,0
2024-10-08,7.45,8.4519,7.11,0
2024-10-09,7.59,7.5774,7.27,1
2024-10-10,7.42,8.7484,7.11,0
2024-10-11,7.4,7.8184,6.98,0
2024-10-14,7.41,7.2581,6.8,1
2024-10-15,7.405,8.2495,6.68,0
2024-10-16,7.47,8.113,6.62,0
2024-10-17,7.83,8.1733,6.79,0
2024-10-18,7.78,7.8309,7.12,0
2024-10-21,7.96,7.7688,7.26,1
2024-10-22,7.56,8.0031,7.45,0
2024-10-23,7.55,8.1952,7.56,1
2024-10-24,7.67,7.2933,7.69,0
2024-10-25,8.09,7.7989,7.69,1
2024-10-28,8.1,7.6789,7.955,1
2024-10-29,8.39,8.2637,8.07,1
2024-10-30,8.29,7.4841,7.99,1
2024-10-31,7.95,8.013,8.26,1
2024-11-01,7.81,6.9021,8.47,0
2024-11-04,8.05,7.5824,8.84,0
2024-11-05,8.26,8.1072,9.14,0
2024-11-06,8.79,7.8302,8.725,1
2024-11-07,9.08,8.1457,8.445,1
2024-11-08,9.01,8.9583,8.375,1
2024-11-11,9.07,6.7688,8.375,1
2024-11-12,8.94,7.3382,8.8,1
2024-11-13,9.105,8.3128,8.97,1
2024-11-14,8.81,8.9946,9.15,1
2024-11-15,8.46,7.6182,9.05,0
2024-11-18,8.48,8.6337,8.87,1
2024-11-19,8.77,6.9481,8.615,1
2024-11-20,8.79,7.7972,8.45,1
2024-11-21,9.08,9.1303,8.16,0
2024-11-22,9.45,7.8299,7.9,1
2024-11-25,9.44,7.8297,7.62,1
2024-11-26,9.34,7.7407,7.83,1
2024-11-27,9.28,6.7797,7.72,1
2024-11-29,9.36,7.2463,7.6,1
2024-12-02,9.53,8.0417,7.505,1
2024-12-03,9.67,8.8816,7.72,1
2024-12-04,9.98,7.7242,7.73,1
2024-12-05,9.74,7.838,7.05,1
2024-12-06,7.98,6.9003,8.18,0
2024-12-09,7.9,7.5409,8.01,0
2024-12-10,7.67,7.6952,8.05,1
2024-12-11,7.85,8.6666,8.57,1
2024-12-12,7.72,9.3131,8.21,1
2024-12-13,7.34,9.3745,8.49,1
2024-12-16,7.41,7.847,8.53,1
2024-12-17,7.69,9.0631,8.66,1
2024-12-18,7.23,6.8151,8.27,0
2024-12-19,7.15,7.2636,8.29,1
2024-12-20,7.13,7.7899,8.29,1
2024-12-23,7.06,6.9091,8.97,0
2024-12-24,7.07,7.5283,8.81,1
2024-12-26,7.42,8.0531,8.68,1
2024-12-27,7.37,7.1528,8.26,0
2024-12-30,7.22,7.9658,7.96,1
2024-12-31,7.08,7.5826,7.76,1
2025-01-02,7.09,8.3217,7.9,1
2025-01-03,7.11,7.8972,8.09,1
2025-01-06,7.27,7.6475,7.16,0
2025-01-07,7.11,7.7568,6.64,0
2025-01-08,6.98,7.0799,7.18,1
2025-01-10,6.8,7.1133,7.51,1
2025-01-13,6.68,8.2012,8.16,1
2025-01-14,6.62,7.946,8.26,1
2025-01-15,6.79,6.8656,8.22,1
2025-01-16,7.12,8.2548,8.06,1
2025-01-17,7.26,7.0692,8.23,0
2025-01-21,7.45,7.3401,7.13,1
2025-01-22,7.56,7.3477,6.93,1
2025-01-23,7.69,7.69,6.82,0
2025-01-24,7.69,7.1649,6.74,1
2025-01-27,7.955,7.7047,6.83,1
2025-01-28,8.07,7.2167,7.32,1
2025-01-29,7.99,8.047,7.5,0
2025-01-30,8.26,7.2431,7.58,1
2025-01-31,8.47,7.6417,7.57,1
2025-02-03,8.84,7.0351,7.43,1
2025-02-04,9.14,7.3131,7.53,1
2025-02-05,8.725,7.4266,7.77,1
2025-02-06,8.445,7.565,7.72,1
2025-02-07,8.375,8.187,7.52,1
2025-02-10,8.375,8.4894,7.72,0
2025-02-11,8.8,6.9307,8.23,1
2025-02-12,8.97,7.3849,8.19,1
2025-02-13,9.15,7.5484,8.64,1
2025-02-14,9.05,7.8795,8.63,1
2025-02-18,8.87,8.1657,8.58,1
2025-02-19,8.615,7.5394,8.74,0
2025-02-20,8.45,7.2133,8.97,0
2025-02-21,8.16,8.4839,8.71,1
2025-02-24,7.9,7.4969,8.55,0
2025-02-25,7.62,8.5661,8.55,1
2025-02-26,7.83,7.4319,10.85,0
2025-02-27,7.72,7.8864,11.35,1
2025-02-28,7.6,6.6437,12.88,0
2025-03-03,7.505,7.4469,12.79,0
2025-03-04,7.72,7.9912,12.62,1
2025-03-05,7.73,8.1744,12.7,1
2025-03-06,7.05,7.269,13.21,1
2025-03-07,8.18,8.0997,13.38,0
2025-03-10,8.01,7.7004,13.68,0
2025-03-11,8.05,8.1644,14.29,1
2025-03-12,8.57,7.6062,14.63,0
2025-03-13,8.21,8.8526,14.25,1
2025-03-14,8.49,7.6772,13.75,0
2025-03-17,8.53,7.9519,13.57,0
2025-03-18,8.66,8.8174,13.69,1
2025-03-19,8.27,8.7159,13.04,1
2025-03-20,8.29,7.9832,13.71,0
2025-03-21,8.29,7.3052,13.08,0
2025-03-24,8.97,7.9551,12.63,0
2025-03-25,8.81,7.8301,12.7,0
2025-03-26,8.68,8.3882,12.16,0
2025-03-27,8.26,7.3117,13.0,0
2025-03-28,7.96,7.6256,12.69,0
2025-03-31,7.76,7.2756,13.89,0
2025-04-01,7.9,7.084,13.91,0
2025-04-02,8.09,8.1922,13.97,1
2025-04-03,7.16,7.0665,13.98,0
2025-04-04,6.64,7.2362,14.54,1
2025-04-07,7.18,8.82,14.83,1
2025-04-08,7.51,7.6001,15.15,1
2025-04-09,8.16,8.1538,14.94,0
2025-04-10,8.26,8.0899,14.98,0
2025-04-11,8.22,8.7486,14.43,1
2025-04-14,8.06,7.5722,13.735,0
2025-04-15,8.23,7.9913,13.44,0
2025-04-16,7.13,8.2275,13.85,1
2025-04-17,6.93,8.3417,13.83,1
2025-04-21,6.82,8.1926,14.36,1
2025-04-22,6.74,8.2175,16.29,1
2025-04-23,6.83,8.3839,15.815,1
2025-04-24,7.32,8.2684,15.75,1
2025-04-25,7.5,8.5044,16.13,1
2025-04-28,7.58,7.472,16.13,0
2025-04-29,7.57,7.713,15.96,1
2025-04-30,7.43,7.4872,16.06,1
2025-05-01,7.53,6.986,16.06,0
2025-05-02,7.77,8.1116,16.41,1
2025-05-05,7.72,7.7572,16.46,1
2025-05-06,7.52,7.9976,16.11,1
2025-05-07,7.72,7.8023,16.69,1
2025-05-08,8.23,8.0783,16.3,0
2025-05-09,8.19,7.598,16.38,0
2025-05-12,8.64,8.2204,16.34,0
2025-05-13,8.63,8.0098,15.97,0
2025-05-14,8.58,8.0713,14.35,0
2025-05-15,8.74,8.1623,14.535,0
2025-05-16,8.97,8.1374,14.4,0
2025-05-19,8.71,7.4695,14.14,0
2025-05-20,8.55,7.4409,14.12,0
2025-05-21,8.55,8.2668,14.82,0
2025-05-22,10.85,7.7146,13.86,0
2025-05-23,11.35,7.0828,13.63,0
2025-05-27,12.88,7.3888,13.54,0
2025-05-28,12.79,8.2357,14.15,0
2025-05-29,12.62,7.8982,13.84,0
2025-05-30,12.7,8.1845,16.11,0
2025-06-02,13.21,7.5984,17.57,0
2025-06-03,13.38,7.7984,15.32,0
2025-06-04,13.68,7.6086,14.68,0
2025-06-05,14.29,7.3061,14.21,1
2025-06-06,14.63,7.611,14.57,1
2025-06-09,14.25,6.9156,14.66,0
2025-06-10,13.75,7.773,14.62,0
2025-06-11,13.57,7.7344,15.07,0
2025-06-12,13.69,6.8974,15.5,0
2025-06-13,13.04,8.0049,15.59,0
2025-06-16,13.71,6.832,16.86,0
2025-06-17,13.08,8.2618,17.01,0
2025-06-18,12.63,7.389,17.31,0
2025-06-20,12.7,7.4013,16.87,0
2025-06-23,12.16,8.3467,17.15,0
2025-06-24,13.0,8.744,17.75,0
2025-06-25,12.69,7.3072,18.06,0
2025-06-26,13.89,8.753,18.2,0
2025-06-27,13.91,7.7317,17.13,0
2025-06-30,13.97,7.7551,16.38,0
2025-07-01,13.98,7.8694,16.16,0
2025-07-02,14.54,8.8912,15.78,0
2025-07-03,14.83,6.7621,16.35,0
2025-07-07,15.15,7.7796,15.84,0
2025-07-08,14.94,6.7186,15.55,0
2025-07-09,14.98,7.6714,15.4,0
2025-07-10,14.43,6.6536,15.22,0
2025-07-11,13.735,7.2566,15.19,0
2025-07-14,13.44,6.4728,14.95,0
2025-07-15,13.85,7.2926,14.74,0
2025-07-16,13.83,8.4822,14.18,0
2025-07-17,14.36,9.2326,13.14,1
2025-07-18,16.29,7.4924,13.05,1
2025-07-21,15.815,6.5611,13.29,1
2025-07-22,15.75,6.7578,12.57,1
2025-07-23,16.13,7.919,12.64,1
2025-07-24,16.13,6.908,12.29,1
2025-07-25,15.96,8.5569,12.93,1
2025-07-28,16.06,9.3293,13.04,1
2025-07-29,16.06,8.9775,13.23,1
2025-07-30,16.41,7.9091,13.23,1
2025-07-31,16.46,6.1876,13.67,1
2025-08-01,16.11,8.2634,13.95,1
