date,entry_close,pred_close,actual_close,correct
2024-06-10,20.15,22.8335,15.35,0
2024-06-11,20.63,23.2396,15.19,0
2024-06-12,20.4,21.5281,14.69,0
2024-06-13,19.99,23.9464,14.41,0
2024-06-14,18.92,19.0608,15.24,0
2024-06-17,18.87,24.1627,15.32,0
2024-06-18,18.4,23.0456,16.19,0
2024-06-20,18.05,23.8887,15.05,0
2024-06-21,17.85,22.2152,16.53,0
2024-06-24,16.85,22.6301,16.95,1
2024-06-25,15.47,26.1573,17.39,1
2024-06-26,15.31,24.4892,16.27,1
2024-06-27,15.29,24.4996,16.33,1
2024-06-28,14.6,19.9228,17.57,1
2024-07-01,14.31,22.0804,16.98,1
2024-07-02,14.66,20.6304,18.55,1
2024-07-03,15.83,23.4959,19.61,1
2024-07-05,15.64,22.8156,20.37,1
2024-07-08,15.61,21.4255,20.71,1
2024-07-09,15.48,26.7275,22.34,1
2024-07-10,15.9,23.2982,21.88,1
2024-07-11,16.42,25.583,24.48,1
2024-07-12,16.89,23.4439,26.1,1
2024-07-15,15.84,24.5955,20.94,1
2024-07-16,17.2,19.3619,20.68,1
2024-07-17,16.45,26.467,20.0,1
2024-07-18,16.65,19.0884,20.5,1
2024-07-19,16.08,20.0245,19.78,1
2024-07-22,17.15,24.3691,18.56,1
2024-07-23,17.57,23.3041,18.9,1
2024-07-24,16.73,18.9388,17.89,1
2024-07-25,17.23,25.4093,18.99,1
2024-07-26,17.61,18.3055,19.7,1
2024-07-29,17.35,23.2986,20.82,1
2024-07-30,16.85,20.1304,22.23,1
2024-07-31,17.53,18.433,22.0,1
2024-08-01,16.09,20.7142,25.54,1
2024-08-02,15.26,21.9947,29.14,1
2024-08-05,15.79,18.719,22.51,1
2024-08-06,16.62,20.2916,22.26,1
2024-08-07,16.97,23.9159,22.58,1
2024-08-08,16.89,20.668,23.47,1
2024-08-09,16.86,22.6849,23.41,1
2024-08-12,16.06,18.5787,23.18,1
2024-08-13,16.45,27.9721,21.3,1
2024-08-14,15.82,20.6483,22.63,1
2024-08-15,16.5,19.4174,21.7,1
