date,entry_close,pred_close,actual_close,correct
2024-06-10,130.67,115.3956,112.08,1
2024-06-11,132.41,103.3919,108.65,1
2024-06-12,134.52,117.5429,103.04,1
2024-06-13,129.72,107.2186,104.61,1
2024-06-14,124.61,115.4963,110.59,1
2024-06-17,120.83,116.6509,105.83,1
2024-06-18,119.01,106.4781,109.91,1
2024-06-20,108.57,116.8657,111.49,1
2024-06-21,106.67,110.7271,118.53,1
2024-06-24,108.02,118.7029,119.74,1
2024-06-25,101.85,116.1115,117.36,1
2024-06-26,102.95,114.181,114.9,1
2024-06-27,105.23,122.3943,117.0,1
2024-06-28,99.71,117.3619,116.69,1
2024-07-01,97.26,120.3231,113.29,1
2024-07-02,95.77,119.0091,113.61,1
2024-07-03,99.17,95.9886,115.0,0
2024-07-05,97.14,103.6872,113.02,1
2024-07-08,102.81,116.7506,111.2,1
2024-07-09,103.59,114.4737,108.26,1
2024-07-10,106.75,112.6402,106.79,1
2024-07-11,111.68,117.9901,105.95,0
2024-07-12,119.34,114.2303,106.36,1
2024-07-15,113.06,122.2187,104.17,0
2024-07-16,116.17,104.8094,105.32,1
2024-07-17,111.15,111.8444,99.19,0
2024-07-18,107.95,113.0222,100.97,0
2024-07-19,105.46,113.8701,101.47,0
2024-07-22,104.74,117.7057,92.04,0
2024-07-23,103.64,122.3313,93.13,0
2024-07-24,116.91,114.6799,91.57,1
2024-07-25,117.52,124.5083,91.64,0
2024-07-26,119.34,107.9246,90.42,1
2024-07-29,113.72,107.9456,92.23,1
2024-07-30,109.37,113.4313,78.47,0
2024-07-31,115.11,109.9175,81.1,1
2024-08-01,109.68,118.0576,83.83,0
2024-08-02,105.19,113.0676,84.68,0
2024-08-05,103.39,121.6226,83.07,0
2024-08-06,101.53,114.6,82.47,0
2024-08-07,103.42,105.2572,83.04,0
2024-08-08,108.8,106.9708,83.54,1
2024-08-09,107.86,109.2621,87.46,0
2024-08-12,109.11,118.3174,89.94,0
2024-08-13,112.52,112.5512,74.81,0
2024-08-14,111.15,113.4227,71.59,0
2024-08-15,117.12,108.9028,66.9,1
2024-08-16,116.39,103.353,63.66,1
2024-08-19,119.71,120.719,60.09,0
2024-08-20,116.98,119.792,60.39,0
2024-08-21,119.31,125.6875,63.56,0
2024-08-22,115.49,121.9091,59.52,0
2024-08-23,123.0,120.5568,62.4,1
2024-08-26,122.59,104.8348,61.36,1
2024-08-27,122.53,119.8592,63.38,1
2024-08-28,123.65,114.8992,63.57,1
2024-08-29,121.3,118.0444,66.29,1
