date,entry_close,pred_close,actual_close,correct
2024-06-10,114.7844,115.5339,115.5461,1
2024-06-11,115.1998,117.1151,114.4054,0
2024-06-12,114.1614,114.6161,114.548,1
2024-06-13,112.4338,117.8648,113.0936,1
2024-06-14,111.6219,116.7956,112.0764,1
2024-06-17,112.4149,115.176,112.3806,0
2024-06-18,112.8114,112.6229,113.4738,0
2024-06-20,115.162,115.3436,115.6602,1
2024-06-21,115.2187,113.0844,117.1051,0
2024-06-24,118.2868,117.9451,118.2363,1
2024-06-25,118.5228,117.6324,119.0158,0
2024-06-26,117.6071,116.3045,119.8048,0
2024-06-27,117.5787,115.2001,121.4209,0
2024-06-28,118.8249,116.3895,121.5825,0
2024-07-01,119.4574,119.4659,118.4074,0
2024-07-02,119.5612,117.292,114.4244,1
2024-07-03,119.6745,119.9175,116.3922,0
2024-07-05,117.9469,117.9747,116.858,0
2024-07-08,118.5983,120.4813,120.6889,1
2024-07-09,118.636,122.21,121.9912,1
2024-07-10,119.1553,116.8068,124.3297,0
2024-07-11,120.9961,119.3827,126.5446,0
2024-07-12,121.7325,115.3132,127.6093,0
2024-07-15,125.2254,117.9114,123.9305,1
2024-07-16,124.1586,125.0207,124.4913,1
2024-07-17,125.8412,116.4357,125.6606,1
2024-07-18,125.6986,117.5596,125.9077,0
2024-07-19,122.8658,116.0405,124.9761,0
2024-07-22,120.6509,118.9039,120.9931,0
2024-07-23,118.7307,113.4886,121.0691,0
2024-07-24,118.9208,108.8116,121.634,0
2024-07-25,120.7649,119.1177,121.2319,0
2024-07-26,120.8695,106.9776,120.3606,1
2024-07-29,118.9968,115.4779,119.7479,0
2024-07-30,119.9189,113.4045,119.4223,1
2024-07-31,120.5368,113.4087,119.1447,1
2024-08-01,117.0291,121.0468,117.9287,1
2024-08-02,116.8485,117.3597,116.8755,1
2024-08-05,117.0386,117.2417,115.3628,0
2024-08-06,116.2306,119.0873,115.3915,0
2024-08-07,117.0386,116.5673,116.7702,1
2024-08-08,120.5273,119.4606,115.6979,1
2024-08-09,120.2802,109.1038,117.6989,1
2024-08-12,122.4095,116.2251,116.9138,1
2024-08-13,120.1185,120.9955,121.7872,1
2024-08-14,120.2896,122.1096,121.0787,1
2024-08-15,121.7916,118.8497,128.4128,0
2024-08-16,121.7346,114.8723,127.4362,0
2024-08-19,121.9057,117.9909,127.4649,0
2024-08-20,119.0634,116.4868,128.633,0
2024-08-21,118.8067,121.8133,129.4372,1
