date,entry_close,pred_close,actual_close,correct
2024-06-10,184.346,169.0774,176.9883,1
2024-06-11,184.0609,154.4205,172.8717,1
2024-06-12,184.0418,139.0015,172.3715,1
2024-06-13,180.9056,169.5224,164.9461,1
2024-06-14,176.7429,163.097,162.0702,1
2024-06-17,178.254,160.857,164.3401,1
2024-06-18,179.499,165.9239,165.8406,1
2024-06-20,183.1675,163.2987,168.1394,1
2024-06-21,181.4093,156.0047,172.9101,1
2024-06-24,188.2045,178.4257,171.3231,1
2024-06-25,188.062,153.0229,174.6992,1
2024-06-26,187.1876,156.622,174.0932,1
2024-06-27,189.307,141.8459,178.181,1
2024-06-28,190.2573,158.2741,178.3541,1
2024-07-01,193.6027,153.1025,173.6411,1
2024-07-02,194.7337,152.7892,162.4165,1
2024-07-03,196.6629,164.7766,164.1189,1
2024-07-05,193.4317,163.1974,165.8213,1
2024-07-08,193.2606,160.0509,170.746,1
2024-07-09,192.5478,171.3514,174.3721,1
2024-07-10,192.3482,164.4151,181.1147,1
2024-07-11,196.891,166.5035,187.1839,1
2024-07-12,194.0399,157.751,191.8873,1
2024-07-15,200.4645,169.463,186.3759,1
2024-07-16,198.6873,159.5226,186.3567,1
2024-07-17,200.474,168.8936,186.6548,1
2024-07-18,199.6091,167.9535,187.5205,1
2024-07-19,195.2754,169.6063,183.4231,1
2024-07-22,194.5246,164.5801,172.9101,1
2024-07-23,188.5182,154.7216,175.4975,1
2024-07-24,188.9648,164.8645,176.9402,1
2024-07-25,189.8867,166.3417,176.9691,1
2024-07-26,190.7991,163.662,175.4494,1
2024-07-29,188.4326,164.9845,177.0076,1
2024-07-30,188.252,155.6239,174.2086,1
2024-07-31,192.2722,176.1119,174.0066,1
2024-08-01,188.3851,166.619,177.3442,1
2024-08-02,179.6796,152.1811,171.3904,1
2024-08-05,175.9921,174.8718,168.9377,1
2024-08-06,180.2878,170.9826,169.9092,1
2024-08-07,181.8845,167.7815,170.0246,1
2024-08-08,187.6913,161.5068,169.1012,1
2024-08-09,189.8582,176.8497,172.9005,1
2024-08-12,191.3028,178.2195,168.9281,1
2024-08-13,186.4083,162.3468,176.6132,1
2024-08-14,186.7029,173.0354,174.6607,1
2024-08-15,189.0787,168.4512,174.9396,1
2024-08-16,187.3858,172.5779,172.2946,1
2024-08-19,188.3669,181.2734,173.0448,1
2024-08-20,182.5093,175.4563,175.2859,1
2024-08-21,183.827,168.2885,176.3298,1
2024-08-22,184.4138,183.2705,170.7041,1
2024-08-23,187.7706,154.2591,175.8272,1
2024-08-26,189.752,175.1799,174.1066,1
2024-08-27,187.28,157.6912,175.4019,1
2024-08-28,187.1454,170.7364,176.6005,1
2024-08-29,189.2807,174.1677,179.104,1
2024-08-30,187.6648,176.9888,173.5556,1
2024-09-03,180.3259,178.5838,170.0952,1
2024-09-04,177.248,180.5686,170.3078,0
2024-09-05,176.9883,164.0944,171.6611,1
2024-09-06,172.8717,172.9785,169.9598,0
2024-09-09,172.3715,172.9526,169.8922,0
2024-09-10,164.9461,180.7363,165.2814,1
2024-09-11,162.0702,169.0113,166.915,1
2024-09-12,164.3401,174.8341,161.2603,0
2024-09-13,165.8406,185.7591,161.5406,0
2024-09-16,168.1394,167.861,157.7032,1
2024-09-17,172.9101,176.3491,158.4281,0
2024-09-18,171.3231,183.0261,156.8139,0
2024-09-19,174.6992,196.6339,157.8868,0
2024-09-20,174.0932,173.9754,153.624,1
2024-09-23,178.181,183.8332,154.7936,0
2024-09-24,178.3541,175.7361,150.8692,1
2024-09-25,173.6411,179.5591,147.95,0
2024-09-26,162.4165,178.9286,149.7673,0
2024-09-27,164.1189,176.5062,150.8885,0
2024-09-30,165.8213,179.7182,152.5028,0
2024-10-01,170.746,170.2476,152.7541,1
2024-10-02,174.3721,162.5418,153.0538,1
2024-10-03,181.1147,180.53,155.6056,1
2024-10-04,187.1839,160.6901,158.3605,1
2024-10-07,191.8873,175.7701,161.212,1
2024-10-08,186.3759,183.3085,165.2524,1
2024-10-09,186.3567,182.6543,163.9765,1
2024-10-10,186.6548,187.5982,166.6637,0
2024-10-11,187.5205,177.0721,165.2814,1
2024-10-14,183.4231,190.8039,168.9352,0
2024-10-15,172.9101,179.336,171.6804,0
2024-10-16,175.4975,184.5184,171.748,0
2024-10-17,176.9402,182.161,173.5653,0
2024-10-18,176.9691,181.5454,173.14,0
2024-10-21,175.4494,179.232,174.1646,0
2024-10-22,177.0076,167.0793,171.0424,1
2024-10-23,174.2086,168.6698,171.6611,1
2024-10-24,174.0066,191.078,170.7331,0
2024-10-25,177.3442,179.1333,167.4756,0
2024-10-28,171.3904,182.8705,165.8711,0
2024-10-29,168.9377,176.3314,163.5995,0
2024-10-30,169.9092,171.2291,165.1558,0
2024-10-31,170.0246,171.4013,164.7208,0
2024-11-01,169.1012,186.2889,158.8728,0
2024-11-04,172.9005,174.2713,158.9888,0
2024-11-05,168.9281,183.1865,160.748,0
2024-11-06,176.6132,183.9585,159.2594,0
2024-11-07,174.6607,169.2911,154.6873,1
2024-11-08,174.9396,179.7944,152.8508,0
2024-11-11,172.2946,182.2496,156.2629,0
2024-11-12,173.0448,178.2486,156.6012,0
2024-11-13,175.2859,186.1166,150.2699,0
2024-11-14,176.3298,175.1776,150.9562,1
2024-11-15,170.7041,184.1816,151.7488,0
2024-11-18,175.8272,185.1777,151.5265,0
2024-11-19,174.1066,181.3591,154.9096,0
2024-11-20,175.4019,184.3748,156.6785,0
2024-11-21,176.6005,188.0751,150.9079,0
2024-11-22,179.104,173.824,150.0476,1
2024-11-25,173.5556,185.4891,146.8481,0
2024-11-26,170.0952,179.9368,147.341,0
2024-11-27,170.3078,175.3665,150.3955,0
2024-11-29,171.6611,189.8441,153.653,0
2024-12-02,169.9598,186.6788,143.0589,0
2024-12-03,169.8922,182.4436,140.1978,0
2024-12-04,165.2814,185.2229,137.9359,0
2024-12-05,166.915,173.8214,136.1837,0
2024-12-06,161.2603,179.6652,136.3881,0
2024-12-09,161.5406,186.9632,136.8457,0
2024-12-10,157.7032,184.8594,140.8075,0
2024-12-11,158.4281,178.2887,142.6571,0
2024-12-12,156.8139,176.9299,141.927,0
2024-12-13,157.8868,181.6484,146.2101,0
2024-12-16,153.624,181.4214,148.9649,0
2024-12-17,154.7936,167.9819,150.8826,0
2024-12-18,150.8692,184.6989,153.4135,1
2024-12-19,147.95,166.5925,154.2701,1
2024-12-20,149.7673,182.7736,154.2896,1
2024-12-23,150.8885,181.6052,156.7329,1
2024-12-24,152.5028,171.376,157.3073,1
2024-12-26,152.7541,167.6402,158.7577,1
2024-12-27,153.0538,177.491,155.9737,1
2024-12-30,155.6056,170.3482,153.3551,0
2024-12-31,158.3605,177.0308,155.633,0
2025-01-02,161.212,175.6103,156.5967,0
2025-01-03,165.2524,171.6859,157.2002,0
2025-01-06,163.9765,187.8189,137.5271,0
2025-01-07,166.6637,187.1342,120.0928,0
2025-01-08,165.2814,162.6313,121.222,1
