date,entry_close,pred_close,actual_close,correct
2024-06-10,29.4,36.2091,12.6,0
2024-06-11,27.6,39.0097,13.2,0
2024-06-12,28.2,36.7336,12.9,0
2024-06-13,26.7,36.6898,12.9,0
2024-06-14,24.6,40.8727,13.5,0
2024-06-17,24.0,41.3363,13.5,0
2024-06-18,23.1,30.4323,14.4,0
2024-06-20,22.2,37.4677,14.1,0
2024-06-21,20.1,44.4027,15.9,0
2024-06-24,20.4,33.8728,14.7,0
2024-06-25,19.5,30.363,13.8,0
2024-06-26,19.5,33.7017,12.9,0
2024-06-27,19.2,38.4001,12.3,0
2024-06-28,19.2,31.7915,12.3,0
2024-07-01,18.3,36.5395,12.0,0
2024-07-02,18.0,31.3015,11.7,0
2024-07-03,19.8,38.141,12.0,0
2024-07-05,18.9,35.5743,11.4,0
2024-07-08,19.2,42.2683,11.4,0
2024-07-09,18.9,32.3136,10.8,0
2024-07-10,18.0,35.1133,10.8,0
2024-07-11,19.5,32.1428,10.5,0
2024-07-12,20.7,33.5384,10.8,0
2024-07-15,20.1,44.0015,10.5,0
2024-07-16,20.7,33.6372,10.2,0
2024-07-17,18.9,38.5101,9.9,0
2024-07-18,17.1,37.3734,10.5,0
2024-07-19,15.6,38.8699,10.2,0
2024-07-22,16.2,35.1145,9.9,0
2024-07-23,16.2,38.7854,10.2,0
2024-07-24,15.6,34.6753,9.6,0
2024-07-25,16.2,28.4676,9.9,0
2024-07-26,15.9,38.9451,9.6,0
2024-07-29,15.3,33.4214,9.6,0
2024-07-30,14.7,34.4426,9.9,0
2024-07-31,15.3,31.2727,9.6,0
2024-08-01,14.1,25.8667,9.6,0
2024-08-02,14.1,33.2782,11.1,0
2024-08-05,14.7,26.8206,10.2,0
2024-08-06,14.7,35.3402,10.2,0
2024-08-07,13.5,26.3752,10.2,0
2024-08-08,14.1,36.7527,10.5,0
2024-08-09,13.5,38.1336,11.4,0
2024-08-12,13.2,29.193,11.1,0
2024-08-13,13.8,32.143,10.5,0
2024-08-14,13.2,24.8174,8.7,0
2024-08-15,14.1,32.4054,7.5,0
2024-08-16,15.0,26.9989,6.68,0
2024-08-19,15.6,29.0277,5.7,0
2024-08-20,12.3,26.8522,5.96,0
2024-08-21,13.8,29.1559,7.01,0
2024-08-22,12.6,28.5118,6.16,0
2024-08-23,13.5,30.7154,8.11,0
2024-08-26,13.2,32.8638,7.96,0
2024-08-27,12.6,29.7801,8.26,0
2024-08-28,12.3,29.3279,7.92,0
2024-08-29,12.6,31.7518,8.28,0
2024-08-30,12.0,27.2446,10.44,0
2024-09-03,11.4,27.4979,10.7,0
2024-09-04,12.3,34.7898,10.78,0
2024-09-05,12.6,27.159,11.87,0
2024-09-06,13.2,28.854,11.35,0
2024-09-09,12.9,26.2481,10.55,0
2024-09-10,12.9,24.3478,10.61,0
2024-09-11,13.5,23.6515,10.74,0
2024-09-12,13.5,31.5245,10.47,0
2024-09-13,14.4,23.5497,11.14,0
2024-09-16,14.1,20.5296,11.35,0
2024-09-17,15.9,22.3349,12.56,0
2024-09-18,14.7,25.0434,11.95,0
2024-09-19,13.8,24.2015,11.39,0
2024-09-20,12.9,28.3464,10.85,0
2024-09-23,12.3,19.1906,10.54,0
2024-09-24,12.3,32.0711,9.82,0
2024-09-25,12.0,18.9437,9.33,0
2024-09-26,11.7,24.7744,10.42,0
2024-09-27,12.0,23.8238,11.18,0
2024-09-30,11.4,24.0236,10.38,0
2024-10-01,11.4,27.2088,10.6,0
2024-10-02,10.8,25.1416,10.04,0
2024-10-03,10.8,24.691,9.32,0
2024-10-04,10.5,27.5277,9.04,0
2024-10-07,10.8,24.8094,10.37,0
2024-10-08,10.5,25.8549,11.81,1
2024-10-09,10.2,20.2061,12.72,1
2024-10-10,9.9,23.5185,13.07,1
2024-10-11,10.5,19.525,11.53,1
2024-10-14,10.2,23.8961,10.85,1
2024-10-15,9.9,26.7623,10.08,1
2024-10-16,10.2,18.5711,9.67,0
2024-10-17,9.6,27.843,9.79,1
2024-10-18,9.9,28.4004,9.68,0
2024-10-21,9.6,25.2274,9.59,0
2024-10-22,9.6,22.6958,8.98,0
2024-10-23,9.9,19.9067,8.95,0
2024-10-24,9.6,19.3382,8.69,0
2024-10-25,9.6,17.2394,8.41,0
2024-10-28,11.1,23.9783,7.82,0
2024-10-29,10.2,18.818,7.41,0
2024-10-30,10.2,21.4287,7.59,0
2024-10-31,10.2,21.9856,7.77,0
2024-11-01,10.5,17.8868,7.68,0
2024-11-04,11.4,22.5245,7.27,0
2024-11-05,11.1,17.3979,7.65,0
2024-11-06,10.5,20.1281,7.58,0
2024-11-07,8.7,22.9795,7.74,0
2024-11-08,7.5,19.0969,7.37,0
2024-11-11,6.68,31.2354,7.25,1
2024-11-12,5.7,29.1637,7.03,1
2024-11-13,5.96,18.8289,7.31,1
2024-11-14,7.01,24.4462,7.8,1
2024-11-15,6.16,17.7105,7.85,1
2024-11-18,8.11,16.8724,7.92,0
2024-11-19,7.96,18.1824,7.76,0
2024-11-20,8.26,19.9292,7.55,0
2024-11-21,7.92,16.9353,7.07,0
2024-11-22,8.28,16.8467,6.72,0
2024-11-25,10.44,26.9778,6.24,0
2024-11-26,10.7,23.8037,6.29,0
2024-11-27,10.78,18.2503,6.07,0
2024-11-29,11.87,19.3183,5.77,0
2024-12-02,11.35,29.7154,5.29,0
2024-12-03,10.55,19.2201,5.88,0
2024-12-04,10.61,15.1253,6.11,0
2024-12-05,10.74,12.923,6.17,0
2024-12-06,10.47,18.9583,6.59,0
2024-12-09,11.14,13.5027,6.33,0
2024-12-10,11.35,16.1697,6.56,0
2024-12-11,12.56,16.4108,6.85,0
2024-12-12,11.95,14.5671,6.49,0
2024-12-13,11.39,15.005,6.18,0
2024-12-16,10.85,14.2997,6.12,0
2024-12-17,10.54,15.88,5.57,0
2024-12-18,9.82,13.9065,5.42,0
2024-12-19,9.33,14.2093,5.24,0
2024-12-20,10.42,13.4711,5.14,0
2024-12-23,11.18,15.7465,4.94,0
2024-12-24,10.38,14.74,4.84,0
2024-12-26,10.6,15.7664,4.81,0
2024-12-27,10.04,12.985,4.92,0
2024-12-30,9.32,16.0279,4.7,0
2024-12-31,9.04,13.2787,4.59,0
2025-01-02,10.37,19.787,4.59,0
2025-01-03,11.81,14.5411,4.62,0
2025-01-06,12.72,11.3998,4.82,1
2025-01-07,13.07,15.5927,4.46,0
2025-01-08,11.53,14.6412,4.39,0
2025-01-10,10.85,14.9734,3.92,0
2025-01-13,10.08,16.3324,4.04,0
2025-01-14,9.67,16.2298,3.9,0
2025-01-15,9.79,20.1402,4.1,0
2025-01-16,9.68,22.6065,3.98,0
2025-01-17,9.59,15.1954,4.0,0
2025-01-21,8.98,10.3675,3.9,0
2025-01-22,8.95,12.149,3.89,0
2025-01-23,8.69,11.2793,3.85,0
2025-01-24,8.41,14.4586,3.73,0
2025-01-27,7.82,14.1967,3.73,0
2025-01-28,7.41,11.2982,3.85,0
2025-01-29,7.59,11.5287,3.82,0
2025-01-30,7.77,14.5386,4.04,0
2025-01-31,7.68,21.3478,4.09,0
2025-02-03,7.27,12.1863,4.1,0
2025-02-04,7.65,11.4427,4.08,0
2025-02-05,7.58,11.8441,4.04,0
2025-02-06,7.74,11.5438,3.76,0
2025-02-07,7.37,10.6632,3.74,0
2025-02-10,7.25,14.2732,3.85,0
2025-02-11,7.03,11.457,4.19,0
2025-02-12,7.31,15.5977,4.28,0
2025-02-13,7.8,13.5323,4.58,0
2025-02-14,7.85,15.082,4.28,0
2025-02-18,7.92,15.3748,4.03,0
2025-02-19,7.76,19.1263,4.05,0
2025-02-20,7.55,15.7414,4.12,0
2025-02-21,7.07,12.5398,4.88,0
2025-02-24,6.72,14.7273,4.58,0
2025-02-25,6.24,10.9432,4.22,0
2025-02-26,6.29,13.4091,4.58,0
2025-02-27,6.07,14.7633,5.48,0
2025-02-28,5.77,10.308,5.78,1
2025-03-03,5.29,13.945,5.61,1
2025-03-04,5.88,9.9077,5.21,0
2025-03-05,6.11,11.8386,5.11,0
2025-03-06,6.17,14.6395,4.94,0
2025-03-07,6.59,14.3033,5.63,0
2025-03-10,6.33,12.4315,5.64,0
2025-03-11,6.56,10.1304,5.2,0
2025-03-12,6.85,10.4942,6.47,0
2025-03-13,6.49,11.4404,7.47,1
2025-03-14,6.18,14.1189,6.72,1
2025-03-17,6.12,15.7139,6.64,1
2025-03-18,5.57,9.8564,6.32,1
2025-03-19,5.42,10.0819,6.03,1
2025-03-20,5.24,11.8328,6.94,1
2025-03-21,5.14,10.225,5.9,1
2025-03-24,4.94,8.4453,6.08,1
2025-03-25,4.84,9.2003,5.96,1
2025-03-26,4.81,9.6066,5.88,1
2025-03-27,4.92,9.6726,5.93,1
2025-03-28,4.7,11.2148,5.8,1
2025-03-31,4.59,12.8126,5.96,1
2025-04-01,4.59,10.3362,5.51,1
2025-04-02,4.62,10.4277,5.61,1
2025-04-03,4.82,8.8776,5.22,1
2025-04-04,4.46,8.5212,5.32,1
