date,entry_close,pred_close,actual_close,correct
2024-06-10,118.1852,122.5126,117.98,0
2024-06-11,116.9446,129.957,116.4196,0
2024-06-12,117.4467,108.6305,118.938,0
2024-06-13,115.2937,117.9856,120.0046,1
2024-06-14,114.7407,129.2868,119.8664,1
2024-06-17,114.6419,120.9105,123.8286,1
2024-06-18,114.7308,108.3383,123.9474,0
2024-06-20,115.9653,119.4397,123.7493,1
2024-06-21,115.274,117.5159,123.3828,1
2024-06-24,116.864,117.5416,122.7588,1
2024-06-25,116.469,120.894,125.0271,1
2024-06-26,117.1702,111.6161,127.1469,0
2024-06-27,118.7306,114.1438,125.3243,0
2024-06-28,117.0517,118.464,126.8497,1
2024-07-01,116.0147,116.4833,128.7318,1
2024-07-02,117.8121,114.7468,127.5431,0
2024-07-03,121.1601,118.0983,124.3239,0
2024-07-05,122.2169,106.4807,123.0758,0
2024-07-08,121.1799,124.6018,123.9177,1
2024-07-09,121.1009,123.3211,123.5314,1
2024-07-10,124.1427,119.2313,120.5598,1
2024-07-11,125.871,124.2781,119.7178,1
2024-07-12,127.5105,118.2464,119.2621,1
2024-07-15,125.7328,118.7509,119.4404,1
2024-07-16,129.4956,119.5529,119.7277,1
2024-07-17,125.9204,114.2825,121.7385,1
2024-07-18,124.5674,116.5827,122.4022,1
2024-07-19,123.0267,121.6134,122.6795,1
2024-07-22,122.6811,123.163,123.0262,1
2024-07-23,123.2638,121.4346,124.2248,0
2024-07-24,124.1131,121.3563,125.9781,0
2024-07-25,122.6712,122.8742,130.8813,1
2024-07-26,123.0959,121.5718,131.4756,0
2024-07-29,124.3304,118.5201,134.7048,0
2024-07-30,125.5451,119.3116,134.9029,0
2024-07-31,127.3624,117.4451,134.5166,0
2024-08-01,125.4958,116.4808,134.3383,0
2024-08-02,123.5502,121.5718,134.6949,0
2024-08-05,119.2837,119.1854,135.8539,0
2024-08-06,119.0071,119.5869,134.9227,1
2024-08-07,116.6863,109.6488,131.4063,0
2024-08-08,118.1973,122.146,130.4653,1
2024-08-09,119.6096,122.6929,130.7624,1
2024-08-12,122.3848,116.2648,132.486,0
2024-08-13,123.4218,120.5673,130.9308,0
2024-08-14,115.5011,115.411,125.2153,0
2024-08-15,118.4047,114.8072,121.2829,0
2024-08-16,120.2812,113.4019,116.7164,1
2024-08-19,121.7428,121.359,113.8835,1
2024-08-20,123.2539,121.8816,112.1896,1
2024-08-21,122.8193,116.3488,114.1311,1
2024-08-22,120.4096,115.7626,112.8731,1
2024-08-23,122.0095,115.8436,117.3405,1
2024-08-26,122.5132,117.7496,120.114,1
2024-08-27,123.0465,116.9228,120.3022,1
2024-08-28,120.8836,117.2284,122.0654,0
2024-08-29,120.8342,115.0207,122.521,0
2024-08-30,120.6367,116.5434,119.4305,1
2024-09-03,117.5751,117.818,121.4116,1
2024-09-04,117.585,117.4004,121.7979,0
2024-09-05,117.98,117.9947,121.4612,1
2024-09-06,116.4196,117.0677,120.223,1
2024-09-09,118.938,118.9734,121.4513,1
2024-09-10,120.0046,117.0039,121.1838,0
2024-09-11,119.8664,118.9535,122.7237,0
2024-09-12,123.8286,116.6651,119.8625,1
2024-09-13,123.9474,114.1976,121.3527,1
2024-09-16,123.7493,119.6323,121.1043,1
2024-09-17,123.3828,117.5026,123.6377,0
2024-09-18,122.7588,124.147,120.8758,0
2024-09-19,125.0271,116.5099,118.6803,1
