date,entry_close,pred_close,actual_close,correct
2024-06-10,73.24,65.8087,77.5,0
2024-06-11,73.35,68.5146,75.71,0
2024-06-12,72.77,61.889,76.12,0
2024-06-13,71.64,68.3561,75.91,0
2024-06-14,69.72,56.6259,77.58,0
2024-06-17,70.88,55.5046,80.4,0
2024-06-18,69.04,70.1705,82.92,1
2024-06-20,70.62,60.2397,83.35,0
2024-06-21,71.14,69.7524,83.94,0
2024-06-24,70.74,68.578,83.58,0
2024-06-25,70.38,71.294,85.89,1
2024-06-26,71.75,69.9914,86.9,0
2024-06-27,73.32,67.0375,86.52,0
2024-06-28,73.35,55.3719,86.99,0
2024-07-01,73.84,71.1321,85.75,0
2024-07-02,73.55,56.5797,85.98,0
2024-07-03,72.85,63.4535,87.85,0
2024-07-05,73.18,71.0438,88.6,0
2024-07-08,73.36,60.077,88.26,0
2024-07-09,72.13,60.6272,88.91,0
2024-07-10,67.43,63.0109,89.21,0
2024-07-11,69.77,66.8605,91.55,0
2024-07-12,70.47,66.5613,90.8,0
2024-07-15,71.99,62.9294,91.94,0
2024-07-16,73.1,68.1874,93.51,0
2024-07-17,70.78,67.283,93.16,0
2024-07-18,66.71,67.4854,96.4,1
2024-07-19,66.33,69.0338,94.15,1
2024-07-22,68.88,75.1676,94.13,1
2024-07-23,69.02,64.1659,95.24,0
2024-07-24,66.3,60.2869,94.72,0
2024-07-25,68.46,68.8442,95.71,1
2024-07-26,69.53,69.6171,94.59,1
2024-07-29,69.36,68.6643,92.94,0
2024-07-30,68.92,64.071,93.25,0
2024-07-31,68.79,68.9337,93.74,1
2024-08-01,65.02,65.9325,93.9,1
2024-08-02,62.71,63.8556,92.0,1
2024-08-05,61.26,66.1473,90.66,1
2024-08-06,62.51,65.5704,91.13,1
2024-08-07,63.53,63.3162,90.44,0
2024-08-08,70.7,61.2277,90.55,0
2024-08-09,71.38,64.1917,90.18,0
2024-08-12,72.97,70.8864,90.01,0
2024-08-13,76.03,70.1783,98.0,0
2024-08-14,80.17,74.175,97.54,0
2024-08-15,81.87,70.4713,100.77,0
2024-08-16,81.49,67.1691,104.91,0
2024-08-19,81.67,76.0084,99.12,0
2024-08-20,79.16,70.8991,101.37,0
2024-08-21,78.92,73.1278,98.78,0
2024-08-22,79.13,68.8594,97.01,0
2024-08-23,81.13,70.8472,100.62,0
2024-08-26,81.15,73.4508,102.05,0
2024-08-27,81.23,68.0002,101.9,0
2024-08-28,79.99,73.5065,109.28,0
2024-08-29,82.32,74.1209,109.78,0
2024-08-30,83.1,64.5142,111.34,0
2024-09-03,79.18,70.9034,111.7,0
2024-09-04,77.3,72.3957,114.95,0
2024-09-05,77.5,67.3082,114.08,0
2024-09-06,75.71,74.6889,112.75,0
2024-09-09,76.12,80.3636,114.15,1
2024-09-10,75.91,64.4325,99.96,0
2024-09-11,77.58,61.8537,101.95,0
2024-09-12,80.4,69.3425,103.71,0
2024-09-13,82.92,70.1765,102.9,0
2024-09-16,83.35,68.2352,98.52,0
2024-09-17,83.94,70.3858,101.78,0
2024-09-18,83.58,70.9895,100.53,0
2024-09-19,85.89,76.2602,101.85,0
2024-09-20,86.9,77.307,103.74,0
2024-09-23,86.52,76.6189,103.49,0
2024-09-24,86.99,74.4553,99.13,0
2024-09-25,85.75,64.7246,101.26,0
2024-09-26,85.98,67.6917,103.52,0
2024-09-27,87.85,69.8072,104.35,0
2024-09-30,88.6,69.8207,105.36,0
2024-10-01,88.26,66.8416,107.1,0
2024-10-02,88.91,67.0534,104.7,0
2024-10-03,89.21,71.2895,104.85,0
2024-10-04,91.55,67.7461,103.78,0
2024-10-07,90.8,68.2566,108.34,0
