date,entry_close,pred_close,actual_close,correct
2024-06-10,32.79,34.0954,28.4,0
2024-06-11,33.29,34.4169,27.36,0
2024-06-12,34.3,35.0737,28.11,0
2024-06-13,33.97,34.621,27.78,0
2024-06-14,33.66,36.0876,27.74,0
2024-06-17,33.71,34.8744,27.9,0
2024-06-18,32.44,36.528,27.99,0
2024-06-20,32.76,35.7917,28.14,0
2024-06-21,33.8,35.979,28.12,0
2024-06-24,33.78,33.7991,28.17,0
2024-06-25,34.81,33.7283,28.38,1
2024-06-26,35.81,39.1809,28.61,0
2024-06-27,36.75,34.5758,28.39,1
2024-06-28,37.55,34.5214,28.48,1
2024-07-01,37.43,35.0423,28.57,1
2024-07-02,35.995,37.6927,28.94,0
2024-07-03,35.69,36.6429,29.26,0
2024-07-05,36.7,31.4419,29.04,1
2024-07-08,36.12,31.937,28.16,1
2024-07-09,35.58,35.8965,28.12,0
2024-07-10,35.28,34.4089,27.54,1
2024-07-11,36.07,35.669,28.76,1
2024-07-12,36.22,35.306,27.22,1
2024-07-15,37.0,38.3183,27.4,0
2024-07-16,37.41,38.0607,28.25,0
2024-07-17,37.86,34.3568,29.72,1
2024-07-18,37.57,36.3161,31.05,1
2024-07-19,37.79,35.8332,31.46,1
2024-07-22,37.87,35.7167,31.6,1
2024-07-23,38.65,34.6404,31.46,1
2024-07-24,37.19,36.1587,30.29,1
2024-07-25,38.23,35.4123,30.73,1
2024-07-26,39.51,32.6691,30.91,1
2024-07-29,37.99,34.9104,30.36,1
2024-07-30,38.65,36.4769,29.36,1
2024-07-31,38.56,36.542,29.24,1
2024-08-01,36.02,33.4566,29.28,1
2024-08-02,34.99,34.8751,29.32,1
2024-08-05,33.63,36.7948,30.11,0
2024-08-06,34.15,33.9897,29.37,1
2024-08-07,34.05,28.8777,29.18,1
2024-08-08,24.68,36.1054,29.83,1
2024-08-09,26.14,37.4603,29.85,1
2024-08-12,25.9,35.0136,30.43,1
2024-08-13,26.52,35.7795,31.72,1
2024-08-14,25.9,38.6497,32.86,1
2024-08-15,26.72,35.1969,31.1,1
2024-08-16,27.15,32.3163,30.91,1
2024-08-19,27.45,40.3319,30.58,1
2024-08-20,27.34,40.3052,31.39,1
2024-08-21,27.15,34.3643,31.49,1
2024-08-22,26.03,37.395,30.72,1
2024-08-23,26.51,40.7289,30.16,1
2024-08-26,26.6,34.1789,29.96,1
2024-08-27,27.065,38.1949,30.66,1
2024-08-28,27.34,38.5421,31.94,1
2024-08-29,27.75,36.0319,32.15,1
2024-08-30,27.76,32.7813,32.03,1
2024-09-03,26.34,35.2631,31.33,1
2024-09-04,28.61,37.0932,31.12,1
2024-09-05,28.4,33.6715,31.15,1
2024-09-06,27.36,32.5806,30.81,1
2024-09-09,28.11,35.8749,30.77,1
2024-09-10,27.78,37.1758,32.05,1
2024-09-11,27.74,35.0174,31.0,1
2024-09-12,27.9,35.7371,31.23,1
2024-09-13,27.99,35.1234,30.93,1
2024-09-16,28.14,36.8936,30.26,1
2024-09-17,28.12,33.7717,30.38,1
2024-09-18,28.17,38.4816,30.41,1
2024-09-19,28.38,32.4885,30.16,1
2024-09-20,28.61,38.462,31.22,1
2024-09-23,28.39,30.5528,31.21,1
2024-09-24,28.48,39.1326,30.46,1
2024-09-25,28.57,37.6785,30.56,1
2024-09-26,28.94,31.0993,30.86,1
2024-09-27,29.26,37.3648,30.17,1
2024-09-30,29.04,37.7032,30.49,1
2024-10-01,28.16,37.5332,30.73,1
2024-10-02,28.12,33.0403,29.56,1
2024-10-03,27.54,31.6388,29.53,1
2024-10-04,28.76,35.1719,29.41,1
2024-10-07,27.22,33.0191,30.7,1
2024-10-08,27.4,35.2519,30.59,1
2024-10-09,28.25,32.8701,31.21,1
2024-10-10,29.72,36.4372,31.06,1
2024-10-11,31.05,32.9077,31.41,1
2024-10-14,31.46,34.7948,31.93,1
2024-10-15,31.6,32.4302,31.3,0
2024-10-16,31.46,32.0355,31.93,1
2024-10-17,30.29,32.7429,33.23,1
2024-10-18,30.73,32.8959,32.78,1
2024-10-21,30.91,31.0312,32.75,1
2024-10-22,30.36,39.2592,33.92,1
2024-10-23,29.36,39.5519,34.3,1
2024-10-24,29.24,38.7166,34.5,1
2024-10-25,29.28,37.283,34.81,1
2024-10-28,29.32,31.8252,34.44,1
2024-10-29,30.11,31.8328,35.77,1
2024-10-30,29.37,41.6153,35.3,1
2024-10-31,29.18,30.8323,35.36,1
2024-11-01,29.83,35.4164,34.76,1
2024-11-04,29.85,32.7428,35.45,1
2024-11-05,30.43,35.3049,36.34,1
2024-11-06,31.72,32.0157,36.31,1
2024-11-07,32.86,33.6733,36.04,1
2024-11-08,31.1,40.1792,35.83,1
2024-11-11,30.91,35.3928,36.54,1
2024-11-12,30.58,32.983,35.95,1
2024-11-13,31.39,38.3934,36.93,1
2024-11-14,31.49,34.7849,37.71,1
2024-11-15,30.72,33.6736,39.8,1
2024-11-18,30.16,31.5424,42.03,1
2024-11-19,29.96,33.2617,39.82,1
2024-11-20,30.66,38.2075,39.2,1
2024-11-21,31.94,35.3525,38.53,1
2024-11-22,32.15,39.0073,37.95,1
2024-11-25,32.03,34.7674,36.79,1
2024-11-26,31.33,34.1172,37.43,1
2024-11-27,31.12,31.1699,36.97,1
2024-11-29,31.15,38.2074,36.75,1
2024-12-02,30.81,36.121,36.09,1
2024-12-03,30.77,37.9744,35.83,1
2024-12-04,32.05,28.9984,36.81,0
2024-12-05,31.0,33.7823,34.71,1
2024-12-06,31.23,33.004,34.47,1
2024-12-09,30.93,29.9023,33.57,0
2024-12-10,30.26,36.1039,33.54,1
2024-12-11,30.38,33.8082,33.46,1
2024-12-12,30.41,37.7485,32.47,1
2024-12-13,30.16,37.2294,33.58,1
2024-12-16,31.22,33.0972,34.35,1
2024-12-17,31.21,32.9589,33.92,1
2024-12-18,30.46,30.6373,34.27,1
2024-12-19,30.56,32.9547,33.87,1
