date,entry_close,pred_close,actual_close,correct
2024-06-10,279.8,147.6921,214.76,1
2024-06-11,294.53,155.4043,208.65,1
2024-06-12,300.71,190.975,205.36,1
2024-06-13,291.56,163.2336,208.22,1
2024-06-14,273.61,167.3219,239.84,1
2024-06-17,261.33,173.6291,235.95,1
2024-06-18,262.37,142.8911,228.79,1
2024-06-20,260.07,153.2491,233.31,1
2024-06-21,258.87,163.4737,239.98,1
2024-06-24,261.28,173.8462,241.81,1
2024-06-25,256.74,172.7891,240.45,1
2024-06-26,247.93,162.1579,240.2,1
2024-06-27,249.92,166.0167,249.28,1
2024-06-28,225.46,153.6993,244.73,0
2024-07-01,222.71,184.9019,241.72,0
2024-07-02,216.73,153.1576,255.66,0
2024-07-03,231.11,152.6897,255.75,0
2024-07-05,222.12,177.5148,249.44,0
2024-07-08,227.12,156.1878,240.66,0
2024-07-09,225.23,140.2051,234.44,0
2024-07-10,228.57,156.3398,235.12,0
2024-07-11,233.45,186.9852,231.13,1
2024-07-12,233.24,189.634,229.62,1
2024-07-15,213.42,114.773,225.64,0
2024-07-16,221.25,192.9916,226.05,0
2024-07-17,208.17,149.13,205.04,1
2024-07-18,213.58,163.2207,211.49,1
2024-07-19,216.43,189.6167,209.96,1
2024-07-22,220.24,149.9218,201.98,1
2024-07-23,223.01,162.2036,205.62,1
2024-07-24,221.33,165.6828,203.37,1
2024-07-25,216.19,187.9941,200.55,1
2024-07-26,226.74,168.0457,196.25,1
2024-07-29,220.4,191.034,201.4,1
2024-07-30,210.89,175.5392,192.41,1
2024-07-31,215.99,195.4639,196.04,1
2024-08-01,218.5,168.5935,198.47,1
2024-08-02,213.05,164.8304,205.03,1
2024-08-05,207.09,182.4876,199.67,1
2024-08-06,210.45,134.3285,197.5,1
2024-08-07,208.76,171.6514,194.48,1
2024-08-08,213.13,166.2939,204.94,1
2024-08-09,211.8,193.2652,212.28,0
2024-08-12,219.23,178.8925,215.89,1
2024-08-13,230.27,168.3033,194.02,1
2024-08-14,225.54,162.3392,196.7,1
2024-08-15,229.58,189.6571,193.93,1
2024-08-16,225.4,150.3538,193.83,1
2024-08-19,228.38,179.7936,182.26,1
2024-08-20,220.2,185.1842,182.13,1
2024-08-21,222.63,199.1813,195.14,1
2024-08-22,218.26,193.1946,190.45,1
2024-08-23,231.07,214.7661,195.56,1
2024-08-26,233.19,222.773,187.36,1
2024-08-27,235.42,188.4429,184.84,1
2024-08-28,228.57,191.8575,181.95,1
2024-08-29,223.1,191.9846,186.05,1
2024-08-30,227.37,194.7845,192.82,1
2024-09-03,212.74,188.1309,192.32,1
2024-09-04,215.4,219.7003,192.57,0
2024-09-05,214.76,211.8412,199.27,1
2024-09-06,208.65,190.7671,207.92,1
2024-09-09,205.36,203.8645,207.51,0
2024-09-10,208.22,223.9319,201.57,0
2024-09-11,239.84,168.1893,197.93,1
2024-09-12,235.95,219.5514,194.19,1
2024-09-13,228.79,197.4576,200.0,1
2024-09-16,233.31,222.2791,202.92,1
2024-09-17,239.98,193.1423,201.0,1
2024-09-18,241.81,212.6128,196.32,1
2024-09-19,240.45,198.4749,199.67,1
2024-09-20,240.2,198.1138,190.53,1
