date,entry_close,pred_close,actual_close,correct
2024-06-10,13.8,21.3832,19.8,1
2024-06-11,15.12,21.2627,19.8,1
2024-06-12,15.0,27.959,19.92,1
2024-06-13,14.4,18.0955,20.52,1
2024-06-14,14.16,29.715,20.76,1
2024-06-17,14.28,28.4356,21.6,1
2024-06-18,14.16,28.3742,21.36,1
2024-06-20,13.44,24.6718,20.28,1
2024-06-21,13.8,23.0874,19.56,1
2024-06-24,13.8,29.4437,19.32,1
2024-06-25,13.68,28.8468,18.72,1
2024-06-26,14.16,21.3125,17.76,1
2024-06-27,14.88,14.1384,16.56,0
2024-06-28,14.88,25.2265,17.16,1
2024-07-01,15.12,21.7072,16.44,1
2024-07-02,15.72,23.5464,17.04,1
2024-07-03,15.72,16.9653,17.52,1
2024-07-05,15.0,16.8515,17.04,1
2024-07-08,15.0,18.4724,16.56,1
2024-07-09,14.88,27.9186,17.28,1
2024-07-10,14.4,22.86,17.4,1
2024-07-11,15.24,18.4049,18.0,1
2024-07-12,16.08,28.5155,17.16,1
2024-07-15,15.96,19.6619,16.92,1
2024-07-16,17.16,29.9209,16.92,0
2024-07-17,17.4,15.1127,18.36,0
2024-07-18,17.64,22.3776,19.44,1
2024-07-19,17.28,22.5404,18.96,1
2024-07-22,17.4,18.0042,19.68,1
2024-07-23,17.52,18.3517,19.08,1
2024-07-24,16.56,24.2511,18.84,1
2024-07-25,17.4,21.9207,19.56,1
2024-07-26,17.76,24.0095,19.32,1
2024-07-29,17.28,18.5868,19.92,1
2024-07-30,17.4,17.7785,18.84,1
2024-07-31,17.52,23.8703,19.2,1
2024-08-01,16.56,25.0437,18.72,1
2024-08-02,15.96,19.6996,21.48,1
2024-08-05,15.72,20.8611,21.48,1
2024-08-06,15.96,22.6808,21.72,1
2024-08-07,14.88,22.7056,20.88,1
2024-08-08,15.12,23.1958,18.24,1
2024-08-09,15.12,20.821,17.4,1
2024-08-12,13.92,20.891,16.8,1
2024-08-13,15.12,19.6489,16.92,1
2024-08-14,15.48,23.2569,17.16,1
2024-08-15,15.72,21.0217,17.04,1
2024-08-16,18.36,17.7945,17.76,1
2024-08-19,21.6,16.5399,18.24,1
2024-08-20,23.28,18.0067,18.48,1
2024-08-21,24.24,22.1218,18.84,1
2024-08-22,23.76,18.5356,18.12,1
2024-08-23,24.84,15.9943,17.16,1
2024-08-26,23.52,16.8003,17.04,1
2024-08-27,21.6,15.8781,17.28,1
2024-08-28,20.04,20.9241,18.36,0
2024-08-29,20.04,16.7606,17.04,1
2024-08-30,20.16,15.1178,18.72,1
2024-09-03,19.8,14.1726,17.52,1
2024-09-04,20.76,17.691,18.0,1
2024-09-05,19.8,22.415,19.32,0
2024-09-06,19.8,18.7458,20.4,0
2024-09-09,19.92,19.4262,20.28,0
2024-09-10,20.52,18.9647,20.64,0
2024-09-11,20.76,15.9125,21.36,0
2024-09-12,21.6,14.7714,20.4,1
2024-09-13,21.36,16.1028,20.88,1
2024-09-16,20.28,16.7658,21.0,0
2024-09-17,19.56,18.0146,19.92,0
2024-09-18,19.32,15.6925,19.2,1
2024-09-19,18.72,18.1327,18.48,1
2024-09-20,17.76,15.2882,17.64,1
2024-09-23,16.56,16.3154,17.64,0
2024-09-24,17.16,15.4627,16.8,1
2024-09-25,16.44,18.7454,15.84,0
2024-09-26,17.04,17.0925,16.68,0
2024-09-27,17.52,16.2924,16.44,1
2024-09-30,17.04,18.3775,16.32,0
2024-10-01,16.56,19.769,16.2,0
2024-10-02,17.28,16.9624,16.2,1
2024-10-03,17.4,17.0054,15.0,1
2024-10-04,18.0,17.6861,15.12,1
2024-10-07,17.16,13.6564,16.92,1
2024-10-08,16.92,17.1875,17.28,1
2024-10-09,16.92,19.673,60.72,1
2024-10-10,18.36,14.0166,65.52,0
2024-10-11,19.44,16.8889,64.2,0
2024-10-14,18.96,18.8768,61.32,0
2024-10-15,19.68,15.7425,53.4,0
2024-10-16,19.08,20.7841,45.72,1
2024-10-17,18.84,15.7441,47.16,0
2024-10-18,19.56,16.6335,47.88,0
2024-10-21,19.32,18.6522,45.84,0
2024-10-22,19.92,18.0701,44.04,0
2024-10-23,18.84,19.1168,43.44,1
2024-10-24,19.2,15.6495,47.88,0
2024-10-25,18.72,17.0304,48.48,0
2024-10-28,21.48,20.2154,44.28,0
2024-10-29,21.48,21.2642,47.4,0
2024-10-30,21.72,15.6878,48.96,0
2024-10-31,20.88,15.6721,49.44,0
2024-11-01,18.24,20.8687,48.48,1
2024-11-04,17.4,18.871,49.92,1
2024-11-05,16.8,18.283,54.96,1
2024-11-06,16.92,16.8315,53.52,0
2024-11-07,17.16,15.1857,48.48,0
2024-11-08,17.04,19.8803,47.4,1
