date,entry_close,pred_close,actual_close,correct
2024-06-10,73.155,59.8151,59.0575,1
2024-06-11,72.8913,63.6754,57.338,1
2024-06-12,71.8752,57.4664,57.8167,1
2024-06-13,69.9311,57.9379,57.0938,1
2024-06-14,69.423,56.0505,58.2368,1
2024-06-17,67.4594,59.2928,55.6479,1
2024-06-18,65.9255,57.2844,56.2536,1
2024-06-20,64.6457,56.1086,56.2145,1
2024-06-21,66.3749,61.8578,58.9793,1
2024-06-24,67.8599,53.0942,58.1391,1
2024-06-25,66.3554,63.458,66.2479,1
2024-06-26,65.9841,63.388,64.0204,1
2024-06-27,64.2745,52.9043,65.7399,0
2024-06-28,64.0937,59.7287,73.155,0
2024-07-01,62.6918,52.278,73.7803,0
2024-07-02,64.4991,61.3496,79.5932,0
2024-07-03,67.2053,60.971,83.7063,0
2024-07-05,69.2667,62.2874,93.4466,0
2024-07-08,64.1377,61.7314,105.0627,0
2024-07-09,66.0525,58.2343,110.2504,0
2024-07-10,67.8599,63.2336,119.9614,0
2024-07-11,67.2151,59.5068,125.0318,0
2024-07-12,66.9904,57.1585,125.9599,0
2024-07-15,66.0525,64.9285,109.4981,0
2024-07-16,66.1209,61.8092,108.3648,0
2024-07-17,62.3401,57.394,104.7012,0
2024-07-18,61.4706,63.7272,108.4625,1
2024-07-19,60.1907,61.9216,103.9001,1
2024-07-22,60.7378,59.668,93.9937,0
2024-07-23,61.3631,67.4646,93.0558,1
2024-07-24,59.4971,72.4334,87.6434,1
2024-07-25,58.9207,61.2447,91.1116,1
2024-07-26,59.8293,64.1683,90.2031,1
2024-07-29,59.8879,63.0198,90.2421,1
2024-07-30,58.8035,57.0314,86.7544,0
2024-07-31,61.8223,52.7012,86.1096,0
2024-08-01,58.315,51.8778,90.4473,0
2024-08-02,55.9556,60.6616,94.6483,1
2024-08-05,54.2606,57.5796,95.9085,1
2024-08-06,56.7811,64.5066,93.9253,1
2024-08-07,55.9703,61.6438,92.8018,1
2024-08-08,57.3478,54.6142,92.8897,0
