date,entry_close,pred_close,actual_close,correct
2024-06-10,30.06,24.0747,24.33,1
2024-06-11,30.5,24.2678,23.73,1
2024-06-12,31.84,25.7655,23.77,1
2024-06-13,31.51,19.0244,25.81,1
2024-06-14,30.21,26.5473,24.87,1
2024-06-17,30.5,25.6077,25.58,1
2024-06-18,29.94,24.1386,26.79,1
2024-06-20,29.56,23.2766,25.38,1
2024-06-21,29.56,24.3029,25.09,1
2024-06-24,29.09,24.9676,25.08,1
2024-06-25,29.48,20.1408,25.39,1
2024-06-26,29.39,23.6548,25.09,1
2024-06-27,29.05,22.2426,23.49,1
2024-06-28,28.88,25.4183,22.56,1
2024-07-01,28.26,20.7948,22.3,1
2024-07-02,28.87,21.4352,22.73,1
2024-07-03,28.41,23.8895,22.88,1
2024-07-05,28.75,19.6517,22.94,1
2024-07-08,27.57,17.14,22.12,1
2024-07-09,27.65,24.5387,22.36,1
2024-07-10,27.61,17.2399,21.8,1
2024-07-11,29.97,18.1099,22.16,1
2024-07-12,31.07,21.3468,21.35,1
2024-07-15,31.54,25.6167,21.05,1
2024-07-16,33.83,19.9607,20.89,1
2024-07-17,32.55,22.3062,20.61,1
2024-07-18,31.15,18.1771,21.4,1
2024-07-19,30.75,18.6411,21.34,1
2024-07-22,32.0,25.0389,21.56,1
2024-07-23,32.68,18.4873,21.62,1
2024-07-24,31.78,19.7921,20.68,1
2024-07-25,31.93,19.7539,21.38,1
2024-07-26,33.0,19.6654,20.84,1
2024-07-29,35.28,21.2008,20.35,1
2024-07-30,36.29,18.4104,20.42,1
2024-07-31,35.13,20.965,20.2,1
2024-08-01,33.36,18.6362,20.51,1
2024-08-02,31.75,23.898,22.2,1
2024-08-05,30.55,19.8877,21.79,1
2024-08-06,32.16,22.6257,23.07,1
2024-08-07,33.96,19.8544,21.88,1
2024-08-08,30.27,21.9822,23.0,1
2024-08-09,29.0,19.2119,23.6,1
2024-08-12,30.47,20.5384,23.52,1
2024-08-13,29.74,25.5225,25.29,1
2024-08-14,29.05,21.4466,28.59,1
2024-08-15,28.54,22.3306,28.61,0
2024-08-16,27.95,23.0213,29.36,0
2024-08-19,28.38,24.7351,29.73,0
2024-08-20,27.68,23.4273,31.61,0
2024-08-21,28.26,28.8109,30.21,1
2024-08-22,27.87,18.2547,29.11,0
2024-08-23,29.02,25.0365,28.96,1
2024-08-26,26.74,32.9654,30.68,1
2024-08-27,26.15,23.159,30.68,0
2024-08-28,26.2,28.7525,30.98,1
2024-08-29,25.93,21.8777,32.65,0
2024-08-30,25.58,24.5387,35.4,0
2024-09-03,24.57,27.0523,34.37,1
2024-09-04,24.35,24.2432,35.1,0
2024-09-05,24.33,26.0688,35.61,1
2024-09-06,23.73,24.0439,35.52,1
2024-09-09,23.77,27.3376,35.78,1
2024-09-10,25.81,31.0603,38.11,1
2024-09-11,24.87,31.2436,37.11,1
2024-09-12,25.58,24.7533,36.87,0
2024-09-13,26.79,26.0934,36.37,0
2024-09-16,25.38,25.9223,35.53,1
2024-09-17,25.09,25.6213,35.66,1
2024-09-18,25.08,26.3022,34.94,1
2024-09-19,25.39,26.0488,34.76,1
2024-09-20,25.09,26.012,35.62,1
2024-09-23,23.49,26.3183,34.84,1
2024-09-24,22.56,23.9006,32.36,1
2024-09-25,22.3,25.5837,31.13,1
2024-09-26,22.73,27.0397,31.67,1
2024-09-27,22.88,21.443,31.04,0
2024-09-30,22.94,23.2307,31.57,1
2024-10-01,22.12,20.1343,31.37,0
2024-10-02,22.36,22.9143,30.44,1
2024-10-03,21.8,26.4753,30.54,1
2024-10-04,22.16,25.0486,30.55,1
2024-10-07,21.35,21.6179,31.77,1
2024-10-08,21.05,28.4276,33.76,1
2024-10-09,20.89,24.7808,35.88,1
2024-10-10,20.61,26.6046,36.15,1
2024-10-11,21.4,24.547,36.59,1
2024-10-14,21.34,23.9911,36.71,1
2024-10-15,21.56,28.1453,38.1,1
2024-10-16,21.62,24.6614,37.46,1
2024-10-17,20.68,26.4633,37.5,1
2024-10-18,21.38,27.5228,37.31,1
2024-10-21,20.84,27.1439,36.66,1
2024-10-22,20.35,26.0172,45.13,1
2024-10-23,20.42,22.129,47.2,1
2024-10-24,20.2,26.4612,48.6,1
2024-10-25,20.51,24.8077,47.21,1
2024-10-28,22.2,21.5573,46.98,0
2024-10-29,21.79,25.6796,48.26,1
2024-10-30,23.07,21.8754,47.65,0
2024-10-31,21.88,24.8144,49.94,1
2024-11-01,23.0,23.3374,46.98,1
2024-11-04,23.6,21.1278,47.57,0
2024-11-05,23.52,23.7646,47.17,1
2024-11-06,25.29,21.1315,47.6,0
2024-11-07,28.59,19.9722,46.09,0
2024-11-08,28.61,25.6982,44.47,0
2024-11-11,29.36,24.6706,44.4,0
2024-11-12,29.73,19.6554,43.6,0
2024-11-13,31.61,25.4865,45.38,0
2024-11-14,30.21,23.998,46.98,0
2024-11-15,29.11,20.4649,48.12,0
2024-11-18,28.96,28.2165,48.27,0
2024-11-19,30.68,22.906,49.0,0
2024-11-20,30.68,24.8937,47.4,0
2024-11-21,30.98,25.2787,42.87,0
2024-11-22,32.65,24.2407,42.44,0
2024-11-25,35.4,26.517,40.35,0
2024-11-26,34.37,26.8943,43.19,0
2024-11-27,35.1,26.3892,42.11,0
2024-11-29,35.61,24.3416,42.55,0
2024-12-02,35.52,17.4846,40.74,0
2024-12-03,35.78,22.9375,41.48,0
2024-12-04,38.11,23.5122,42.66,0
2024-12-05,37.11,27.5015,40.17,0
2024-12-06,36.87,25.3569,39.32,0
2024-12-09,36.37,18.1249,35.84,1
2024-12-10,35.53,23.6273,42.63,0
2024-12-11,35.66,19.6462,43.1,0
2024-12-12,34.94,24.8005,40.64,0
2024-12-13,34.76,28.8014,42.89,0
2024-12-16,35.62,25.0183,42.9,0
2024-12-17,34.84,20.787,43.85,0
2024-12-18,32.36,26.4232,46.24,0
2024-12-19,31.13,25.5239,44.72,0
2024-12-20,31.67,25.1986,46.1,0
2024-12-23,31.04,28.018,46.74,0
2024-12-24,31.57,24.8789,46.46,0
2024-12-26,31.37,23.6899,45.84,0
2024-12-27,30.44,24.8431,45.15,0
2024-12-30,30.54,25.1617,43.14,0
2024-12-31,30.55,25.7332,42.6,0
2025-01-02,31.77,20.3975,42.47,0
2025-01-03,33.76,22.9042,43.49,0
