date,entry_close,pred_close,actual_close,correct
2024-06-10,2.71,3.6748,1.69,0
2024-06-11,2.91,3.462,1.7,0
2024-06-12,3.04,4.0157,1.89,0
2024-06-13,3.37,2.7732,1.97,1
2024-06-14,3.26,4.0147,1.87,0
2024-06-17,3.2,3.6089,1.8,0
2024-06-18,3.0,3.4325,1.89,0
2024-06-20,3.25,3.5747,1.8,0
2024-06-21,2.76,3.9754,1.88,0
2024-06-24,2.48,3.618,1.77,0
2024-06-25,2.56,2.8326,1.77,0
2024-06-26,2.67,3.4663,1.79,0
2024-06-27,2.78,4.5899,1.77,0
2024-06-28,2.69,3.059,1.83,0
2024-07-01,3.18,3.8428,1.83,0
2024-07-02,3.05,2.8615,1.95,1
2024-07-03,3.18,2.8193,1.96,1
2024-07-05,3.1,3.7502,1.81,0
2024-07-08,3.09,4.0361,1.76,0
2024-07-09,2.93,3.9329,1.81,0
2024-07-10,2.89,4.6225,1.89,0
2024-07-11,2.8,3.7518,1.92,0
2024-07-12,2.95,3.3274,1.89,0
2024-07-15,3.08,3.5795,1.88,0
2024-07-16,3.47,3.1388,1.89,1
2024-07-17,3.24,3.3947,1.89,0
2024-07-18,2.96,3.0829,2.13,0
2024-07-19,3.14,3.2946,2.22,0
2024-07-22,3.03,4.8126,2.33,0
2024-07-23,2.91,4.0415,2.41,0
2024-07-24,2.69,3.1635,2.19,0
2024-07-25,2.65,4.0615,2.59,0
2024-07-26,2.77,4.7862,2.4,0
2024-07-29,2.75,3.5312,2.52,0
2024-07-30,2.64,3.5121,2.36,0
2024-07-31,2.74,3.4746,2.34,0
2024-08-01,2.5,3.3979,2.25,0
2024-08-02,2.29,3.8341,2.35,1
2024-08-05,2.04,3.3149,2.73,1
2024-08-06,2.05,3.2792,2.45,1
2024-08-07,1.95,3.2362,2.32,1
2024-08-08,2.07,2.9127,2.28,1
2024-08-09,2.02,3.8404,2.21,1
2024-08-12,1.87,3.3974,2.31,1
2024-08-13,1.9,4.7256,2.48,1
2024-08-14,1.83,2.9143,2.43,1
2024-08-15,1.69,3.7408,2.25,1
2024-08-16,1.84,4.283,2.65,1
2024-08-19,1.91,4.4356,2.68,1
2024-08-20,1.95,3.2888,2.42,1
2024-08-21,2.21,3.801,2.47,1
2024-08-22,2.03,2.7839,2.67,1
2024-08-23,2.18,3.4766,2.7,1
2024-08-26,2.19,3.7286,2.62,1
2024-08-27,2.04,3.5131,2.38,1
2024-08-28,1.9,3.4963,2.12,1
2024-08-29,1.97,3.4304,2.16,1
2024-08-30,1.9,2.7951,2.14,1
2024-09-03,1.77,3.4322,2.04,1
2024-09-04,1.7,3.1601,2.23,1
2024-09-05,1.69,3.6563,2.41,1
2024-09-06,1.7,3.3817,2.3,1
2024-09-09,1.89,4.4809,2.3,1
2024-09-10,1.97,4.4414,2.38,1
2024-09-11,1.87,3.527,2.27,1
2024-09-12,1.8,3.55,2.37,1
2024-09-13,1.89,3.7425,2.31,1
2024-09-16,1.8,4.1513,2.2,1
2024-09-17,1.88,5.06,2.25,1
2024-09-18,1.77,3.2313,2.15,1
2024-09-19,1.77,3.6674,2.14,1
2024-09-20,1.79,3.6112,2.18,1
2024-09-23,1.77,2.7001,2.2,1
2024-09-24,1.83,3.5216,2.0,1
2024-09-25,1.83,3.6164,1.89,1
2024-09-26,1.95,2.9853,1.9,0
2024-09-27,1.96,2.7534,1.73,0
2024-09-30,1.81,3.1229,1.73,0
2024-10-01,1.76,3.3904,1.73,0
2024-10-02,1.81,3.5242,1.65,0
2024-10-03,1.89,2.6084,1.67,0
2024-10-04,1.92,2.3651,1.55,0
2024-10-07,1.89,2.5823,1.65,0
2024-10-08,1.88,3.8141,1.79,0
2024-10-09,1.89,3.409,1.85,0
2024-10-10,1.89,2.8732,1.77,0
2024-10-11,2.13,4.0613,1.67,0
2024-10-14,2.22,3.228,1.65,0
2024-10-15,2.33,3.2443,1.6,0
2024-10-16,2.41,2.9479,1.67,0
2024-10-17,2.19,3.9802,1.78,0
2024-10-18,2.59,2.2399,1.73,1
2024-10-21,2.4,2.6798,1.91,0
2024-10-22,2.52,3.5152,1.89,0
2024-10-23,2.36,2.573,1.84,0
2024-10-24,2.34,3.0915,1.82,0
2024-10-25,2.25,2.6298,1.71,0
2024-10-28,2.35,2.6992,1.58,0
2024-10-29,2.73,2.5242,1.51,1
2024-10-30,2.45,2.436,1.48,1
2024-10-31,2.32,2.5247,1.46,0
2024-11-01,2.28,2.4657,1.36,0
2024-11-04,2.21,2.5341,1.33,0
2024-11-05,2.31,2.3461,1.28,0
2024-11-06,2.48,2.743,1.19,0
2024-11-07,2.43,2.72,1.19,0
2024-11-08,2.25,2.3099,1.14,0
2024-11-11,2.65,3.1985,1.08,0
2024-11-12,2.68,2.5983,1.05,1
2024-11-13,2.42,2.6865,1.09,0
2024-11-14,2.47,2.5366,1.09,0
2024-11-15,2.67,2.2043,1.09,1
2024-11-18,2.7,2.4028,1.07,1
2024-11-19,2.62,2.3048,1.1,1
2024-11-20,2.38,2.6016,1.11,0
2024-11-21,2.12,2.6008,1.08,0
2024-11-22,2.16,2.5234,1.06,0
2024-11-25,2.14,2.6177,0.95,0
2024-11-26,2.04,2.5388,0.95,0
2024-11-27,2.23,2.4734,0.91,0
2024-11-29,2.41,2.5632,0.86,0
2024-12-02,2.3,2.4048,0.81,0
2024-12-03,2.3,2.4927,0.81,0
2024-12-04,2.38,2.5055,0.87,0
2024-12-05,2.27,2.19,0.94,1
2024-12-06,2.37,2.1983,0.86,1
2024-12-09,2.31,2.4497,0.77,0
2024-12-10,2.2,2.4462,0.81,0
2024-12-11,2.25,2.9177,0.79,0
2024-12-12,2.15,2.3565,0.76,0
2024-12-13,2.14,2.3768,0.81,0
2024-12-16,2.18,2.4052,0.89,0
2024-12-17,2.2,2.3466,0.85,0
2024-12-18,2.0,2.3327,0.94,0
2024-12-19,1.89,2.6541,0.93,0
2024-12-20,1.9,2.3416,0.89,0
2024-12-23,1.73,2.462,0.88,0
2024-12-24,1.73,2.3321,0.88,0
2024-12-26,1.73,2.3248,0.85,0
2024-12-27,1.65,2.2541,0.86,0
2024-12-30,1.67,2.0303,0.82,0
2024-12-31,1.55,1.9651,0.73,0
2025-01-02,1.65,2.0654,0.75,0
2025-01-03,1.79,2.4087,0.76,0
2025-01-06,1.85,2.317,0.73,0
2025-01-07,1.77,2.2685,0.68,0
2025-01-08,1.67,2.4962,0.6,0
2025-01-10,1.65,2.4134,0.6,0
2025-01-13,1.6,2.1784,0.6,0
2025-01-14,1.67,2.3975,0.6,0
2025-01-15,1.78,2.6608,0.65,0
2025-01-16,1.73,2.2872,0.68,0
2025-01-17,1.91,2.2448,0.65,0
2025-01-21,1.89,2.311,0.64,0
2025-01-22,1.84,2.5047,0.66,0
2025-01-23,1.82,2.0675,0.63,0
2025-01-24,1.71,2.4693,0.72,0
2025-01-27,1.58,2.5018,0.8,0
2025-01-28,1.51,2.6032,0.86,0
2025-01-29,1.48,2.4773,1.34,0
2025-01-30,1.46,2.5176,1.11,0
2025-01-31,1.36,2.2882,1.07,0
2025-02-03,1.33,2.4227,1.07,0
2025-02-04,1.28,2.3426,1.08,0
2025-02-05,1.19,2.6751,1.1,0
2025-02-06,1.19,2.4651,1.04,0
2025-02-07,1.14,1.8079,1.0,0
2025-02-10,1.08,2.4347,0.95,0
2025-02-11,1.05,2.4744,0.92,0
2025-02-12,1.09,2.3261,1.0,0
2025-02-13,1.09,2.2328,1.1,1
