date,entry_close,pred_close,actual_close,correct
2024-06-10,44.27,58.8508,55.85,1
2024-06-11,43.59,56.8265,53.09,1
2024-06-12,46.28,50.4108,53.5,1
2024-06-13,45.23,63.9513,56.2,1
2024-06-14,44.51,52.1879,55.29,1
2024-06-17,43.43,58.8307,54.15,1
2024-06-18,43.01,57.714,54.49,1
2024-06-20,42.9,58.1332,52.74,1
2024-06-21,43.82,61.1841,51.63,1
2024-06-24,44.1,52.1103,51.17,1
2024-06-25,43.6,48.5452,52.35,1
2024-06-26,48.56,64.1253,52.05,1
2024-06-27,49.45,51.6902,53.18,1
2024-06-28,49.72,52.6716,53.09,1
2024-07-01,51.34,59.8746,51.65,1
2024-07-02,51.75,48.6679,51.41,1
2024-07-03,53.17,50.0312,51.65,1
2024-07-05,52.58,55.5408,51.54,0
2024-07-08,53.0,52.3087,49.68,1
2024-07-09,50.21,53.7943,50.23,1
2024-07-10,50.7,51.9212,48.76,0
2024-07-11,52.08,53.361,50.16,0
2024-07-12,50.95,49.5947,49.47,1
2024-07-15,48.44,53.3618,49.97,1
2024-07-16,50.66,55.7344,53.84,1
2024-07-17,55.39,49.4104,54.36,1
2024-07-18,53.01,54.466,54.73,1
2024-07-19,53.57,52.2628,54.97,0
2024-07-22,53.54,56.1479,54.42,1
2024-07-23,55.05,40.2329,54.35,1
2024-07-24,51.96,55.3038,54.43,1
2024-07-25,53.44,53.3538,55.34,0
2024-07-26,53.37,58.2991,55.43,1
2024-07-29,52.87,49.4982,54.85,0
2024-07-30,50.13,52.4722,53.06,1
2024-07-31,51.23,57.6115,55.64,1
2024-08-01,48.46,51.2974,55.12,1
2024-08-02,47.71,48.4473,53.88,1
2024-08-05,42.67,53.1507,54.73,1
2024-08-06,43.04,51.4837,54.56,1
2024-08-07,43.19,48.1769,53.75,1
2024-08-08,40.84,54.6739,56.94,1
2024-08-09,41.7,51.8659,55.99,1
2024-08-12,41.99,56.8026,56.42,1
2024-08-13,44.12,50.6175,60.21,1
2024-08-14,42.97,54.9834,61.19,1
2024-08-15,44.8,65.8543,60.5,1
2024-08-16,45.41,50.2667,60.15,1
2024-08-19,46.36,57.7186,59.95,1
2024-08-20,46.52,62.9379,60.93,1
2024-08-21,47.26,54.375,61.15,1
2024-08-22,46.12,53.0442,59.87,1
2024-08-23,46.98,60.655,59.96,1
2024-08-26,47.3,56.8758,60.91,1
2024-08-27,47.01,52.18,62.15,1
2024-08-28,46.1,62.3314,64.8,1
2024-08-29,47.89,53.6932,66.62,1
2024-08-30,47.4,53.2728,66.37,1
2024-09-03,44.68,55.5468,66.37,1
2024-09-04,54.35,69.5446,63.8,1
2024-09-05,55.85,52.0712,63.75,0
2024-09-06,53.09,48.5438,62.99,0
2024-09-09,53.5,51.8372,63.86,0
2024-09-10,56.2,49.9153,66.56,0
2024-09-11,55.29,50.5466,66.04,0
2024-09-12,54.15,53.2291,67.19,0
2024-09-13,54.49,47.862,66.73,0
2024-09-16,52.74,67.531,61.58,1
2024-09-17,51.63,52.1305,60.68,1
2024-09-18,51.17,54.2315,61.04,1
2024-09-19,52.35,49.6405,58.6,0
2024-09-20,52.05,56.5591,59.07,1
2024-09-23,53.18,61.0036,59.14,1
2024-09-24,53.09,52.6169,57.24,0
2024-09-25,51.65,60.5966,55.66,1
2024-09-26,51.41,60.0648,59.83,1
2024-09-27,51.65,52.9615,60.01,1
