date,entry_close,pred_close,actual_close,correct
2024-06-10,21.62,8.3327,14.43,1
2024-06-11,22.04,8.7557,13.65,1
2024-06-12,23.68,9.1577,13.97,1
2024-06-13,24.37,7.4342,14.53,1
2024-06-14,23.75,7.9162,15.27,1
2024-06-17,24.15,8.9553,15.82,1
2024-06-18,24.79,8.6377,16.57,1
2024-06-20,22.39,9.2615,16.28,1
2024-06-21,22.15,7.6551,16.1,1
2024-06-24,22.15,6.3113,16.31,1
2024-06-25,23.16,9.1359,16.92,1
2024-06-26,21.56,9.3995,16.3,1
2024-06-27,20.02,9.1186,16.44,1
2024-06-28,20.19,7.8887,17.27,1
2024-07-01,21.42,11.8914,17.26,1
2024-07-02,21.21,7.5923,17.71,1
2024-07-03,20.49,12.087,17.77,1
2024-07-05,20.78,7.3532,18.42,1
2024-07-08,20.51,9.377,19.31,1
2024-07-09,20.69,6.2598,18.95,1
2024-07-10,20.21,9.1446,17.13,1
2024-07-11,21.05,8.864,17.66,1
2024-07-12,21.72,8.8627,19.44,1
2024-07-15,22.84,10.7317,18.75,1
2024-07-16,23.11,9.4782,18.73,1
2024-07-17,21.99,8.7757,17.85,1
2024-07-18,20.37,9.0996,18.69,1
2024-07-19,19.42,9.9445,20.5,0
2024-07-22,20.34,14.0629,22.8,0
2024-07-23,22.77,6.9066,22.36,1
2024-07-24,22.51,8.4832,21.56,1
2024-07-25,23.25,10.1977,22.15,1
2024-07-26,21.77,9.6561,23.05,0
2024-07-29,21.71,10.7796,23.59,0
2024-07-30,21.2,4.8932,21.38,0
2024-07-31,21.24,7.1969,21.52,0
2024-08-01,18.51,10.0897,21.73,0
2024-08-02,17.58,11.3095,23.08,0
2024-08-05,17.84,11.0825,22.24,0
2024-08-06,16.88,9.8632,19.04,0
2024-08-07,16.04,10.1081,18.83,0
2024-08-08,15.85,11.384,20.36,0
2024-08-09,15.96,7.2402,20.76,0
2024-08-12,15.97,7.7736,20.64,0
2024-08-13,15.98,8.9028,23.42,0
2024-08-14,15.43,10.3963,23.62,0
2024-08-15,15.71,10.7586,23.41,0
2024-08-16,15.58,15.7453,27.88,1
2024-08-19,16.56,9.1681,26.69,0
2024-08-20,16.53,12.0556,27.6,0
2024-08-21,16.57,11.9525,20.85,0
2024-08-22,16.46,9.8505,19.32,0
2024-08-23,16.73,13.4447,20.99,0
2024-08-26,16.05,10.9408,23.53,0
2024-08-27,14.84,15.5398,21.79,1
2024-08-28,14.64,12.4166,24.15,0
2024-08-29,14.73,14.2353,25.33,0
2024-08-30,14.73,12.3581,31.35,0
2024-09-03,14.5,14.0412,30.68,0
2024-09-04,14.61,11.3298,30.34,0
2024-09-05,14.43,12.6561,32.22,0
2024-09-06,13.65,12.6437,30.85,0
2024-09-09,13.97,15.9452,32.21,1
2024-09-10,14.53,16.6254,33.92,1
2024-09-11,15.27,13.3469,31.6,0
2024-09-12,15.82,13.1426,34.23,0
2024-09-13,16.57,13.4049,32.63,0
2024-09-16,16.28,13.0318,30.87,0
2024-09-17,16.1,12.7069,30.19,0
2024-09-18,16.31,12.079,30.09,0
2024-09-19,16.92,15.523,30.02,0
2024-09-20,16.3,19.7652,31.25,1
2024-09-23,16.44,14.3496,31.12,0
2024-09-24,17.27,17.0287,28.55,0
2024-09-25,17.26,15.5492,26.36,0
2024-09-26,17.71,17.4961,26.2,0
2024-09-27,17.77,13.2497,27.6,0
2024-09-30,18.42,13.8114,28.15,0
2024-10-01,19.31,14.0408,28.49,0
2024-10-02,18.95,11.1837,26.56,0
2024-10-03,17.13,16.7695,25.17,0
2024-10-04,17.66,13.2989,24.18,0
2024-10-07,19.44,18.7841,25.2,0
2024-10-08,18.75,12.8568,26.63,0
2024-10-09,18.73,11.1017,26.9,0
2024-10-10,17.85,17.7482,27.67,0
2024-10-11,18.69,15.9286,25.73,0
2024-10-14,20.5,14.8133,25.41,0
2024-10-15,22.8,14.7818,25.9,0
2024-10-16,22.36,13.9733,26.21,0
2024-10-17,21.56,11.3535,27.86,0
2024-10-18,22.15,13.1904,27.94,0
2024-10-21,23.05,14.7707,27.85,0
2024-10-22,23.59,11.5605,29.81,0
2024-10-23,21.38,16.3056,29.72,0
2024-10-24,21.52,15.5544,30.89,0
2024-10-25,21.73,15.2102,30.87,0
2024-10-28,23.08,12.6209,30.51,0
2024-10-29,22.24,16.0605,31.54,0
2024-10-30,19.04,14.2007,31.86,0
2024-10-31,18.83,15.76,33.96,0
2024-11-01,20.36,13.2487,37.28,0
2024-11-04,20.76,17.9587,38.93,0
2024-11-05,20.64,18.8015,41.85,0
2024-11-06,23.42,16.8676,42.2,0
2024-11-07,23.62,15.0341,40.47,0
2024-11-08,23.41,14.2279,42.55,0
2024-11-11,27.88,14.419,44.77,0
2024-11-12,26.69,15.2864,43.58,0
2024-11-13,27.6,17.8422,46.34,0
2024-11-14,20.85,15.2886,59.18,0
2024-11-15,19.32,12.3232,60.47,0
2024-11-18,20.99,18.2905,58.5,0
2024-11-19,23.53,18.1177,68.74,0
2024-11-20,21.79,19.927,66.41,0
2024-11-21,24.15,15.1055,49.28,0
2024-11-22,25.33,20.4963,51.31,0
2024-11-25,31.35,18.1575,39.86,0
2024-11-26,30.68,18.7443,41.89,0
2024-11-27,30.34,18.8674,41.34,0
2024-11-29,32.22,20.4753,45.09,0
2024-12-02,30.85,14.7295,40.68,0
2024-12-03,32.21,18.6089,40.49,0
2024-12-04,33.92,17.9902,40.89,0
2024-12-05,31.6,15.1173,34.39,0
2024-12-06,34.23,21.4704,35.95,0
2024-12-09,32.63,19.3735,34.47,0
2024-12-10,30.87,18.8645,34.71,0
2024-12-11,30.19,21.7413,33.93,0
2024-12-12,30.09,15.8285,31.54,0
2024-12-13,30.02,20.3641,33.14,0
2024-12-16,31.25,16.862,34.69,0
2024-12-17,31.12,18.7201,31.49,0
2024-12-18,28.55,21.0978,33.88,0
2024-12-19,26.36,16.1308,32.87,0
2024-12-20,26.2,16.8928,34.75,0
2024-12-23,27.6,19.4739,37.41,0
2024-12-24,28.15,16.9084,37.04,0
2024-12-26,28.49,12.796,33.36,0
2024-12-27,26.56,17.9067,31.92,0
2024-12-30,25.17,18.7871,29.14,0
2024-12-31,24.18,15.5015,29.55,0
2025-01-02,25.2,19.955,31.05,0
2025-01-03,26.63,15.2784,31.22,0
2025-01-06,26.9,18.5037,27.99,0
2025-01-07,27.67,15.2018,25.99,1
2025-01-08,25.73,15.5692,27.77,0
2025-01-10,25.41,23.2831,26.1,0
2025-01-13,25.9,14.2548,29.49,0
2025-01-14,26.21,18.1173,26.81,0
2025-01-15,27.86,14.8633,27.23,1
2025-01-16,27.94,18.7088,28.31,0
2025-01-17,27.85,22.3021,29.46,0
2025-01-21,29.81,23.4203,26.95,1
2025-01-22,29.72,27.0849,27.23,1
2025-01-23,30.89,19.0283,25.84,1
2025-01-24,30.87,16.147,25.35,1
2025-01-27,30.51,16.0595,26.71,1
2025-01-28,31.54,17.2761,28.14,1
2025-01-29,31.86,19.1502,28.09,1
2025-01-30,33.96,21.1761,28.48,1
2025-01-31,37.28,18.9545,35.04,1
2025-02-03,38.93,20.6643,33.1,1
2025-02-04,41.85,21.2397,36.16,1
2025-02-05,42.2,25.1464,40.82,1
2025-02-06,40.47,21.1944,41.88,0
2025-02-07,42.55,26.7933,49.47,0
2025-02-10,44.77,27.319,52.35,0
2025-02-11,43.58,30.7861,51.4,0
2025-02-12,46.34,19.4794,51.96,0
2025-02-13,59.18,25.2447,55.21,1
2025-02-14,60.47,20.672,64.0,0
2025-02-18,58.5,21.547,61.12,0
2025-02-19,68.74,26.7853,58.58,1
2025-02-20,66.41,26.5097,64.65,1
2025-02-21,49.28,23.7181,62.34,0
2025-02-24,51.31,24.9317,61.21,0
2025-02-25,39.86,11.3155,58.0,0
2025-02-26,41.89,21.5664,53.52,0
2025-02-27,41.34,28.1148,54.83,0
2025-02-28,45.09,25.7554,53.36,0
2025-03-03,40.68,20.0127,53.34,0
