date,entry_close,pred_close,actual_close,correct
2024-06-10,2.91,3.0591,2.75,0
2024-06-11,2.87,3.4415,2.58,0
2024-06-12,2.98,2.9369,2.78,1
2024-06-13,3.18,3.223,2.92,0
2024-06-14,2.93,3.367,3.01,1
2024-06-17,3.26,3.5693,3.02,0
2024-06-18,3.3,3.3642,3.08,0
2024-06-20,3.36,2.9608,2.96,1
2024-06-21,3.08,2.6924,3.05,1
2024-06-24,2.93,3.1745,2.99,1
2024-06-25,2.99,2.9651,3.11,0
2024-06-26,3.29,3.3455,3.11,0
2024-06-27,3.17,2.9234,3.13,1
2024-06-28,3.08,2.9334,3.38,0
2024-07-01,3.22,3.3331,3.24,1
2024-07-02,3.14,3.0274,3.41,0
2024-07-03,3.05,2.7874,3.35,0
2024-07-05,3.34,3.0063,3.13,1
2024-07-08,3.42,3.0177,2.96,1
2024-07-09,3.29,2.6843,3.1,1
2024-07-10,3.23,3.1659,3.1,1
2024-07-11,3.31,3.0966,3.17,1
2024-07-12,3.52,2.7936,3.08,1
2024-07-15,3.84,3.009,3.01,1
2024-07-16,4.05,2.9647,2.9,1
2024-07-17,4.04,3.1123,2.91,1
2024-07-18,3.66,3.125,3.15,1
2024-07-19,4.15,3.2301,3.35,1
2024-07-22,4.5,3.3114,3.33,1
2024-07-23,4.3,3.1194,3.45,1
2024-07-24,4.11,3.3241,3.3,1
2024-07-25,3.7,3.3223,3.81,0
2024-07-26,3.81,3.498,3.83,0
2024-07-29,3.69,3.0386,3.87,0
2024-07-30,3.58,2.919,3.65,0
2024-07-31,3.63,3.1634,3.78,0
2024-08-01,3.37,3.7539,3.63,1
2024-08-02,3.06,3.3096,4.11,1
2024-08-05,2.78,2.9786,4.28,1
2024-08-06,2.87,2.6106,4.27,0
2024-08-07,2.61,2.7687,3.69,1
2024-08-08,2.96,2.5611,3.54,0
2024-08-09,2.88,2.6781,3.39,0
2024-08-12,2.79,2.7353,3.64,0
2024-08-13,2.84,3.4556,4.07,1
2024-08-14,2.81,2.7591,4.52,0
2024-08-15,2.88,2.6031,4.65,0
2024-08-16,3.05,3.009,5.25,0
2024-08-19,3.07,3.1205,5.24,1
2024-08-20,3.08,3.4069,4.67,1
2024-08-21,3.31,3.2489,4.31,0
2024-08-22,3.16,3.2384,4.43,1
2024-08-23,3.63,3.298,4.32,0
2024-08-26,3.56,2.8418,4.29,0
2024-08-27,3.35,3.3911,4.16,1
2024-08-28,3.1,2.9558,4.0,0
2024-08-29,3.19,3.325,4.09,1
2024-08-30,3.12,3.2986,3.93,1
2024-09-03,2.81,3.2296,3.66,1
2024-09-04,2.8,3.1327,4.04,1
2024-09-05,2.75,3.4989,4.08,1
2024-09-06,2.58,2.8969,4.09,1
2024-09-09,2.78,3.966,4.07,1
2024-09-10,2.92,3.3352,4.34,1
