date,entry_close,pred_close,actual_close,correct
2024-06-10,191.4249,175.254,185.3849,1
2024-06-11,190.2803,171.0752,180.9554,1
2024-06-12,189.3902,177.5513,183.7227,1
2024-06-13,189.5083,175.4827,183.5309,1
2024-06-14,189.4174,179.5547,186.3531,1
2024-06-17,192.524,177.4531,186.9285,1
2024-06-18,193.3596,169.5821,186.4535,1
2024-06-20,194.5132,182.0463,186.9376,1
2024-06-21,195.3762,183.5242,186.5357,1
2024-06-24,196.1028,178.3403,184.1611,1
2024-06-25,194.7948,175.4154,186.0425,1
2024-06-26,193.8683,175.3947,185.7229,1
2024-06-27,194.7313,169.4079,186.1065,1
2024-06-28,193.9682,179.8701,187.4764,1
2024-07-01,191.6156,181.6691,188.8555,1
2024-07-02,193.6866,169.262,189.0839,1
2024-07-03,192.9872,174.3075,189.6319,1
2024-07-05,192.7874,169.1273,188.7916,1
2024-07-08,192.2333,175.7458,188.2071,1
2024-07-09,191.2977,178.0309,186.2069,1
2024-07-10,194.8312,172.0364,185.2936,1
2024-07-11,195.1582,171.6209,186.1156,1
2024-07-12,195.3943,172.5652,185.7046,1
2024-07-15,195.9484,177.5726,189.0565,1
2024-07-16,198.4464,173.8427,195.1757,1
2024-07-17,200.0269,183.1133,195.0844,1
2024-07-18,197.7197,174.5414,197.2672,1
2024-07-19,194.9402,181.9186,198.7376,0
2024-07-22,197.0839,181.7477,198.4362,0
2024-07-23,197.4563,173.7134,199.9797,0
2024-07-24,194.0682,186.5706,200.5186,0
2024-07-25,183.8947,178.9756,202.7745,0
2024-07-26,184.1581,184.6129,202.2996,1
2024-07-29,182.9409,178.6066,203.0759,0
2024-07-30,184.0673,173.3104,201.2401,0
2024-07-31,185.9839,173.0261,190.9744,0
2024-08-01,185.8295,177.7833,189.9698,0
2024-08-02,185.021,180.4017,188.2345,0
2024-08-05,181.4058,175.8403,188.1249,0
2024-08-06,180.5792,175.4727,186.4992,0
2024-08-07,179.7799,171.658,187.8509,0
2024-08-08,181.5057,184.9737,191.0566,1
2024-08-09,180.0615,181.0639,189.5497,1
2024-08-12,178.7534,182.3224,190.6822,1
2024-08-13,178.6989,186.0623,197.6417,1
2024-08-14,179.4892,175.5225,198.6463,0
2024-08-15,180.2704,178.9128,200.4638,0
2024-08-16,181.2933,177.9867,205.7154,0
2024-08-19,181.7865,182.2865,213.6338,1
2024-08-20,182.7272,175.7846,212.8666,0
2024-08-21,183.9602,190.4095,210.6747,1
2024-08-22,182.7911,180.7072,210.1699,0
2024-08-23,184.9283,185.2475,210.0414,1
2024-08-26,186.1795,182.2207,209.4448,0
2024-08-27,188.2436,180.9562,208.0406,0
2024-08-28,187.2298,179.4037,207.5082,0
