date,entry_close,pred_close,actual_close,correct
2024-06-10,595.92,582.2179,504.17,1
2024-06-11,588.46,587.5071,496.48,1
2024-06-12,591.35,563.5794,494.51,1
2024-06-13,567.0,562.8261,492.14,1
2024-06-14,584.71,572.5963,497.82,1
2024-06-17,570.99,564.8578,492.6,1
2024-06-18,562.0,608.2453,491.17,0
2024-06-20,557.25,581.2571,495.41,0
2024-06-21,578.43,585.8381,492.3,0
2024-06-24,573.6,605.8475,503.76,0
2024-06-25,585.21,590.9322,530.11,0
2024-06-26,568.52,592.2896,526.88,0
2024-06-27,586.01,562.2203,527.25,1
2024-06-28,589.79,571.8965,532.11,1
2024-07-01,592.58,573.7356,531.19,1
2024-07-02,584.14,569.1142,534.88,1
2024-07-03,592.31,566.9579,536.0,1
2024-07-05,587.25,567.9393,531.6,1
2024-07-08,586.16,568.2164,526.66,1
2024-07-09,560.21,595.8191,514.56,0
2024-07-10,492.31,593.2541,517.42,1
2024-07-11,489.77,608.8372,535.0,1
2024-07-12,476.13,563.8023,522.09,1
2024-07-15,471.89,569.1206,532.36,1
2024-07-16,488.81,633.4779,541.07,1
2024-07-17,480.36,614.7695,553.49,1
2024-07-18,481.41,578.5894,559.4,1
2024-07-19,479.82,640.9607,560.09,1
2024-07-22,483.01,572.9572,548.21,1
2024-07-23,488.47,543.7363,532.13,1
2024-07-24,473.33,589.7352,533.38,1
2024-07-25,495.76,577.0822,537.14,1
2024-07-26,492.72,564.6519,532.92,1
2024-07-29,498.7,597.4825,531.62,1
2024-07-30,488.02,514.7141,531.93,1
2024-07-31,497.03,575.9924,554.31,1
2024-08-01,481.87,557.3525,565.67,1
2024-08-02,465.66,524.1254,558.08,1
2024-08-05,455.46,489.1159,563.21,1
2024-08-06,450.09,640.229,561.11,1
2024-08-07,460.74,544.5414,554.79,1
2024-08-08,476.35,571.9684,565.23,1
2024-08-09,472.61,553.1075,564.55,1
2024-08-12,469.29,523.2563,578.28,1
2024-08-13,484.61,561.5137,597.79,1
2024-08-14,484.26,554.6068,644.61,1
2024-08-15,489.51,576.2638,656.56,1
2024-08-16,497.87,628.0837,680.79,1
2024-08-19,497.26,604.9164,701.34,1
2024-08-20,487.41,594.0803,700.16,1
2024-08-21,495.29,521.2296,696.3,1
2024-08-22,496.87,563.1478,677.07,1
2024-08-23,503.07,579.1677,668.32,1
2024-08-26,499.1,522.4203,682.53,1
2024-08-27,502.01,629.368,694.48,1
2024-08-28,493.19,637.3467,720.0,1
2024-08-29,500.05,570.8979,742.61,1
2024-08-30,499.07,610.9736,731.82,1
2024-09-03,495.76,542.6295,729.83,1
2024-09-04,494.28,551.5075,722.76,1
2024-09-05,504.17,661.4608,721.05,1
2024-09-06,496.48,553.3774,723.59,1
2024-09-09,494.51,633.6561,719.44,1
2024-09-10,492.14,571.9165,757.4,1
2024-09-11,497.82,570.7898,737.87,1
2024-09-12,492.6,574.4385,741.67,1
2024-09-13,491.17,537.9912,737.38,1
2024-09-16,495.41,557.3696,720.62,1
2024-09-17,492.3,536.0503,726.08,1
2024-09-18,503.76,624.0356,734.49,1
2024-09-19,530.11,538.9999,721.86,1
2024-09-20,526.88,506.4747,746.91,0
2024-09-23,527.25,628.8354,741.67,1
2024-09-24,532.11,547.053,707.02,1
2024-09-25,531.19,568.3222,702.45,1
2024-09-26,534.88,547.9161,719.0,1
2024-09-27,536.0,530.7338,714.96,0
2024-09-30,531.6,503.2442,721.36,0
2024-10-01,526.66,511.5947,724.67,0
2024-10-02,514.56,485.4346,708.16,0
2024-10-03,517.42,515.1232,699.51,0
2024-10-04,535.0,574.1609,696.77,1
2024-10-07,522.09,511.0995,697.43,0
2024-10-08,532.36,580.7318,702.85,1
2024-10-09,541.07,638.6746,707.71,1
2024-10-10,553.49,569.6609,701.25,1
2024-10-11,559.4,491.168,709.42,0
2024-10-14,560.09,578.415,704.36,1
2024-10-15,548.21,566.7772,699.14,1
2024-10-16,532.13,531.5992,703.49,0
2024-10-17,533.38,606.6082,709.14,1
2024-10-18,537.14,525.8384,717.33,0
2024-10-21,532.92,535.2671,704.44,1
2024-10-22,531.62,585.5612,726.09,1
2024-10-23,531.93,572.4964,730.16,1
2024-10-24,554.31,548.9167,737.12,0
2024-10-25,565.67,566.1747,726.61,1
2024-10-28,558.08,608.3763,758.43,1
2024-10-29,563.21,577.7426,794.57,1
2024-10-30,561.11,579.5272,777.79,1
2024-10-31,554.79,515.3008,771.99,0
2024-11-01,565.23,532.9947,779.53,0
2024-11-04,564.55,541.054,764.92,0
2024-11-05,578.28,542.9781,763.61,0
2024-11-06,597.79,568.9219,779.71,0
2024-11-07,644.61,572.2269,778.05,0
2024-11-08,656.56,594.6054,771.17,0
2024-11-11,680.79,555.192,805.57,0
2024-11-12,701.34,588.0698,784.45,0
2024-11-13,700.16,599.0948,785.5,0
2024-11-14,696.3,536.0945,819.71,0
2024-11-15,677.07,550.8666,811.95,0
2024-11-18,668.32,568.7811,803.35,0
