date,entry_close,pred_close,actual_close,correct
2024-06-10,339.8146,396.3474,356.0519,1
2024-06-11,342.1784,350.8464,348.9531,1
2024-06-12,342.7717,344.916,335.2041,0
2024-06-13,348.3358,391.7329,337.7979,0
2024-06-14,349.1432,361.8024,320.0216,0
2024-06-17,345.5635,348.9193,316.4234,0
2024-06-18,340.0189,383.307,313.5566,0
2024-06-20,347.6743,378.517,307.3842,0
2024-06-21,345.7873,410.4711,304.0396,0
2024-06-24,348.2774,343.7067,307.4427,1
2024-06-25,346.0985,417.4556,304.2346,0
2024-06-26,351.2442,341.7084,302.6841,1
2024-06-27,353.0827,400.6509,304.9854,0
2024-06-28,364.3501,337.2275,304.4589,1
2024-07-01,364.1942,378.6483,304.1858,0
2024-07-02,365.491,349.9368,305.2487,1
2024-07-03,353.8189,352.7173,311.6161,1
2024-07-05,359.6403,366.8558,309.7143,0
2024-07-08,361.2103,333.9441,273.2514,1
2024-07-09,364.0673,347.5276,241.0226,1
2024-07-10,369.7328,327.5328,236.417,1
2024-07-11,370.2788,376.0095,234.7058,0
2024-07-12,372.7068,332.5723,231.0488,1
2024-07-15,374.6473,331.6923,237.8055,1
2024-07-16,385.7538,357.5287,240.0056,1
2024-07-17,392.1603,321.6344,245.8627,1
2024-07-18,379.2108,385.2955,252.3457,0
2024-07-19,377.7384,375.828,261.6643,1
2024-07-22,375.3786,340.4155,251.8861,1
2024-07-23,376.266,349.3638,249.9011,1
2024-07-24,376.6853,341.876,260.4322,1
2024-07-25,376.7828,351.9362,261.2145,1
2024-07-26,382.8578,339.1348,254.7902,1
2024-07-29,382.3604,396.9575,256.4916,0
2024-07-30,394.4518,336.9614,252.9128,1
2024-07-31,352.6098,307.2358,252.8443,1
2024-08-01,350.0453,359.5685,254.9467,0
2024-08-02,354.5698,377.0157,255.2987,0
2024-08-05,347.4222,378.5495,252.0523,0
2024-08-06,346.4081,382.4598,260.4127,0
2024-08-07,336.9593,323.0935,252.111,1
2024-08-08,341.6008,372.9728,254.9271,0
2024-08-09,342.0981,335.2907,249.8816,1
2024-08-12,339.6213,339.1338,254.8196,1
2024-08-13,347.9585,361.7492,282.1104,0
2024-08-14,347.51,365.0788,281.3772,0
2024-08-15,348.3388,350.6006,281.7291,0
2024-08-16,341.6398,374.7812,276.1751,0
2024-08-19,344.4579,326.7258,273.8479,1
2024-08-20,348.0951,368.2149,283.0003,0
2024-08-21,349.6454,381.2318,276.8596,0
2024-08-22,345.9205,400.8531,269.5553,0
2024-08-23,344.1166,370.3944,265.3311,0
2024-08-26,344.2141,401.0674,271.6185,0
2024-08-27,344.6529,398.3053,287.4494,0
2024-08-28,343.6583,391.8026,289.1508,0
2024-08-29,342.6149,353.3699,291.4975,0
2024-08-30,345.6476,342.8583,297.4329,1
2024-09-03,354.482,407.1079,289.0334,0
2024-09-04,362.1562,325.8962,290.0992,1
2024-09-05,356.0519,350.5301,289.8059,1
2024-09-06,348.9531,342.9509,286.628,1
2024-09-09,335.2041,360.1566,284.6724,0
2024-09-10,337.7979,360.4622,281.69,0
2024-09-11,320.0216,352.9834,276.7813,0
2024-09-12,316.4234,387.217,275.4809,0
2024-09-13,313.5566,393.0066,279.8908,0
2024-09-16,307.3842,364.8278,279.4802,0
2024-09-17,304.0396,348.4873,272.0292,0
2024-09-18,307.4427,353.7864,266.7294,0
2024-09-19,304.2346,365.066,268.0397,0
2024-09-20,302.6841,403.2109,254.6826,0
2024-09-23,304.9854,360.7452,228.702,0
2024-09-24,304.4589,362.6303,234.5298,0
2024-09-25,304.1858,371.5308,230.5501,0
2024-09-26,305.2487,381.5549,241.619,0
2024-09-27,311.6161,315.1071,250.0674,0
2024-09-30,309.7143,334.8677,249.8522,0
2024-10-01,273.2514,357.6331,250.4585,0
2024-10-02,241.0226,361.3793,249.9696,1
2024-10-03,236.417,380.1573,248.6202,1
2024-10-04,234.7058,367.5421,248.9489,1
2024-10-07,231.0488,346.0905,247.9088,1
2024-10-08,237.8055,377.9575,257.5445,1
2024-10-09,240.0056,390.6109,259.3304,1
2024-10-10,245.8627,360.0199,262.1956,1
2024-10-11,252.3457,353.7142,263.0983,1
2024-10-14,261.6643,358.494,263.9912,1
2024-10-15,251.8861,333.2768,281.9674,1
2024-10-16,249.9011,362.3648,277.3262,1
2024-10-17,260.4322,404.0956,274.2451,1
2024-10-18,261.2145,347.1178,270.6243,1
2024-10-21,254.7902,344.9903,277.3262,1
2024-10-22,256.4916,363.6289,279.3279,1
2024-10-23,252.9128,314.5121,279.5732,1
2024-10-24,252.8443,367.0836,288.2866,1
2024-10-25,254.9467,331.8156,289.101,1
2024-10-28,255.2987,364.2632,292.1723,1
2024-10-29,252.0523,315.3236,297.4218,1
2024-10-30,260.4127,347.0855,288.7085,1
2024-10-31,252.111,339.6201,291.3382,1
2024-11-01,254.9271,336.0554,287.7273,1
2024-11-04,249.8816,345.2596,287.5016,1
2024-11-05,254.8196,353.764,289.9841,1
2024-11-06,282.1104,325.4081,285.0779,1
2024-11-07,281.3772,342.773,274.3334,0
2024-11-08,281.7291,295.2688,269.1819,0
2024-11-11,276.1751,324.7097,261.7932,0
2024-11-12,273.8479,328.2438,252.5108,0
2024-11-13,283.0003,355.6058,255.1503,0
2024-11-14,276.8596,328.4882,248.1345,0
2024-11-15,269.5553,315.8397,249.0666,0
2024-11-18,265.3311,328.0992,252.4126,0
2024-11-19,271.6185,345.7243,260.5373,0
2024-11-20,287.4494,303.0428,266.2088,0
2024-11-21,289.1508,333.3476,251.1076,0
2024-11-22,291.4975,343.1654,250.2147,0
2024-11-25,297.4329,317.895,254.4045,0
2024-11-26,289.0334,293.826,250.2834,0
2024-11-27,290.0992,315.1945,256.5338,0
2024-11-29,289.8059,336.764,265.3453,0
2024-12-02,286.628,325.4319,256.632,0
2024-12-03,284.6724,302.6548,257.8486,0
2024-12-04,281.69,298.096,257.201,0
2024-12-05,276.7813,326.7361,260.7728,0
2024-12-06,275.4809,318.7339,254.8854,0
2024-12-09,279.8908,330.2526,246.535,0
2024-12-10,279.4802,316.7155,245.5047,0
2024-12-11,272.0292,317.8673,244.4352,0
2024-12-12,266.7294,319.5914,247.006,0
2024-12-13,268.0397,315.065,248.1345,0
2024-12-16,254.6826,328.1227,259.4481,1
2024-12-17,228.702,317.9552,264.7173,1
2024-12-18,234.5298,295.7502,262.3231,1
2024-12-19,230.5501,316.6101,261.8227,1
2024-12-20,241.619,305.5433,261.1751,1
2024-12-23,250.0674,283.1679,266.6209,1
2024-12-24,249.8522,314.431,268.6324,1
2024-12-26,250.4585,314.5237,265.4042,1
2024-12-27,249.9696,313.4739,265.3061,1
2024-12-30,248.6202,288.7959,260.4674,1
2024-12-31,248.9489,318.2178,260.4871,1
2025-01-02,247.9088,303.3164,260.625,1
2025-01-03,257.5445,331.9056,261.6685,1
2025-01-06,259.3304,321.6465,261.3535,1
2025-01-07,262.1956,275.2779,249.8255,0
2025-01-08,263.0983,315.4951,250.7509,0
2025-01-10,263.9912,282.6057,277.5675,1
2025-01-13,281.9674,312.3292,281.0918,0
2025-01-14,277.3262,268.2769,285.7385,0
2025-01-15,274.2451,266.9319,290.454,0
2025-01-16,270.6243,299.1743,280.3929,1
2025-01-17,277.3262,287.75,282.3224,1
2025-01-21,279.3279,316.4511,281.1706,1
2025-01-22,279.5732,282.9179,260.369,0
2025-01-23,288.2866,266.7581,242.0877,1
2025-01-24,289.101,280.246,254.8954,1
2025-01-27,292.1723,264.4795,259.5125,1
2025-01-28,297.4218,282.4548,263.6669,1
2025-01-29,288.7085,267.0375,260.2903,1
2025-01-30,291.3382,296.9079,259.1089,0
2025-01-31,287.7273,272.4615,255.3286,1
2025-02-03,287.5016,299.2604,258.1638,0
2025-02-04,289.9841,304.2573,252.0602,0
2025-02-05,285.0779,305.8258,254.4623,0
2025-02-06,274.3334,295.4036,252.7001,0
2025-02-07,269.1819,272.5811,247.8566,0
2025-02-10,261.7932,279.2931,249.1856,0
2025-02-11,252.5108,270.1487,249.412,0
2025-02-12,255.1503,289.4365,245.6514,0
2025-02-13,248.1345,285.464,248.9296,1
2025-02-14,249.0666,257.2222,225.3322,0
2025-02-18,252.4126,322.7328,226.8876,0
2025-02-19,260.5373,269.2346,223.9343,0
2025-02-20,266.2088,291.0685,234.2612,0
2025-02-21,251.1076,284.3269,243.4954,0
2025-02-24,250.2147,272.1488,251.3416,1
2025-02-25,254.4045,271.3323,241.9498,0
2025-02-26,250.2834,273.067,223.6094,0
2025-02-27,256.5338,251.7602,221.4338,1
2025-02-28,265.3453,287.7098,223.0876,0
2025-03-03,256.632,269.8328,224.2493,0
2025-03-04,257.8486,274.5954,226.5037,0
2025-03-05,257.201,276.9007,229.5063,0
2025-03-06,260.7728,270.4994,227.7934,0
2025-03-07,254.8854,281.3389,229.7918,0
2025-03-10,246.535,296.2462,227.2421,0
2025-03-11,245.5047,254.2496,223.6291,0
2025-03-12,244.4352,268.0215,227.1141,0
2025-03-13,247.006,247.5677,229.4473,0
2025-03-14,248.1345,274.3028,228.3742,0
2025-03-17,259.4481,266.0499,228.1379,0
2025-03-18,264.7173,272.77,231.3079,0
2025-03-19,262.3231,286.2007,231.6032,0
2025-03-20,261.8227,263.682,231.7312,0
2025-03-21,261.1751,249.2162,237.697,1
2025-03-24,266.6209,287.2981,239.6167,0
2025-03-25,268.6324,269.4686,235.8954,0
2025-03-26,265.4042,297.9137,231.0125,0
2025-03-27,265.3061,269.403,235.0783,0
2025-03-28,260.4674,292.3116,234.8027,0
2025-03-31,260.4871,287.5648,236.1711,0
2025-04-01,260.625,278.881,239.002,0
2025-04-02,261.6685,301.5522,241.5711,0
2025-04-03,261.3535,309.2389,249.5747,0
2025-04-04,249.8255,275.7998,240.8893,0
2025-04-07,250.7509,260.8304,236.8282,0
2025-04-08,277.5675,278.1259,234.3876,0
2025-04-09,281.0918,288.4547,234.6642,0
2025-04-10,285.7385,275.0513,233.8836,1
2025-04-11,290.454,264.6149,229.4174,1
2025-04-14,280.3929,340.6807,227.9254,0
2025-04-15,282.3224,288.3738,224.7536,0
2025-04-16,281.1706,254.477,219.2597,1
2025-04-17,260.369,289.8287,223.8643,0
2025-04-21,242.0877,282.5714,220.8901,0
2025-04-22,254.8954,257.8185,217.7875,0
2025-04-23,259.5125,278.3088,220.7715,0
2025-04-24,263.6669,293.8651,228.37,0
2025-04-25,260.2903,255.9532,234.2986,1
2025-04-28,259.1089,270.4397,226.4828,0
2025-04-29,255.3286,260.8393,235.1484,0
2025-04-30,258.1638,260.8734,228.7653,0
2025-05-01,252.0602,281.4737,229.8522,0
2025-05-02,254.4623,271.7071,258.3589,1
2025-05-05,252.7001,311.398,246.8969,0
2025-05-06,247.8566,277.8657,244.318,0
2025-05-07,249.1856,264.8767,244.4069,0
2025-05-08,249.412,292.9856,251.4422,1
2025-05-09,245.6514,314.7126,253.5666,1
2025-05-12,248.9296,277.6813,253.0923,1
2025-05-13,225.3322,318.6033,263.5069,1
2025-05-14,226.8876,269.2817,263.497,1
2025-05-15,223.9343,261.2037,271.6686,1
2025-05-16,234.2612,262.0094,278.6347,1
2025-05-19,243.4954,258.409,277.9925,1
2025-05-20,251.3416,244.4708,282.9824,0
2025-05-21,241.9498,257.473,283.7729,1
2025-05-22,223.6094,289.4997,284.8203,1
2025-05-23,221.4338,264.8974,286.5494,1
2025-05-27,223.0876,263.6793,290.9662,1
2025-05-28,224.2493,304.9194,295.9463,1
2025-05-29,226.5037,341.3829,293.6638,1
2025-05-30,229.5063,264.6713,295.3139,1
2025-06-02,227.7934,256.1636,293.7231,1
2025-06-03,229.7918,299.5646,294.3456,1
2025-06-04,227.2421,259.6891,300.0469,1
2025-06-05,223.6291,250.7395,306.3707,1
2025-06-06,227.1141,257.2685,308.2679,1
2025-06-09,229.4473,254.6974,308.2877,1
2025-06-10,228.3742,270.4959,304.2563,1
2025-06-11,228.1379,257.8568,306.687,1
2025-06-12,231.3079,269.3715,269.7715,1
2025-06-13,231.6032,252.071,270.3248,1
2025-06-16,231.7312,260.1409,275.4037,1
2025-06-17,237.697,261.666,273.1508,1
2025-06-18,239.6167,234.8403,272.1429,0
2025-06-20,235.8954,260.106,269.0798,1
2025-06-23,231.0125,234.0526,266.1847,1
2025-06-24,235.0783,283.2797,261.7085,1
2025-06-25,234.8027,273.1677,249.6537,1
2025-06-26,236.1711,285.3202,254.8017,1
2025-06-27,239.002,253.4593,255.2464,1
2025-06-30,241.5711,264.3208,258.853,1
2025-07-01,249.5747,248.8208,251.4027,0
2025-07-02,240.8893,257.0701,252.7958,1
2025-07-03,236.8282,251.3894,253.0734,1
2025-07-07,234.3876,249.9642,257.9717,1
2025-07-08,234.6642,250.9591,244.6849,1
2025-07-09,233.8836,242.488,254.4517,1
2025-07-10,229.4174,248.4335,281.3227,1
2025-07-11,227.9254,262.205,292.7057,1
2025-07-14,224.7536,286.4468,292.7552,1
2025-07-15,219.2597,248.6163,295.5217,1
2025-07-16,223.8643,256.1725,288.1446,1
2025-07-17,220.8901,258.4141,277.8523,1
2025-07-18,217.7875,244.8266,268.7102,1
2025-07-21,220.7715,250.277,259.3995,1
2025-07-22,228.37,240.5051,259.9548,1
2025-07-23,234.2986,239.2219,265.0216,1
2025-07-24,226.4828,238.5061,272.6863,1
2025-07-25,235.1484,287.2634,281.6003,1
2025-07-28,228.7653,233.689,292.7057,1
2025-07-29,229.8522,246.1048,285.2889,1
2025-07-30,258.3589,276.6273,288.8387,1
2025-07-31,246.8969,237.0311,288.1941,0
2025-08-01,244.318,237.1333,289.8698,0
2025-08-04,244.4069,283.3961,292.3091,1
2025-08-05,251.4422,260.1346,290.1971,1
2025-08-06,253.5666,238.9803,283.1967,0
2025-08-07,253.0923,249.4689,275.8394,0
2025-08-08,263.5069,229.7191,277.5548,0
2025-08-11,263.497,250.5018,279.4883,0
2025-08-12,271.6686,243.6263,262.7014,1
2025-08-13,278.6347,245.4924,248.9882,1
2025-08-14,277.9925,234.5679,249.9104,1
2025-08-15,282.9824,267.6052,236.4055,1
2025-08-18,283.7729,271.3634,241.4128,1
2025-08-19,284.8203,262.2594,238.4481,1
2025-08-20,286.5494,245.2496,234.7397,1
2025-08-21,290.9662,242.3996,235.1164,1
2025-08-22,295.9463,241.3288,232.1319,1
2025-08-25,293.6638,269.3844,232.122,1
2025-08-26,295.3139,253.6685,226.9659,1
2025-08-27,293.7231,260.9539,221.4033,1
2025-08-28,294.3456,262.3007,225.1811,1
2025-08-29,300.0469,245.5387,227.2634,1
2025-09-02,306.3707,225.8541,235.87,1
2025-09-03,308.2679,258.533,243.9115,1
2025-09-04,308.2877,245.1729,243.6934,1
2025-09-05,304.2563,271.1307,240.1833,1
2025-09-08,306.687,277.2963,239.9156,1
2025-09-09,269.7715,259.6197,254.7492,1
2025-09-10,270.3248,259.1679,250.8821,1
2025-09-11,275.4037,243.4859,255.6713,1
2025-09-12,273.1508,250.7437,254.2236,1
2025-09-15,272.1429,280.5277,248.2743,0
2025-09-16,269.0798,259.9181,254.4913,1
2025-09-17,266.1847,278.1476,264.2383,0
2025-09-18,261.7085,260.3217,266.1817,0
2025-09-19,249.6537,261.8302,272.4186,1
2025-09-22,254.8017,281.7233,255.9787,1
2025-09-23,255.2464,254.8783,258.0807,0
2025-09-24,258.853,265.5064,258.4675,0
2025-09-25,251.4027,260.939,257.2082,1
2025-09-26,252.7958,258.799,255.5027,1
2025-09-29,253.0734,256.4317,254.9474,1
2025-09-30,257.9717,270.6844,257.0594,0
2025-10-01,244.6849,245.8144,257.5221,1
2025-10-02,254.4517,262.5034,257.0346,1
2025-10-03,281.3227,243.1592,257.741,1
2025-10-06,292.7057,226.5388,254.8358,1
2025-10-07,292.7552,301.8609,263.1436,0
2025-10-08,295.5217,235.9999,274.4063,1
2025-10-09,288.1446,241.388,278.4259,1
