date,entry_close,pred_close,actual_close,correct
2024-06-10,9.85,9.3441,9.5,1
2024-06-11,9.93,8.4193,9.0,1
2024-06-12,10.93,8.9875,9.97,1
2024-06-13,11.51,8.8904,10.445,1
2024-06-14,11.28,9.0789,10.58,1
2024-06-17,12.24,8.0948,10.89,1
2024-06-18,11.96,8.1004,11.24,1
2024-06-20,13.01,8.9228,11.03,1
2024-06-21,12.35,8.9094,11.42,1
2024-06-24,12.53,11.4348,11.02,1
2024-06-25,14.62,8.5334,11.43,1
2024-06-26,15.32,10.1211,11.17,1
2024-06-27,15.2,9.0097,11.57,1
2024-06-28,14.99,7.9412,12.5,1
2024-07-01,15.25,9.1053,12.53,1
2024-07-02,15.67,8.8154,12.63,1
2024-07-03,16.16,9.2907,13.08,1
2024-07-05,16.49,9.6867,12.26,1
2024-07-08,17.48,8.9886,11.555,1
2024-07-09,16.03,9.4823,11.98,1
2024-07-10,15.24,11.1629,11.73,1
2024-07-11,14.92,12.2593,12.02,1
2024-07-12,16.96,10.2875,11.72,1
2024-07-15,20.0,9.9467,11.335,1
2024-07-16,20.93,13.1987,10.97,1
2024-07-17,19.73,10.3794,11.12,1
2024-07-18,18.13,11.6642,11.72,1
2024-07-19,19.52,8.5146,12.18,1
2024-07-22,20.26,7.1521,11.77,1
2024-07-23,19.9,9.6918,12.9,1
2024-07-24,18.02,7.073,12.67,1
2024-07-25,14.79,7.2357,14.47,1
2024-07-26,15.17,8.5311,15.33,0
2024-07-29,14.83,7.5282,15.66,0
2024-07-30,13.97,8.5941,15.11,0
2024-07-31,14.64,8.1681,15.305,0
2024-08-01,13.9,11.0981,14.9,0
2024-08-02,12.4,7.8321,17.21,0
2024-08-05,11.59,8.4234,17.18,0
2024-08-06,12.31,10.3939,18.155,0
2024-08-07,11.13,9.9194,15.79,0
2024-08-08,12.42,9.8327,16.02,0
2024-08-09,11.97,11.1771,15.56,0
2024-08-12,11.39,11.7224,16.74,1
2024-08-13,10.96,10.1733,18.59,0
2024-08-14,10.97,9.869,18.97,0
2024-08-15,11.65,12.1293,19.585,1
2024-08-16,11.54,11.2834,24.59,0
2024-08-19,12.22,8.4361,23.86,0
2024-08-20,11.56,12.4506,24.78,1
2024-08-21,12.19,13.2693,23.14,1
2024-08-22,11.45,13.7522,25.26,1
2024-08-23,12.57,13.267,25.04,1
2024-08-26,12.08,11.2579,25.32,0
2024-08-27,11.24,12.9134,24.46,1
2024-08-28,10.34,10.3631,23.48,1
2024-08-29,10.375,12.9808,25.92,1
2024-08-30,10.11,13.3087,25.24,1
2024-09-03,9.09,11.5623,24.42,1
2024-09-04,9.19,13.7793,28.45,1
2024-09-05,9.5,6.3632,28.02,0
2024-09-06,9.0,13.6554,25.93,1
2024-09-09,9.97,13.506,25.06,1
2024-09-10,10.445,10.49,27.03,1
2024-09-11,10.58,12.5355,27.67,1
2024-09-12,10.89,10.4345,30.24,0
2024-09-13,11.24,13.5034,27.2,1
2024-09-16,11.03,11.48,25.62,1
2024-09-17,11.42,12.1615,26.69,1
2024-09-18,11.02,9.2187,27.32,0
2024-09-19,11.43,8.3858,27.33,0
2024-09-20,11.17,13.454,29.06,1
2024-09-23,11.57,11.0518,29.62,0
2024-09-24,12.5,9.5573,26.13,0
2024-09-25,12.53,10.254,23.8,0
2024-09-26,12.63,8.0723,23.68,0
2024-09-27,13.08,11.8592,21.65,0
2024-09-30,12.26,8.3194,24.28,0
2024-10-01,11.555,10.6831,23.89,0
2024-10-02,11.98,8.7449,22.32,0
2024-10-03,11.73,8.8232,21.51,0
2024-10-04,12.02,10.0679,20.49,0
2024-10-07,11.72,8.3012,21.89,0
2024-10-08,11.335,13.7805,24.16,1
2024-10-09,10.97,11.6739,26.67,1
2024-10-10,11.12,8.2901,24.85,0
2024-10-11,11.72,16.0961,23.5,1
2024-10-14,12.18,12.4673,23.4,1
2024-10-15,11.77,10.3051,22.93,0
2024-10-16,12.9,7.8829,23.86,0
2024-10-17,12.67,11.7165,26.26,0
2024-10-18,14.47,11.1077,26.59,0
2024-10-21,15.33,9.132,26.92,0
2024-10-22,15.66,10.6249,26.12,0
2024-10-23,15.11,9.8982,25.86,0
2024-10-24,15.305,7.3019,25.43,0
2024-10-25,14.9,12.7415,26.04,0
2024-10-28,17.21,9.1464,19.78,0
2024-10-29,17.18,11.3623,19.61,0
2024-10-30,18.155,12.506,20.11,0
2024-10-31,15.79,10.4319,21.5,0
2024-11-01,16.02,7.9119,21.69,0
2024-11-04,15.56,12.0328,21.64,0
2024-11-05,16.74,13.1076,21.57,0
2024-11-06,18.59,14.8344,20.82,0
2024-11-07,18.97,8.2584,21.1,0
2024-11-08,19.585,8.9452,20.88,0
2024-11-11,24.59,10.4915,20.81,1
2024-11-12,23.86,8.7096,20.09,1
2024-11-13,24.78,12.1279,20.32,1
2024-11-14,23.14,13.8232,20.47,1
2024-11-15,25.26,13.0504,20.47,1
2024-11-18,25.04,11.9512,19.78,1
2024-11-19,25.32,10.854,19.72,1
2024-11-20,24.46,15.3494,19.53,1
2024-11-21,23.48,11.4837,17.93,1
2024-11-22,25.92,11.0174,16.6,1
2024-11-25,25.24,12.4061,14.87,1
2024-11-26,24.42,13.1615,14.94,1
2024-11-27,28.45,13.2643,14.41,1
2024-11-29,28.02,13.7158,14.75,1
